a	a AK
zentozke	s̪ AI e AK n AG t AC o AL s̪ AI k AC e AK
zentozkeen	s̪ AI e AK n AG t AC o AL s̪ AI k AC e AK e AK n AG
zentozkete	s̪ AI e AK n AG t AC o AL s̪ AI k AC e AK t AC e AK
zentozketen	s̪ AI e AK n AG t AC o AL s̪ AI k AC e AK t AC e AK n AG
zentozten	s̪ AI e AK n AG t AC o AL s̪ AI t AC e AK n AG
zentxezkidake	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK d AC a AK k AC e AK
zentxezkidakete	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK d AC a AK k AC e AK t AC e AK
zentxezkidan	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK d AC a AK n AG
zentxezkidaten	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK d AC a AK t AC e AK n AG
zentxezkieke	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK e AK k AC e AK
zentxezkiekete	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK e AK k AC e AK t AC e AK
zentxezkien	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK e AK n AG
zentxezkieten	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK e AK t AC e AK n AG
zentxezkiguke	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL k AC e AK
zentxezkigukete	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL k AC e AK t AC e AK
zentxezkigun	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL n AG
zentxezkiguten	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL t AC e AK n AG
zentxezkioke	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK o AL k AC e AK
zentxezkiokete	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK o AL k AC e AK t AC e AK
zentxezkion	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK o AL n AG
zentxezkioten	s̪ AI e AK n AG t AC ʃ AI e AK s̪ AI k AC i AK o AL t AC e AK n AG
zer	s̪ AI e AK ɾ BC
zerbitzu	s̪ AI e AK r AM b AH i AK t AC s̪ AI u AL
zerbitzugune	s̪ AI e AK r AM b AH i AK t AC s̪ AI u AL ɡ AC u AL n AG e AK
zerbütxügüne	s̪ AI e AK r AM b AH i AK t AC ʃ AI y AL ɡ AC y AL n AG e AK
zerekin	s̪ AI e AK ɾ BC e AK k AC i AK n AG
zeren	s̪ AI e AK ɾ BC e AK n AG
zerentzat	s̻ AI e AK ɾ BC e AK n AG t AC s̻ AI a AK t AC
zerez	s̪ AI e AK ɾ BC e AK s̪ AI
zergatik	s̪ AI e AK r AM ɡ AC a AK t AC i AK k AC
zeri	s̪ AI e AK ɾ BC i AK
zerk	s̪ AI e AK r AM k AC
zero	s̻ AI e AK ɾ BC o AL
zerogarren	s̻ AI e AK ɾ BC o AL ɡ AC a AK r AM e AK n AG
zerri	s̻ AI e AK r AM i AK
zertaz	s̪ AI e AK r AM t AC a AK s̪ AI
zeru	s̻ AI e AK ɾ BC u AL
zeta	s̻ AI e AK t AC a AK
zetorkeen	s̪ AI e AK t AC o AL r AM k AC e AK e AK n AG
zetorren	s̪ AI e AK t AC o AL r AM e AK n AG
zetozen	s̪ AI e AK t AC o AL s̪ AI e AK n AG
zetozkeen	s̪ AI e AK t AC o AL s̪ AI k AC e AK e AK n AG
zetxekian	s̪ AI e AK t AC ʃ AI e AK k AC i AK a AK n AG
zetxekidan	s̪ AI e AK t AC ʃ AI e AK k AC i AK d AC a AK n AG
zetxekien	s̪ AI e AK t AC ʃ AI e AK k AC i AK e AK n AG
zetxekigun	s̪ AI e AK t AC ʃ AI e AK k AC i AK ɡ AC u AL n AG
zetxekinan	s̪ AI e AK t AC ʃ AI e AK k AC i AK n AG a AK n AG
zetxekion	s̪ AI e AK t AC ʃ AI e AK k AC i AK o AL n AG
zetxekizuen	s̪ AI e AK t AC ʃ AI e AK k AC i AK s̪ AI u AL e AK n AG
zetxekizun	s̪ AI e AK t AC ʃ AI e AK k AC i AK s̪ AI u AL n AG
zetxezkian	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK a AK n AG
zetxezkidan	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK d AC a AK n AG
zetxezkien	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK e AK n AG
zetxezkigun	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL n AG
zetxezkinan	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK n AG a AK n AG
zetxezkion	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK o AL n AG
zetxezkizuen	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK s̪ AI u AL e AK n AG
zetxezkizun	s̪ AI e AK t AC ʃ AI e AK s̪ AI k AC i AK s̪ AI u AL n AG
zetzan	s̪ AI e AK t AC s̪ AI a AK n AG
zeu	s̪ AI e AK w AJ
zeudekeen	s̪ AI e AK w AJ d AC e AK k AC e AK e AK n AG
zeuden	s̪ AI e AK w AJ d AC e AK n AG
zeundeke	s̪ AI e AK w AJ n AG d AC e AK k AC e AK
zeundekeen	s̪ AI e AK w AJ n AG d AC e AK k AC e AK e AK n AG
zeundekete	s̪ AI e AK w AJ n AG d AC e AK k AC e AK t AC e AK
zeundeketen	s̪ AI e AK w AJ n AG d AC e AK k AC e AK t AC e AK n AG
zeunden	s̪ AI e AK w AJ n AG d AC e AK n AG
zeundeten	s̪ AI e AK w AJ n AG d AC e AK t AC e AK n AG
zeuntzake	s̪ AI e AK w AJ n AG t AC s̪ AI a AK k AC e AK
zeuntzakete	s̪ AI e AK w AJ n AG t AC s̪ AI a AK k AC e AK t AC e AK
zeuntzan	s̪ AI e AK w AJ n AG t AC s̪ AI a AK n AG
zeuntzaten	s̪ AI e AK w AJ n AG t AC s̪ AI a AK t AC e AK n AG
zeure	s̪ AI e AK w AJ ɾ BC e AK
zeutzan	s̪ AI e AK w AJ t AC s̪ AI a AK n AG
zezeil	s̺ AI e AK s̺ AI e AK ʎ AE
zezen	s̻ AI e AK s̻ AI e AK n AG
zezenkari	s̻ AI e AK s̻ AI e AK n AG k AC a AK ɾ BC i AK
zigilu	s̻ AI i AK ɡ AC i AK ʎ AE u AL
zikoina	s̻ AI i AK k AC o AL ɲ AG a AK
zilar	s̪ AI i AK ʎ AE a AK ɾ BC
zintezen	s̪ AI i AK n AG t AC e AK s̪ AI e AK n AG
zintezke	s̪ AI i AK n AG t AC e AK s̪ AI k AC e AK
zintezkeen	s̪ AI i AK n AG t AC e AK s̪ AI k AC e AK e AK n AG
zintezkete	s̪ AI i AK n AG t AC e AK s̪ AI k AC e AK t AC e AK
zintezketen	s̪ AI i AK n AG t AC e AK s̪ AI k AC e AK t AC e AK n AG
zintezten	s̪ AI i AK n AG t AC e AK s̪ AI t AC e AK n AG
zintzur	s̻ AI i AK n AG t AC s̻ AI u AL r AM
zipre	s̻ AI i AK p AH r AM e AK
zirkonio	s̪ AI i AK r AM k AC o AL n AG j AB o AL
zitekeen	s̪ AI i AK t AC e AK k AC e AK e AK n AG
zitezen	s̪ AI i AK t AC e AK s̪ AI e AK n AG
zitezkeen	s̪ AI i AK t AC e AK s̪ AI k AC e AK e AK n AG
ziztatu	s̻ AI i AK s̻ AI t AC a AK t AC u AL
zolda	s̻ AI o AL l AE d AC a AK
zortzi	s̻ AI o AL r AM t AC s̻ AI i AK
zortzigarren	s̻ AI o AL r AM t AC s̻ AI i AK ɡ AC a AK r AM e AK n AG
zortzikoitz	s̻ AI o AL r AM t AC s̻ AI i AK k AC o AL i AK t AC s̻ AI
zortziren	s̻ AI o AL r AM t AC s̻ AI i AK ɾ BC e AK n AG
zu	s̪ AI u AL
zubi	s̻ AI u AL b AH i AK
zuek	s̪ AI u AL e AK k AC
zuhaitz	s̻ AI u AL ɦ AA a AK i AK t AC s̻ AI
zuhaixka	s̻ AI u AL h AA a AK i AK ʃ AI k AC a AK
zuhamuxka	s̻ AI u AL h AA a AK m AF u AL ʃ AI k AC a AK
zuk	s̪ AI u AL k AC
zulo	s̻ AI u AL l AE o AL
zulogune	s̻ AI u AL l AE o AL ɡ AC u AL n AG e AK
zumake	s̻ AI u AL m AF a AK k AC e AK
zumarraga	s̻ AI u AL m AF a AK r AM a AK ɡ AC a AK
zur	s̻ AI u AL r AM
zurgin	s̻ AI u AL r AM ɡ AC i AK ɲ AG
zurgina	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK
zurginak	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK k AC
zurginarekin	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK k AC i AK ɲ AG
zurginaren	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG
zurginarengan	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG ɡ AC a AK n AG
zurginarengana	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG ɡ AC a AK n AG a AK
zurginarenganaino	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG ɡ AC a AK n AG a AK ɲ AG o AL
zurginarenganako	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG ɡ AC a AK n AG a AK k AC o AL
zurginarenganantz	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG ɡ AC a AK n AG a AK n AG t AC s̻ AI
zurginarengandik	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG ɡ AC a AK n AG d AC i AK k AC
zurginarengatik	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG ɡ AC a AK t AC i AK k AC
zurginarentzat	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC e AK n AG t AC s̻ AI a AK t AC
zurginari	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK ɾ BC i AK
zurginaz	s̻ AI u AL r AM ɡ AC i AK ɲ AG a AK s̻ AI
zurgindegi	s̻ AI u AL r AM ɡ AC i AK n AG d AC e AK ɡ AC i AK
zurginei	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK i AK
zurginek	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK k AC
zurginekin	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK k AC i AK ɲ AG
zurginen	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG
zurginengan	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG ɡ AC a AK n AG
zurginengana	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG ɡ AC a AK n AG a AK
zurginenganaino	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG ɡ AC a AK n AG a AK ɲ AG o AL
zurginenganako	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG ɡ AC a AK n AG a AK k AC o AL
zurginenganantz	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG ɡ AC a AK n AG a AK n AG t AC s̻ AI
zurginengandik	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG ɡ AC a AK n AG d AC i AK k AC
zurginengatik	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG ɡ AC a AK t AC i AK k AC
zurginentzat	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK n AG t AC s̻ AI a AK t AC
zurginez	s̻ AI u AL r AM ɡ AC i AK ɲ AG e AK s̻ AI
zurgini	s̻ AI u AL r AM ɡ AC i AK ɲ AG i AK
zurginik	s̻ AI u AL r AM ɡ AC i AK ɲ AG i AK k AC
zurgintza	s̻ AI u AL r AM ɡ AC i AK n AG t AC s̻ AI a AK
zurgintzat	s̻ AI u AL r AM ɡ AC i AK n AG t AC s̻ AI a AK t AC
zuri	s̻ AI u AL ɾ BC i AK
zuzen	s̻ AI u AL s̻ AI e AK n AG
zuzendu	s̻ AI u AL s̻ AI e AK n AG d AC u AL
zuzentasun	s̻ AI u AL s̻ AI e AK n AG t AC a AK s̺ AI u AL n AG
zuzentzaile	s̻ AI u AL s̻ AI e AK n AG t AC s̻ AI a AK ʎ AE e AK
zuñiga	s̻ AI u AL ɲ AG i AK ɡ AC a AK
züntzür	s̻ AI y AL n AG t AC s̻ AI y AL r AM
ñ	e AK ɲ AG e AK
ü	y AL
üthürri	y AL tʰ AD y AL r AM i AK
ĺ	ʎ AE
ŕ	r AM
