'n	ə AL n AG
vormonates	f BC oː BA ɐ̯ m AF oː BA n AG a AL t AC ə AL s AJ
vormonats	f BC oː BA ɐ̯ m AF oː BA n AG a AL t AC s AJ
vormund	f BC ɔ AN ɐ̯ m AF ʊ AN n AG t AC
vorn	f BC ɔ AN ʁ AJ n AG
vorne	f BC ɔ AN ʁ AJ n AG ə AL
vornehmen	f BC oː BA ɐ̯ n AG eː AM m AF ə AL n AG
vorort	f BC oː BA ɐ̯ ʔ AK ɔ AN ʁ AJ t AC
vorpommerisch	f BC oː BA ɐ̯ p AH ɔ AN m AF ə AL ʀ BB ɪ AL ʃ AJ
vorrang	f BC oː BA ɐ̯ ʁ AJ a AL ŋ AG
vorrangig	f BC oː BA ɐ̯ ʁ AJ a AL ŋ AG ɪ AL ç
vorrangigkeit	f BC oː BA ɐ̯ ʁ AJ a AL ŋ AG ɪ AL ç k AC a AL ɪ AL t AC
vorrat	f BC oː BA ʁ AJ aː AM t AC
vorraum	f BC oː BA ɐ̯ ʁ AJ a AL ʊ̯ BF m AF
vorraumes	f BC oː BA ɐ̯ ʁ AJ a AL ʊ̯ BF m AF ə AL s AJ
vorraums	f BC oː BA ɐ̯ ʁ AJ a AL ʊ̯ BF m AF s AJ
vorreiter	f BC oː BA ɐ̯ ʁ AJ a AL ɪ̯ AB t AC ɐ AN
vorrätig	f BC oː BA ʁ AJ ɛː AM t AC ɪ AL ç
vorräume	f BC oː BA ɐ̯ ʁ AJ ɔ AN ɪ̯ AB m AF ə AL
vorrücken	f BC oː BA ɐ̯ ʀ BB ʏ AN k AC n̩ BH
vors	f BC oː BA ɐ̯ s AJ
vorsatz	f BC oː BA ɐ̯ z AJ a AL t AC s AJ
vorsatzblatt	f BC oː BA ɐ̯ z AJ a AL t AC s AJ b AH l AE a AL t AC
vorschau	f BC oː BA ɐ̯ ʃ AJ a AL ʊ̯ BF
vorschieben	f BC oː BA ʀ BB ʃ AJ iː AM b AH ə AL n AG
vorschlag	f BC oː BA ɐ̯ ʃ AJ l AE aː AM x AJ
vorschlagen	f BC oː BA ɐ̯ ʃ AJ l AE aː AM ɡ AC ŋ AG
vorschlaghammer	f BC oː BA ɐ̯ ʃ AJ l AE aː AM k AC h AA a AL m AF ɐ AN
vorschnell	f BC oː BA ɐ̯ ʃ AJ n AG ɛ AL l AE
vorschreiben	f BC oː BA ʁ AJ ʃ AJ ʁ AJ a AL ɪ̯ AB b AH ə AL n AG
vorschrift	f BC oː BA ʁ AJ ʃ AJ ʁ AJ ɪ AL f BC t AC
vorschriftsgemäss	f BC oː BA ɐ̯ ʃ AJ ʀ BB ɪ AL f BC t AC s AJ ɡ AC ə AL m AF ɛː AM s AJ
vorschriftsmässig	f BC oː BA ɐ̯ ʃ AJ ʁ AJ ɪ AL f BC t AC s AJ m AF ɛː AM s AJ ɪ AL ç
vorschriftswidrig	f BC oː BA ɐ̯ ʃ AJ ʀ BB ɪ AL f BC t AC s AJ v BC iː AM d AC ʀ BB ɪ AL ç
vorschub	f BC oː BA ɐ̯ ʃ AJ uː BA p AH
vorschuss	f BC oː BA ɐ̯ ʃ AJ ʊ AN s AJ
vorsehung	f BC oː BA ɐ̯ z AJ eː AM ʊ AN ŋ AG
vorsetzen	f BC oː BA ɐ̯ z AJ ɛ AL t AC s AJ n̩ BH
vorsicht	f BC oː BA ʁ AJ z AJ ɪ AL ç t AC
vorsichtig	f BC oː BA ɐ̯ z AJ ɪ AL ç t AC ɪ AL ç
vorsintflutlich	f BC oː BA r BB s AJ ɪ AL n AG t AC f BC l AE uː BA t AC l AE ɪ AL ç
vorsitz	f BC oː BA ɐ̯ z AJ ɪ AL t AC s AJ
vorsitzender	f BC oː BA ɐ̯ z AJ ɪ AL t AC s AJ n̩ BH d AC ɐ AN
vorsorge	f BC oː BA ɐ̯ z AJ ɔ AN ʁ AJ ɡ AC ə AL
vorspeise	f BC oː BA ɐ̯ ʃ AJ p AH a AL ɪ̯ AB z AJ ə AL
vorspuren	f BC oː BA ɐ̯ ʃ AJ p AH uː BA ʁ AJ ə AL n AG
vorstadt	f BC oː BA ɐ̯ ʃ AJ t AC a AL t AC
vorstellig	f BC oː BA ɐ̯ ʃ AJ t AC ɛ AL l AE ɪ AL ç
vorstellung	f BC oː BA ɐ̯ ʃ AJ t AC ɛ AL l AE ʊ AN ŋ AG
vorstellungsbeginn	f BC oː BA ɐ̯ ʃ AJ t AC ɛ AL l AE ʊ AN ŋ AG s AJ b AH ə AL ɡ AC ɪ AL n AG
vorstellungsdauer	f BC oː BA ɐ̯ ʃ AJ t AC ɛ AL l AE ʊ AN ŋ AG s AJ d AC a AL ʊ̯ BF ɐ AN
vorstellungsende	f BC oː BA ɐ̯ ʃ AJ t AC ɛ AL l AE ʊ AN ŋ AG s AJ ɛ AL n AG d AC ə AL
vorstoss	f BC oː BA ɐ̯ ʃ AJ t AC oː BA s AJ
vorstossen	f BC oː BA ɐ̯ ʃ AJ t AC oː BA s AJ n̩ BH
vorstrafe	f BC oː BA ɐ̯ ʃ AJ t AC ʁ AJ aː AM f BC ə AL
vorstufe	f BC oː BA ɐ̯ ʃ AJ t AC uː BA f BC ə AL
vorteil	f BC ɔ AN ʁ AJ t AC a AL ɪ̯ AB l AE
vorteilhaft	f BC ɔ AN ʁ AJ t AC a AL ɪ̯ AB l AE h AA a AL f BC t AC
vortrag	f BC oː BA ɐ̯ t AC ʁ AJ aː AM k AC
vortrefflich	f BC oː BA ʁ AJ t AC ʁ AJ ɛ AL f BC l AE ɪ AL ç
vortäuschen	f BC oː BA ɐ̯ t AC ɔ AN ʏ̯ ʃ AJ ə AL n AG
vorurteil	f BC oː BA ɐ̯ ʔ AK ʊ AN ʁ AJ t AC a AL ɪ̯ AB l AE
vorverlegen	f BC oː BA ɐ̯ f BC ɛ AL ɐ̯ l AE eː AM ɡ AC n̩ BH
vorvorletzte	f BC oː BA ɐ̯ f BC oː BA ɐ̯ l AE ɛ AL t AC s AJ t AC ə AL
vorwalten	f BC oː BA ɐ̯ v BC a AL l AE t AC n̩ BH
vorwand	f BC oː BA ɐ̯ v BC a AL n AG t AC
vorwegnahme	f BC oː BA ɐ̯ v BC ɛ AL k AC n AG aː AM m AF ə AL
vorweihnachtlich	f BC oː BA ɐ̯ v BC a AL ɪ̯ AB n AG a AL χ AJ t AC l AE ɪ AL ç
vorweihnachtszeit	f BC oː BA ɐ̯ v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ t AC s AJ a AL ɪ̯ AB t AC
vorwerfen	f BC oː BA ʁ AJ v BC ɛ AL ʁ AJ f BC ə AL n AG
vorwerk	f BC oː BA ɐ̯ v BC ɛ AL ʁ AJ k AC
vorwiegen	f BC oː BA ɐ̯ v BC iː AM ɡ AC ə AL n AG
vorwiegend	f BC oː BA ɐ̯ v BC iː AM ɡ AC ə AL n AG t AC
vorwitz	f BC oː BA ɐ̯ v BC ɪ AL t AC s AJ
vorwort	f BC oː BA ɐ̯ v BC ɔ AN ʁ AJ t AC
vorwurf	f BC oː BA ʁ AJ v BC ʊ AN ʁ AJ f BC
vorwärts	f BC ɔ AN ʁ AJ v BC ɛ AL ʁ AJ t AC s AJ
vorwärtsgekrümmt	f BC oː BA ɐ̯ v BC ɛ AL ʁ AJ t AC s AJ ɡ AC ə AL k AC ʀ BB ʏ AN m AF t AC
vorzeichen	f BC oː BA ɐ̯ t AC s AJ a AL ɪ̯ AB ç ə AL n AG
vorzeigbar	f BC oː BA ɐ̯ t AC s AJ a AL ɪ̯ AB k AC b AH aː AM ɐ̯
vorzeit	f BC oː BA ɐ̯ t AC s AJ a AL ɪ̯ AB t AC
vorziehen	f BC oː BA ʁ AJ t AC s AJ iː AM ə AL n AG
vorüber	f BC o AN ʀ BB yː BA b AH ɐ AN
vorübergehend	f BC o AN ʀ BB yː BA b AH ɐ AN ɡ AC eː AM ə AL n AG t AC
vulgär	v BC ʊ AN l AE ɡ AC ɛː AM ɐ AN
vulgärlatein	v BC ʊ AN l AE ɡ AC ɛː AM ɐ̯ l AE a AL t AC a AL ɪ̯ AB n AG
vulgärlateinisch	v BC ʊ AN l AE ɡ AC ɛː AM ɐ̯ l AE a AL t AC a AL ɪ̯ AB n AG ɪ AL ʃ AJ
vulgärsprachlich	v BC ʊ AN l AE ɡ AC ɛː AM ɐ̯ ʃ AJ p AH ʀ BB aː AM χ AJ l AE ɪ AL ç
vulkanisch	v BC ʊ AN l AE k AC aː AM n AG ɪ AL ʃ AJ
vulkanistisch	v BC ʊ AN l AE k AC a AL n AG ɪ AL s AJ t AC ɪ AL ʃ AJ
vulkanologisch	v BC ʊ AN l AE k AC a AL n AG o AN l AE oː BA ɡ AC ɪ AL ʃ AJ
vulnerabel	v BC ʊ AN l AE n AG e AL ʀ BB aː AM b AH l̩ BI
vulva	v BC ʊ AN l AE v BC a AL
väter	f BC ɛː AM t AC ɐ AN
väterlich	f BC ɛː AM t AC ɐ AN l AE ɪ AL ç
väterlicherseits	f BC ɛː AM t AC ɐ AN l AE ɪ AL ç ɐ AN z AJ a AL ɪ AL t AC s AJ
väterlichkeit	f BC ɛː AM t AC ɐ AN l AE ɪ AL ç k AC a AL ɪ̯ AB t AC
vögel	f BC øː BA ɡ AC l̩ BI
vögeln	f BC øː BA ɡ AC ə AL l AE n AG
vöglein	f BC øː BA k AC l AE a AL ɪ̯ AB n AG
völker	f BC œ AN l AE k AC ɐ AN
völkerball	f BC œ AN l AE k AC ɐ AN b AH a AL l AE
völkerkunde	f BC œ AN l AE k AC ɐ AN k AC ʊ AN n AG d AC ə AL
völkerrecht	f BC œ AN l AE k AC ɐ AN ʁ AJ ɛ AL ç t AC
völkerrechtswidrig	f BC œ AN l AE k AC ɐ AN ʀ BB ɛ AL ç t AC s AJ v BC iː AM d AC ʀ BB ɪ AL ç
völkerschaft	f BC œ AN l AE k AC ɐ AN ʃ AJ a AL f BC t AC
völkerverständigung	f BC œ AN l AE k AC ɐ AN f BC ɛ AL ɐ̯ ʃ AJ t AC ɛ AL n AG d AC ɪ AL ɡ AC ʊ AN ŋ AG
völkerwanderung	f BC œ AN l AE k AC ɐ AN v BC a AL n AG d AC ə AL ʁ AJ ʊ AN ŋ AG
völkisch	f BC œ AN l AE k AC ɪ AL ʃ AJ
völle	f BC œ AN l AE ə AL
völlig	f BC œ AN l AE ɪ AL ç
völva	v BC œ AN l AE v BC a AL
w	v BC eː AM
wa	v BC h AA a AL h AA
waadt	v BC aː AM t AC
waage	v BC aː AM ɡ AC ə AL
waagen	v BC aː AM ɡ AC ə AL n AG
waagerecht	v BC aː AM ɡ AC ə AL ʀ BB ɛ AL ç t AC
waagschale	v BC aː AM k AC ʃ AJ aː AM l AE ə AL
wabe	v BC aː AM b AH ə AL
wabenförmig	v BC aː AM b AH n̩ BH f BC œ AN ʁ AJ m AF ɪ AL ç
wach	v BC a AL x AJ
wache	v BC a AL χ AJ ə AL
wachen	v BC a AL χ AJ ə AL n AG
wachhabende	v BC a AL x AJ h AA aː AM b AH n̩ BH d AC ɐ AN
wachhabender	v BC a AL x AJ h AA aː AM b AH n̩ BH d AC ɐ AN
wachkoma	v BC a AL x AJ k AC oː BA m AF a AL
wacholder	v BC a AL x AJ ɔ AN l AE d AC ɐ AN
wachs	v BC a AL k AC s AJ
wachsam	v BC a AL x AJ z AJ aː AM m AF
wachsartig	v BC a AL k AC s AJ ʔ AK aː AM ɐ̯ t AC ɪ AL ç
wachsbleich	v BC a AL k AC s AJ b AH l AE a AL ɪ̯ AB ç
wachsen	v BC a AL k AC s AJ ə AL n AG
wachsfigur	v BC a AL k AC s AJ f BC i AL ɡ AC uː BA ɐ̯
wachsfigürchen	v BC a AL k AC s AJ f BC i AL ɡ AC yː BA ɐ̯ ç ə AL n AG
wachsfigürlein	v BC a AL k AC s AJ f BC i AL ɡ AC yː BA ɐ̯ l AE a AL ɪ̯ AB n AG
wachskerzchen	v BC a AL k AC s AJ k AC ɛ AL ʁ AJ t AC s AJ ç ə AL n AG
wachskerzlein	v BC a AL k AC s AJ k AC ɛ AL ʁ AJ t AC s AJ l AE a AL ɪ̯ AB n AG
wachstum	v BC a AL k AC s AJ t AC uː BA m AF
wachsweich	v BC a AL k AC s AJ v BC a AL ɪ̯ AB ç
wachtel	v BC a AL x AJ t AC ə AL l AE
wachtelkönig	v BC a AL x AJ t AC l̩ BI k AC øː BA n AG ɪ AL ç
wachtelkönige	v BC a AL x AJ t AC l̩ BI k AC øː BA n AG ɪ AL ɡ AC ə AL
wackeldackel	v BC a AL k AC l̩ BI d AC a AL k AC l̩ BI
wackelig	v BC a AL k AC ə AL l AE ɪ AL ç
wackelkontakt	v BC a AL k AC l̩ BI k AC ɔ AN n AG t AC a AL k AC t AC
wackeln	v BC a AL k AC ə AL l AE n AG
wackelpeter	v BC a AL k AC l̩ BI p AH eː AM t AC ɐ AN
wackelpudding	v BC a AL k AC l̩ BI p AH ʊ AN d AC ɪ AL ŋ AG
wackelzahn	v BC a AL k AC l̩ BI t AC s AJ aː AM n AG
wackelzähne	v BC a AL k AC l̩ BI t AC s AJ ɛː AM n AG ə AL
wacken	v BC a AL k AC n̩ BH
wacker	v BC a AL k AC ɐ AN
wacklig	v BC a AL k AC l AE ɪ AL ç
wadenbein	v BC aː AM d AC n̩ BH b AH a AL ɪ̯ AB n AG
waffe	v BC a AL f BC ə AL
waffel	v BC a AL f BC l̩ BI
waffen	v BC a AL f BC ɱ̩
waffenfähig	v BC a AL f BC ə AL n AG f BC ɛː AM ɪ AL ç
waffengattung	v BC a AL f BC n̩ BH ɡ AC a AL t AC ʊ AN ŋ AG
waffenhaus	v BC a AL f BC n̩ BH h AA a AL ʊ̯ BF s AJ
waffenrecht	v BC a AL f BC n̩ BH ʁ AJ ɛ AL ç t AC
waffenrock	v BC a AL f BC n̩ BH ʁ AJ ɔ AN k AC
waffentechnisch	v BC a AL f BC n̩ BH t AC ɛ AL ç n AG ɪ AL ʃ AJ
waffnen	v BC a AL f BC n AG ə AL n AG
wag	v BC aː AM k AC
wagemut	v BC aː AM ɡ AC ə AL m AF uː BA t AC
wagemutig	v BC aː AM ɡ AC ə AL m AF uː BA t AC ɪ AL ç
wagen	v BC aː AM ɡ AC ə AL n AG
wagenburg	v BC aː AM ɡ AC n̩ BH b AH ʊ AN ʁ AJ k AC
wagenrücklauf	v BC aː AM ɡ AC ŋ AG ʀ BB ʏ AN k AC l AE a AL ʊ̯ BF f BC
wagenrücklaufes	v BC aː AM ɡ AC ŋ AG ʀ BB ʏ AN k AC l AE a AL ʊ̯ BF f BC ə AL s AJ
wagenrücklaufs	v BC aː AM ɡ AC ŋ AG ʀ BB ʏ AN k AC l AE a AL ʊ̯ BF f BC s AJ
wagenrückläufe	v BC aː AM ɡ AC ŋ AG ʀ BB ʏ AN k AC l AE ɔ AN ɪ̯ AB f BC ə AL
waggon	v BC a AL ɡ AC ɔ AN ŋ AG
waghalsig	v BC aː AM k AC h AA a AL l AE z AJ ɪ AL ç
wagner	v BC aː AM ɡ AC n AG ɐ AN
wagnerianisch	v BC aː AM ɡ AC n AG ə AL ʀ BB i AL aː AM n AG ɪ AL ʃ AJ
wagnis	v BC aː AM k AC n AG ɪ AL s AJ
wahhabitisch	v BC a AL h AA a AL b AH iː AM t AC ɪ AL ʃ AJ
wahl	v BC aː AM l AE
wahlen	v BC aː AM l AE ə AL n AG
wahlheimat	v BC aː AM l AE h AA a AL ɪ̯ AB m AF aː AM t AC
wahlkampf	v BC aː AM l AE k AC a AL m AF p AH f BC
wahlkandidatin	v BC aː AM l AE k AC a AL n AG d AC i AL d AC aː AM t AC ɪ AL n AG
wahlkreisbewohnerin	v BC aː AM l AE k AC ʁ AJ a AL ɪ̯ AB s AJ b AH ə AL v BC oː BA n AG ɐ AN ʁ AJ ɪ AL n AG
wahllokal	v BC aː AM l AE l AE o AN k AC aː AM l AE
wahllos	v BC aː AM l AE l AE oː BA s AJ
wahlniederlage	v BC aː AM l AE n AG iː AM d AC ɐ AN l AE aː AM ɡ AC ə AL
wahlrecht	v BC aː AM l AE ʀ BB ɛ AL ç t AC
wahlurne	v BC aː AM l AE ʔ AK ʊ AN ʁ AJ n AG ə AL
wahn	v BC aː AM n AG
wahnsinn	v BC aː AM n AG z AJ ɪ AL n AG
wahnsinnig	v BC aː AM n AG z AJ ɪ AL n AG ɪ AL ç
wahnvorstellung	v BC aː AM n AG f BC oː BA ɐ̯ ʃ AJ t AC ɛ AL l AE ʊ AN ŋ AG
wahnwitzig	v BC aː AM n AG v BC ɪ AL t AC s AJ ɪ AL ç
wahr	v BC aː AM r BB
wahren	v BC aː AM r BB ə AL n AG
wahrhaben	v BC aː AM ɐ̯ h AA aː AM b AH n̩ BH
wahrhaftig	v BC aː AM ɐ̯ h AA a AL f BC t AC ɪ AL ç
wahrhaftigkeit	v BC aː AM ɐ̯ h AA a AL f BC t AC ɪ AL ç k AC a AL ɪ̯ AB t AC
wahrheit	v BC aː AM ɐ̯ h AA a AL ɪ̯ AB t AC
wahrheitsgehalt	v BC aː AM ɐ̯ h AA a AL ɪ̯ AB t AC s AJ ɡ AC ə AL h AA a AL l AE t AC
wahrheitsgemäss	v BC aː AM ɐ̯ h AA a AL ɪ̯ AB t AC s AJ ɡ AC ə AL m AF ɛː AM s AJ
wahrnehmbar	v BC aː AM ɐ̯ n AG eː AM m AF b AH aː AM ɐ̯
wahrsagen	v BC aː AM ɐ̯ z AJ aː AM ɡ AC n̩ BH
wahrsager	v BC aː AM ɐ̯ z AJ aː AM ɡ AC ɐ AN
wahrsagerin	v BC aː AM ɐ̯ z AJ aː AM ɡ AC ə AL ʁ AJ ɪ AL n AG
wahrscheinlich	v BC aː AM ɐ̯ ʃ AJ a AL ɪ̯ AB n AG l AE ɪ AL ç
wahrscheinlichkeit	v BC aː AM ɐ̯ ʃ AJ a AL ɪ̯ AB n AG l AE ɪ AL ç k AC a AL ɪ̯ AB t AC
wahrscheinlichkeiten	v BC aː AM ɐ̯ ʃ AJ a AL ɪ̯ AB n AG l AE ɪ AL ç k AC a AL ɪ̯ AB t AC ə AL n AG
wahrzeichen	v BC aː AM ɐ̯ t AC s AJ a AL ɪ̯ AB ç n̩ BH
waidmännisch	v BC a AL ɪ̯ AB t AC m AF ɛ AL n AG ɪ AL ʃ AJ
waise	v BC a AL ɪ̯ AB z AJ ə AL
waisen	v BC a AL ɪ̯ AB z AJ ə AL n AG
waisenhaus	v BC a AL ɪ̯ AB z AJ n̩ BH h AA a AL ʊ̯ BF s AJ
wal	v BC aː AM l AE
walachei	v BC a AL l AE a AL χ AJ a AL ɪ̯ AB
wald	v BC a AL l AE t AC
waldaus	v BC a AL l AE t AC ʔ AK a AL ʊ̯ BF s AJ
waldein	v BC a AL l AE t AC ʔ AK a AL ɪ̯ AB n AG
waldensisch	v BC a AL l AE d AC ɛ AL n AG z AJ ɪ AL ʃ AJ
waldesrand	v BC a AL l AE d AC ə AL s AJ ʁ AJ a AL n AG t AC
waldheim	v BC a AL l AE t AC h AA a AL ɪ̯ AB m AF
waldkatze	v BC a AL l AE t AC k AC a AL t AC s AJ ə AL
waldkatzen	v BC a AL l AE t AC k AC a AL t AC s AJ ə AL n AG
waldmeister	v BC a AL l AE t AC m AF a AL ɪ̯ AB s AJ t AC ɐ AN
waldrand	v BC a AL l AE t AC ʀ BB a AL n AG t AC
waldrapp	v BC a AL l AE t AC ʁ AJ a AL p AH
waldreich	v BC a AL l AE t AC ʀ BB a AL ɪ̯ AB ç
waldsterben	v BC a AL l AE t AC ʃ AJ t AC ɛ AL ʁ AJ b AH ə AL n AG
waldstück	v BC a AL l AE t AC ʃ AJ t AC ʏ AN k AC v BC
waldung	v BC a AL l AE d AC ʊ AN ŋ AG
waldwasserläufer	v BC a AL l AE t AC v BC a AL s AJ ɐ AN l AE ɔ AN ɪ̯ AB f BC ɐ AN
waldweg	v BC a AL l AE t AC v BC eː AM k AC
wale	v BC aː AM l AE ə AL
walen	v BC aː AM l AE ə AL n AG
wales	v BC ɛ AL ɪ̯ AB l AE s AJ
walfisch	v BC aː AM l AE f BC ɪ AL ʃ AJ
walgern	v BC a AL l AE ɡ AC ɐ AN n AG
walhai	v BC aː AM l AE h AA a AL ɪ̯ AB
walküre	v BC a AL l AE k AC yː BA ʁ AJ ə AL
wall	v BC a AL l AE
wallach	v BC a AL l AE a AL χ AJ
wallen	v BC a AL l AE ə AL n AG
walles	v BC a AL l AE ə AL s AJ
wallonisch	v BC a AL l AE oː BA n AG ɪ AL ʃ AJ
walmdach	v BC a AL l AE m AF d AC a AL χ AJ
walnuss	v BC a AL l AE n AG ʊ AN s AJ
walnüsse	v BC a AL l AE n AG ʏ AN s AJ ə AL
walpurgisnacht	v BC a AL l AE p AH ʊ AN r BB ɡ AC ɪ AL s AJ n AG a AL x AJ t AC
walross	v BC aː AM l AE ʁ AJ ɔ AN s AJ
walstatt	v BC a AL l AE ʃ AJ t AC a AL t AC
waltraud	v BC a AL l AE t AC ʁ AJ a AL ʊ̯ BF t AC
walz	v BC a AL l AE t AC s AJ
walze	v BC a AL l AE t AC s AJ ə AL
walzer	v BC a AL l AE t AC s AJ ɐ AN
walzers	v BC a AL l AE t AC s AJ ɐ AN s AJ
walzertänzer	v BC a AL l AE t AC s AJ ɐ AN t AC ɛ AL n AG t AC s AJ ɐ AN
walzertänzerin	v BC a AL l AE t AC s AJ ɐ AN t AC ɛ AL n AG t AC s AJ ə AL ʁ AJ ɪ AL n AG
walzertänzerinnen	v BC a AL l AE t AC s AJ ɐ AN t AC ɛ AL n AG t AC s AJ ə AL ʁ AJ ɪ AL n AG ə AL n AG
walzertänzers	v BC a AL l AE t AC s AJ ɐ AN t AC ɛ AL n AG t AC s AJ ɐ AN s AJ
wamme	v BC a AL m AF ə AL
wampe	v BC a AL m AF p AH ə AL
wampen	v BC a AL m AF p AH ə AL n AG
wams	v BC a AL m AF s AJ
wand	v BC a AL n AG t AC
wandel	v BC a AL n AG d AC ə AL l AE
wandelbar	v BC a AL n AG d AC l̩ BI b AH aː AM ɐ̯
wandeln	v BC a AL n AG d AC l̩ BI n AG
wandels	v BC a AL n AG d AC ə AL l AE s AJ
wandelstern	v BC a AL n AG d AC l̩ BI ʃ AJ t AC ɛ AL ʁ AJ n AG
wanderer	v BC a AL n AG d AC ɐ AN ʁ AJ ɐ AN
wanderers	v BC a AL n AG d AC ə AL ʀ BB ɐ AN s AJ
wanderfalke	v BC a AL n AG d AC ə AL r BB f BC a AL l AE k AC ə AL
wandergeselle	v BC a AL n AG d AC ɐ AN ɡ AC ə AL z AJ ɛ AL l AE ə AL
wanderin	v BC a AL n AG d AC ɐ AN ʁ AJ ɪ AL n AG
wandern	v BC a AL n AG d AC ɐ AN n AG
wanderschaft	v BC a AL n AG d AC ɐ AN ʃ AJ a AL f BC t AC
wanderschuh	v BC a AL n AG d AC ɐ AN ʃ AJ uː BA
wandersmann	v BC a AL n AG d AC ɐ AN s AJ m AF a AL n AG
wanderstab	v BC a AL n AG d AC ɐ AN ʃ AJ t AC aː AM p AH
wanderung	v BC a AL n AG d AC ə AL ʁ AJ ʊ AN ŋ AG
wandgemälde	v BC a AL n AG t AC ɡ AC ə AL m AF ɛː AM l AE d AC ə AL
wandlung	v BC a AL n AG d AC l AE ʊ AN ŋ AG
wandlungsfähig	v BC a AL n AG d AC l AE ʊ AN ŋ AG s AJ f BC ɛː AM ɪ AL ç
wandschrank	v BC a AL n AG t AC ʃ AJ ʁ AJ a AL ŋ AG k AC
wandschrankes	v BC a AL n AG t AC ʃ AJ ʁ AJ a AL ŋ AG k AC ə AL s AJ
wandschranks	v BC a AL n AG t AC ʃ AJ ʁ AJ a AL ŋ AG k AC s AJ
wandschränke	v BC a AL n AG t AC ʃ AJ ʁ AJ ɛ AL ŋ AG k AC ə AL
wanduhr	v BC a AL n AG t AC ʔ AK uː BA ɐ̯
wange	v BC a AL ŋ AG ə AL
wankelmut	v BC a AL ŋ AG k AC ə AL l AE m AF uː BA t AC
wankelmütig	v BC a AL ŋ AG k AC ə AL l AE m AF yː BA t AC ɪ AL ç
wankelnd	v BC a AL ŋ AG k AC ə AL l AE n AG t AC
wann	v BC a AL n AG
wanne	v BC a AL n AG ə AL
wannen	v BC a AL n AG ə AL n AG
wanst	v BC a AL n AG s AJ t AC
want	v BC a AL n AG t AC
wanze	v BC a AL n AG t AC s AJ ə AL
wappen	v BC a AL p AH ə AL n AG
wappenbeschreibung	v BC a AL p AH ə AL n AG b AH ə AL ʃ AJ ʁ AJ a AL ɪ̯ AB b AH ʊ AN ŋ AG
wappenbeschreibungen	v BC a AL p AH ə AL n AG b AH ə AL ʃ AJ ʁ AJ a AL ɪ̯ AB b AH ʊ AN ŋ AG ə AL n AG
wappenschild	v BC a AL p AH ə AL n AG s AJ ʃ AJ ɪ AL l AE t AC
wappenschilde	v BC a AL p AH ə AL n AG ʃ AJ ɪ AL l AE d AC ə AL
wappenschildes	v BC a AL p AH ə AL n AG ʃ AJ ɪ AL l AE d AC ə AL s AJ
wappenschilds	v BC a AL p AH ə AL n AG ʃ AJ ɪ AL l AE t AC s AJ
wappentier	v BC a AL p AH ə AL n AG t AC iː AM ɐ̯
wappentiere	v BC a AL p AH ə AL n AG t AC iː AM ʁ AJ ə AL
wappentieres	v BC a AL p AH ə AL n AG t AC iː AM ʁ AJ ə AL s AJ
wappentiers	v BC a AL p AH ə AL n AG t AC iː AM ɐ̯ s AJ
wappnen	v BC a AL p AH n AG ə AL n AG
war	v BC aː AM ɐ̯
ward	v BC a AL ʁ AJ t AC
ware	v BC aː AM ʁ AJ ə AL
waren	v BC aː AM r BB ə AL n AG
warenangebot	v BC aː AM ʁ AJ ə AL n AG a AL n AG ɡ AC ə AL b AH oː BA t AC
warenmuster	v BC aː AM ʁ AJ ə AL n AG m AF ʊ AN s AJ t AC ɐ AN
warenregal	v BC aː AM ʁ AJ ə AL n AG ʁ AJ e AL ɡ AC aː AM l AE
warens	v BC aː AM ʁ AJ ə AL n AG s AJ
warensendung	v BC aː AM ʁ AJ ə AL n AG z AJ ɛ AL n AG d AC ʊ AN ŋ AG
warft	v BC a AL ʁ AJ f BC t AC
warm	v BC a AL r BB m AF
warmblütig	v BC aː AM ɐ̯ m AF b AH l AE yː BA t AC ɪ AL ç
warmduscher	v BC a AL ʁ AJ m AF d AC uː BA ʃ AJ ɐ AN
warmfront	v BC a AL ʁ AJ m AF f BC ʁ AJ ɔ AN n AG t AC
warmgemässigt	v BC a AL ʁ AJ m AF ɡ AC ə AL m AF ɛː AM s AJ ɪ AL ç t AC
warmhalten	v BC a AL ʁ AJ m AF h AA a AL l AE t AC n̩ BH
warmherzig	v BC a AL ʁ AJ m AF h AA ɛ AL ʁ AJ t AC s AJ ɪ AL ç
warmmiete	v BC a AL ʁ AJ m AF m AF iː AM t AC ə AL
warmzeit	v BC a AL ʁ AJ m AF t AC s AJ a AL ɪ̯ AB t AC
warnblinklicht	v BC a AL ʁ AJ n AG b AH l AE ɪ AL ŋ AG k AC l AE ɪ AL ç t AC
warnen	v BC aː AM n AG ə AL n AG
warnschuss	v BC a AL ʁ AJ n AG ʃ AJ ʊ AN s AJ
warnung	v BC a AL ʁ AJ n AG ʊ AN ŋ AG
wars	v BC aː AM ɐ̯ s AJ
warschau	v BC a AL r BB ʃ AJ a AL ʊ̯ BF
warst	v BC aː AM ɐ̯ s AJ t AC
wart	v BC aː AM r BB t AC
wartbar	v BC a AL ʁ AJ t AC b AH aː AM ʁ AJ
wartbarkeit	v BC a AL ʁ AJ t AC b AH aː AM ʁ AJ k AC a AL ɪ̯ AB t AC
warten	v BC a AL ʁ AJ t AC ə AL n AG
warterei	v BC a AL ʁ AJ t AC ə AL ʁ AJ a AL ɪ̯ AB
