က	k a̰ AG
သိန်း	θ e AD ɪ AD ɴ
သိပ္ပံ	θ e AD ɪ AD ʔ p a AD ɴ
သိပ္ပံဘွဲ့	θ e AD ɪ AD ʔ p a AD ɴ b w AC ɛ̰ AG
သိပ်	θ e AD ɪ AD ʔ
သိမ်	θ e AD ɪ AD ɴ
သိရှိ	θ ḭ ʃ ḭ
သိဝ	θ ḭ w AC a̰ AG
သိုက်	θ a AD ɪ AD ʔ
သို့ပေမဲ့	ð o̰ AH b e AD m ɛ̰ AG
သို့မဟုတ်	ð o̰ AH m ə AD h AA o AE ʊ AE ʔ
သို့ရာတွင်	ð o̰ AH j AB a AD d w AC ɪ AD ɴ
သို့သော်	ð o̰ AH ð ɔ AE
သိုး	θ o AE
သိုးဆောင်း	θ o AE sʰ a AD ʊ AE ɴ
သိုးထိန်း	θ o AE d e AD ɪ AD ɴ
သိုးထီး	θ o AE d i AD
သိုးမ	θ o AE m a̰ AG
သိုးမွေး	θ o AE m w AC e AD
သိုးအုပ်	θ o AE ʔ o AE ʊ AE ʔ
သီချင်း	θ ə AD t ɕʰ ɪ AD ɴ
သီဂိရိယ	θ i AD ɡ ḭ ɹ AI ḭ j AB a̰ AG
သီတဂူ	θ i AD d ə AD ɡ u AE
သီတင်း	ð ə AD d ɪ AD ɴ
သီတင်းကျွတ်	ð ə AD d ɪ AD ɴ d ʑ ʊ AE ʔ
သီတင်းသီလ	ð ə AD d ɪ AD ɴ θ i AD l a̰ AG
သီတာ	θ i AD d a AD
သီတာဒေဝီ	θ i AD d a AD d e AD w AC i AD
သီရိ	θ i AD ɹ AI ḭ
သီရိလင်္ကာ	θ i AD ɹ AI ḭ l ɪ AD ɴ k a AD
သီလ	θ i AD l a̰ AG
သီလရှင်	θ i AD l a̰ AG ʃ ɪ AD ɴ
သီဟ	θ i AD h AA a̰ AG
သီဟိုဠ်	θ i AD h AA o AE
သီဟိုဠ်သရက်	θ i AD h AA o AE θ ə AD j AB ɛ AD ʔ
သီအိုရီ	θ i AD ʔ o AE ɹ AI i AD
သီး	θ i AD
သီးစုံချဉ်ရည်	θ i AD z o AE ʊ AE ɴ t ɕʰ ɪ AD ɴ j AB i AD
သီးပင်	θ i AD b ɪ AD ɴ
သီးသီး	θ i AD ð i AD
သု	θ ṵ
သုက်	θ o AE ʊ AE ʔ
သုက်ကောင်	θ o AE ʊ AE ʔ k a AD ʊ AE ɴ
သုက်ပိုး	θ o AE ʊ AE ʔ p o AE
သုက်ရည်	θ o AE ʊ AE ʔ j AB e AD
သုခ	θ ṵ kʰ a̰ AG
သုခေါဒယ	θ ṵ kʰ ɔ AE d ə AD j AB a̰ AG
သုဇာတဘုရား	θ ṵ z a AD t a̰ AG pʰ ə AD j AB a AD
သုည	θ o AE ʊ AE ɴ ɲ a̰ AG
သုတ	θ ṵ t a̰ AG
သုတေသန	θ ṵ t e AD θ ə AD n a̰ AG
သုတေသီ	θ ṵ t e AD θ i AD
သုတ်	θ o AE ʊ AE ʔ
သုဒ္ဒ	θ o AE ʊ AE ʔ d a̰ AG
သုဒ္ဒကိန်း	θ o AE ʊ AE ʔ d a̰ AG k e AD ɪ AD ɴ
သုဒ္ဒကြိယာ	θ o AE ʊ AE ʔ d a̰ AG k ə AD ɹ AI ḭ j AB a AD
သုဒ္ဓေါဒန	θ u AE d d ɔ AE d ə AD n a̰ AG
သုဓမ္မပူရ	θ ṵ d ə AD m a̰ AG p u AE ɹ AI a̰ AG
သုဓမ္မသိင်္ဂီ	θ ṵ d a AD ɴ m a̰ AG θ e AD ɪ AD ɴ ɡ i AD
သုဓာ	θ o AE ʊ AE ʔ d a AD
သုပ်	θ o AE ʊ AE ʔ
သုမန	θ ṵ m ə AD n a̰ AG
သုမနဘုရား	θ ṵ m ə AD n a̰ AG pʰ ə AD j AB a AD
သုမေဓာ	θ ṵ m e AD d a AD
သုမေဓာဘုရား	θ ṵ m e AD d a AD pʰ ə AD j AB a AD
သုဝဏ္ဏ	θ ṵ w AC ʊ AE ɴ n a̰ AG
သုသာန်	θ o AE ʊ AE ʔ θ a AD ɴ
သုံး	θ o AE ʊ AE ɴ
သုံးဆယ်	θ o AE ʊ AE ɴ sʰ ɛ AD
သုံးဆောင်	θ o AE ʊ AE ɴ sʰ a AD ʊ AE ɴ
သုံးလ	θ o AE ʊ AE ɴ l a̰ AG
သူ	θ u AE
သူကောင်	θ u AE ɡ a AD ʊ AE ɴ
သူကောင်တင်	θ u AE ɡ a AD ʊ AE ɴ d ɪ AD ɴ
သူကောင်း	θ u AE ɡ a AD ʊ AE ɴ
သူကောင်းပြု	θ u AE ɡ a AD ʊ AE ɴ p j AB ṵ
သူကောင်းမြှောက်	θ u AE ɡ a AD ʊ AE ɴ m̥ j AB a AD ʊ AE ʔ
သူကောင်းသား	θ u AE ɡ a AD ʊ AE ɴ ð a AD
သူကျက်	θ u AE d ʑ ɛ AD ʔ
သူကြီး	θ u AE d ʑ i AD
သူကြွယ်	θ u AE t ɕ w AC ɛ AD
သူခိုး	θ ə AD kʰ o AE
သူငယ်	θ ə AD ŋ ɛ AD
သူငယ်ချင်း	θ ə AD ŋ ɛ AD d ʑ ɪ AD ɴ
သူငယ်တန်း	θ u AE ŋ ɛ AD d a AD ɴ
သူငယ်မ	θ ə AD ŋ ɛ AD m a̰ AG
သူစိမ်း	ð ə AD z e AD ɪ AD ɴ
သူစိမ်းတစ်ရံဆံ	ð ə AD z e AD ɪ AD ɴ t ə AD j AB a AD ɴ z a AD ɴ
သူဆင်းရဲ	θ u AE sʰ ɪ AD ɴ j AB ɛ AD
သူဇာ	θ u AE z a AD
သူဌေး	θ ə AD tʰ e AD
သူတကာ	θ u AE d ə AD ɡ a AD
သူတစ်ခွန်းငါတစ်ခွန်း	θ u AE t ə AD kʰ ʊ AE ɴ ŋ a AD t ə AD kʰ ʊ AE ɴ
သူတစ်ထူး	θ u AE t ə AD tʰ u AE
သူတစ်ပါး	θ u AE d ə AD b a AD
သူတစ်ပြန်ငါတစ်ပြန်	θ u AE d ə AD b j AB a AD ɴ ŋ a AD d ə AD b j AB a AD ɴ
သူတစ်လူငါတစ်မင်း	θ u AE t ə AD l u AE ŋ a AD t ə AD m ɪ AD ɴ
သူတို့	θ u AE d o̰ AH
သူတောင်းစား	ð ə AD d a AD ʊ AE ɴ z a AD
သူတော်	θ u AE d ɔ AE
သူတော်ကောင်း	θ u AE d ɔ AE ɡ a AD ʊ AE ɴ
သူတော်စင်	θ u AE d ɔ AE z ɪ AD ɴ
သူတော်သူမြတ်	θ u AE d ɔ AE θ u AE m j AB a AD ʔ
သူနာ	θ u AE n a AD
သူနာတင်ကား	θ u AE n a AD t ɪ AD ɴ k a AD
သူနာတင်ယာဉ်	θ u AE n a AD t ɪ AD ɴ j AB ɪ AD ɴ
သူနာပြု	θ u AE n a AD b j AB ṵ
သူနိုင်ငါညှဉ်းလုပ်	θ u AE n a AD ɪ AD ɴ ŋ a AD ɲ̊ ɪ AD ɴ l o AE ʊ AE ʔ
သူပုန်	ð ə AD b o AE ʊ AE ɴ
သူပုန်ထ	ð ə AD b o AE ʊ AE ɴ tʰ a̰ AG
သူပုန်သူကန်	ð ə AD b ə AD ð u AE ɡ a AD ɴ
သူပြောငါပြော	θ u AE p j AB ɔ AE ŋ a AD p j AB ɔ AE
သူဖုန်းစား	θ u AE pʰ o AE ʊ AE ɴ s a AD
သူမ	θ u AE m a̰ AG
သူမသာကိုယ်မသာ	θ u AE m ə AD θ a AD k o AE j AB m ə AD θ a AD
သူမသာငါမသာ	θ u AE m ə AD θ a AD ŋ a AD m ə AD θ a AD
သူမိုက်	θ u AE m a AD ɪ AD ʔ
သူများ	θ u AE m j AB a AD
သူများနည်းတူ	θ u AE m j AB a AD n i AD t u AE
သူယုတ်မာ	θ u AE j AB o AE ʊ AE ʔ m a AD
သူယောင်	θ u AE j AB a AD ʊ AE ɴ
သူယောင်မယ်	θ u AE j AB a AD ʊ AE ɴ m ɛ AD
သူရ	θ u AE j AB a̰ AG
သူရကန်	θ u AE ɹ AI ə AD k a AD ɴ
သူရင်းငှား	θ ə AD j AB ɪ AD ɴ ŋ̊ a AD
သူရင်းတိုင်	θ ə AD j AB ɪ AD ɴ d a AD ɪ AD ɴ
သူရသတ္တိ	θ u AE j AB a̰ AG θ a AD ʔ t ḭ
သူရိန်	θ u AE j AB e AD ɪ AD ɴ
သူရိယမာသ	θ u AE ɹ AI ḭ j AB a̰ AG m a AD θ a̰ AG
သူရဲ	θ ə AD j AB ɛ AD
သူရဲကောင်း	θ u AE j AB ɛ AD ɡ a AD ʊ AE ɴ
သူရဲကြီး	θ u AE j AB ɛ AD d ʑ i AD
သူရဲကြီးအလံ	θ u AE j AB ɛ AD d ʑ i AD ʔ ə AD l a AD ɴ
သူရဲခို	θ ə AD j AB ɛ AD kʰ o AE
သူရဲပြေး	θ ə AD j AB ɛ AD p j AB e AD
သူရဲဘောကြောင်	θ ə AD j AB ɛ AD b ɔ AE d ʑ a AD ʊ AE ɴ
သူရဲဘောနည်း	θ ə AD j AB ɛ AD b ɔ AE n i AD
သူရဿတီ	θ u AE ɹ AI a̰ AG θ ə AD t i AD
သူလိုငါလို	θ u AE l o AE ŋ a AD l o AE
သူလျှို	ð ə AD ʃ o AE
သူသူငါငါ	θ u AE θ u AE ŋ a AD ŋ a AD
သူသေ	θ u AE θ e AD
သူဟောင်းစကား	θ u AE h AA a AD ʊ AE ɴ z ə AD ɡ a AD
သူအို	θ u AE ʔ o AE
သူ့	θ ṵ
သေ	θ e AD
သေခြင်း	θ e AD d ʑ ɪ AD ɴ
သေတ္တာ	θ ɪ AD ʔ t a AD
သေနတ်	θ ə AD n a AD ʔ
သော	θ ɔ AE
သောက္ကတဲ	θ a AD ʊ AE ʔ k ə AD t ɛ AD
သောက်	θ a AD ʊ AE ʔ
သောကြာ	θ a AD ʊ AE ʔ t ɕ a AD
သောကြာဂြိုဟ်	θ a AD ʊ AE ʔ t ɕ a AD d ʑ o AE
သောင်း	θ a AD ʊ AE ɴ
သောင်းသောင်း	θ a AD ʊ AE ɴ ð a AD ʊ AE ɴ
သောဘိတ	θ ɔ AE b ḭ t a̰ AG
သောဘိတဘုရား	θ ɔ AE b ḭ t a̰ AG pʰ ə AD j AB a AD
သောမနဿ	θ ɔ AE m ə AD n a AD ʔ θ a̰ AG
သောသော	θ ɔ AE ð ɔ AE
သော့	θ ɔ̰ AH
သော့တံ	θ ɔ̰ AH d a AD ɴ
သော်	ð ɔ AE
သော်တာ	θ ɔ AE d a AD
သေး	θ e AD
သဲ	θ ɛ AD
သဲကန္တာရ	θ e AD ɡ a AD ɴ d a AD j AB a̰ AG
သဲကျောက်	θ ɛ AD d ʑ a AD ʊ AE ʔ
သဲ့သဲ့	θ ɛ̰ AG ð ɛ̰ AG
သံ	θ a AD ɴ
သံကြိုး	θ a AD ɴ d ʑ o AE
သံကြိုးစာ	θ a AD ɴ d ʑ o AE z a AD
သံကြွပ်	θ a AD ɴ d ʑ ʊ AE ʔ
သံချပ်	θ ə AD d ʑ a AD ʔ
သံချေး	θ a AD ɴ d ʑ i AD
သံခွာ	θ a AD ɴ kʰ w AC a AD
သံဃာ	θ a AD ɴ ɡ a AD
သံစုံတီးဝိုင်း	θ a AD ɴ z o AE ʊ AE ɴ t i AD w AC a AD ɪ AD ɴ
သံတမန်	θ a AD ɴ t ə AD m a AD ɴ
သံတော်ဆင့်	θ a AD ɴ d ɔ AE z ɪ̰ AG ɴ
သံတွဲ	θ a AD ɴ d w AC ɛ AD
သံပန်း	θ a AD ɴ b a AD ɴ
သံပရာ	θ a AD ɴ b ə AD j AB a AD
သံပရို	θ a AD ɴ b a̰ AG j AB o AE
သံပေါက်	θ a AD ɴ b a AD ʊ AE ʔ
သံပြိုင်	θ a AD ɴ b j AB a AD ɪ AD ɴ
သံဖြူ	θ a AD ɴ b j AB u AE
သံမဏိ	θ a AD ɴ m ə AD n ḭ
သံရုံး	θ a AD ɴ j AB o AE ʊ AE ɴ
သံလမ်း	θ a AD ɴ l a AD ɴ
သံလမ်းရထား	θ a AD ɴ l a AD ɴ j AB ə AD tʰ a AD
သံလိုက်	θ a AD ɴ l a AD ɪ AD ʔ
သံလိုက်စက်ကွင်း	θ a AD ɴ l a AD ɪ AD ʔ s ɛ AD ʔ k w AC ɪ AD ɴ
သံလွင်	θ a AD ɴ l w AC ɪ AD ɴ
သံဝါသ	θ a AD ɴ w AC a AD θ a̰ AG
သံသယ	θ a AD ɴ θ ə AD j AB a̰ AG
သံအမတ်	θ a AD ɴ ʔ ə AD m a AD ʔ
သံ့သံ့	θ a̰ AG ɴ ð a̰ AG ɴ
သျှင်	ʃ ɪ AD ɴ
သျှမ်း	ʃ a AD ɴ
သျှောင်	j AB a AD ʊ AE ɴ
သွင်သွင်	θ w AC ɪ AD ɴ ð w AC ɪ AD ɴ
သွင်း	θ w AC ɪ AD ɴ
သွတ်သွတ်	θ ʊ AE ʔ θ ʊ AE ʔ
သွန်းသွန်း	θ ʊ AE ɴ ð ʊ AE ɴ
သွပ်	θ ʊ AE ʔ
သွား	θ w AC a AD
သွားကြားထိုးတံ	θ w AC a AD d ʑ a AD tʰ o AE d a AD ɴ
သွားတိုက်ဆေး	θ w AC a AD d a AD ɪ AD ʔ sʰ e AD
သွားပွတ်တံ	ð ə AD b ʊ AE ʔ t a AD ɴ
သွားဖုံး	θ ə AD pʰ o AE ʊ AE ɴ
သွားရည်	θ ə AD j AB i AD
သွေ	θ w AC e AD
သွေး	θ w AC e AD
သွေးကြော	θ w AC e AD d ʑ ɔ AE
သွေးတိုးရောဂါ	θ w AC e AD t o AE j AB ɔ AE ɡ a AD
သွေးပေါ်	θ w AC e AD p ɔ AE
သွေးအုပ်စု	θ w AC e AD ʔ o AE ʊ AE ʔ s ṵ
ဟ	h AA a̰ AG
ဟင့်အင်း	h AA ɪ̰ AG ɴ ʔ ɪ AD ɴ
ဟင်း	h AA ɪ AD ɴ
ဟင်းခါး	h AA ɪ AD ɴ ɡ a AD
ဟင်းရည်	h AA ɪ AD ɴ j AB e AD
ဟင်းသီးဟင်းရွက်	h AA ɪ AD ɴ ð i AD h AA ɪ AD ɴ j AB w AC ɛ AD ʔ
ဟင်္သာ	h AA ɪ AD ɴ θ a AD
ဟင်္သာတ	h AA ɪ AD ɴ θ ə AD t a̰ AG
ဟထိုး	h AA a̰ AG tʰ o AE
ဟနူမာန်	h AA ə AD n u AE m a AD n
ဟန်ဂေရီ	h AA a AD ɴ ɡ e AD ɹ AI i AD
ဟန်နီ	h AA a AD ɴ n i AD
ဟမ်ဘာဂါ	h AA a AD ɴ b a AD ɡ a AD
ဟယ်လီကော့ပတာ	h AA ɛ AD l i AD k ɔ̰ AH p ə AD t a AD
ဟရိဘုဉ္ဇ	h AA ə AD ɹ AI ḭ b o AE ʊ AE ɴ z a̰ AG
ဟလဝါ	h AA a̰ AG l ə AD w AC a AD
ဟာနွိုင်း	h AA a AD n w AC a AD ɪ AD ɴ
ဟာသ	h AA a AD θ a̰ AG
ဟားခါး	h AA a AD kʰ a AD
ဟိတ်	h AA e AD ɪ AD ʔ
ဟိန္ဒီ	h AA e AD ɪ AD ɴ d i AD
ဟိန္ဒူ	h AA e AD ɪ AD ɴ d u AE
ဟိမဝန္တာ	h AA ḭ m a̰ AG w AC ʊ AE ɴ t a AD
ဟိမာလယ	h AA ḭ m a AD l ə AD j AB a̰ AG
ဟို	h AA o AE
ဟိုက်ဒရိုဂျင်	h AA a AD ɪ AD ʔ d ə AD ɹ AI o AE d ʑ ɪ AD ɴ
ဟိုင်းအီနာ	h AA a AD ɪ AD ɴ ʔ i AD n a AD
ဟိုတယ်	h AA o AE t ɛ AD
ဟိုမှာ	h AA o AE m̥ a AD
ဟိုဟာ	h AA o AE h AA a AD
ဟီ	h AA i AD
ဟီနယာန	h AA i AD n a̰ AG j AB a AD n a̰ AG
ဟီလီယမ်	h AA i AD l i AD j AB a AD ɴ
ဟုတ်	h AA o AE ʊ AE ʔ
ဟုတ်ကဲ့	h AA o AE ʊ AE ʔ k ɛ̰ AG
ဟုတ်တာပေါ့	h AA o AE ʊ AE ʔ t a AD p ɔ̰ AH
ဟူ	h AA u AE
ဟူးရား	h AA u AE j AB a AD
ဟူးဟူး	h AA u AE h AA u AE
ဟေတီ	h AA e AD t i AD
ဟေမန္တ	h AA e AD m a AD ɴ t a̰ AG
ဟေမန်	h AA e AD m a AD ɴ
ဟေမာ	h AA e AD m a AD
ဟော	h AA ɔ AE
ဟောက်	h AA a AD ʊ AE ʔ
ဟောင်ကောင်	h AA a AD ʊ AE ɴ k a AD ʊ AE ɴ
ဟောင်း	h AA a AD ʊ AE ɴ
ဟော်	h AA ɔ AE
ဟော်ကီ	h AA ɔ AE k i AD
ဟော်တယ်	h AA ɔ AE t ɛ AD
ဟော်လန်	h AA ɔ AE l a AD ɴ
ဟဲလို	h AA ɛ AD l o AE
ဟွန်ဒူးရပ်စ်	h AA ʊ AE ɴ d u AE ɹ AI a AD ʔ s
ဠ	l a̰ AG
ဠကြီး	l a̰ AG t ɕ i AD
အ	ʔ a̰ AG
အက	ʔ ə AD k a̰ AG
အကယ်၍	ʔ ə AD k ɛ AD j AB w AC ḛ
အကာ	ʔ ə AD k a AD
အကိတ်	ʔ ə AD k e AD ɪ AD ʔ
အကို	ʔ ə AD k o AE
အကိုင်း	ʔ ə AD k a AD ɪ AD ɴ
အကုန်	ʔ ə AD k o AE ʊ AE ɴ
အကူ	ʔ ə AD k u AE
အကောက်	ʔ ə AD k a AD ʊ AE ʔ
အကောက်ဆိပ်	ʔ ə AD k a AD ʊ AE ʔ sʰ e AD ɪ AD ʔ
အကောင့်	ʔ ə AD k a̰ AG ʊ AE ɴ
အကော်ဒီယံ	ʔ ə AD k ɔ AE d i AD j AB a AD ɴ
အက္ခရာ	ʔ ɛ AD ʔ kʰ ə AD j AB a AD
အက်	ʔ ɛ AD ʔ
အက်စစ်	ʔ ɛ AD ʔ s ɪ AD ʔ
အက်စတိုးနီးယား	ʔ ɛ AD ʔ s ə AD t o AE n i AD j AB a AD
အက်တမ်	ʔ ɛ AD ʔ t a AD ɴ
အကျဉ်း	ʔ ə AD t ɕ ɪ AD ɴ
အကျဉ်းထောင်	ʔ ə AD t ɕ ɪ AD ɴ d a AD ʊ AE ɴ
အကျည်း	ʔ ə AD t ɕ i AD
အကျည်းတန်	ʔ ə AD t ɕ i AD t a AD ɴ
အကျယ်	ʔ ə AD t ɕ ɛ AD
အကျိတ်	ʔ ə AD t ɕ e AD ɪ AD ʔ
အကျိုး	ʔ ə AD t ɕ o AE
အကျော်	ʔ ə AD t ɕ ɔ AE
အကျော်ဇေယျ	ʔ ə AD t ɕ ɔ AE z e AD j AB a̰ AG
အကြမ်းဖက်ဝါဒ	ʔ ə AD t ɕ a AD ɴ pʰ ɛ AD ʔ w AC a AD d a̰ AG
အကြမ်းဖက်သမား	ʔ ə AD t ɕ a AD ɴ pʰ ɛ AD ʔ θ ə AD m a AD
အကြောင်း	ʔ ə AD t ɕ a AD ʊ AE ɴ
အကြော်	ʔ a̰ AG t ɕ ɔ AE
အကြေး	ʔ ə AD t ɕ e AD
အကြံ	ʔ ə AD t ɕ a AD ɴ
အကြံပေးချက်	ʔ ə AD t ɕ a AD ɴ p e AD d ʑ ɛ AD ʔ
အကြွေး	ʔ ə AD t ɕ w AC e AD
အကြွေးဝယ်ကတ်ပြား	ʔ ə AD t ɕ w AC e AD w AC ɛ AD k a AD ʔ p j AB a AD
အကွ	ʔ ə AD k w AC a̰ AG
အကွာအဝေး	ʔ ə AD k w AC a AD ʔ ə AD w AC e AD
အခန်း	ʔ ə AD kʰ a AD ɴ
အခမဲ့	ʔ ə AD kʰ a̰ AG m ɛ̰ AG
အခါတစ်ပါး	ʔ ə AD kʰ a AD d ə AD b a AD
အခိုး	ʔ ə AD kʰ o AE
အခု	ʔ ə AD kʰ ṵ
အခေါက်	ʔ ə AD kʰ a AD ʊ AE ʔ
အချက်	ʔ ə AD t ɕʰ ɛ AD ʔ
အချင်း	ʔ ə AD t ɕʰ ɪ AD ɴ
အချင်းဝက်	ʔ ə AD t ɕʰ ɪ AD ɴ w AC ɛ AD ʔ
အချစ်	ʔ ə AD t ɕʰ ɪ AD ʔ
အချပ်	ʔ ə AD t ɕʰ a AD ʔ
အချိတ်	ʔ ə AD t ɕʰ e AD ɪ AD ʔ
အချိန်	ʔ ə AD t ɕʰ e AD ɪ AD ɴ
အချိန်စာရင်း	ʔ ə AD t ɕʰ e AD ɪ AD ɴ s ə AD j AB ɪ AD ɴ
အချို	ʔ ə AD t ɕʰ o AE
အချိုပွဲ	ʔ ə AD t ɕʰ o AE b w AC ɛ AD
အချိုမှုန့်	ʔ ə AD t ɕʰ o AE m̥ o̰ AH ʊ AE ɴ
အချို့	ʔ ə AD t ɕʰ o̰ AH
အချိုး	ʔ ə AD t ɕʰ o AE
အချုပ်ခန်း	ʔ ə AD t ɕʰ o AE ʊ AE ʔ kʰ a AD ɴ
အချုပ်အခြာအာဏာ	ʔ ə AD t ɕʰ o AE ʊ AE ʔ ʔ ə AD t ɕʰ a AD ʔ a AD n a AD
အချွဲ	ʔ ə AD t ɕʰ w AC ɛ AD
အခြား	ʔ ə AD t ɕʰ a AD
အခြေ	ʔ ə AD t ɕʰ e AD
အခြောက်	ʔ ə AD t ɕʰ a AD ʊ AE ʔ
အခွင့်	ʔ ə AD kʰ w AC ɪ̰ AG ɴ
အခွင့်ထူးခံ	ʔ ə AD kʰ w AC ɪ̰ AG ɴ tʰ u AE ɡ a AD ɴ
အခွင့်အရေး	ʔ ə AD kʰ w AC ɪ̰ AG ɴ ʔ ə AD j AB e AD
အခွန်	ʔ ə AD kʰ ʊ AE ɴ
အခွံ	ʔ ə AD kʰ ʊ AE ɴ
အခွံမာသီး	ʔ ə AD kʰ ʊ AE ɴ m a AD ð i AD
အဂတိ	ʔ a̰ AG ɡ ə AD d ḭ
အဂ္ဂမဟာပဏ္ဍိတ	ʔ ɛ AD ʔ ɡ a̰ AG m ə AD h AA a AD p a AD ɴ d ḭ t a̰ AG
အဂ္ဂမဟာသေနာပတိ	ʔ ɛ AD ʔ ɡ a̰ AG m ə AD h AA a AD θ e AD n a AD p ə AD t ḭ
အဂ္ဂမဟေသီ	ʔ ɛ AD ʔ ɡ a̰ AG m ə AD h AA e AD θ i AD
အငတ်	ʔ ə AD ŋ a AD ʔ
အင်ဂိုလာ	ʔ ɪ AD ɴ ɡ o AE l a AD
အင်ဂျင်	ʔ ɪ AD ɴ d ʑ ɪ AD ɴ
အင်ဂျင်နီယာ	ʔ ɪ AD ɴ d ʑ ɪ AD ɴ n i AD j AB a AD
အင်တာနက်	ʔ ɪ AD ɴ t a AD n ɛ AD ʔ
အင်တာဗျူး	ʔ ɪ AD ɴ t ə AD b j AB u AE
အင်ဒိုချိုင်းနား	ʔ ɪ AD ɴ d o AE t ɕʰ a AD ɪ AD ɴ n a AD
အင်ဒိုနီးရှား	ʔ ɪ AD ɴ d o AE n i AD ʃ a AD
အင်ဒိုရာ	ʔ ɪ AD ɴ d o AE ɹ AI a AD
အင်ပါယာ	ʔ ɪ AD ɴ p a AD j AB a AD
အင်း	ʔ ɪ AD ɴ
အင်းကျီ	ʔ ɪ AD ɴ d ʑ i AD
အင်းစိန်	ʔ ɪ AD ɴ s e AD ɪ AD ɴ
အင်းဆက်	ʔ ɪ AD ɴ sʰ ɛ AD ʔ
အင်းဝ	ʔ ɪ AD ɴ w AC a̰ AG
အင်းသား	ʔ ɪ AD ɴ ð a AD
အင်္ကျီ	ʔ ɪ AD ɴ d ʑ i AD
အင်္ဂတေ	ʔ ɪ AD ɴ ɡ ə AD d e AD
အင်္ဂလန်	ʔ ɪ AD ɴ ɡ ə AD l a AD ɴ
အင်္ဂလိပ်	ʔ ɪ AD ɴ ɡ ə AD l e AD ɪ AD ʔ
အင်္ဂါ	ʔ ɪ AD ɴ ɡ a AD
အင်္ဂါဇာတ်	ʔ ɪ AD ɴ ɡ a AD z a AD ʔ
အငြိမ့်	ʔ ə AD ɲ ḛ ɪ AD ɴ
အငြိမ့်တီးမျိုး	ʔ a̰ AG ɲ ḛ ɪ AD ɴ t i AD m j AB o AE
အငွေ့	ʔ a̰ AG ŋ w AC ḛ
အစ	ʔ ə AD s a̰ AG
အစက်	ʔ ə AD s ɛ AD ʔ
အစဉ်	ʔ ə AD s ɪ AD ɴ
အစည်းအရုံး	ʔ ə AD s i AD ʔ ə AD j AB o AE ʊ AE ɴ
အစည်းအဝေး	ʔ ə AD s i AD ʔ ə AD w AC e AD
အစမ်း	ʔ ə AD s a AD ɴ
အစား	ʔ ə AD s a AD
အစားအစာ	ʔ ə AD s a AD ʔ ə AD s a AD
အစိမ်း	ʔ ə AD s e AD ɪ AD ɴ
အစိုးရ	ʔ ə AD s o AE j AB a̰ AG
အစီရင်	ʔ ə AD s i AD j AB ɪ AD ɴ
အစီရင်ခံ	ʔ ə AD s i AD j AB ɪ AD ɴ kʰ a AD ɴ
အစီရင်ခံစာ	ʔ ə AD s i AD j AB ɪ AD ɴ kʰ a AD ɴ z a AD
အစီအစဉ်	ʔ ə AD s i AD ʔ ə AD s ɪ AD ɴ
အစီအလျဉ်	ʔ ə AD s i AD ʔ ə AD l j AB ɪ AD ɴ
အစု	ʔ ə AD s ṵ
အစုရှင်	ʔ ə AD s ṵ ʃ ɪ AD ɴ
အစုံအစုံ	ʔ ə AD s o AE ʊ AE ɴ ʔ ə AD s o AE ʊ AE ɴ
အစေအပါး	ʔ ə AD s e AD ʔ ə AD p a AD
အစောင့်	ʔ ə AD s a̰ AG ʊ AE ɴ
အစေ့	ʔ ə AD s ḭ
အစ္စရေး	ʔ ɪ AD ʔ z ə AD ɹ AI e AD
အစ္စလမ်	ʔ ɪ AD ʔ s ə AD l a AD ɴ
အစ်	ʔ ɪ AD ʔ
အစ်ကို	ʔ ə AD k o AE
အစ်မ	ʔ ə AD m a̰ AG
အစွန်း	ʔ ə AD s ʊ AE ɴ
အဆင့်	ʔ ə AD sʰ ɪ̰ AG ɴ
အဆန်	ʔ ə AD sʰ a AD ɴ
အဆိပ်	ʔ ə AD sʰ e AD ɪ AD ʔ
အဆိုတော်	ʔ ə AD sʰ o AE d ɔ AE
အဆီ	ʔ ə AD sʰ i AD
အဆုတ်	ʔ ə AD sʰ o AE ʊ AE ʔ
အဆုတ်ရောင်ရောဂါ	ʔ a̰ AG sʰ o AE ʊ AE ʔ j AB a AD ʊ AE ɴ j AB ɔ AE ɡ a AD
အဆုံး	ʔ ə AD sʰ o AE ʊ AE ɴ
အဆောက်အအုံ	ʔ ə AD sʰ a AD ʊ AE ʔ ʔ ə AD ʔ u AE
အဆောက်အဦ	ʔ ə AD sʰ a AD ʊ AE ʔ ʔ ə AD ʔ u AE
အဆောင်	ʔ ə AD sʰ a AD ʊ AE ɴ
အဆွေး	ʔ ə AD sʰ w AC e AD
အဇာဘိုင်ဂျန်	ʔ a̰ AG z ə AD b a AD ɪ AD ɴ d ʑ a AD ɴ
အဉ္ဇလီ	ʔ ɪ AD ɴ z ə AD l i AD
အညစ်အကြေး	ʔ ə AD ɲ ɪ AD ʔ ʔ ə AD t ɕ e AD
အညစ်အထည်း	ʔ ə AD ɲ ɪ AD ʔ ʔ ə AD tʰ i AD
အညာသား	ʔ ə AD ɲ a AD ð a AD
အညို	ʔ ə AD ɲ o AE
အညီ	ʔ ə AD ɲ i AD
အဋ္ဌမ	ʔ a AD ʔ tʰ ə AD m a̰ AG
အဏုဇီဝဗေဒ	ʔ ə AD n ṵ z i AD w AC a̰ AG b e AD d a̰ AG
အဏ္ဏဝါ	ʔ a AD ɴ n ə AD w AC a AD
