't	t AC
kumuyakoy	k AC u AM m AE u AM j AB a AK k AC o AM i AK
kunan	k AC u AM n AF a AK n AF
kunin	k AC u AM n AF i AK n AF
kupal	k AC uː AN p AG a AK l AD
kupas	k AC u AM p AG a AK s AH
kurag	k AC u AM ɾ BD a AK ɡ AC
kurarap	k AC u AM ɾ BD a AK ɾ BD a AK p AG
kurba	k AC u AM ɾ BD b AG a AK
kurbata	k AC u AM ɾ BD b AG a AK t AC a AK
kurot	k AC u AM ɾ BD o AM t AC
kurse	k AC u AM ɾ BD s AH e AK
kursonada	k AC u AM ɾ BD s AH o AM n AF a AK d AC a AK
kurtina	k AC u AM ɾ BD t AC i AK n AF a AK
kuryusidad	k AC u AM r BA j AB u AM s AH i AK d AC a AK d AC
kusi	k AC u AM s AH i AK
kusina	k AC u AM s AH i AK n AF a AK
kuskos	k AC u AM s AH k AC o AM s AH
kustodiya	k AC u AM s AH t AC o AM d AC i AK a AK
kuting	k AC u AM t AC i AK ŋ AF
kutis	k AC u AM t AC i AK s AH
kuto	k AC u AM t AC o AM ʔ AJ
kutsara	k AC u AM t AC ʃ AH a AK ɾ BD a AK
kutsarita	k AC u AM t AC ʃ AH a AK r BA i AK t AC a AK
kutson	k AC u AM t AC ʃ AH o AM n AF
kutya	k AC u AM t AC j AB a AK ʔ AJ
kuwan	k AC u AM a AK n AF
kwok	k AC w AI ɔ AM k AC
kyut	k AC j AB u AM t AC
laba	l AD a AK b AG a AK
labada	l AD a AK b AG a AK d AC a AK
labag	l AD a AK b AG a AK ɡ AC
labas	l AD a AK b AG a AK s AH
labaskaphay	l AD a AK b AG a AK s AH k AC a AK p AG h AA a AK j AB
labastida	l AD a AK b AG a AK s AH t AC i AK d AC a AK
labawsugnayan	l AD a AK b AG a AK u AM s AH u AM ɡ AC n AF a AK j AB a AK n AF
labhan	l AD a AK b AG h AA a AK n AF
labi	l AD a AK b AG i AK ʔ AJ
labimpito	l AD a AK b AG i AK m AE p AG i AK t AC o AM
labindalawa	l AD a AK b AG i AK n AF d AC a AK l AD a AK w AI a AK
labingwalo	l AD a AK b AG i AK ŋ AF w AI a AK l AD o AM
labinlima	l AD a AK b AG i AK n AF l AD i AK m AE a AK
labinsiyam	l AD a AK b AG i AK n AF s AH i AK j AB a AK m AE
labintatlo	l AD a AK b AG i AK n AF t AC a AK t AC l AD o AM
labnot	l AD a AK b AG n AF o AM t AC
labong	l AD a AK b AG o AM ŋ AF
lacambra	l AD a AK k AC a AK m AE b AG ɾ BD a AK
lacap	l AD a AK k AC a AK p AG
laganap	l AD a AK ɡ AC a AK n AF a AK p AG
lagay	l AD a AK ɡ AC a AK i AK
lagaylay	l AD a AK ɡ AC a AK j AB l AD a AK j AB
lagda	l AD a AK ɡ AC d AC a AK ʔ AJ
lagdameo	l AD a AK ɡ AC d AC a AK m AE ɛ AK o AM
lagkit	l AD a AK ɡ AC k AC i AK t AC
lagmak	l AD a AK ɡ AC m AE a AK k AC
lagmay	l AD a AK ɡ AC m AE a AK i AK
lagnat	l AD a AK ɡ AC n AF a AK t AC
lagumlalangin	l AD a AK ɡ AC u AM m AE l AD a AK l AD a AK ŋ AF i AK n AF
lagundi	l AD a AK ɡ AC u AM n AF d AC i AK
lahat	l AD a AK h AA a AK t AC
laitin	l AD a AK i AK t AC i AK n AF
lakan	l AD a AK k AC a AK n AF
lakdawkaphay	l AD a AK k AC d AC a AK w AI k AC a AK p AG h AA a AK j AB
lakdawyugto	l AD a AK k AC d AC a AK w AI j AB u AM ɡ AC t AC o AM ʔ AJ
laktaw	l AD a AK k AC t AC a AK w AI
lalagyan	l AD a AK l AD a AK ɡ AC j AB a AK n AF
lalamunan	l AD a AK l AD a AK m AE u AM n AF a AK n AF
lalanghutan	l AD a AK l AD a AK ŋ AF h AA u AM t AC a AK n AF
lamad	l AD a AK m AE a AK d AC
lamang	l AD a AK m AE a AK ŋ AF
lamig	l AD a AK m AE ʔ AJ i AK ɡ AC
lampara	l AD a AK m AE p AG a AK ɾ BD a AK
lampin	l AD a AK m AE p AG i AK n AF
lana	l AD a AK n AF a AK
landa	l AD a AK n AF d AC a AK
landrito	l AD a AK n AF d AC ɾ BD i AK t AC o AM
lang	l AD a AK ŋ AF
langkaan	l AD a AK ŋ AF k AC a AK ʔ AJ a AK n AF
lansangan	l AD a AK n AF s AH a AK ŋ AF a AK n AF
lanting	l AD a AK n AF t AC i AK ŋ AF
lantsa	l AD a AK n AF t AC ʃ AH a AK
lanunab	l AD a AK n AF u AM n AF a AK b AG
lanuza	l AD a AK n AF u AM s AH a AK
lao	l AD a AK ʊ AM
lapis	l AD a AK p AG i AK s AH
lapnos	l AD a AK p AG n AF o AM s AH
lapuz	l AD a AK p AG u AM s AH
laquindanum	l AD a AK k AC i AK n AF d AC a AK n AF u AM m AE
larawan	l AD a AK ɾ BD a AK w AI a AK n AF
lascano	l AD a AK s AH k AC a AK n AF o AM
lasing	l AD a AK s AH i AK ŋ AF
laspag	l AD a AK s AH p AG a AK ɡ AC
lastiko	l AD a AK s AH t AC i AK k AC o AM
laswa	l AD a AK s AH w AI a AK ʔ AJ
latayan	l AD a AK t AC a AK j AB a AK n AF
lawa	l AD a AK w AI a AK ʔ AJ
lawaan	l AD a AK w AI a AK ʔ AJ a AK n AF
laway	l AD a AK w AI a AK i AK
lawlaw	l AD a AK u AM l AD a AK u AM
laxamana	l AD a AK k AC s AH a AK m AE a AK n AF a AK
layag	l AD a AK j AB a AK ɡ AC
layas	l AD a AK j AB a AK s AH
layaw	l AD ɐ AM j AB a AK w AI
laygo	l AD a AK i AK ɡ AC o AM
laylayan	l AD a AK i AK l AD a AK j AB a AK n AF
laylo	l AD a AK i AK l AD o AM
layno	l AD a AK i AK n AF o AM
lazarte	l AD a AK s AH a AK ɾ BD t AC ɛ AK
lazatin	l AD a AK s AH a AK t AC i AK n AF
lebadura	l AD e AK b AG a AK d AC u AM r BA ɐ AM
lehitimo	l AD ɛ AK h AA i AK t AC i AK m AE o AM
lengguwahe	l AD ɛ AK ŋ AF ɡ AC w AI a AK h AA ɛ AK
leong	l AD j AB o AM ŋ AF
leung	l AD j AB u AM ŋ AF
lew	l AD ʊ AM
leynes	l AD ɛ AK i AK n AF ɛ AK s AH
libak	l AD i AK b AG a AK k AC
libradilla	l AD i AK b AG ɾ BD a AK d AC i AK l AD l AD a AK
libre	l AD i AK b AG ɾ BD ɛ AK
libro	l AD i AK b AG r BA o AM
libuntaon	l AD i AK b AG u AM n AF t AC a AK ʔ AJ ɔ AM n AF
lichauco	l AD i AK t AC ʃ AH a AK u AM k AC o AM
licup	l AD i AK k AC u AM p AG
ligpit	l AD i AK ɡ AC p AG i AK t AC
liha	l AD i AK h AA a AK
liham	l AD i AK h AA a AK m AE
lihim	l AD i AK h AA i AK m AE
lihukan	l AD i AK h AA u AM k AC a AK n AF
likas	l AD i AK k AC a AK s AH
likha	l AD i AK k AC h AA a AK ʔ AJ
liknayan	l AD i AK k AC n AF a AK j AB a AK n AF
liko	l AD i AK k AC o AM ʔ AJ
lila	l AD ɪː AL l AD ɐ AM
lilom	l AD i AK l AD o AM m AE
lim	l AD i AK m AE
lima	l AD i AK m AE a AK
limahi	l AD i AK m AE a AK h AA i AK ʔ AJ
limahid	l AD i AK m AE a AK h AA i AK d AC
limampu	l AD i AK m AE a AK m AE p AG u AM ʔ AJ
limandaan	l AD i AK m AE a AK n AF d AC a AK a AK n AF
limanlaksa	l AD i AK m AE a AK n AF l AD a AK k AC s AH a AK ʔ AJ
limay	l AD i AK m AE a AK j AB
limbaga	l AD i AK m AE b AG a AK ɡ AC a AK
limit	l AD i AK m AE i AK t AC
limjoco	l AD i AK m AE d AC ʒ AH o AM k AC o AM
limos	l AD i AK m AE o AM s AH
linatoc	l AD i AK n AF a AK t AC o AM k AC
lindol	l AD i AK n AF d AC ɔ AM l AD
lingad	l AD i AK ŋ AF a AK d AC
linggo	l AD i AK ŋ AF ɡ AC ɔ AM
lingon	l AD i AK ŋ AF o AM n AF
linisan	l AD i AK n AF i AK s AH a AK n AF
linisin	l AD i AK n AF i AK s AH i AK n AF
linta	l AD i AK n AF t AC a AK ʔ AJ
liong	l AD j AB o AM ŋ AF
lipon	l AD i AK p AG o AM n AF
lipunan	l AD i AK p AG u AM n AF a AK n AF
liquigan	l AD i AK k AC i AK ɡ AC a AK n AF
lising	l AD i AK s AH i AK ŋ AF
lislis	l AD i AK s AH l AD i AK s AH
liso	l AD i AK s AH o AM
literasiya	l AD i AK t AC ɛ AK ɾ BD a AK s AH i AK a AK
litrato	l AD i AK t AC ɾ BD a AK t AC o AM
liwag	l AD i AK w AI a AK ɡ AC
lizada	l AD i AK s AH a AK d AC a AK
llanera	l AD l AD a AK n AF ɛ AK ɾ BD a AK
llanto	l AD l AD a AK n AF t AC o AM
lo	l AD o AM
lodi	l AD o AM d AC i AK
logarta	l AD o AM ɡ AC a AK ɾ BD t AC a AK
lojo	l AD o AM d AC ʒ AH o AM
loka	l AD o AM k AC a AK
loko	l AD o AM k AC o AM
lola	l AD o AM l AD a AK
lomibao	l AD o AM m AE i AK b AG a AK u AM
lomocso	l AD o AM m AE o AM k AC s AH o AM
lona	l AD o AM n AF a AK
longganisa	l AD o AM ŋ AF ɡ AC a AK n AF i AK s AH a AK
longhitud	l AD o AM ŋ AF h AA i AK t AC u AM d AC
loo	l AD u AM
loob	l AD ɔ AM ʔ AJ ɔ AM b AG
loobkaphay	l AD o AM ʔ AJ o AM b AG k AC a AK p AG h AA a AK j AB
look	l AD o AM ʔ AJ o AM k AC
lorenzana	l AD o AM ɾ BD ɛ AK n AF s AH a AK n AF a AK
loterya	l AD o AM t AC ɛ AK ɾ BD j AB a AK
lozada	l AD o AM s AH a AK d AC a AK
lu	l AD u AM
lubak	l AD u AM b AG a AK k AC
lubha	l AD u AM b AG h AA a AK ʔ AJ
lubiano	l AD u AM b AG j AB a AK n AF o AM
lugami	l AD u AM ɡ AC a AK m AE i AK ʔ AJ
luho	l AD u AM h AA o AM ʔ AJ
lukban	l AD u AM k AC b AG a AK n AF
lula	l AD u AM l AD a AK ʔ AJ
luma	l AD u AM m AE a AK ʔ AJ
lumabas	l AD u AM m AE a AK b AG a AK s AH
lumabo	l AD u AM m AE a AK b AG o AM ʔ AJ
lumad	l AD u AM m AE a AK d AC
lumagui	l AD u AM m AE a AK ɡ AC i AK
lumakdang	l AD u AM m AE a AK k AC d AC a AK ŋ AF
lumamig	l AD u AM m AE a AK m AE i AK ɡ AC
lumanglas	l AD u AM m AE a AK ŋ AF l AD a AK s AH
lumangoy	l AD u AM m AE a AK ŋ AF o AM j AB
lumapit	l AD u AM m AE a AK p AG i AK t AC
lumayo	l AD u AM m AE a AK j AB o AM ʔ AJ
lumbang	l AD u AM m AE b AG a AK ŋ AF
lumbao	l AD u AM m AE b AG a AK u AM
lumbo	l AD u AM m AE b AG ɔ AM ʔ AJ
lumboy	l AD u AM m AE b AG ɔ AM j AB
lumibao	l AD u AM m AE i AK b AG a AK u AM
lumikha	l AD u AM m AE i AK k AC h AA a AK ʔ AJ
luminaw	l AD u AM m AE i AK n AF a AK w AI
lumindol	l AD u AM m AE i AK n AF d AC o AM l AD
lumipad	l AD u AM m AE i AK p AG a AK d AC
lumiwanag	l AD u AM m AE i AK w AI a AK n AF a AK ɡ AC
lumot	l AD u AM m AE o AM t AC
lumutang	l AD u AM m AE u AM t AC a AK ŋ AF
lumuwag	l AD u AM m AE u AM w AI a AK ɡ AC
lunes	l AD u AM n AF ɛ AK s AH
lungkag	l AD u AM ŋ AF k AC a AK ɡ AC
luntian	l AD u AM nː BC t AC i AK ɐ AM n AF
lupa	l AD u AM p AG a AK ʔ AJ
lupain	l AD u AM p AG a AK ʔ AJ i AK n AF
lusaw	l AD u AM s AH a AK w AI
luto	l AD u AM t AC o AM ʔ AJ
luwag	l AD u AM a AK ɡ AC
luwalhati	l AD u AM w AI a AK l AD h AA a AK t AC i AK ʔ AJ
luwat	l AD u AM w AI a AK t AC
luy	l AD ʊ AM j AB
luyos	l AD u AM j AB o AM s AH
luzano	l AD u AM s AH a AK n AF o AM
luzon	l AD u AM s AH o AM n AF
luzuriaga	l AD u AM s AH u AM ɾ BD j AB a AK ɡ AC a AK
maagrabyado	m AE a AK ʔ AJ a AK ʔ AJ ɡ AC ɾ BD a AK b AG j AB a AK d AC o AM
maambunan	m AE a AK ʕ AH a AK m AE b AG u AM n AF a AK n AF
maanak	m AE a AK ʔ AJ a AK n AF a AK k AC
maangas	m AE a AK ʔ AJ a AK ŋ AF a AK s AH
maanta	m AE a AK ʔ AJ a AK n AF t AC a AK
mababa	m AE a AK b AG a AK b AG a AK ʔ AJ
mabagal	m AE a AK b AG a AK ɡ AC a AK l AD
mabalot	m AE a AK b AG a AK l AD o AM t AC
mabato	m AE a AK b AG a AK t AC o AM
mabigat	m AE a AK b AG i AK ɡ AC a AK t AC
mabigo	m AE a AK b AG i AK ɡ AC o AM ʔ AJ
mabilis	m AE a AK b AG i AK l AD i AK s AH
mabini	m AE a AK b AG i AK n AF i AK
mabuhay	m AE a AK b AG u AM h AA a AK y AM
mabulaklak	m AE a AK b AG u AM l AD a AK k AC l AD a AK k AC
maburyong	m AE a AK b AG u AM ɾ BD j AB o AM ŋ AF
mabuti	m AE a AK b AG u AM t AC i AK
mabuwisit	m AE a AK b AG u AM i AK s AH i AK t AC
macababbad	m AE a AK k AC a AK b AG a AK b AG b AG a AK d AC
macadangdang	m AE a AK k AC a AK d AC a AK ŋ AF d AC a AK ŋ AF
macalalad	m AE a AK k AC a AK l AD a AK l AD a AK d AC
macalindong	m AE a AK k AC a AK l AD i AK n AF d AC o AM ŋ AF
macapagal	m AE a AK k AC a AK p AG a AK ɡ AC a AK l AD
macapinlac	m AE a AK k AC a AK p AG i AK n AF l AD a AK k AC
macapugay	m AE a AK k AC a AK p AG u AM ɡ AC a AK i AK
macaranas	m AE a AK k AC a AK ɾ BD a AK n AF a AK s AH
macasaet	m AE a AK k AC a AK s AH a AK ɛ AK t AC
macasieb	m AE a AK k AC a AK s AH i AK ɛ AK b AG
macaspac	m AE a AK k AC a AK s AH p AG a AK k AC
macatulad	m AE a AK k AC a AK t AC u AM l AD a AK d AC
maceda	m AE a AK s AH ɛ AK d AC a AK
macuha	m AE a AK k AC u AM h AA a AK
madalas	m AE a AK d AC a AK l AD a AK s AH
madali	m AE a AK d AC a AK l AD i AK ʔ AJ
madilim	m AE a AK d AC i AK l AD i AK m AE
madlangbayan	m AE a AK d AC l AD a AK ŋ AF b AG a AK j AB a AK n AF
madriaga	m AE a AK d AC ɾ BD i AK a AK ɡ AC a AK
madulas	m AE a AK d AC u AM l AD a AK s AH
magalang	m AE a AK ɡ AC a AK l AD a AK ŋ AF
magaling	m AE a AK ɡ AC a AK l AD i AK ŋ AF
magallanes	m AE a AK ɡ AC a AK l AD l AD a AK n AF ɛ AK s AH
magalona	m AE a AK ɡ AC a AK l AD o AM n AF a AK
maganda	m AE a AK ɡ AC a AK n AF d AC a AK
magandahan	m AE a AK ɡ AC a AK n AF d AC a AK h AA a AK n AF
magaso	m AE a AK ɡ AC a AK s AH o AM
magbabaon	n AF a AK ɡ AC b AG a AK ʔ AJ o AM n AF
magbalik	m AE a AK ɡ AC b AG a AK l AD i AK k AC
magbanua	m AE a AK ɡ AC b AG a AK n AF u AM a AK
magbaon	m AE a AK ɡ AC b AG a AK ʔ AJ o AM n AF
magbarena	m AE a AK ɡ AC b AG a AK ɾ BD ɛ AK n AF a AK
magbasanlot	m AE a AK ɡ AC b AG a AK s AH a AK n AF l AD ɔ AM t AC
magbayad	m AE a AK ɡ AC b AG a AK j AB a AK d AC
magbenta	m AE a AK ɡ AC b AG e AK n AF t AC a AK
magbihis	m AE a AK ɡ AC b AG i AK h AA i AK s AH
magbili	m AE a AK ɡ AC b AG i AK l AD i AK
magbinata	m AE a AK ɡ AC b AG i AK n AF a AK t AC a AK ʔ AJ
magbiro	m AE a AK ɡ AC b AG i AK ɾ BD o AM ʔ AJ
magbisikleta	m AE a AK ɡ AC b AG i AK s AH i AK k AC l AD ɛ AK t AC a AK
magbiyahe	m AE a AK ɡ AC b AG i AK j AB a AK h AA e AK
magboo	m AE a AK ɡ AC b AG o AM o AM
magbubukid	m AE a AK ɡ AC b AG u AM b AG u AM k AC i AK d AC
magbuhat	m AE a AK ɡ AC b AG u AM h AA a AK t AC
magbulakbol	m AE a AK ɡ AC b AG u AM l AD a AK k AC b AG o AM l AD
magdalaga	m AE a AK ɡ AC d AC a AK l AD a AK ɡ AC a AK
magdasal	m AE a AK ɡ AC d AC a AK s AH a AK l AD
magdayao	m AE a AK ɡ AC d AC a AK j AB a AK u AM
magdeliryo	m AE a AK ɡ AC d AC ɛ AK l AD i AK ɾ BD j AB o AM
magdemanda	m AE a AK ɡ AC d AC ɛ AK m AE a AK n AF d AC a AK
maggayat	m AE a AK ɡ AC ɡ AC a AK j AB a AK t AC
maghabilin	m AE a AK ɡ AC h AA a AK b AG i AK l AD i AK n AF
maghabla	m AE a AK ɡ AC h AA a AK b AG l AD a AK
maghanap	m AE a AK ɡ AC h AA a AK n AF a AK p AG
maghanapbuhay	m AE a AK ɡ AC h AA a AK n AF a AK p AG b AG u AM h AA a AK i AK
maghanda	m AE a AK ɡ AC h AA a AK n AF d AC a AK ʔ AJ
maghangad	m AE a AK ɡ AC h AA a AK ŋ AF a AK d AC
maghari	m AE a AK ɡ AC h AA a AK ɾ BD i AK ʔ AJ
maghasik	m AE a AK ɡ AC h AA a AK s AH i AK k AC
maghati	m AE a AK ɡ AC h AA a AK t AC i AK ʔ AJ
maghiganti	m AE a AK ɡ AC h AA i AK ɡ AC a AK n AF t AC i AK
maghikab	m AE a AK ɡ AC h AA i AK k AC a AK b AG
maghikaw	m AE a AK ɡ AC h AA i AK k AC a AK u AM
maghilamos	m AE a AK ɡ AC h AA i AK l AD a AK m AE o AM s AH
maghilik	m AE a AK ɡ AC h AA i AK l AD i AK k AC
maghimagsik	m AE a AK ɡ AC h AA i AK m AE a AK ɡ AC s AH i AK k AC
maghimutok	m AE a AK ɡ AC h AA i AK m AE u AM t AC o AM k AC
maghinala	m AE a AK ɡ AC h AA i AK n AF a AK l AD a AK ʔ AJ
maghingalo	m AE a AK ɡ AC h AA i AK ŋ AF a AK l AD o AM
maghintay	m AE a AK ɡ AC h AA i AK n AF t AC a AK j AB
maghinto	m AE a AK ɡ AC h AA i AK n AF t AC o AM ʔ AJ
maghinuha	m AE a AK ɡ AC h AA i AK n AF u AM h AA a AK ʔ AJ
maghirang	m AE a AK ɡ AC h AA i AK ɾ BD a AK ŋ AF
maghirap	m AE a AK ɡ AC h AA i AK ɾ BD a AK p AG
maghiyas	m AE a AK ɡ AC h AA i AK a AK s AH
maghugas	m AE a AK ɡ AC h AA u AM ɡ AC a AK s AH
maghumpay	m AE a AK ɡ AC h AA u AM m AE p AG a AK i AK
maghuramentado	m AE a AK ɡ AC h AA u AM ɾ BD a AK m AE ɛ AK n AF t AC a AK d AC o AM
magigi	m AE a AK ɡ AC i AK ɡ AC i AK ʔ AJ
magiting	m AE a AK ɡ AC i AK t AC i AK ŋ AF
magjeep	m AE a AK ɡ AC d AC ʒ AH i AK p AG
magkanlong	m AE a AK ɡ AC k AC a AK n AF l AD o AM ŋ AF
magkaroon	m AE a AK ɡ AC k AC a AK r BA o AM ʔ AJ o AM n AF
magkasakit	m AE a AK ɡ AC k AC a AK s AH a AK k AC i AK t AC
magkataon	m AE a AK ɡ AC k AC a AK t AC a AK ʔ AJ o AM n AF
magkausap	m AE a AK ɡ AC k AC a AK u AM s AH a AK p AG
maglaba	m AE a AK ɡ AC l AD a AK b AG a AK
maglabas	m AE a AK ɡ AC l AD a AK b AG a AK s AH
maglakbay	m AE a AK ɡ AC l AD a AK k AC b AG a AK j AB
maglalang	m AE a AK ɡ AC l AD a AK l AD a AK ŋ AF
maglanggas	m AE a AK ɡ AC l AD a AK ŋ AF ɡ AC a AK s AH
maglangib	m AE a AK ɡ AC l AD a AK ŋ AF i AK b AG
maglango	m AE a AK ɡ AC l AD a AK ŋ AF o AM
maglantod	m AE a AK ɡ AC l AD a AK n AF t AC o AM d AC
maglapa	m AE a AK ɡ AC l AD a AK p AG a AK ʔ AJ
maglarawan	m AE a AK ɡ AC l AD a AK ɾ BD a AK w AI a AK n AF
maglaro	m AE a AK ɡ AC l AD a AK ɾ BD o AM ʔ AJ
maglaso	m AE a AK ɡ AC l AD a AK s AH o AM
maglaway	m AE a AK ɡ AC l AD a AK w AI a AK i AK
maglingid	m AE a AK ɡ AC l AD i AK ŋ AF i AK d AC
maglingkod	m AE a AK ɡ AC l AD i AK ŋ AF k AC o AM d AC
maglola	m AE a AK ɡ AC l AD o AM l AD a AK
maglolo	m AE a AK ɡ AC l AD o AM l AD o AM
magmadali	m AE a AK ɡ AC m AE a AK d AC a AK l AD i AK ʔ AJ
magmahal	m AE a AK ɡ AC m AE a AK h AA a AK l AD
magmaliw	m AE a AK ɡ AC m AE a AK l AD i AK u AM
magmartsa	m AE a AK ɡ AC m AE a AK ɾ BD t AC ʃ AH a AK
magmasahe	m AE a AK ɡ AC m AE a AK s AH a AK h AA e AK
magmayabang	m AE a AK ɡ AC m AE a AK j AB a AK b AG a AK ŋ AF
magnakaw	m AE a AK ɡ AC n AF a AK k AC a AK u AM
magno	m AE a AK ɡ AC n AF o AM
magpalaganap	m AE a AK ɡ AC p AG a AK l AD a AK ɡ AC a AK n AF a AK p AG
magpanatili	m AE a AK ɡ AC p AG a AK n AF a AK t AC i AK l AD i AK
magparaya	m AE a AK ɡ AC p AG a AK ɾ BD a AK j AB a AK ʔ AJ
magpasubasta	m AE a AK ɡ AC p AG a AK s AH u AM b AG a AK s AH t AC a AK
magpaubaya	m AE a AK ɡ AC p AG a AK ʔ AJ u AM b AG a AK j AB a AK ʔ AJ
magpraktis	m AE a AK ɡ AC p AG ɾ BD a AK k AC t AC i AK s AH
magpunas	m AE a AK ɡ AC p AG u AM n AF a AK s AH
magrenta	m AE a AK ɡ AC ɾ BD ɛ AK n AF t AC a AK
magresign	m AE a AK ɡ AC ɾ BD e AK s AH a AK ɪ AK n AF
magsahig	m AE a AK ɡ AC s AH a AK h AA i AK ɡ AC
magsalang	m AE a AK ɡ AC s AH a AK l AD a AK ŋ AF
magsaliksik	m AE a AK ɡ AC s AH a AK l AD i AK k AC s AH i AK k AC
magsapatos	m AE a AK ɡ AC s AH a AK p AG a AK t AC o AM s AH
magsimba	m AE a AK ɡ AC s AH i AK m AE b AG a AK
magsinungaling	m AE a AK ɡ AC s AH i AK n AF u AM ŋ AF a AK l AD i AK ŋ AF
magsiwalat	m AE a AK ɡ AC s AH i AK w AI a AK l AD a AK t AC
magstay	m AE a AK ɡ AC s AH t AC ɛ AK ɪ AK
magsubscribe	m AE a AK ɡ AC s AH u AM b AG s AH k AC ɾ BD a AK ɪ AK b AG
magsugal	m AE a AK ɡ AC s AH u AM ɡ AC a AK l AD
magsuntukan	m AE a AK ɡ AC s AH u AM n AF t AC u AM k AC a AK n AF
magtaas	m AE a AK ɡ AC t AC a AK a AK s AH
magtaban	m AE a AK ɡ AC t AC a AK b AG a AK n AF
magtalas	m AE a AK ɡ AC t AC a AK l AD a AK s AH
magtalo	m AE a AK ɡ AC t AC a AK l AD o AM
magtapon	m AE a AK ɡ AC t AC a AK p AG o AM n AF
magtinda	m AE a AK ɡ AC t AC i AK n AF d AC a AK
magtipid	m AE a AK ɡ AC t AC i AK p AG i AK d AC
magtrabaho	m AE a AK ɡ AC t AC ɾ BD a AK b AG a AK h AA o AM
magtrycicle	m AE a AK ɡ AC t AC ɾ BD a AK ɪ AK s AH i AK k AC ɛ AK l AD
magturo	m AE a AK ɡ AC t AC u AM ɾ BD o AM ʔ AJ
magugol	m AE a AK ɡ AC u AM ɡ AC o AM l AD
magulo	m AE a AK ɡ AC u AM l AD o AM
magusot	m AE a AK ɡ AC u AM s AH o AM t AC
magustuhan	m AE a AK ɡ AC u AM s AH t AC u AM h AA a AK n AF
magwagi	m AE a AK ɡ AC w AI a AK ɡ AC i AK
magwahil	m AE a AK ɡ AC w AI a AK h AA i AK l AD
magwisik	m AE a AK ɡ AC w AI i AK s AH i AK k AC
magyabang	m AE a AK ɡ AC j AB a AK b AG a AK ŋ AF
magyangyang	m AE a AK ɡ AC j AB a AK ŋ AF j AB a AK ŋ AF
magyasyas	m AE a AK ɡ AC j AB a AK s AH j AB a AK s AH
magyaya	m AE a AK ɡ AC j AB a AK j AB a AK
magyibok	m AE a AK ɡ AC j AB i AK b AG o AM k AC
mahal	m AE a AK h AA a AK l AD
mahalaga	m AE a AK h AA a AK l AD a AK ɡ AC a AK
mahiman	m AE a AK h AA i AK m AE a AK n AF
mahinay	m AE a AK h AA i AK n AF a AK i AK
mahirap	m AE a AK h AA i AK ɾ BD a AK p AG
mahuli	m AE aː AL h AA u AM l AD i AK
maikli	m AE a AK ʔ AJ i AK k AC l AD i AK ʔ AJ
maingay	m AE a AK ʔ AJ i AK ŋ AF a AK i AK
mainis	m AE a AK ʔ AJ i AK n AF i AK s AH
makaitlo	m AE a AK k AC a AK i AK t AC l AD o AM
makakita	m AE a AK k AC a AK k AC i AK t AC a AK
makakuha	m AE a AK k AC a AK k AC u AM h AA a AK
makalat	m AE a AK k AC a AK l AD a AK t AC
makalima	m AE a AK k AC a AK l AD i AK m AE a AK
makaluma	m AE a AK k AC a AK l AD u AM m AE a AK ʔ AJ
makapuno	m AE a AK k AC a AK p AG u AM n AF o AM ʔ AJ
makati	m AE ɐ AM k AC ɐ AM t AC i AK ʔ AJ
makatotohanan	m AE a AK k AC a AK t AC o AM t AC o AM h AA a AK n AF a AK n AF
makatulog	m AE a AK k AC a AK t AC u AM l AD o AM ɡ AC
makiapid	m AE a AK k AC i AK ʔ AJ a AK p AG i AK d AC
makibahagi	m AE a AK k AC i AK b AG a AK h AA a AK ɡ AC i AK ʔ AJ
makina	m AE a AK k AC i AK n AF a AK
makinis	m AE a AK k AC i AK n AF i AK s AH
makipagbati	m AE a AK k AC i AK p AG a AK ɡ AC b AG a AK t AC i AK ʔ AJ
makipagkaibigan	m AE a AK k AC i AK p AG a AK ɡ AC k AC a AK i AK b AG i AK ɡ AC a AK n AF
makipagsuntukan	m AE a AK k AC i AK p AG a AK ɡ AC s AH u AM n AF t AC u AM k AC a AK n AF
makipagtalik	m AE a AK k AC i AK p AG a AK ɡ AC t AC a AK l AD i AK k AC
makontento	m AE a AK k AC o AM n AF t AC ɛ AK n AF t AC o AM
makuha	m AE a AK k AC u AM h AA a AK
makulimlim	m AE a AK k AC u AM l AD i AK m AE l AD i AK m AE
makunan	m AE a AK k AC u AM n AF a AK n AF
malabuyoc	m AE a AK l AD a AK b AG u AM j AB o AM k AC
malagata	m AE a AK l AD a AK ɡ AC a AK t AC a AK ʔ AJ
malagatas	m AE a AK l AD a AK ɡ AC a AK t AC a AK s AH
malagkit	m AE a AK l AD a AK ɡ AC k AC i AK t AC
malakanyang	m AE a AK l AD a AK k AC a AK n AF j AB a AK ŋ AF
malalim	m AE a AK l AD a AK l AD i AK m AE
malaluan	m AE a AK l AD a AK l AD u AM a AK n AF
malaman	m AE a AK l AD a AK m AE a AK n AF
malambot	m AE a AK l AD a AK m AE b AG o AM t AC
malanasi	m AE a AK l AD a AK n AF a AK s AH i AK ʔ AJ
malanya	m AE a AK l AD a AK n AF j AB a AK ʔ AJ
malaon	m AE a AK l AD a AK ʔ AJ o AM n AF
malapad	m AE a AK l AD a AK p AG a AK d AC
malapit	m AE a AK l AD a AK p AG i AK t AC
malapot	m AE a AK l AD a AK p AG o AM t AC
malas	m AE a AK l AD a AK s AH
