अ	ə AG
सरद	s AB ə AG ɾ AJ ə AG d̪ AB
सरदार	s AB ə AG ɾ AJ d̪ AB ɑː AG ɾ AJ
सरदी	s AB ə AG ɾ AJ d̪ AB iː AG
सरपंच	s AB ə AG ɾ AJ p AE ə AG n AB t AB ʃ AB
सरफ़रोश	s AB ə AG ɾ AJ pʰ AF ə AG ɾ AJ oː AH ʃ AB
सरफिरा	s AB ə AG ɾ AJ pʰ AF ɪ AG ɾ AJ ɑː AG
सरल	s AB ə AG ɾ AJ ə AG l AD
सरलीकृत	s AB ə AG ɾ AJ l AD iː AG k AB ɾ AJ ɪ AG t̪ AB
सरसठ	s AB ə AG ɾ AJ s AB ə AG ʈʰ AC
सरसों	s AB ə AG ɾ AJ s AB õː
सरस्वती	s AB ə AG ɾ AJ ə AG s AB ʋ AK ə AG t̪ AB iː AG
सरहद	s AB ə AG ɾ AJ ɦ AI ə AG d̪ AB
सरहदी	s AB ə AG ɾ AJ ɦ AI ə AG d̪ AB iː AG
सराइकी	s AB ə AG ɾ AJ ɑː AG ɪ AG k AB iː AG
सराफ़ा	s AB ə AG ɾ AJ ɑː AG pʰ AF ɑː AG
सराबोर	s AB ə AG ɾ AJ ɑː AG b AE oː AH ɾ AJ
सराय	s AB ə AG ɾ AJ ɑː AG j AA
सराहना	s AB ə AG ɾ AJ ɑː AG ɦ AI n AB ɑː AG
सरी	s AB ə AG ɾ AJ iː AG
सरीखा	s AB ə AG ɾ AJ iː AG kʰ AC ɑː AG
सरीसृप	s AB ə AG ɾ AJ iː AG s AB ɾ AJ ɪ AG p AE
सरूर	s AB ə AG ɾ AJ uː AH ɾ AJ
सरेआम	s AB ə AG ɾ AJ eː AG ɑː AG m AE
सरोज	s AB ə AG ɾ AJ oː AH d AB ʒ AB
सरोद	s AB ə AG ɾ AJ oː AH d̪ AB
सरोरुह	s AB ə AG ɾ AJ oː AH ɾ AJ ʊ AH ɦ AI
सर्किल	s AB ə AG ɾ AJ k AB ɪ AG l AD
सर्जन	s AB ə AG ɾ AJ d AB ʒ AB ə AG n AB
सर्द	s AB ə AG ɾ AJ d̪ AB
सर्दी	s AB ə AG ɾ AJ d̪ AB iː AG
सर्प	s AB ə AG ɾ AJ p AE
सर्पिल	s AB ə AG ɾ AJ p AE ɪ AG l AD
सर्ब	s AB ə AG ɾ AJ b AE
सर्बिया	s AB ə AG ɾ AJ b AE ɪ AG j AA ɑː AG
सर्वथा	s AB ə AG ɾ AJ ʋ AK ə AG t̪ʰ AC ɑː AG
सर्वनाम	s AB ə AG ɾ AJ ʋ AK ə AG n AB ɑː AG m AE
सर्वप्रथम	s AB ə AG ɾ AJ ʋ AK p AE ɾ AJ ə AG t̪ʰ AC ə AG m AE
सर्वश्रेष्ठ	s AB ə AG ɾ AJ ʋ AK ə AG ʃ AB ɾ AJ eː AG ʂ AB ʈʰ AC
सर्वसम्मति	s AB ə AG ɾ AJ ʋ AK s AB ə AG m AE m AE ə AG t̪ AB iː AG
सर्वसाधारण	s AB ə AG ɾ AJ ʋ AK s AB ɑː AG d̪ʱ AC ɑː AG ɾ AJ ə AG ɳ AB
सर्वहारा	s AB ə AG ɾ AJ ʋ AK ɦ AI ɑː AG ɾ AJ ɑː AG
सर्वांगसम	s AB ə AG ɾ AJ ʋ AK ɑː AG ŋ AB ɡ AB s AB ə AG m AE
सर्वाधिक	s AB ə AG ɾ AJ ʋ AK ɑː AG d̪ʱ AC ɪ AG k AB
सर्विस	s AB ə AG ɾ AJ ʋ AK ɪ AG s AB
सर्वेक्षण	s AB ə AG ɾ AJ ʋ AK eː AG k AB ʂ AB ə AG ɳ AB
सर्वोच्च	s AB ə AG ɾ AJ ʋ AK oː AH t AB ʃ AB t AB ʃ AB
सर्वोदय	s AB ə AG ɾ AJ ʋ AK oː AH d̪ AB ə AG j AA
सर्वोपरि	s AB ə AG ɾ AJ ʋ AK oː AH p AE ə AG ɾ AJ iː AG
सर्षप	s AB ə AG ɾ AJ ʂ AB ə AG p AE
सलवार	s AB ə AG l AD ʋ AK ɑː AG ɾ AJ
सलहज	s AB ə AG l AD ə AG ɦ AI ə AG d AB ʒ AB
सलाउद्दीन	s AB ə AG l AD ɑː AG ʊ AH d̪ AB d̪ AB iː AG n AB
सलाख	s AB ə AG l AD ɑː AG kʰ AC
सलाम	s AB ə AG l AD ɑː AG m AE
सलामत	s AB ə AG l AD ɑː AG m AE ə AG t̪ AB
सलामी	s AB ə AG l AD ɑː AG m AE iː AG
सलाह	s AB ə AG l AD ɑː AG ɦ AI
सलाहकार	s AB ə AG l AD ɑː AG ɦ AI k AB ɑː AG ɾ AJ
सलीक़ा	s AB ə AG l AD iː AG q AB ɑː AG
सलीब	s AB ə AG l AD iː AG b AE
सलीम	s AB ə AG l AD iː AG m AE
सलूक	s AB ə AG l AD uː AH k AB
सलोतरी	s AB ə AG l AD oː AH t̪ AB ɾ AJ iː AG
सलोना	s AB ə AG l AD oː AH n AB ɑː AG
सल्तनत	s AB ə AG l AD t̪ AB ə AG n AB ə AG t̪ AB
सवर्ण	s AB ə AG ʋ AK ə AG ɾ AJ ɳ AB
सवा	s AB ə AG ʋ AK ɑː AG
सवाना	s AB ə AG ʋ AK ɑː AG n AB ɑː AG
सवार	s AB ə AG ʋ AK ɑː AG ɾ AJ
सवाल	s AB ə AG ʋ AK ɑː AG l AD
सवेरा	s AB ə AG ʋ AK eː AG ɾ AJ ɑː AG
सवेरे	s AB ə AG ʋ AK eː AG ɾ AJ eː AG
सशंक	s AB ə AG ʃ AB ə AG ŋ AB k AB
सशक्तिकरण	s AB ə AG ʃ AB ə AG k AB t̪ AB ɪ AG k AB ə AG ɾ AJ ə AG ɳ AB
सशुल्क	s AB ə AG ʃ AB ʊ AH l AD k AB
ससुर	s AB ə AG s AB ʊ AH ɾ AJ
ससुराल	s AB ə AG s AB ʊ AH ɾ AJ ɑː AG l AD
सस्ता	s AB ə AG s AB t̪ AB ɑː AG
सस्ताई	s AB ə AG s AB t̪ AB ɑː AG iː AG
सस्तापन	s AB ə AG s AB t̪ AB ɑː AG p AE ə AG n AB
सस्यविज्ञान	s AB ə AG s AB j AA ə AG ʋ AK ɪ AG ɡ AB j AA ɑː AG n AB
सहकर्मी	s AB ə AG ɦ AI k AB ə AG ɾ AJ m AE iː AG
सहकारी	s AB ə AG ɦ AI k AB ɑː AG ɾ AJ iː AG
सहचर	s AB ə AG ɦ AI t AB ʃ AB ə AG ɾ AJ
सहज	s AB ə AG ɦ AI ə AG d AB ʒ AB
सहजात	s AB ə AG ɦ AI d AB ʒ AB ɑː AG t̪ AB
सहन	s AB ə AG ɦ AI ə AG n AB
सहना	s AB ə AG ɦ AI n AB ɑː AG
सहपाठी	s AB ə AG ɦ AI p AE ɑː AG ʈʰ AC iː AG
सहबद्ध	s AB ə AG ɦ AI b AE ə AG d̪ AB d̪ʱ AC
सहभागी	s AB ə AG ɦ AI bʱ AF ɑː AG ɡ AB iː AG
सहमत	s AB ə AG ɦ AI m AE ə AG t̪ AB
सहमति	s AB ə AG ɦ AI m AE ə AG t̪ AB iː AG
सहयोग	s AB ə AG ɦ AI j AA oː AH ɡ AB
सहयोगी	s AB ə AG ɦ AI j AA oː AH ɡ AB iː AG
सहर	s AB ə AG ɦ AI ə AG ɾ AJ
सहरा	s AB ə AG ɦ AI ɾ AJ ɑː AG
सहरी	s AB ə AG ɦ AI ɾ AJ iː AG
सहलाना	s AB ə AG ɦ AI l AD ɑː AG n AB ɑː AG
सहवास	s AB ə AG ɦ AI ʋ AK ɑː AG s AB
सहसंयोजक	s AB ə AG ɦ AI s AB ə̃ AG j AA oː AH d AB ʒ AB ə AG k AB
सहसा	s AB ə AG ɦ AI s AB ɑː AG
सहस्रपाद	s AB ə AG ɦ AI ə AG s AB ɾ AJ ə AG p AE ɑː AG d̪ AB
सहस्रमान	s AB ə AG ɦ AI ə AG s AB ɾ AJ ə AG m AE ɑː AG n AB
सहस्रिमान	s AB ə AG ɦ AI ə AG s AB ɾ AJ ɪ AG m AE ɑː AG n AB
सहायक	s AB ə AG ɦ AI ɑː AG j AA ə AG k AB
सहायता	s AB ə AG ɦ AI ɑː AG j AA t̪ AB ɑː AG
सहारा	s AB ə AG ɦ AI ɑː AG ɾ AJ ɑː AG
सहित	s AB ə AG ɦ AI ɪ AG t̪ AB
सही	s AB ə AG ɦ AI iː AG
सहेजना	s AB ə AG ɦ AI eː AG d AB ʒ AB n AB ɑː AG
सहेली	s AB ə AG ɦ AI eː AG l AD iː AG
सहोदर	s AB ə AG ɦ AI oː AH d̪ AB ə AG ɾ AJ
स़िफ़र	s AB ɪ AG pʰ AF ə AG ɾ AJ
साँई	s AB ɑ̃ː AG iː AG
साँझ	s AB ɑː AG n AB d AB ʒʱ
साँड़	s AB ɑ̃ː AG ɽ AJ
साँप	s AB ɑ̃ː AG p AE
साँवला	s AB ɑ̃ː AG ʋ AK l AD ɑː AG
साँस	s AB ɑ̃ː AG s AB
सांख्यिकी	s AB ɑ̃ː AG kʰ AC j AA ɪ AG k AB iː AG
सांझ	s AB ɑː AG n AB d AB ʒʱ
सांड	s AB ɑː AG ɳ AB ɖ AB
सांडा	s AB ɑː AG ɳ AB ɖ AB ɑː AG
सांद्रता	s AB ɑː AG n AB d̪ AB ɾ AJ ə AG t̪ AB ɑː AG
सांप	s AB ɑ̃ː AG p AE
सांप्रदायिकता	s AB ɑ̃ː AG p AE ɾ AJ ə AG d̪ AB ɑː AG j AA ɪ AG k AB t̪ AB ɑː AG
सांबर	s AB ɑː AG m AE b AE ə AG ɾ AJ
सांस	s AB ɑː AG n AB s AB
सांसद	s AB ɑː AG n AB s AB ə AG d̪ AB
सांस्कृतिक	s AB ɑː AG n AB s AB k AB ɾ AJ ɪ AG t̪ AB ɪ AG k AB
साइकल	s AB ɑː AG ɪ AG k AB ə AG l AD
साइकिल	s AB ɑː AG ɪ AG k AB ɪ AG l AD
साइप्रस	s AB ɑː AG ɪ AG p AE ɾ AJ ə AG s AB
साउथहैंपटन	s AB ɑː AG ʊ AH t̪ʰ AC ɦ AI ɛː AG m AE p AE ʈ AB ə AG n AB
साक्षर	s AB ɑː AG k AB ʂ AB ə AG ɾ AJ
साक्षात्कार	s AB ɑː AG k AB ʂ AB ɑː AG t̪ AB k AB ɑː AG ɾ AJ
साक्षी	s AB ɑː AG k AB ʂ AB iː AG
साख	s AB ɑː AG kʰ AC
साग	s AB ɑː AG ɡ AB
सागर	s AB ɑː AG ɡ AB ə AG ɾ AJ
सागौन	s AB ɑː AG ɡ AB ɔː AH n AB
साजन	s AB ɑː AG d AB ʒ AB ə AG n AB
साज़	s AB ɑː AG z AB
साज़िश	s AB ɑː AG z AB ɪ AG ʃ AB
साझा	s AB ɑː AG d AB ʒʱ ɑː AG
साझेदार	s AB ɑː AG d AB ʒʱ eː AG d̪ AB ɑː AG ɾ AJ
साझेदारी	s AB ɑː AG d AB ʒʱ eː AG d̪ AB ɑː AG ɾ AJ iː AG
साठ	s AB ɑː AG ʈʰ AC
साड़ी	s AB ɑː AG ɽ AJ iː AG
साढ़े	s AB ɑː AG ɽʱ AL eː AG
सात	s AB ɑː AG t̪ AB
सातवाहन	s AB ɑː AG t̪ AB ʋ AK ɑː AG ɦ AI ə AG n AB
साथ	s AB ɑː AG t̪ʰ AC
साथसाथ	s AB ɑː AG t̪ʰ AC s AB ɑː AG t̪ʰ AC
साथी	s AB ɑː AG t̪ʰ AC iː AG
साद	s AB ɑː AG d̪ AB
सादगी	s AB ɑː AG d̪ AB ə AG ɡ AB iː AG
सादा	s AB ɑː AG d̪ AB ɑː AG
सादिक़ाबाद	s AB ɑː AG d̪ AB ɪ AG q AB ɑː AG b AE ɑː AG d̪ AB
साधन	s AB ɑː AG d̪ʱ AC ə AG n AB
साधना	s AB ɑː AG d̪ʱ AC n AB ɑː AG
साधारण	s AB ɑː AG d̪ʱ AC ɑː AG ɾ AJ ə AG ɳ AB
साधारणतः	s AB ɑː AG d̪ʱ AC ɑː AG ɾ AJ ə AG ɳ AB t̪ AB ə AG ɦ AI
साध्वी	s AB ɑː AG d̪ʱ AC ʋ AK iː AG
सानी	s AB ɑː AG n AB iː AG
साप्ताहिक	s AB ɑː AG p AE t̪ AB ɑː AG ɦ AI ɪ AG k AB
साफ	s AB ɑː AG pʰ AF
साफ़	s AB ɑː AG pʰ AF
साबिक	s AB ɑː AG b AE ɪ AG q AB
साबिक़	s AB ɑː AG b AE ɪ AG q AB
साबित	s AB ɑː AG b AE ɪ AG t̪ AB
साबू	s AB ɑː AG b AE uː AH
साबूदाना	s AB ɑː AG b AE uː AH d̪ AB ɑː AG n AB ɑː AG
साम	s AB ɑː AG m AE
सामग्री	s AB ɑː AG m AE ə AG ɡ AB ɾ AJ iː AG
सामन	s AB ɑː AG m AE ə AG n AB
सामना	s AB ɑː AG m AE n AB ɑː AG
सामने	s AB ɑː AG m AE n AB eː AG
सामरिक	s AB ɑː AG m AE ɾ AJ ɪ AG k AB
सामर्थ्य	s AB ɑː AG m AE ə AG ɾ AJ t̪ʰ AC j AA ə AG
सामवेद	s AB ɑː AG m AE ʋ AK eː AG d̪ AB
सामान	s AB ɑː AG m AE ɑː AG n AB
सामान्यतः	s AB ɑː AG m AE ɑː AG n AB j AA ə AG t̪ AB ə AG ɦ AI
सामान्यीकृत	s AB ɑː AG m AE ɑː AG n AB j AA iː AG k AB ɾ AJ ɪ AG t̪ AB
सामी	s AB ɑː AG m AE iː AG
सामुदायिक	s AB ɑː AG m AE ʊ AH d̪ AB ɑː AG j AA ɪ AG k AB
सामूहिक	s AB ɑː AG m AE uː AH ɦ AI ɪ AG k AB
साम्यवाद	s AB ɑː AG m AE j AA ə AG ʋ AK ɑː AG d̪ AB
साम्यावस्था	s AB ɑː AG m AE j AA ɑː AG ʋ AK ə AG s AB t̪ʰ AC ɑː AG
साम्राज्यवाद	s AB ɑː AG m AE ɾ AJ ɑː AG d AB ʒ AB j AA ə AG ʋ AK ɑː AG d̪ AB
सायबान	s AB ɑː AG j AA b AE ɑː AG n AB
साया	s AB ɑː AG j AA ɑː AG
सारंगी	s AB ɑː AG ɾ AJ ə AG ŋ AB ɡ AB iː AG
सारणी	s AB ɑː AG ɾ AJ ɳ AB iː AG
सारथी	s AB ɑː AG ɾ AJ ə AG t̪ʰ AC iː AG
सारस	s AB ɑː AG ɾ AJ ə AG s AB
सारा	s AB ɑː AG ɾ AJ ɑː AG
सारांश	s AB ɑː AG ɾ AJ ɑː AG n AB ʃ AB
सार्थ	s AB ɑː AG ɾ AJ t̪ʰ AC
सार्थक	s AB ɑː AG ɾ AJ t̪ʰ AC ə AG k AB
सार्वजनिक	s AB ɑː AG ɾ AJ ʋ AK d AB ʒ AB ə AG n AB ɪ AG k AB
सार्वत्रिक	s AB ɑː AG ɾ AJ ʋ AK ə AG t̪ AB ɾ AJ ɪ AG k AB
सार्वभौमिक	s AB ɑː AG ɾ AJ ʋ AK ə AG bʱ AF ɔː AH m AE ɪ AG k AB
साल	s AB ɑː AG l AD
सालगिरह	s AB ɑː AG l AD ɡ AB ɪ AG ɾ AJ ə AG ɦ AI
सालन	s AB ɑː AG l AD ə AG n AB
सालभर	s AB ɑː AG l AD bʱ AF ə AG ɾ AJ
सालाना	s AB ɑː AG l AD ɑː AG n AB ɑː AG
सावधानी	s AB ɑː AG ʋ AK d̪ʱ AC ɑː AG n AB iː AG
सास	s AB ɑː AG s AB
साहसी	s AB ɑː AG ɦ AI s AB iː AG
साहित्यिक	s AB ɑː AG ɦ AI ɪ AG t̪ AB j AA ɪ AG k AB
साहिब	s AB ɑː AG ɦ AI ɪ AG b AE
साहिल	s AB ɑː AG ɦ AI ɪ AG l AD
साही	s AB ɑː AG ɦ AI iː AG
साहूकार	s AB ɑː AG ɦ AI uː AH k AB ɑː AG ɾ AJ
सिंगापुर	s AB ɪ AG ŋ AB ɡ AB ɑː AG p AE ʊ AH ɾ AJ
सिंघ	s AB ɪ AG ŋ AB ɡʱ AC
सिंचाई	s AB ɪ AG n AB t AB ʃ AB ɑː AG iː AG
सिंचित	s AB ɪ AG n AB t AB ʃ AB ɪ AG t̪ AB
सिंदूर	s AB ɪ AG n AB d̪ AB uː AH ɾ AJ
सिंह	s AB ɪ AG ŋ AB ɡʱ AC
सिंहला	s AB ɪ AG ŋ AB ɡʱ AC ə AG l AD ɑː AG
सिंहाली	s AB ɪ̃ AG ɦ AI ɑː AG l AD iː AG
सिंहासन	s AB ɪ AG ŋ AB ɡʱ AC ɑː AG s AB ə AG n AB
सिकंदर	s AB ɪ AG k AB ə AG n AB d̪ AB ə AG ɾ AJ
सिकंदराबाद	s AB ɪ AG k AB ə AG n AB d̪ AB ə AG ɾ AJ ɑː AG b AE ɑː AG d̪ AB
सिकोड़ना	s AB ɪ AG k AB oː AH ɽ AJ n AB ɑː AG
सिक्का	s AB ɪ AG k AB k AB ɑː AG
सिक्किम	s AB ɪ AG k AB k AB ɪ AG m AE
सिगरेट	s AB ɪ AG ɡ AB ə AG ɾ AJ eː AG ʈ AB
सिगार	s AB ɪ AG ɡ AB ɑː AG ɾ AJ
सिचुआन	s AB ɪ AG t AB ʃ AB ʊ AH ɑː AG n AB
सिडनी	s AB ɪ AG ɖ AB n AB iː AG
सितंबर	s AB ɪ AG t̪ AB ə AG m AE b AE ə AG ɾ AJ
सितम	s AB ɪ AG t̪ AB ə AG m AE
सितारा	s AB ɪ AG t̪ AB ɑː AG ɾ AJ ɑː AG
सिद्ध	s AB ɪ AG d̪ AB d̪ʱ AC
सिद्धांत	s AB ɪ AG d̪ AB d̪ʱ AC ɑː AG n AB t̪ AB
सिनेमा	s AB ɪ AG n AB eː AG m AE ɑː AG
सिनेमाघर	s AB ɪ AG n AB eː AG m AE ɑː AG ɡʱ AC ə AG ɾ AJ
सिपाही	s AB ɪ AG p AE ɑː AG ɦ AI iː AG
सिफ़त	s AB ɪ AG pʰ AF ə AG t̪ AB
सिफ़र	s AB ɪ AG pʰ AF ə AG ɾ AJ
सिफ़ारत	s AB ɪ AG pʰ AF ɑː AG ɾ AJ ə AG t̪ AB
सिफ़ारतख़ाना	s AB ɪ AG pʰ AF ɑː AG ɾ AJ ə AG t̪ AB kʰ AC ɑː AG n AB ɑː AG
सिफ़ारिश	s AB ɪ AG pʰ AF ɑː AG ɾ AJ ɪ AG ʃ AB
सिमटना	s AB ɪ AG m AE ə AG ʈ AB n AB ɑː AG
सिया	s AB ɪ AG j AA ɑː AG
सियापति	s AB ɪ AG j AA ɑː AG p AE ə AG t̪ AB iː AG
सियाप्पा	s AB ɪ AG j AA ɑː AG p AE p AE ɑː AG
सियार	s AB ɪ AG j AA ɑː AG ɾ AJ
सियालकोट	s AB ɪ AG j AA ɑː AG l AD k AB oː AH ʈ AB
सियाह	s AB ɪ AG j AA ɑː AG ɦ AI
सियाही	s AB ɪ AG j AA ɑː AG ɦ AI iː AG
सियोल	s AB ɪ AG j AA oː AH l AD
सिर	s AB ɪ AG ɾ AJ
सिरका	s AB ɪ AG ɾ AJ k AB ɑː AG
सिरदर्द	s AB ɪ AG ɾ AJ d̪ AB ə AG ɾ AJ d̪ AB
सिरहाना	s AB ɪ AG ɾ AJ ɦ AI ɑː AG n AB ɑː AG
सिरा	s AB ɪ AG ɾ AJ ɑː AG
सिर्फ	s AB ɪ AG ɾ AJ pʰ AF
सिलपट	s AB ɪ AG l AD p AE ə AG ʈ AB
सिलवट	s AB ɪ AG l AD ʋ AK ə AG ʈ AB
सिलवाना	s AB ɪ AG l AD ʋ AK ɑː AG n AB ɑː AG
सिलसिला	s AB ɪ AG l AD s AB ɪ AG l AD ɑː AG
सिलाई	s AB ɪ AG l AD ɑː AG iː AG
सिसकना	s AB ɪ AG s AB ə AG k AB n AB ɑː AG
सी	s AB iː AG
सींग	s AB iː AG ŋ AB ɡ AB
सीखना	s AB iː AG kʰ AC n AB ɑː AG
सीख़चा	s AB iː AG x AB t AB ʃ AB ɑː AG
सीट	s AB iː AG ʈ AB
सीठा	s AB iː AG ʈʰ AC ɑː AG
सीढ़ी	s AB iː AG ɽʱ AL iː AG
सीता	s AB iː AG t̪ AB ɑː AG
सीताफल	s AB iː AG t̪ AB ɑː AG pʰ AF ə AG l AD
सीधा	s AB iː AG d̪ʱ AC ɑː AG
सीना	s AB iː AG n AB ɑː AG
सीनेट	s AB iː AG n AB eː AG ʈ AB
सीनेटर	s AB iː AG n AB eː AG ʈ AB ə AG ɾ AJ
सीमा	s AB iː AG m AE ɑː AG
सीमित	s AB iː AG m AE ɪ AG t̪ AB
सीरत	s AB iː AG ɾ AJ ə AG t̪ AB
सीरिया	s AB iː AG ɾ AJ ɪ AG j AA ɑː AG
सीस	s AB iː AG s AB
सुंदर	s AB ʊ AH n AB d̪ AB ə AG ɾ AJ
सुंदरता	s AB ʊ AH n AB d̪ AB ə AG ɾ AJ t̪ AB ɑː AG
सुअर	s AB ʊ AH ə AG ɾ AJ
सुई	s AB uː AH iː AG
सुईकार	s AB ʊ AH iː AG k AB ɑː AG ɾ AJ
सुईदाब	s AB ʊ AH iː AG d̪ AB ɑː AG b AE
सुक़रात	s AB ʊ AH q AB ɾ AJ ɑː AG t̪ AB
सुकून	s AB ʊ AH k AB uː AH n AB
सुख	s AB ʊ AH kʰ AC
सुखपूर्वक	s AB ʊ AH kʰ AC p AE uː AH ɾ AJ ʋ AK ə AG k AB
सुखमय	s AB ʊ AH kʰ AC m AE ə AG j AA
सुखाना	s AB ʊ AH kʰ AC ɑː AG n AB ɑː AG
सुगंध	s AB ʊ AH ɡ AB ə AG n AB d̪ʱ AC
सुगन्ध	s AB ʊ AH ɡ AB ə AG n AB d̪ʱ AC
सुग्गा	s AB ʊ AH ɡ AB ɡ AB ɑː AG
सुचारु	s AB ʊ AH t AB ʃ AB ɑː AG ɾ AJ uː AH
सुझाना	s AB ʊ AH d AB ʒʱ ɑː AG n AB ɑː AG
सुझाव	s AB ʊ AH d AB ʒʱ ɑː AG ʋ AK
सुडौल	s AB ʊ AH ɖ AB ɔː AH l AD
सुथरा	s AB ʊ AH t̪ʰ AC ɾ AJ ɑː AG
सुधार	s AB ʊ AH d̪ʱ AC ɑː AG ɾ AJ
सुधारक	s AB ʊ AH d̪ʱ AC ɑː AG ɾ AJ ə AG k AB
सुधारना	s AB ʊ AH d̪ʱ AC ɑː AG ɾ AJ n AB ɑː AG
सुधारवादी	s AB ʊ AH d̪ʱ AC ɑː AG ɾ AJ ʋ AK ɑː AG d̪ AB iː AG
सुनना	s AB ʊ AH n AB n AB ɑː AG
सुनवाई	s AB ʊ AH n AB ʋ AK ɑː AG iː AG
सुनसान	s AB ʊ AH n AB s AB ɑː AG n AB
सुनहरा	s AB ʊ AH n AB ə AG ɦ AI ɾ AJ ɑː AG
सुनाई	s AB ʊ AH n AB ɑː AG iː AG
सुनाना	s AB ʊ AH n AB ɑː AG n AB ɑː AG
सुनामी	s AB ʊ AH n AB ɑː AG m AE iː AG
सुनार	s AB ʊ AH n AB ɑː AG ɾ AJ
सुनीत	s AB ʊ AH n AB iː AG t̪ AB
सुन्दर	s AB ʊ AH n AB d̪ AB ə AG ɾ AJ
सुन्नत	s AB ʊ AH n AB n AB ə AG t̪ AB
सुन्नी	s AB ʊ AH n AB n AB iː AG
सुपुर्द	s AB ʊ AH p AE ʊ AH ɾ AJ d̪ AB
सुप्रभात	s AB ʊ AH p AE ɾ AJ ə AG bʱ AF ɑː AG t̪ AB
सुबकना	s AB ʊ AH b AE ə AG k AB n AB ɑː AG
सुबह	s AB ʊ AH bʱ AF ə AG
सुबोध	s AB ʊ AH b AE oː AH d̪ʱ AC
सुमन	s AB ʊ AH m AE ə AG n AB
सुमात्रा	s AB ʊ AH m AE ɑː AG t̪ AB ɾ AJ ɑː AG
सुर	s AB ʊ AH ɾ AJ
सुरंग	s AB ʊ AH ɾ AJ ə AG ŋ AB ɡ AB
सुरक्षा	s AB ʊ AH ɾ AJ ə AG k AB ʂ AB ɑː AG
सुरक्षाबल	s AB ʊ AH ɾ AJ ə AG k AB ʂ AB ɑː AG b AE ə AG l AD
सुरत	s AB ʊ AH ɾ AJ ə AG t̪ AB
सुरमा	s AB ʊ AH ɾ AJ m AE ɑː AG
सुराख़	s AB ʊ AH ɾ AJ ɑː AG x AB
सुरिनाम	s AB ʊ AH ɾ AJ ɪ AG n AB ɑː AG m AE
सुरीला	s AB ʊ AH ɾ AJ iː AG l AD ɑː AG
सुर्ख़ाब	s AB ʊ AH ɾ AJ x AB ɑː AG b AE
सुर्ख़ी	s AB ʊ AH ɾ AJ x AB iː AG
सुलझा	s AB ʊ AH l AD d AB ʒʱ ɑː AG
सुलझाना	s AB ʊ AH l AD d AB ʒʱ ɑː AG n AB ɑː AG
सुलभ	s AB ʊ AH l AD ə AG bʱ AF
सुलवाना	s AB ʊ AH l AD ʋ AK ɑː AG n AB ɑː AG
सुलह	s AB ʊ AH l AD ə AG ɦ AI
सुलाना	s AB ʊ AH l AD ɑː AG n AB ɑː AG
सुलेमान	s AB ʊ AH l AD eː AG m AE ɑː AG n AB
सुल्टाना	s AB ʊ AH l AD ʈ AB ɑː AG n AB ɑː AG
सुल्ताना	s AB ʊ AH l AD t̪ AB ɑː AG n AB ɑː AG
सुविख्यात	s AB ʊ AH ʋ AK ɪ AG kʰ AC j AA ɑː AG t̪ AB
सुविधा	s AB ʊ AH ʋ AK ɪ AG d̪ʱ AC ɑː AG
सुशासन	s AB ʊ AH ʃ AB ɑː AG s AB ə AG n AB
सुसंगत	s AB ʊ AH s AB ə AG ŋ AB ɡ AB ə AG t̪ AB
सुसंस्कृत	s AB ʊ AH s AB ə AG n AB s AB k AB ɾ AJ ɪ AG t̪ AB
सुसज्जित	s AB ʊ AH s AB ə AG d AB ʒ AB d AB ʒ AB ɪ AG t̪ AB
सुस्ताना	s AB ʊ AH s AB t̪ AB ɑː AG n AB ɑː AG
सुस्ती	s AB ʊ AH s AB t̪ AB iː AG
सुस्वादु	s AB ʊ AH s AB ʋ AK ɑː AG d̪ AB uː AH
सुस्सा	s AB ʊ AH s AB s AB ɑː AG
सुहाग	s AB ʊ AH ɦ AI ɑː AG ɡ AB
सुहाना	s AB ʊ AH ɦ AI ɑː AG n AB ɑː AG
सुहावना	s AB ʊ AH ɦ AI ɑː AG ʋ AK n AB ɑː AG
सूँघना	s AB uː AH ŋ AB ɡʱ AC n AB ɑː AG
सूंघना	s AB uː AH ŋ AB ɡʱ AC n AB ɑː AG
सूंस	s AB uː AH n AB s AB
सूअर	s AB uː AH ə AG ɾ AJ
सूआ	s AB uː AH ɑː AG
सूई	s AB uː AH iː AG
सूकरमांस	s AB uː AH k AB ə AG ɾ AJ m AE ɑː AG n AB s AB
सूक्ष्मदर्शी	s AB uː AH k AB ʂ AB m AE ə AG d̪ AB ə AG ɾ AJ ʃ AB iː AG
सूक्ष्माणु	s AB uː AH k AB ʂ AB m AE ɑː AG ɳ AB uː AH
सूखना	s AB uː AH kʰ AC n AB ɑː AG
सूखा	s AB uː AH kʰ AC ɑː AG
सूचक	s AB uː AH t AB ʃ AB ə AG k AB
सूचना	s AB uː AH t AB ʃ AB n AB ɑː AG
सूचनात्मक	s AB uː AH t AB ʃ AB n AB ɑː AG t̪ AB m AE ə AG k AB
सूचित	s AB uː AH t AB ʃ AB ɪ AG t̪ AB
सूची	s AB uː AH t AB ʃ AB iː AG
सूचीबद्ध	s AB uː AH t AB ʃ AB iː AG b AE ə AG d̪ AB d̪ʱ AC
सूजन	s AB uː AH d AB ʒ AB ə AG n AB
सूजी	s AB uː AH d AB ʒ AB iː AG
सूडान	s AB uː AH ɖ AB ɑː AG n AB
सूत	s AB uː AH t̪ AB
सूतिका	s AB uː AH t̪ AB ɪ AG k AB ɑː AG
