अ	ə AF
वासना	ʋ AI ɑː AB s n ɑː AB
वासी	ʋ AI ɑː AB s iː AB
वासुदेव	ʋ AI ɑː AB s ʊ AD d̪ eː AB ʋ AI
वास्कट	ʋ AI ɑː AB s k ə AF ʈ
वास्तव	ʋ AI ɑː AB s t̪ ə AF ʋ AI
वास्तविक	ʋ AI ɑː AB s t̪ ə AF ʋ AI ɪ AF k
वास्तविकता	ʋ AI ɑː AB s t̪ ə AF ʋ AI ɪ AF k t̪ ɑː AB
वास्तु	ʋ AI ɑː AB s t̪ uː AC
वास्तुकला	ʋ AI ɑː AB s t̪ ʊ AD k ə AF l ɑː AB
वाहक	ʋ AI ɑː AB ɦ AE ə AF k
वाहन	ʋ AI ɑː AB ɦ AE ə AF n
वाहिका	ʋ AI ɑː AB ɦ AE ɪ AF k ɑː AB
विंडसर	ʋ AI ɪ AF ɳ ɖ s ə AF ɾ
विंदालू	ʋ AI ɪ AF n d̪ ɑː AB l uː AC
विकट	ʋ AI ɪ AF k ə AF ʈ
विकसित	ʋ AI ɪ AF k s ɪ AF t̪
विकार	ʋ AI ɪ AF k ɑː AB ɾ
विकास	ʋ AI ɪ AF k ɑː AB s
विकासशील	ʋ AI ɪ AF k ɑː AB s ʃ iː AB l
विकिपीडिया	ʋ AI ɪ AF k ɪ AF p iː AB ɖ ɪ AF j AA ɑː AB
विकिमीडिया	ʋ AI ɪ AF k ɪ AF m iː AB ɖ ɪ AF j AA ɑː AB
विकिरण	ʋ AI ɪ AF k ɪ AF ɾ ə AF ɳ
विकिरणशील	ʋ AI ɪ AF k ɪ AF ɾ ə AF ɳ ʃ iː AB l
विकिरणशीलता	ʋ AI ɪ AF k ɪ AF ɾ ə AF ɳ ʃ iː AB l t̪ ɑː AB
विकृत	ʋ AI ɪ AF k ɾ ɪ AF t̪
विक्रम	ʋ AI ɪ AF k ɾ ə AF m
विक्रय	ʋ AI ɪ AF k ɾ ə AF j AA
विक्रेता	ʋ AI ɪ AF k ɾ eː AB t̪ ɑː AB
विक्षनरी	ʋ AI ɪ AF k ʂ ə AF n ɾ iː AB
विखंडन	ʋ AI ɪ AF kʰ ə AF ɳ ɖ ə AF n
विख्यात	ʋ AI ɪ AF kʰ j AA ɑː AB t̪
विचार	ʋ AI ɪ AF t ʃ ɑː AB ɾ
विचारधारा	ʋ AI ɪ AF t ʃ ɑː AB ɾ d̪ʱ ɑː AB ɾ ɑː AB
विचारपूर्वक	ʋ AI ɪ AF t ʃ ɑː AB ɾ p uː AC ɾ ʋ AI ə AF k
विजय	ʋ AI ɪ AF d ʒ ə AF j AA
विजयनगरम	ʋ AI ɪ AF d ʒ j AA ə AF n ə AF ɡ ɾ ə AF m
विजयादशमी	ʋ AI ɪ AF d ʒ j AA ɑː AB d̪ ə AF ʃ m iː AB
विज़ारत	ʋ AI ɪ AF z ɑː AB ɾ ə AF t̪
विजेता	ʋ AI ɪ AF d ʒ eː AB t̪ ɑː AB
विज्ञान	ʋ AI ɪ AF ɡ j AA ɑː AB n
विज्ञापन	ʋ AI ɪ AF ɡ j AA ɑː AB p ə AF n
विज्ञापित	ʋ AI ɪ AF ɡ j AA ɑː AB p ɪ AF t̪
विडूर	ʋ AI ɪ AF ɖ uː AC ɾ
वितरण	ʋ AI ɪ AF t̪ ɾ ə AF ɳ
वितर्क	ʋ AI ɪ AF t̪ ə AF ɾ k
वित्त	ʋ AI ɪ AF t̪ t̪
विदा	ʋ AI ɪ AF d̪ ɑː AB
विदेश	ʋ AI ɪ AF d̪ eː AB ʃ
विदेशी	ʋ AI ɪ AF d̪ eː AB ʃ iː AB
विद्या	ʋ AI ɪ AF d̪ j AA ɑː AB
विद्यार्थिनी	ʋ AI ɪ AF d̪ j AA ɑː AB ɾ t̪ʰ ɪ AF n iː AB
विद्यार्थी	ʋ AI ɪ AF d̪ j AA ɑː AB ɾ t̪ʰ iː AB
विद्यालय	ʋ AI ɪ AF d̪ j AA ɑː AB l ə AF j AA
विद्यालयी	ʋ AI ɪ AF d̪ j AA ɑː AB l ə AF j AA iː AB
विद्युत	ʋ AI ɪ AF d̪ j AA ʊ AD t̪
विद्युतदर्शी	ʋ AI ɪ AF d̪ j AA ʊ AD t̪ d̪ ə AF ɾ ʃ iː AB
विद्युतरोधी	ʋ AI ɪ AF d̪ j AA ʊ AD t̪ ɾ oː AC d̪ʱ iː AB
विद्युत्	ʋ AI ɪ AF d̪ j AA ʊ AD t̪
विद्युदणु	ʋ AI ɪ AF d̪ j AA ʊ AD d̪ ə AF ɳ uː AC
विद्युन्मय	ʋ AI ɪ AF d̪ j AA ʊ AD n m ə AF j AA
विद्रोह	ʋ AI ɪ AF d̪ ɾ oː AC ɦ AE
विद्वान	ʋ AI ɪ AF d̪ ʋ AI ɑː AB n
विद्वान्	ʋ AI ɪ AF d̪ ʋ AI ɑː AB n
विधर्म	ʋ AI ɪ AF d̪ʱ ə AF ɾ m
विधवा	ʋ AI ɪ AF d̪ʱ ʋ AI ɑː AB
विधा	ʋ AI ɪ AF d̪ʱ ɑː AB
विधानसभा	ʋ AI ɪ AF d̪ʱ ɑː AB n s ə AF bʱ ɑː AB
विधायक	ʋ AI ɪ AF d̪ʱ ɑː AB j AA ə AF k
विधि	ʋ AI ɪ AF d̪ʱ iː AB
विधेय	ʋ AI ɪ AF d̪ʱ eː AB j AA
विधेयक	ʋ AI ɪ AF d̪ʱ eː AB j AA ə AF k
विध्वंस	ʋ AI ɪ AF d̪ʱ ʋ AI ə AF n s
विनती	ʋ AI ɪ AF n t̪ iː AB
विनम्रता	ʋ AI ɪ AF n ə AF m ɾ ə AF t̪ ɑː AB
विनय	ʋ AI ɪ AF n ə AF j AA
विना	ʋ AI ɪ AF n ɑː AB
विनाशक	ʋ AI ɪ AF n ɑː AB ʃ ə AF k
विनाशकारी	ʋ AI ɪ AF n ɑː AB ʃ k ɑː AB ɾ iː AB
विनिधान	ʋ AI ɪ AF n ɪ AF d̪ʱ ɑː AB n
विनिपेग	ʋ AI ɪ AF n ɪ AF p eː AB ɡ
विनिमय	ʋ AI ɪ AF n ɪ AF m ə AF j AA
विनियम	ʋ AI ɪ AF n ɪ AF j AA ə AF m
विनिर्माण	ʋ AI ɪ AF n ɪ AF ɾ m ɑː AB ɳ
विनिवेश	ʋ AI ɪ AF n ɪ AF ʋ AI eː AB ʃ
विनीत	ʋ AI ɪ AF n iː AB t̪
विनोद	ʋ AI ɪ AF n oː AC d̪
विपक्षी	ʋ AI ɪ AF p ə AF k ʂ iː AB
विपन्नता	ʋ AI ɪ AF p ə AF n n t̪ ɑː AB
विपरीत	ʋ AI ɪ AF p ɾ iː AB t̪
विपुल	ʋ AI ɪ AF p ʊ AD l
विफलता	ʋ AI ɪ AF pʰ ə AF l t̪ ɑː AB
विभक्त	ʋ AI ɪ AF bʱ ə AF k t̪
विभक्ति	ʋ AI ɪ AF bʱ ə AF k t̪ iː AB
विभाजन	ʋ AI ɪ AF bʱ ɑː AB d ʒ ə AF n
विभाजित	ʋ AI ɪ AF bʱ ɑː AB d ʒ ɪ AF t̪
विभीषिका	ʋ AI ɪ AF bʱ iː AB ʂ ɪ AF k ɑː AB
विभूति	ʋ AI ɪ AF bʱ uː AC t̪ iː AB
विमा	ʋ AI ɪ AF m ɑː AB
विमान	ʋ AI ɪ AF m ɑː AB n
विमानतल	ʋ AI ɪ AF m ɑː AB n t̪ ə AF l
विमाननगर	ʋ AI ɪ AF m ɑː AB n n ə AF ɡ ə AF ɾ
वियतनाम	ʋ AI ɪ AF j AA ə AF t̪ n ɑː AB m
विराजमान	ʋ AI ɪ AF ɾ ɑː AB d ʒ m ɑː AB n
विराटनगर	ʋ AI ɪ AF ɾ ɑː AB ʈ n ə AF ɡ ə AF ɾ
विरुद्ध	ʋ AI ɪ AF ɾ ʊ AD d̪ d̪ʱ
विरोध	ʋ AI ɪ AF ɾ oː AC d̪ʱ
विरोधाभास	ʋ AI ɪ AF ɾ oː AC d̪ʱ ɑː AB bʱ ɑː AB s
विरोधी	ʋ AI ɪ AF ɾ oː AC d̪ʱ iː AB
विलंब	ʋ AI ɪ AF l ə AF m b
विलक्षण	ʋ AI ɪ AF l ə AF k ʂ ə AF ɳ
विलायती	ʋ AI ɪ AF l ɑː AB j AA ə AF t̪ iː AB
विलास	ʋ AI ɪ AF l ɑː AB s
विलासिता	ʋ AI ɪ AF l ɑː AB s ɪ AF t̪ ɑː AB
विलीन	ʋ AI ɪ AF l iː AB n
विवश	ʋ AI ɪ AF ʋ AI ə AF ʃ
विवाद	ʋ AI ɪ AF ʋ AI ɑː AB d̪
विवादित	ʋ AI ɪ AF ʋ AI ɑː AB d̪ ɪ AF t̪
विवाह	ʋ AI ɪ AF ʋ AI ɑː AB ɦ AE
विवि	ʋ AI ɪ AF ʋ AI iː AB
विविध	ʋ AI ɪ AF ʋ AI ɪ AF d̪ʱ
विविधता	ʋ AI ɪ AF ʋ AI ɪ AF d̪ʱ t̪ ɑː AB
विवेक	ʋ AI ɪ AF ʋ AI eː AB k
विवेचन	ʋ AI ɪ AF ʋ AI eː AB t ʃ ə AF n
विशाखपट्नम	ʋ AI ɪ AF ʃ ɑː AB kʰ p ə AF ʈ n ə AF m
विशिष्ट	ʋ AI ɪ AF ʃ ɪ AF ʂ ʈ
विशेषकर	ʋ AI ɪ AF ʃ eː AB ʂ k ə AF ɾ
विशेषज्ञ	ʋ AI ɪ AF ʃ eː AB ʂ ə AF ɡ j AA
विशेषण	ʋ AI ɪ AF ʃ eː AB ʂ ə AF ɳ
विशेषता	ʋ AI ɪ AF ʃ eː AB ʂ t̪ ɑː AB
विश्रामालय	ʋ AI ɪ AF ʃ ɾ ɑː AB m ɑː AB l ə AF j AA
विश्लेषक	ʋ AI ɪ AF ʃ l eː AB ʂ ə AF k
विश्लेषण	ʋ AI ɪ AF ʃ l eː AB ʂ ə AF ɳ
विश्व	ʋ AI ɪ AF ʃ ʋ AI ə AF
विश्वकर्मा	ʋ AI ɪ AF ʃ ʋ AI ə AF k ə AF ɾ m ɑː AB
विश्वकोश	ʋ AI ɪ AF ʃ ʋ AI ə AF k oː AC ʃ
विश्वप्रसिद्ध	ʋ AI ɪ AF ʃ ʋ AI ə AF p ɾ ə AF s ɪ AF d̪ d̪ʱ
विश्वभाषा	ʋ AI ɪ AF ʃ ʋ AI ə AF bʱ ɑː AB ʂ ɑː AB
विश्वमारी	ʋ AI ɪ AF ʃ ʋ AI ə AF m ɑː AB ɾ iː AB
विश्वविख्यात	ʋ AI ɪ AF ʃ ʋ AI ə AF ʋ AI ɪ AF kʰ j AA ɑː AB t̪
विश्वविद्यालय	ʋ AI ɪ AF ʃ ʋ AI ə AF ʋ AI ɪ AF d̪ j AA ɑː AB l ə AF j AA
विश्वास	ʋ AI ɪ AF ʃ ʋ AI ɑː AB s
विश्वासघात	ʋ AI ɪ AF ʃ ʋ AI ɑː AB s ɡʱ ɑː AB t̪
विष	ʋ AI ɪ AF ʂ
विषकन्या	ʋ AI ɪ AF ʂ k ə AF n j AA ɑː AB
विषम	ʋ AI ɪ AF ʂ ə AF m
विषय	ʋ AI ɪ AF ʂ ə AF j AA
विषयवस्तु	ʋ AI ɪ AF ʂ ə AF j AA ʋ AI ə AF s t̪ uː AC
विषयासक्त	ʋ AI ɪ AF ʂ ə AF j AA ɑː AB s ə AF k t̪
विषाणु	ʋ AI ɪ AF ʂ ɑː AB ɳ uː AC
विषुव	ʋ AI ɪ AF ʂ ʊ AD ʋ AI
विष्णु	ʋ AI ɪ AF ʂ ɳ uː AC
विसर्जन	ʋ AI ɪ AF s ə AF ɾ d ʒ ə AF n
विसर्जित	ʋ AI ɪ AF s ə AF ɾ d ʒ ɪ AF t̪
विस्तार	ʋ AI ɪ AF s t̪ ɑː AB ɾ
विस्थापन	ʋ AI ɪ AF s t̪ʰ ɑː AB p ə AF n
विस्फोट	ʋ AI ɪ AF s pʰ oː AC ʈ
विस्फोटक	ʋ AI ɪ AF s pʰ oː AC ʈ ə AF k
विस्मय	ʋ AI ɪ AF s m ə AF j AA
विहित	ʋ AI ɪ AF ɦ AE ɪ AF t̪
विहीन	ʋ AI ɪ AF ɦ AE iː AB n
वीचि	ʋ AI iː AB t ʃ iː AB
वीज़ा	ʋ AI iː AB z ɑː AB
वीडियो	ʋ AI iː AB ɖ ɪ AF j AA oː AC
वीर	ʋ AI iː AB ɾ
वीरता	ʋ AI iː AB ɾ t̪ ɑː AB
वीरान	ʋ AI iː AB ɾ ɑː AB n
वृक्ष	ʋ AI ɾ ɪ AF k ʂ
वृत्त	ʋ AI ɾ ɪ AF t̪ t̪
वृत्तांत	ʋ AI ɾ ɪ AF t̪ t̪ ɑː AB n t̪
वृत्तान्त	ʋ AI ɾ ɪ AF t̪ t̪ ɑː AB n t̪
वृद्ध	ʋ AI ɾ ɪ AF d̪ d̪ʱ
वृद्धावस्था	ʋ AI ɾ ɪ AF d̪ d̪ʱ ɑː AB ʋ AI ə AF s t̪ʰ ɑː AB
वृद्धाश्रम	ʋ AI ɾ ɪ AF d̪ d̪ʱ ɑː AB ʃ ɾ ə AF m
वृद्धि	ʋ AI ɾ ɪ AF d̪ d̪ʱ iː AB
वृश्चिक	ʋ AI ɾ ɪ AF ʃ t ʃ ɪ AF k
वे	ʋ AI oː AC
वेंटिलेटर	ʋ AI eː AB ɳ ʈ ɪ AF l eː AB ʈ ə AF ɾ
वेग	ʋ AI eː AB ɡ
वेटिकन	ʋ AI eː AB ʈ ɪ AF k ə AF n
वेद	ʋ AI eː AB d̪
वेदना	ʋ AI eː AB d̪ n ɑː AB
वेदांत	ʋ AI eː AB d̪ ɑː AB n t̪
वेदी	ʋ AI eː AB d̪ iː AB
वेनेज़ुएला	ʋ AI eː AB n eː AB z ʊ AD eː AB l ɑː AB
वेबसाइट	ʋ AI eː AB b s ɑː AB ɪ AF ʈ
वेलिंग्टन	ʋ AI eː AB l ɪ AF ŋ ɡ ʈ ə AF n
वेल्ला	ʋ AI eː AB l l ɑː AB
वेश्या	ʋ AI eː AB ʃ j AA ɑː AB
वेश्यावृत्ति	ʋ AI eː AB ʃ j AA ɑː AB ʋ AI ɾ ɪ AF t̪ t̪ iː AB
वैंकूवर	ʋ AI ɛː AB ŋ k uː AC ʋ AI ə AF ɾ
वैकुंठ	ʋ AI ɛː AB k ʊ AD ɳ ʈʰ
वैकुण्ठ	ʋ AI ɛː AB k ʊ AD ɳ ʈʰ
वैगन	ʋ AI ɛː AB ɡ ə AF n
वैचारिक	ʋ AI ɛː AB t ʃ ɑː AB ɾ ɪ AF k
वैज्ञानिक	ʋ AI ɛː AB ɡ j AA ɑː AB n ɪ AF k
वैतनिक	ʋ AI ɛː AB t̪ ə AF n ɪ AF k
वैदिक	ʋ AI ɛː AB d̪ ɪ AF k
वैद्युत	ʋ AI ɛː AB d̪ j AA ʊ AD t̪
वैध	ʋ AI ɛː AB d̪ʱ
वैवाहिक	ʋ AI ɛː AB ʋ AI ɑː AB ɦ AE ɪ AF k
वैशाख	ʋ AI ɛː AB ʃ ɑː AB kʰ
वो	ʋ AI oː AC
वोल्गा	ʋ AI oː AC l ɡ ɑː AB
व्यंग	ʋ AI j AA ə AF ŋ ɡ
व्यंजक	ʋ AI j AA ə AF n d ʒ ə AF k
व्यंजन	ʋ AI j AA ə AF n d ʒ ə AF n
व्यंजनाक्षर	ʋ AI j AA ə AF n d ʒ ə AF n ɑː AB k ʂ ə AF ɾ
व्यक्त	ʋ AI j AA ə AF k t̪
व्यक्ति	ʋ AI j AA ə AF k t̪ iː AB
व्यक्तिक	ʋ AI j AA ə AF k t̪ ɪ AF k
व्यक्तिगत	ʋ AI j AA ə AF k t̪ ɪ AF ɡ ə AF t̪
व्यजन	ʋ AI j AA ə AF d ʒ ə AF n
व्यतिक्रम	ʋ AI j AA ə AF t̪ ɪ AF k ɾ ə AF m
व्यथा	ʋ AI j AA ə AF t̪ʰ ɑː AB
व्यथित	ʋ AI j AA ə AF t̪ʰ ɪ AF t̪
व्यभिचार	ʋ AI j AA ə AF bʱ ɪ AF t ʃ ɑː AB ɾ
व्यय	ʋ AI j AA ə AF j AA
व्यर्थ	ʋ AI j AA ə AF ɾ t̪ʰ
व्यवकलन	ʋ AI j AA ə AF ʋ AI k ə AF l ə AF n
व्यवसाय	ʋ AI j AA ə AF ʋ AI s ɑː AB j AA
व्यवस्था	ʋ AI j AA ə AF ʋ AI ə AF s t̪ʰ ɑː AB
व्यवहार	ʋ AI j AA ə AF ʋ AI ɦ AE ɑː AB ɾ
व्यष्टि	ʋ AI j AA ə AF ʂ ʈ iː AB
व्यसन	ʋ AI j AA ə AF s ə AF n
व्यस्त	ʋ AI j AA ə AF s t̪
व्याकरण	ʋ AI j AA ɑː AB k ə AF ɾ ə AF ɳ
व्याकुल	ʋ AI j AA ɑː AB k ʊ AD l
व्याख्या	ʋ AI j AA ɑː AB kʰ j AA ɑː AB
व्याख्याता	ʋ AI j AA ɑː AB kʰ j AA ɑː AB t̪ ɑː AB
व्याख्यान	ʋ AI j AA ɑː AB kʰ j AA ɑː AB n
व्याख्यानदाता	ʋ AI j AA ɑː AB kʰ j AA ɑː AB n d̪ ɑː AB t̪ ɑː AB
व्याख्यायित	ʋ AI j AA ɑː AB kʰ j AA ɑː AB j AA ɪ AF t̪
व्याधि	ʋ AI j AA ɑː AB d̪ʱ iː AB
व्यापक	ʋ AI j AA ɑː AB p ə AF k
व्यापार	ʋ AI j AA ɑː AB p ɑː AB ɾ
व्यायाम	ʋ AI j AA ɑː AB j AA ɑː AB m
व्यावहारिक	ʋ AI j AA ɑː AB ʋ AI ɦ AE ɑː AB ɾ ɪ AF k
व्यास	ʋ AI j AA ɑː AB s
व्युत्क्रम	ʋ AI j AA ʊ AD t̪ k ɾ ə AF m
व्युत्पत्ति	ʋ AI j AA ʊ AD t̪ p ə AF t̪ t̪ iː AB
व्यूहरचना	ʋ AI j AA uː AC ɦ AE ɾ ə AF t ʃ n ɑː AB
व्रत	ʋ AI ɾ ə AF t̪
व्लादिमीर	ʋ AI l ɑː AB d̪ ɪ AF m iː AB ɾ
व्लादिवोस्तोक	ʋ AI l ɑː AB d̪ ɪ AF ʋ AI oː AC s t̪ oː AC k
व्हेल	ʋ AI ɦ AE eː AB l
श	ʃ ə AF
शंघाई	ʃ ə AF ŋ ɡʱ ɑː AB iː AB
शंतनु	ʃ ə AF n t̪ ə AF n uː AC
शक	ʃ ə AF k
शकरकंद	ʃ ə AF k ə AF ɾ k ə AF n d̪
शक्की	ʃ ə AF k k iː AB
शक्ति	ʃ ə AF k t̪ iː AB
शक्तिशाली	ʃ ə AF k t̪ ɪ AF ʃ ɑː AB l iː AB
शक्तिहीन	ʃ ə AF k t̪ ɪ AF ɦ AE iː AB n
शख़्स	ʃ ə AF x s
शख़्सियत	ʃ ə AF x s ɪ AF j AA ə AF t̪
शख्स	ʃ ə AF x s
शख्सियत	ʃ ə AF x s ɪ AF j AA ə AF t̪
शगुन	ʃ ə AF ɡ ʊ AD n
शगूफ़ा	ʃ ə AF ɡ uː AC pʰ ɑː AB
शजरा	ʃ ə AF d ʒ ɾ ɑː AB
शटर	ʃ ə AF ʈ ə AF ɾ
शत	ʃ ə AF t̪
शतक	ʃ ə AF t̪ ə AF k
शतकवीर	ʃ ə AF t̪ ə AF k ʋ AI iː AB ɾ
शतपाद	ʃ ə AF t̪ p ɑː AB d̪
शतरंज	ʃ ə AF t̪ ɾ ə AF n d ʒ
शताब्दी	ʃ ə AF t̪ ɑː AB b d̪ iː AB
शतावर	ʃ ə AF t̪ ɑː AB ʋ AI ə AF ɾ
शत्रु	ʃ ə AF t̪ ɾ uː AC
शनि	ʃ ə AF n iː AB
शनिवार	ʃ ə AF n ɪ AF ʋ AI ɑː AB ɾ
शपथ	ʃ ə AF p ə AF t̪ʰ
शफ़ा	ʃ ə AF pʰ ɑː AB
शब	ʃ ə AF b
शब्द	ʃ ə AF b d̪
शब्दकोश	ʃ ə AF b d̪ ə AF k oː AC ʃ
शब्दकोशो	ʃ ə AF b d̪ k oː AC ʃ oː AC
शब्दकोशों	ʃ ə AF b d̪ k oː AC ʃ õː
शब्दसूची	ʃ ə AF b d̪ s uː AC t ʃ iː AB
शब्दांश	ʃ ə AF b d̪ ɑː AB n ʃ
शब्दाडंबर	ʃ ə AF b d̪ ɑː AB ɖ ə AF m b ə AF ɾ
शब्दार्थ	ʃ ə AF b d̪ ɑː AB ɾ t̪ʰ
शब्दालंकार	ʃ ə AF b d̪ ɑː AB l ə AF ŋ k ɑː AB ɾ
शब्दावली	ʃ ə AF b d̪ ɑː AB ʋ AI l iː AB
शब्दो	ʃ ə AF b d̪ oː AC
शब्दों	ʃ ə AF b d̪ õː
शमशीर	ʃ ə AF m ʃ iː AB ɾ
शमशेर	ʃ ə AF m ʃ eː AB ɾ
शमा	ʃ ə AF m ɑː AB
शयन	ʃ ə AF j AA ə AF n
शयनकक्ष	ʃ ə AF j AA ə AF n k ə AF k ʂ
शयनागार	ʃ ə AF j AA n ɑː AB ɡ ɑː AB ɾ
शरण	ʃ ə AF ɾ ə AF ɳ
शरणागत	ʃ ə AF ɾ ɳ ɑː AB ɡ ə AF t̪
शरणार्थी	ʃ ə AF ɾ ɳ ɑː AB ɾ t̪ʰ iː AB
शरमाना	ʃ ə AF ɾ m ɑː AB n ɑː AB
शरमिंदा	ʃ ə AF ɾ m ɪ AF n d̪ ɑː AB
शराफत	ʃ ə AF ɾ ɑː AB pʰ ə AF t̪
शराब	ʃ ə AF ɾ ɑː AB b
शरारत	ʃ ə AF ɾ ɑː AB ɾ ə AF t̪
शरियत	ʃ ə AF ɾ ɪ AF j AA ə AF t̪
शरीफ़	ʃ ə AF ɾ iː AB pʰ
शरीफ़ा	ʃ ə AF ɾ iː AB pʰ ɑː AB
शरीर	ʃ ə AF ɾ iː AB ɾ
शरीरो	ʃ ə AF ɾ iː AB ɾ oː AC
शरीरों	ʃ ə AF ɾ iː AB ɾ õː
शर्करा	ʃ ə AF ɾ k ə AF ɾ ɑː AB
शर्बत	ʃ ə AF ɾ b ə AF t̪
शर्म	ʃ ə AF ɾ ə AF m
शर्मनाक	ʃ ə AF ɾ m n ɑː AB k
शर्मा	ʃ ə AF ɾ m ɑː AB
शर्माना	ʃ ə AF ɾ m ɑː AB n ɑː AB
शर्मिंदगी	ʃ ə AF ɾ m ɪ AF n d̪ ɡ iː AB
शर्मीला	ʃ ə AF ɾ m iː AB l ɑː AB
शलगम	ʃ ə AF l ɡ ə AF m
शलभ	ʃ ə AF l ə AF bʱ
शल्यक्रियागार	ʃ ə AF l j AA ə AF k ɾ ɪ AF j AA ɑː AB ɡ ɑː AB ɾ
शव	ʃ ə AF ʋ AI
शवयात्रा	ʃ ə AF ʋ AI j AA ɑː AB t̪ ɾ ɑː AB
शहंशाह	ʃ ə AF ɦ AE ə AF n ʃ ɑː AB ɦ AE
शहज़ादा	ʃ ə AF ɦ AE z ɑː AB d̪ ɑː AB
शहज़ादी	ʃ ə AF ɦ AE z ɑː AB d̪ iː AB
शहद	ʃ ə AF ɦ AE ə AF d̪
शहमात	ʃ ə AF ɦ AE m ɑː AB t̪
शहर	ʃ ə AF ɦ AE ə AF ɾ
शहरवासी	ʃ ə AF ɦ AE ə AF ɾ ʋ AI ɑː AB s iː AB
शहरी	ʃ ə AF ɦ AE ɾ iː AB
शहला	ʃ ə AF ɦ AE l ɑː AB
शहादत	ʃ ə AF ɦ AE ɑː AB d̪ ə AF t̪
शहीद	ʃ ə AF ɦ AE iː AB d̪
शांति	ʃ ɑː AB n t̪ iː AB
शांतिपूर्ण	ʃ ɑː AB n t̪ ɪ AF p uː AC ɾ ɳ
शाइस्ता	ʃ ɑː AB ɪ AF s t̪ ɑː AB
शाक	ʃ ɑː AB k
शाकाहारी	ʃ ɑː AB k ɑː AB ɦ AE ɑː AB ɾ iː AB
शाखा	ʃ ɑː AB kʰ ɑː AB
शागिर्द	ʃ ɑː AB ɡ ɪ AF ɾ d̪
शाणा	ʃ ɑː AB ɳ ɑː AB
शादी	ʃ ɑː AB d̪ iː AB
शादीशुदा	ʃ ɑː AB d̪ iː AB ʃ ʊ AD d̪ ɑː AB
शान	ʃ ɑː AB n
शानदार	ʃ ɑː AB n d̪ ɑː AB ɾ
शान्ति	ʃ ɑː AB n t̪ iː AB
शाप	ʃ ɑː AB p
शाबाश	ʃ ɑː AB b ɑː AB ʃ
शाबाशी	ʃ ɑː AB b ɑː AB ʃ iː AB
शाब्दिक	ʃ ɑː AB b d̪ ɪ AF k
शाम	ʃ ɑː AB m
शामियाना	ʃ ɑː AB m ɪ AF j AA ɑː AB n ɑː AB
शामिल	ʃ ɑː AB m ɪ AF l
शायरा	ʃ ɑː AB j AA ɾ ɑː AB
शायराना	ʃ ɑː AB j AA ɾ ɑː AB n ɑː AB
शारजाह	ʃ ɑː AB ɾ d ʒ ɑː AB ɦ AE
शारीरिक	ʃ ɑː AB ɾ iː AB ɾ ɪ AF k
शार्क	ʃ ɑː AB ɾ k
शाल	ʃ ɑː AB l
शालीन	ʃ ɑː AB l iː AB n
शालीनता	ʃ ɑː AB l iː AB n t̪ ɑː AB
शालीनतापूर्वक	ʃ ɑː AB l iː AB n t̪ ɑː AB p uː AC ɾ ʋ AI ə AF k
शावक	ʃ ɑː AB ʋ AI ə AF k
शाश्वत	ʃ ɑː AB ʃ ʋ AI ə AF t̪
शासक	ʃ ɑː AB s ə AF k
शासन	ʃ ɑː AB s ə AF n
शासनहीनता	ʃ ɑː AB s ə AF n ɦ AE iː AB n ə AF t̪ ɑː AB
शाह	ʃ ɑː AB ɦ AE
शाहमुखी	ʃ ɑː AB ɦ AE m ʊ AD kʰ iː AB
शाहाना	ʃ ɑː AB ɦ AE ɑː AB n ɑː AB
शाही	ʃ ɑː AB ɦ AE iː AB
शाहीन	ʃ ɑː AB ɦ AE iː AB n
शिंदे	ʃ ɪ AF n d̪ eː AB
शिकंजा	ʃ ɪ AF k ə AF n d ʒ ɑː AB
शिकंजी	ʃ ɪ AF k ə AF n d ʒ iː AB
शिकम	ʃ ɪ AF k ə AF m
शिकस्त	ʃ ɪ AF k ə AF s t̪
शिकायत	ʃ ɪ AF k ɑː AB j AA ə AF t̪
शिकार	ʃ ɪ AF k ɑː AB ɾ
शिकारा	ʃ ɪ AF k ɑː AB ɾ ɑː AB
शिकारी	ʃ ɪ AF k ɑː AB ɾ iː AB
शिकोहाबाद	ʃ ɪ AF k oː AC ɦ AE ɑː AB b ɑː AB d̪
शिक्षक	ʃ ɪ AF k ʂ ə AF k
शिक्षण	ʃ ɪ AF k ʂ ə AF ɳ
शिक्षा	ʃ ɪ AF k ʂ ɑː AB
शिक्षाकर्मी	ʃ ɪ AF k ʂ ɑː AB k ə AF ɾ m iː AB
शिक्षार्थी	ʃ ɪ AF k ʂ ɑː AB ɾ t̪ʰ iː AB
शिक्षाविद्	ʃ ɪ AF k ʂ ɑː AB ʋ AI ɪ AF d̪
शिक्षाशास्त्री	ʃ ɪ AF k ʂ ɑː AB ʃ ɑː AB s t̪ ɾ iː AB
शिक्षिका	ʃ ɪ AF k ʂ ɪ AF k ɑː AB
शिखर	ʃ ɪ AF kʰ ə AF ɾ
शिगात्से	ʃ ɪ AF ɡ ɑː AB t̪ s eː AB
शिथिराति	ʃ ɪ AF t̪ʰ ɪ AF ɾ ɑː AB t̪ iː AB
शिद्दत	ʃ ɪ AF d̪ d̪ ə AF t̪
शिनकानसेन	ʃ ɪ AF n k ɑː AB n s eː AB n
शिनजियांग	ʃ ɪ AF n d ʒ ɪ AF j AA ɑː AB ŋ ɡ
शिनाख़्त	ʃ ɪ AF n ɑː AB x t̪
शिफ़ा	ʃ ɪ AF pʰ ɑː AB
शिमला	ʃ ɪ AF m l ɑː AB
