'n	ə AK n
unkundig	ʊ AI n k ʊ AI n d ɪ AK ç
unkündbar	ʊ AI n k ʏ AI n t b aː AD r
unlauter	ʊ AI n l a AC ʊ̯ BC t ɐ BE
unleidig	ʊ AI n l a AC ɪ̯ BB d ɪ AK ç
unleugbar	ʊ AI n l ɔ AI ɪ̯ BB k b aː AD ɐ̯
unlieb	ʊ AI n l iː AF p
unlimitiert	ʊ AI n l i AE m i AE t iː AF ɐ̯ t
unliniert	ʊ AI n l i AE n iː AF ɐ̯ t
unliterarisch	ʊ AI n l ɪ AK t ə AK ʀ aː AD ʀ ɪ AK ʃ
unlust	ʊ AI n l ʊ AI s t
unlustig	ʊ AI n l ʊ AI s t ɪ AK ç
unlängst	ʊ AI n l ɛ AK ŋ s t
unmass	ʊ AI n m aː AD s
unmassgeblichkeit	ʊ AI n m aː AD s ɡ eː AF p l ɪ AK ç k a AC ɪ̯ BB t
unmensch	ʊ AI n m ɛ AK n ʃ
unmenschlichkeit	ʊ AI n m ɛ AK n ʃ l ɪ AK ç k a AC ɪ̯ BB t
unmilitärisch	ʊ AI n m i AE l i AE t ɛː AM ʀ ɪ AK ʃ
unmittelbar	ʊ AI n m ɪ AK t ə AK l b aː AD ɐ̯
unmotiviert	ʊ AI n m o AG t i AE v iː AF ɐ̯ t
unmut	ʊ AI n m uː AH t
unmöglich	ʔ ʊ AI n m øː AH k l ɪ AK ç
unmündig	ʊ AI n m ʏ AI n d ɪ AK ç
unnahbar	ʊ AI n n aː AD b aː AD ɐ̯
unnatürlich	ʊ AI n a AC tʰ yː AH ʀ l ɪ AK ç
unnötig	ʊ AI n øː AH t ɪ AK ç
unnütz	ʊ AI n n ʏ AI t s
unordentlich	ʊ AI n ʔ ɔ AI ɐ̯ d n̩ t l ɪ AK ç
unordnung	ʔ ʊ AI n ʔ o AG ʁ d n ʊ AI ŋ
unorthodox	ʊ AI n ʔ ɔ AI ʁ t o AG d ɔ AI k s
unpaarhufer	ʊ AI n p aː AD ɐ̯ h AA uː AH f ɐ BE
unpaarig	ʊ AI n p aː AD ʀ ɪ AK ç
unparteiisch	ʊ AI n p a AC ʁ t a AC ɪ̯ BB ɪ AK ʃ
unpassierbar	ʊ AI n p a AC s iː AF ɐ̯ b aː AD ɐ̯
unpathetisch	ʊ AI n p a AC t eː AF t ɪ AK ʃ
unpfändbar	ʊ AI n p f ɛ AK n t b aː AD ɐ̯
unplaciert	ʊ AI n p l a AC s iː AF ɐ̯ t
unplatziert	ʊ AI n p l a AC t s iː AF ɐ̯ t
unpopulär	ʊ AI n p o AG p u AG l ɛː AM ɐ̯
unprätentiös	ʊ AI n p ʀ ɛ AK t ɛ AK n t s ɪ̯ BB øː AH s
unpässlich	ʊ AI n p ɛ AK s l ɪ AK ç
unrasiert	ʊ AI n ʀ a AC z iː AF ɐ̯ t
unrast	ʊ AI n r a AC s t
unrat	ʊ AI n ʁ aː AD t
unrecht	ʔ ʊ AI n ʀ ɛ AK ç t
unrechtmässig	ʊ AI n r ɛ AK ç t m ɛː AM s ɪ AK ç
unrechtmässiger	ʊ AI n r ɛ AK ç t m ɛː AM s ɪ AK ɡ ɐ BE
unrechtmässigsten	ʊ AI n r ɛ AK ç t m ɛː AM s ɪ AK ç s t ə AK n
unrechtsstaat	ʊ AI n r ɛ AK ç t s ʃ t aː AD t
unredlich	ʊ AI n ʀ eː AF t l ɪ AK ç
unregelmässig	ʊ AI n ʁ eː AF ɡ l̩ m ɛː AM s ɪ AK ç
unregelmässigkeit	ʊ AI n ʁ eː AF ɡ l̩ m ɛː AM s ɪ AK ç k a AC ɪ̯ BB t
unreif	ʊ AI n ʁ a AC ɪ̯ BB f
unreife	ʊ AI n ʁ a AC ɪ̯ BB f ə AK
unreinigkeit	ʊ AI n ʁ a AC ɪ̯ BB n ɪ AK ç k a AC ɪ̯ BB t
unrentabel	ʊ AI n ʀ ɛ AK n t aː AD b l̩
unrettbar	ʊ AI n ʀ ɛ AK t b aː AD ɐ̯
unrichtig	ʊ AI n ʀ ɪ AK ç t ɪ AK ç
unruhig	ʊ AI n ʁ uː AH ɪ AK ç
uns	ʊ AI n s
unsachlich	ʊ AI n z a AC χ l ɪ AK ç
unsagbar	ʊ AI n z aː AD k b aː AD ɐ̯
unsanft	ʊ AI n z a AC n f t
unsauberkeit	ʊ AI n z a AC ʊ̯ BC b ɐ BE k a AC ɪ̯ BB t
unscharf	ʊ AI n ʃ a AC ʁ f
unscheinbar	ʊ AI n ʃ a AC ɪ̯ BB n b aː AD ɐ̯
unschierig	ʊ AI n ʃ iː AF ʀ ɪ AK ç
unschliefbar	ʊ AI n ʃ l iː AF f b aː AD ɐ̯
unschlächtig	ʊ AI n ʃ l ɛ AK ç t ɪ AK ç
unschlüssig	ʊ AI n ʃ l ʏ AI s ɪ AK ç
unschmeichelhaft	ʊ AI n ʃ m a AC ɪ̯ BB ç ə AK l h AA a AC f t
unschuld	ʊ AI n ʃ ʊ AI l t
unschuldig	ʊ AI n ʃ ʊ AI l d ɪ AK ç
unschuldsvermutung	ʊ AI n ʃ ʊ AI l t s f ɛ AK ɐ̯ m uː AH t ʊ AI ŋ
unschuldsvoll	ʊ AI n ʃ ʊ AI l t s f ɔ AI l
unschwierig	ʊ AI n ʃ v iː AF ʀ ɪ AK ç
unschätzbar	u AG n ʃ ɛ AK t s b aː AD ɐ̯
unser	ʔ ʊ AI n z ɐ BE
unseretwegen	ʊ AI n z ə AK ʁ ə AK t v eː AF ɡ ə AK n
unsexy	ʊ AI n s ɛ AK k s i AE
unsicher	ʊ AI n z ɪ AK ç ɐ BE
unsicherheit	ʊ AI n z ɪ AK ç ɐ BE h AA a AC ɪ̯ BB t
unsichtig	ʊ AI n z ɪ AK ç t ɪ AK ç
unsilbisch	ʊ AI n z ɪ AK l b ɪ AK ʃ
unsinkbar	ʊ AI n z ɪ AK ŋ k b aː AD ɐ̯
unsinn	ʊ AI n z ɪ AK n
unsinnig	ʊ AI n z ɪ AK n ɪ AK ç
unsitte	ʊ AI n z ɪ AK t ə AK
unspielbar	ʊ AI n ʃ p iː AF l b aː AD ɐ̯
unsretwegen	ʊ AI n z ʁ ə AK t v eː AF ɡ ə AK n
unsterblich	ʊ AI n ʃ t ɛ AK ʁ p l ɪ AK ç
unsterblichkeit	ʊ AI n ʃ t ɛ AK ʁ p l ɪ AK ç k a AC ɪ̯ BB t
unstern	ʊ AI n ʃ t ɛ AK ʁ n
unsternbedroht	ʊ AI n ʃ t ɛ AK ʁ n b ə AK d r oː AH t
unstrittig	ʊ AI n ʃ t ʀ ɪ AK t ɪ AK ç
unstrukturiert	ʊ AI n ʃ t ʁ ʊ AI k t u AG ʁ iː AF ʁ t
unsympathisch	ʊ AI n s ʏ AI m p aː AD t ɪ AK ʃ
unsystematisch	ʊ AI n z ʏ AI s t e AE m aː AD t ɪ AK ʃ
unsäglich	ʊ AI n z ɛː AM k l ɪ AK ç
unsäglicher	ʊ AI n z ɛː AM k l ɪ AK ç ɐ BE
untadelig	ʊ AI n t aː AD d ə AK l ɪ AK ç
untalentiert	ʊ AI n t a AC l ɛ AK n t iː AF ɐ̯ t
untat	ʊ AI n t aː AD t
untauglich	ʊ AI n t a AC ʊ̯ BC k l ɪ AK ç
untauglichkeit	ʊ AI n t a AC ʊ̯ BC k l ɪ AK ç k a AC ɪ̯ BB t
untechnisch	ʊ AI n t ɛ AK ç n ɪ AK ʃ
unteilbar	ʊ AI n t a AC ɪ̯ BB l b aː AD ɐ̯
unten	ʊ AI n t n̩
unter	ʊ AI n t ɐ BE
unterabsatz	ʊ AI n t ɐ BE a AC p z a AC t s
unterabschnitt	ʊ AI n t ɐ BE a AC p ʃ n ɪ AK t
unterart	ʊ AI n t ɐ BE ʔ aː AD ɐ̯ t
unterbeschäftigt	ʊ AI n t ɐ BE b ə AK ʃ ɛ AK f t ɪ AK ç t
unterbesetzt	ʊ AI n t ɐ BE b ə AK z ɛ AK t s t
unterbewusst	ʔ ʊ AI n t ɐ BE b ə AK v ʊ AI s t
unterbewusstsein	ʔ ʊ AI n t ɐ BE b ə AK v ʊ AI s t z a AC ɪ̯ BB n
unterbrechung	ʊ AI n t ɐ BE b ʁ ɛ AK ç ʊ AI ŋ
unterbuttern	ʊ AI n t ɐ BE b ʊ AI t ɐ BE n
unterdes	ʊ AI n t ɐ BE d ɛ AK s
unterdruck	ʊ AI n t ɐ BE d ʁ ʊ AI k
unterdrücken	ʊ AI n t ə AK ʁ d ʁ ʏ AI k ə AK n
unterdrückung	ʊ AI n t ɐ BE d ʀ ʏ AI k ʊ AI ŋ
unterdurchschnittlich	ʊ AI n t ɐ BE d ʊ AI ʁ ç ʃ n ɪ AK t l ɪ AK ç
untereinander	ʊ AI n t ə AK ʁ a AC ɪ̯ BB n a AC n d ə AK ʁ
unterer	ʊ AI n t ə AK ʁ ɐ BE
unterernährt	ʊ AI n t ɐ BE ʔ ɛ AK ɐ̯ n ɛː AM ɐ̯ t
unterernährung	ʊ AI n t ɐ BE ʔ ɛ AK ɐ̯ n ɛː AM ʁ ʊ AI ŋ
unterführen	ʊ AI n t ɐ BE f yː AH ɐ̯ n
untergang	ʔ ʊ AI n t ɐ BE ɡ a AC ŋ
untergattung	ʊ AI n t ɐ BE ɡ a AC t ʊ AI ŋ
untergeben	ʊ AI n t ɐ BE ɡ eː AF b ə AK n
untergehen	ʔ ʊ AI n t ɐ BE ɡ eː AF ə AK n
untergeordnet	ʊ AI n t ɐ BE ɡ ə AK ɔ AI ʁ d n ə AK t
untergeschoss	ʊ AI n t ɐ BE ɡ ə AK ʃ ɔ AI s
untergewand	ʊ AI n t ɐ BE ɡ ə AK v a AC n t
untergriffig	ʊ AI n t ɐ BE ɡ ʀ ɪ AK f ɪ AK ç
untergrund	ʔ ʊ AI n t ɐ BE ɡ ʀ ʊ AI n t
untergrundbahn	ʔ ʊ AI n t ɐ BE ɡ ʀ ʊ AI n t b aː AD n
untergärig	ʊ AI n t ɐ BE ɡ ɛː AM ʀ ɪ AK ç
unterhalb	ʊ AI n t ɐ BE h AA a AC l p
unterhalt	ʊ AI n t ə AK r h AA a AC l t
unterhalten	ʊ AI n t ə AK ʁ h AA a AC l t ə AK n
unterhaltsam	ʊ AI n t ɐ BE h AA a AC l t z aː AD m
unterhaus	ʊ AI n t ɐ BE h AA a AC ʊ̯ BC s
unterholz	ʊ AI n t ə AK ʁ h AA ɔ AI l t s
unterhose	ʊ AI n t ɐ BE h AA oː AH z ə AK
unterhosen	ʊ AI n t ɐ BE h AA oː AH z n
unterhändlerinnen	ʊ AI n t ɐ BE h AA ɛ AK n d l ə AK ʁ ɪ AK n ə AK n
unterjochung	ʊ AI n t ɐ BE j AB ɔ AI x ʊ AI ŋ
unterjährig	ʊ AI n t ɐ BE j AB ɛː AM ʀ ɪ AK ç
unterklassig	ʊ AI n t ɐ BE k l a AC s ɪ AK ç
unterkleid	ʊ AI n t ɐ BE k l a AC ɪ̯ BB t
unterkommen	ʊ AI n t ə AK r k ɔ AI m ə AK n
unterkriegen	ʊ AI n t ɐ BE k ʁ iː AF ɡ n̩
unterkunft	ʊ AI n t ɐ BE k ʊ AI n f t
unterlage	ʊ AI n t ɐ BE l aː AD ɡ ə AK
unterlass	ʔ ʊ AI n t ɐ BE l a AC s
unterlassen	ʊ AI n t ə AK ʁ l a AC s ə AK n
unterlassung	ʊ AI n t ɐ BE l a AC s ʊ AI ŋ
unterlauf	ʊ AI n t ɐ BE l a AC ʊ̯ BC f
unterleib	ʊ AI n t ɐ BE l a AC ɪ̯ BB p
unterlippe	ʊ AI n t ɐ BE l ɪ AK p ə AK
unterm	ʊ AI n t ɐ BE m
untermauern	ʊ AI n t ɐ BE m a AC ʊ̯ BC ɐ BE n
untermenü	ʊ AI n t ɐ BE m e AE n yː AH
unterminieren	ʊ AI n t ɐ BE m i AE n iː AF ʁ ə AK n
unterminiert	ʊ AI n t ɐ BE m i AE n iː AF ɐ̯ t
unternehmen	ʊ AI n t ɐ BE n eː AF m ə AK n
unternehmensanleihe	ʊ AI n t ɐ BE n eː AF m ə AK n s a AC n l a AC ɪ̯ BB ə AK
unternehmenseigen	ʊ AI n t ɐ BE n eː AF m ə AK n s ʔ a AC ɪ̯ BB ɡ n̩
unternehmer	ʊ AI n t ɐ BE n eː AF m ɐ BE
unternehmung	ʊ AI n t ɐ BE n eː AF m ʊ AI ŋ
unterordnen	ʊ AI n t ɐ BE ɔ AI ʁ d n ə AK n
unterprivilegiert	ʊ AI n t ɐ BE p ʀ i AE v i AE l e AE ɡ iː AF ɐ̯ t
unterqualifiziert	ʊ AI n t ɐ BE k v a AC l i AE f i AE t s iː AF ɐ̯ t
unterricht	ʊ AI n t ɐ BE ʁ ɪ AK ç t
unterrichten	ʊ AI n t ɐ BE ʀ ɪ AK ç t n̩
unterrichtsfach	ʊ AI n t ɐ BE ʀ ɪ AK ç t s f a AC χ
unterrichtsstunde	ʊ AI n t ɐ BE ʀ ɪ AK ç t s ʃ t ʊ AI n d ə AK
unterrichtung	ʊ AI n t ɐ BE ʀ ɪ AK ç t ʊ AI ŋ
unterschenkel	ʔ ʊ AI n t ɐ BE ʃ ɛ AK ŋ k l̩
unterschied	ʔ ʊ AI n tʰ ɐ BE ʃ iː AF t
unterschiedlich	ʊ AI n t ɐ BE ʃ iː AF t l ɪ AK ç
unterschlagen	ʊ AI n t ə AK r ʃ l aː AD ɡ ə AK n
unterschlagung	ʊ AI n t ɐ BE ʃ l aː AD ɡ ʊ AI ŋ
unterschlupf	ʊ AI n t ə AK r ʃ l ʊ AI p f
unterschlächtig	ʊ AI n t ɐ BE ʃ l ɛ AK ç t ɪ AK ç
unterschlüpfen	ʊ AI n t ə AK r ʃ l ʏ AI p f ə AK n
unterschreiben	ʊ AI n t ɐ BE ʃ ʁ a AC ɪ̯ BB b ə AK n
unterschreiten	ʊ AI n t ɐ BE ʃ ʁ a AC ɪ̯ BB t ə AK n
unterschrift	ʊ AI n t ɐ BE ʃ ʁ ɪ AK f t
unterschwellig	ʊ AI n t ɐ BE ʃ v ɛ AK l ɪ AK ç
unterschätzung	ʊ AI n t ɐ BE ʃ ɛ AK t s ʊ AI ŋ
unterseeboot	ʔ ʊ AI n t ɐ BE z eː AF b oː AH t
unterseeisch	ʊ AI n t ɐ BE z eː AF ɪ AK ʃ
unterseite	ʊ AI n t ɐ BE z a AC ɪ̯ BB t ə AK
untersetzt	ʊ AI n t ɐ BE z ɛ AK t s t
unterstand	ʊ AI n t ɐ BE ʃ t a AC n t
unterstehen	ʊ AI n t ɐ BE ʃ t eː AF ə AK n
unterstellen	ʊ AI n t ɐ BE ʃ t ɛ AK l ə AK n
unterstützen	ʊ AI n t ɐ BE ʃ t ʏ AI t s ə AK n
unterstützer	ʊ AI n t ɐ BE ʃ t ʏ AI t s ɐ BE
unterstützerin	ʊ AI n t ɐ BE ʃ t ʏ AI t s ə AK ʁ ɪ AK n
unterstützerinnen	ʊ AI n t ɐ BE ʃ t ʏ AI t s ə AK ʁ ɪ AK n ə AK n
unterstützung	ʊ AI n t ɐ BE ʃ t ʏ AI t s ʊ AI ŋ
untersuchen	ʔ ʊ AI n t ɐ BE z uː AH x ə AK n
untersuchung	ʊ AI n t ɐ BE z uː AH x ʊ AI ŋ
untersuchungsausschuss	ʊ AI n t ɐ BE z uː AH χ ʊ AI ŋ s ʔ a AC ʊ̯ BC s ʃ ʊ AI s
untersuchungsausschusse	ʊ AI n t ɐ BE z uː AH χ ʊ AI ŋ s ʔ a AC ʊ̯ BC s ʃ ʊ AI s ə AK
untersuchungsausschusses	ʊ AI n t ɐ BE z uː AH χ ʊ AI ŋ s ʔ a AC ʊ̯ BC s ʃ ʊ AI s ə AK s
untersuchungsausschüsse	ʊ AI n t ɐ BE z uː AH χ ʊ AI ŋ s ʔ a AC ʊ̯ BC s ʃ ʏ AI s ə AK
untersuchungsausschüssen	ʊ AI n t ɐ BE z uː AH χ ʊ AI ŋ s ʔ a AC ʊ̯ BC s ʃ ʏ AI s n̩
untersuchungsergebnis	ʊ AI n t ɐ BE z uː AH χ ʊ AI ŋ s ɛ AK ʁ ɡ eː AF p n ɪ AK s
unterteilen	ʊ AI n t ɐ BE t a AC ɪ̯ BB l ə AK n
untertitel	ʊ AI n t ɐ BE t ɪ AK t l
untertiteln	ʊ AI n t ɐ BE t iː AF t l̩ n
untertitelung	ʊ AI n t ɐ BE t iː AF t ə AK l ʊ AI ŋ
unterton	ʊ AI n t ɐ BE t oː AH n
untertänigkeit	ʊ AI n t ɐ BE t ɛː AM n ɪ AK ç k a AC ɪ̯ BB t
unterwasserarchäologisch	ʊ AI n t ɐ BE v a AC s ɐ BE ʔ a AC ʁ ç ɛ AK o AG l oː AH ɡ ɪ AK ʃ
unterwegs	ʊ AI n t ɐ BE v eː AF k s
unterwärts	ʊ AI n t ɐ BE v ɛ AK ʁ t s
unterwäsche	ʊ AI n t ɐ BE v ɛ AK ʃ ə AK
unterwürfig	ʊ AI n t ɐ BE v ʏ AI ʁ f ɪ AK ç
unterwürfigkeit	ʊ AI n t ɐ BE v ʏ AI ʁ f ɪ AK ç k a AC ɪ̯ BB t
unterzeile	ʊ AI n t ɐ BE t s a AC ɪ̯ BB l ə AK
untiefe	ʊ AI n t iː AF f ə AK
untier	ʊ AI n t iː AF ɐ̯
untrennbar	ʊ AI n t ʀ ɛ AK n b aː AD ɐ̯
untreue	ʊ AI n t ʀ ɔ AI ɪ̯ BB ə AK
untrüglich	ʊ AI n t ʀ yː AH k l ɪ AK ç
untunlich	ʊ AI n t uː AH n l ɪ AK ç
untätig	ʊ AI n t ɛː AM t ɪ AK ç
untätigkeit	ʊ AI n t ɛː AM t ɪ AK ç k a AC ɪ̯ BB t
unumgehbar	ʊ AI n ʔ ʊ AI m ɡ eː AF b aː AD ɐ̯
unumgänglich	ʊ AI n ʔ ʊ AI m ɡ ɛ AK ŋ l ɪ AK ç
unumkehrbar	ʊ AI n ʔ ʊ AI m k eː AF ɐ̯ b aː AD ɐ̯
ununterbrochen	ʊ AI n ʔ ʊ AI n t ɐ BE b ʀ ɔ AI χ n̩
unverblümt	ʊ AI n f ɛ AK ɐ̯ b l yː AH m t
unverbraucht	ʊ AI n f ɛ AK ɐ̯ b ʀ a AC ʊ̯ BC χ t
unverbrüchlich	ʊ AI n f ɛ AK ɐ̯ b ʀ ʏ AI ç l ɪ AK ç
unverdrossen	ʊ AI n f ɛ AK ɐ̯ d ʀ ɔ AI s n̩
unverdächtig	ʊ AI n f ɛ AK ɐ̯ d ɛ AK ç t ɪ AK ç
unvereinbar	ʊ AI n f ɛ AK ɐ̯ a AC ɪ̯ BB n b aː AD ɐ̯
unverformbar	ʊ AI n f ɛ AK ɐ̯ f ɔ AI ʁ m b aː AD ɐ̯
unverfroren	ʊ AI n f ɛ AK ɐ̯ f ʀ oː AH ʀ ə AK n
unverfrorenheit	ʊ AI n f ɛ AK ɐ̯ f ʀ oː AH ʀ ə AK n h AA a AC ɪ̯ BB t
unvergessen	ʊ AI n f ɛ AK ɐ̯ ɡ ɛ AK s n̩
unverheiratet	ʊ AI n f ɛ AK ɐ̯ h AA a AC ɪ̯ BB ʀ aː AD t ə AK t
unverhofft	ʊ AI n f ɛ AK ɐ̯ h AA ɔ AI f t
unverhohlen	ʊ AI n f ɐ̯ h AA oː AH l ɘ AE n
unverhältnismässig	ʊ AI n f ɛ AK ɐ̯ h AA ɛ AK l t n ɪ AK s m ɛː AM s ɪ AK ç
unverkennbar	ʊ AI n f ɛ AK ɐ̯ k ɛ AK n b aː AD ɐ̯
unverletzlich	ʊ AI n f ɛ AK ɐ̯ l ɛ AK t s l ɪ AK ç
unverletzt	ʊ AI n f ɛ AK ʁ l ɛ AK t s t
unvermindert	ʊ AI n f ɛ AK ɐ̯ m ɪ AK n d ɐ BE t
unvermittelt	ʊ AI n f ɛ AK ɐ̯ m ɪ AK t l̩ t
unvermögen	ʊ AI n f ɛ AK ɐ̯ m øː AH ɡ n̩
unvernunft	ʊ AI n f ɛ AK ɐ̯ n ʊ AI n f t
unvernünftig	ʊ AI n f ɛ AK ɐ̯ n ʏ AI n f t ɪ AK ç
unvernünftigkeit	ʊ AI n f ɛ AK ɐ̯ n ʏ AI n f t ɪ AK ç k a AC ɪ̯ BB t
unvernünftigkeiten	ʊ AI n f ɛ AK ɐ̯ n ʏ AI n f t ɪ AK ç k a AC ɪ̯ BB t n̩
unverschuldet	ʊ AI n f ɛ AK ɐ̯ ʃ ʊ AI l d ə AK
unverschämt	ʔ ʊ AI n f ɛ AK ɐ̯ ʃ ɛː AM m t
unverschämtheit	ʊ AI n f ɛ AK ɐ̯ ʃ ɛː AM m t h AA a AC ɪ̯ BB t
unversucht	ʊ AI n f ɛ AK ɐ̯ z uː AH χ t
unversöhnlich	ʊ AI n f ɛ AK ɐ̯ z øː AH n l ɪ AK ç
unverwandt	u AG n f ɛ AK ɐ̯ v a AC n t
unverwechselbar	ʊ AI n f ɛ AK ʁ v ɛ AK k s l̩ b aː AD ɐ̯
unverwertbar	ʊ AI n f ɛ AK ɐ̯ v eː AF ɐ̯ t b aː AD ɐ̯
unverweslichkeit	ʊ AI n f ɛ AK ɐ̯ v eː AF s l ɪ AK ç k a AC ɪ̯ BB t
unverwundbar	ʊ AI n f ɛ AK ɐ̯ v ʊ AI n t b aː AD ɐ̯
unverzagt	ʊ AI n f ɛ AK ɐ̯ t s aː AD k t
unvollendet	ʊ AI n f ɔ AI l ʔ ɛ AK n d ə AK t
unvollkommen	ʊ AI n f ɔ AI l k ɔ AI m ə AK n
unvollständig	ʊ AI n f ɔ AI l ʃ t ɛ AK n d ɪ AK ç
unvollständigkeit	ʔ ʊ AI n f ɔ AI l ʃ t ɛ AK n d ɪ AK ç k a AC ɪ̯ BB t
unvordenklich	ʊ AI n f oː AH ɐ̯ d ɛ AK ŋ k l ɪ AK ç
unvorhergesehen	ʊ AI n f oː AH ɐ̯ h AA eː AF ɐ̯ ɡ ə AK z eː AF ə AK n
unvorhersehbar	ʊ AI n f oː AH ɐ̯ h AA eː AF ɐ̯ z eː AF b aː AD ɐ̯
unvorteilhaft	ʊ AI n f ɔ AI ʁ t a AC ɪ̯ BB l h AA a AC f t
unwahrscheinlich	ʊ AI n v aː AD ɐ̯ ʃ a AC ɪ̯ BB n l ɪ AK ç
unwandelbar	ʊ AI n v a AC n d l̩ b aː AD ɐ̯
unwegsam	ʊ AI n v eː AF k z aː AD m
unweigerlich	ʊ AI n v a AC ɪ̯ BB ɡ ɐ BE l ɪ AK ç
unweise	ʊ AI n v a AC ɪ̯ BB z ə AK
unwetter	ʊ AI n v ɛ AK t ɐ BE
unwichtig	ʊ AI n v ɪ AK ç t ɪ AK ç
unwiderstehlich	ʔ ʊ AI n v iː AF d ɐ BE ʃ t eː AF l ɪ AK ç
unwiederbringlich	ʊ AI n v iː AF d ɐ BE b ʁ ɪ AK ŋ l ɪ AK ç
unwiederholbar	ʊ AI n v iː AF d ɐ BE h AA oː AH l b aː AD ɐ̯
unwillkürlich	ʊ AI n v ɪ AK l k yː AH ɐ̯ l ɪ AK ç
unwirklich	ʊ AI n v ɪ AK ʁ k l ɪ AK ç
unwirsch	ʊ AI n v ɪ AK ʁ ʃ
unwirtlich	ʊ AI n v ɪ AK ʁ t l ɪ AK ç
unwissen	ʊ AI n v ɪ AK s n̩
unwissend	ʊ AI n v ɪ AK s n̩ t
unwählbar	ʊ AI n v ɛː AM l b aː AD ɐ̯
unwürdig	u AG n v ʏ AI ʁ d ɪ AK ç
unzeit	ʊ AI n t s a AC ɪ̯ BB t
unzeitgemäss	ʊ AI n t s a AC ɪ̯ BB t ɡ ə AK m ɛː AM s
unzeitig	ʊ AI n t s a AC ɪ̯ BB t ɪ AK ç
unzerkaut	ʊ AI n t s ɛ AK ɐ̯ k a AC ʊ̯ BC t
unzerreissbar	ʊ AI n t s ɛ AK ɐ̯ ʀ a AC ɪ̯ BB s b aː AD ɐ̯
unzerstörbarkeit	ʊ AI n t s ɛ AK ɐ̯ ʃ t øː AH ɐ̯ b aː AD ɐ̯ k a AC ɪ̯ BB t
unzerstört	ʊ AI n t s ɛ AK ɐ̯ ʃ t øː AH ɐ̯ t
unzertrennbar	ʊ AI n t s ɛ AK ɐ̯ t ʀ ɛ AK n b aː AD ɐ̯
unzivilisiert	ʊ AI n t s i AE v i AE l i AE z iː AF ɐ̯ t
unzucht	ʊ AI n t s ʊ AI x t
unzufriedenheit	ʔ ʊ AI n t s u AG f ʁ iː AF d ə AK n h AA a AC ɪ̯ BB t
unzugänglich	ʊ AI n t s u AG ɡ ɛ AK ŋ l ɪ AK ç
unzulänglich	ʊ AI n t s u AG l ɛ AK ŋ l ɪ AK ç
unzulänglichkeit	ʊ AI n t s u AG l ɛ AK ŋ l ɪ AK ç k a AC ɪ̯ BB t
unzulässig	ʊ AI n t s uː AH l ɛ AK s ɪ AK ç
unzumutbar	ʊ AI n t s uː AH m uː AH t b aː AD ɐ̯
unzustellbar	ʊ AI n t s uː AH ʃ t ɛ AK l b aː AD ɐ̯
unzuverlässig	u AG n t s uː AH f ɛ AK ɐ̯ l ɛ AK s ɪ AK ç
unzweideutig	ʊ AI n t s v a AC ɪ̯ BB d ɔ AI ɪ̯ BB t ɪ AK ç
unzählbar	ʊ AI n t s ɛː AM l b aː AD ʁ
unzählig	ʊ AI n t s ɛː AM l ɪ AK ç
unzähmbar	ʊ AI n t s ɛː AM m b aː AD ɐ̯
unzähmbarkeit	ʊ AI n t s ɛː AM m b aː AD ɐ̯ k a AC ɪ̯ BB t
unzüchtig	ʊ AI n t s ʏ AI ç t ɪ AK ç
unähnlich	u AG n ʔ ɛː AM n l ɪ AK ç
unähnlichkeit	u AG n ʔ ɛː AM n l ɪ AK ç k a AC ɪ̯ BB t
unüberbrückbar	ʊ AI n z aː AD k b aː AD ɐ̯
unüberhörbar	ʊ AI n ʔ yː AH b ɐ BE h AA øː AH ɐ̯ b aː AD ɐ̯
unüberlegt	ʊ AI n ʔ yː AH b ɐ BE l eː AF k t
unüberschaubar	ʊ AI n ʔ yː AH b ɐ BE ʃ a AC ʊ̯ BC b aː AD ɐ̯
unübersehbar	ʊ AI n ʔ yː AH b ɐ BE z eː AF b aː AD ɐ̯
unübertrefflich	ʊ AI n ʔ yː AH b ɐ BE t ʀ ɛ AK f l ɪ AK ç
updaten	a AC p d ɛ AK ɪ̯ BB t ə AK n
uploaden	a AC p l oː AH d ə AK n
ur	ʔ uː AH ɐ̯
uralt	ʔ uː AH ɐ̯ ʔ a AC l t
uramerikanisch	uː AH ɐ̯ ʔ a AC m e AE ʀ i AE k aː AD n ɪ AK ʃ
uran	u AG ʁ aː AD n
uranhaltig	u AG ʁ aː AD n h AA a AC l t ɪ AK ç
uranus	uː AH ʁ a AC n ʊ AI s
urban	ʊ AI ʁ b aː AD n
urbanophil	ʊ AI ʁ b a AC n o AG f iː AF l
urbar	uː AH ɐ̯ b aː AD ɐ̯
urbevölkerung	uː AH ɐ̯ b ə AK f œ AI l k ə AK ʁ ʊ AI ŋ
urbild	uː AH ɐ̯ b ɪ AK l t
urchig	ʊ AI ʁ ç ɪ AK ɡ
urcool	uː AH ɐ̯ k uː AH l
urd	ʊ AI r t
ureinwohner	uː AH ɐ̯ a AC ɪ̯ BB n v oː AH n ɐ BE
urethan	u AG ʀ e AE t aː AD n
urgemütlich	uː AH ɐ̯ ɡ ə AK m yː AH t l ɪ AK ç
urgeschichte	uː AH ʁ ɡ ə AK ʃ ɪ AK ç t ə AK
urgestein	uː AH ɐ̯ ɡ ə AK ʃ t a AC ɪ̯ BB n
urgier	ʊ AI ʁ ɡ iː AF ʁ
urgiere	ʊ AI ʁ ɡ iː AF ʁ ə AK
