あ	a̠ AI
はいどう	h AA a̠ AI i AC d o̞ː AE
はいにょう	h AA a̠ AI i AC ɲ̟ o̞ː AE
はいのすいようび	h AA a̠ AI i AC n o̞ AF s ɨᵝ i AC j AB o̞ː AE bʲ i AC
はいばん	h AA a̠ AI i AC b ã̠ ɴ
はいび	h AA a̠ AI i AC bʲ i AC
はいふ	h AA a̠ AI i AC ɸ ɯ̟ᵝ
はいぶん	h AA a̠ AI i AC b ɯ̟̃ᵝ ɴ
はいべん	h AA a̠ AI i AC b ẽ̞ ɴ
はいぼく	h AA a̠ AI i AC b o̞ AF k ɯ̟ᵝ
はいまみれ	h AA a̠ AI i AC m a̠ AI mʲ i AC ɾ e̞ AC
はいめん	h AA a̠ AI i AC m ẽ̞ ɴ
はいゆう	h AA a̠ AI i AC j AB ɯ̟ᵝː
はいりょ	h AA a̠ AI i AC ɾʲ o̞ AF
はいる	h AA a̠ AI i AC ɾ ɯ̟ᵝ
はいれつ	h AA a̠ AI i AC ɾ e̞ AC t s ɨᵝ
はいろ	h AA a̠ AI i AC ɾ o̞ AF
はう	h AA a̠ AI ɯ̟ᵝ
はえ	h AA a̠ AI e̞ AC
はえざ	h AA a̠ AI e̞ AC z a̠ AI
はえじごく	h AA a̠ AI e̞ AC ʑ i AC ɡ o̞ AF k ɯ̟ᵝ
はえとりぐさ	h AA a̠ AI e̞ AC t o̞ AF ɾʲ i AC s o̞ː AE
はえどくそう	h AA a̠ AI e̞ AC d o̞ AF k ɯ̟ᵝ s o̞ː AE
はえる	h AA a̠ AI e̞ AC ɾ ɯ̟ᵝ
はおく	h AA a̠ AI o̞ AF k ɯ̟ᵝ
はおり	h AA a̠ AI o̞ AF ɾʲ i AC
はか	h AA a̠ AI k a̠ AI
はかい	h AA a̠ AI k a̠ AI i AC
はかいかつどう	h AA a̠ AI k a̠ AI i AC k a̠ AI t s ɨᵝ d o̞ː AE
はかいし	h AA a̠ AI k a̠ AI i AC ɕ i AC
はかいしゃ	h AA a̠ AI k a̠ AI i AC ɕ a̠ AI
はかく	h AA a̠ AI k a̠ AI k ɯ̟ᵝ
はかた	h AA a̠ AI k a̠ AI t a̠ AI
はかどる	h AA a̠ AI k a̠ AI d o̞ AF ɾ ɯ̟ᵝ
はかない	h AA a̠ AI k a̠ AI n a̠ AI i AC
はかば	h AA a̠ AI k a̠ AI b a̠ AI
はかま	h AA a̠ AI k a̠ AI m a̠ AI
はかまいり	h AA a̠ AI k a̠ AI m a̠ AI i AC ɾʲ i AC
はかり	h AA a̠ AI k a̠ AI ɾʲ i AC
はかる	h AA a̠ AI k a̠ AI ɾ ɯ̟ᵝ
はがき	h AA a̠ AI ɡ a̠ AI kʲ i AC
はがす	h AA a̠ AI ɡ a̠ AI s ɨᵝ
はがね	h AA a̠ AI ɡ a̠ AI n e̞ AC
はがゆい	h AA a̠ AI ɡ a̠ AI j AB ɯ̟ᵝ i AC
はき	h AA a̠ AI kʲ i AC
はきけ	h AA a̠ AI kʲ i̥ AC k e̞ AC
はきだす	h AA a̠ AI kʲ i AC d a̠ AI s ɨᵝ
はきちがえる	h AA a̠ AI kʲ i AC t ɕ i AC ɡ a̠ AI e̞ AC ɾ ɯ̟ᵝ
はきゅう	h AA a̠ AI kʲ ɨᵝː
はきょく	h AA a̠ AI kʲ o̞ AF k ɯ̟ᵝ
はぎ	h AA a̠ AI ɡʲ i AC
はぎのつき	h AA a̠ AI ɡʲ i AC n o̞ AF t s ɨᵝ kʲ i AC
はぎのもち	h AA a̠ AI ɡʲ i AC n o̞ AF m o̞ AF t ɕ i AC
はく	h AA a̠ AI k ɯ̟ᵝ
はくあ	h AA a̠ AI k ɯ̟ᵝ a̠ AI
はくあい	h AA a̠ AI k ɯ̟ᵝ a̠ AI i AC
はくあかん	h AA a̠ AI k ɯ̟ᵝ a̠ AI k ã̠ ɴ
はくあき	h AA a̠ AI k ɯ̟ᵝ a̠ AI kʲ i AC
はくい	h AA a̠ AI k ɯ̟ᵝ i AC
はくうち	h AA a̠ AI k ɯ̟ᵝ ɯ̟ᵝ t ɕ i AC
はくがい	h AA a̠ AI k ɯ̟ᵝ ɡ a̠ AI i AC
はくがく	h AA a̠ AI k ɯ̟ᵝ ɡ a̠ AI k ɯ̟ᵝ
はくがん	h AA a̠ AI k ɯ̟ᵝ ɡ ã̠ ɴ
はくぎょくろう	h AA a̠ AI k ɯ̟ᵝ ɡʲ o̞ AF k ɯ̟ᵝ ɾ o̞ː AE
はくぎん	h AA a̠ AI k ɯ̟ᵝ ɡʲ ĩ ɴ
はくげきほう	h AA a̠ AI k ɯ̟ᵝ ɡ e̞ AC kʲ i AC h AA o̞ː AE
はくさい	h AA a̠ AI k ɯ̟̊ᵝ s a̠ AI i AC
はくし	h AA a̠ AI k ɯ̟ᵝ ɕ i AC
はくしか	h AA a̠ AI k ɯ̟ᵝ ɕ i AC k a̠ AI
はくしつ	h AA a̠ AI k ɯ̟̊ᵝ ɕ i AC t s ɨᵝ
はくしゃ	h AA a̠ AI k ɯ̟̊ᵝ ɕ a̠ AI
はくしゃく	h AA a̠ AI k ɯ̟̊ᵝ ɕ a̠ AI k ɯ̟ᵝ
はくしゃをかける	h AA a̠ AI k ɯ̟ᵝ ɕ a̠ AI o̞ AF k a̠ AI k e̞ AC ɾ ɯ̟ᵝ
はくしゅ	h AA a̠ AI k ɯ̟̊ᵝ ɕ ɨᵝ
はくしゅう	h AA a̠ AI k ɯ̟ᵝ ɕ ɨᵝː
はくしょ	h AA a̠ AI k ɯ̟ᵝ ɕ o̞ AF
はくしょく	h AA a̠ AI k ɯ̟ᵝ ɕ o̞ AF k ɯ̟ᵝ
はくしん	h AA a̠ AI k ɯ̟ᵝ ɕ ĩ ɴ
はくじゃく	h AA a̠ AI k ɯ̟ᵝ ʑ a̠ AI k ɯ̟ᵝ
はくじょう	h AA a̠ AI k ɯ̟ᵝ ʑ o̞ː AE
はくじら	h AA a̠ AI k ɯ̟ᵝ ʑ i AC ɾ a̠ AI
はくじん	h AA a̠ AI k ɯ̟ᵝ ʑ ĩ ɴ
はくじんしじょうしゅぎ	h AA a̠ AI k ɯ̟ᵝ ʑ ĩ ɰ̃ AK ɕ i AC ʑ o̞ː AE ɕ ɨᵝ ɡʲ i AC
はくせい	h AA a̠ AI k ɯ̟̊ᵝ s e̞ː AD
はくせきれい	h AA a̠ AI k ɯ̟̊ᵝ s e̞ AC kʲ i AC ɾ e̞ː AD
はくだつ	h AA a̠ AI k ɯ̟ᵝ d a̠ AI t s ɨᵝ
はくち	h AA a̠ AI k ɯ̟ᵝ t ɕ i AC
はくちゅうむ	h AA a̠ AI k ɯ̟̊ᵝ t ɕ ɨᵝː m ɯ̟ᵝ
はくちょう	h AA a̠ AI k ɯ̟̊ᵝ t ɕ o̞ː AE
はくちょうざ	h AA a̠ AI k ɯ̟̊ᵝ t ɕ o̞ː AE z a̠ AI
はくとうおう	h AA a̠ AI k ɯ̟ᵝ t o̞ː AE o̞ː AE
はくとうわし	h AA a̠ AI k ɯ̟̊ᵝ t o̞ː AE ɰᵝ a̠ AI ɕ i AC
はくど	h AA a̠ AI k ɯ̟ᵝ d o̞ AF
はくないしょう	h AA a̠ AI k ɯ̟ᵝ n a̠ AI i AC ɕ o̞ː AE
はくひしょう	h AA a̠ AI k ɯ̟ᵝ ç i AC ɕ o̞ː AE
はくびしん	h AA a̠ AI k ɯ̟ᵝ bʲ i AC ɕ ĩ ɴ
はくぶつ	h AA a̠ AI k ɯ̟ᵝ b ɯ̟ᵝ t s ɨᵝ
はくぶつかん	h AA a̠ AI k ɯ̟ᵝ b ɯ̟ᵝ t s ɨ̥ᵝ k ã̠ ɴ
はくぶん	h AA a̠ AI k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
はくまい	h AA a̠ AI k ɯ̟ᵝ m a̠ AI i AC
はくめい	h AA a̠ AI k ɯ̟ᵝ m e̞ː AD
はくや	h AA a̠ AI k ɯ̟ᵝ j AB a̠ AI
はくようきゅう	h AA a̠ AI k ɯ̟ᵝ j AB o̞ː AE kʲ ɨᵝː
はくらい	h AA a̠ AI k ɯ̟ᵝ ɾ a̠ AI i AC
はくらいひん	h AA a̠ AI k ɯ̟ᵝ ɾ a̠ AI i AC ç ĩ ɴ
はくらんかい	h AA a̠ AI k ɯ̟ᵝ ɾ ã̠ ŋ k a̠ AI i AC
はくり	h AA a̠ AI k ɯ̟ᵝ ɾʲ i AC
はくりきこ	h AA a̠ AI k ɯ̟ᵝ ɾʲ i AC kʲ i AC k o̞ AF
はくりょく	h AA a̠ AI k ɯ̟ᵝ ɾʲ o̞ AF k ɯ̟ᵝ
はくれん	h AA a̠ AI k ɯ̟ᵝ ɾ ẽ̞ ɴ
はくろ	h AA a̠ AI k ɯ̟ᵝ ɾ o̞ AF
はぐ	h AA a̠ AI ɡ ɯ̟ᵝ
はぐき	h AA a̠ AI ɡ ɯ̟ᵝ kʲ i AC
はぐきおん	h AA a̠ AI ɡ ɯ̟ᵝ kʲ i AC õ̞ ɴ
はぐくむ	h AA a̠ AI ɡ ɯ̟ᵝ k ɯ̟ᵝ m ɯ̟ᵝ
はぐらかす	h AA a̠ AI ɡ ɯ̟ᵝ ɾ a̠ AI k a̠ AI s ɨᵝ
はぐるま	h AA a̠ AI ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠ AI
はけぐち	h AA a̠ AI k e̞ AC ɡ ɯ̟̊ᵝ t ɕ i AC
はけん	h AA a̠ AI k ẽ̞ ɴ
はげ	h AA a̠ AI ɡ e̞ AC
はげしい	h AA a̠ AI ɡ e̞ AC ɕ i AC i AC
はげたか	h AA a̠ AI ɡ e̞ AC t a̠ AI k a̠ AI
はげます	h AA a̠ AI ɡ e̞ AC m a̠ AI s ɨᵝ
はげむ	h AA a̠ AI ɡ e̞ AC m ɯ̟ᵝ
はげる	h AA a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
はげわし	h AA a̠ AI ɡ e̞ AC ɰᵝ a̠ AI ɕ i AC
はこ	h AA a̠ AI k o̞ AF
はこいり	h AA a̠ AI k o̞ AF i AC ɾʲ i AC
はこいりむすめ	h AA a̠ AI k o̞ AF i AC ɾʲ i AC m ɯ̟ᵝ s ɨᵝ m e̞ AC
はこせこ	h AA a̠ AI k o̞ AF s e̞ AC k o̞ AF
はこだて	h AA a̠ AI k o̞ AF d a̠ AI t e̞ AC
はこにわ	h AA a̠ AI k o̞ AF ɲ̟ i AC ɰᵝ a̠ AI
はこびこむ	h AA a̠ AI k o̞ AF bʲ i AC k o̞ AF m ɯ̟ᵝ
はこびや	h AA a̠ AI k o̞ AF bʲ i AC j AB a̠ AI
はこぶ	h AA a̠ AI k o̞ AF b ɯ̟ᵝ
はこぶね	h AA a̠ AI k o̞ AF b ɯ̟ᵝ n e̞ AC
はこべ	h AA a̠ AI k o̞ AF b e̞ AC
はごいた	h AA a̠ AI ɡ o̞ AF i AC t a̠ AI
はごろも	h AA a̠ AI ɡ o̞ AF ɾ o̞ AF m o̞ AF
はさい	h AA a̠ AI s a̠ AI i AC
はさき	h AA a̠ AI s a̠ AI kʲ i AC
はさつおん	h AA a̠ AI s a̠ AI t s ɨᵝ õ̞ ɴ
はさまる	h AA a̠ AI s a̠ AI m a̠ AI ɾ ɯ̟ᵝ
はさみ	h AA a̠ AI s a̠ AI mʲ i AC
はさみむし	h AA a̠ AI s a̠ AI mʲ i AC m ɯ̟ᵝ ɕ i AC
はさみむしもく	h AA a̠ AI s a̠ AI mʲ i AC m ɯ̟ᵝ ɕ i AC m o̞ AF k ɯ̟ᵝ
はさむ	h AA a̠ AI s a̠ AI m ɯ̟ᵝ
はさん	h AA a̠ AI s ã̠ ɴ
はざくら	h AA a̠ AI z a̠ AI k ɯ̟ᵝ ɾ a̠ AI
はざま	h AA a̠ AI z a̠ AI m a̠ AI
はし	h AA a̠ AI ɕ i AC
はしおき	h AA a̠ AI ɕ i AC o̞ AF kʲ i AC
はしご	h AA a̠ AI ɕ i AC ɡ o̞ AF
はしござけ	h AA a̠ AI ɕ i AC ɡ o̞ AF z a̠ AI k e̞ AC
はしごだか	h AA a̠ AI ɕ i AC ɡ o̞ AF d a̠ AI k a̠ AI
はしじょろう	h AA a̠ AI ɕ i AC ʑ o̞ AF ɾ o̞ː AE
はしだ	h AA a̠ AI ɕ i AC d a̠ AI
はしっこ	h AA a̠ AI ɕ i AC k̚ k o̞ AF
はしどい	h AA a̠ AI ɕ i AC d o̞ AF i AC
はしばし	h AA a̠ AI ɕ i AC b a̠ AI ɕ i AC
はしばみ	h AA a̠ AI ɕ i AC b a̠ AI mʲ i AC
はしゃ	h AA a̠ AI ɕ a̠ AI
はしゃぐ	h AA a̠ AI ɕ a̠ AI ɡ ɯ̟ᵝ
はしゅ	h AA a̠ AI ɕ ɨᵝ
はしゅつじょ	h AA a̠ AI ɕ ɨᵝ t s ɨᵝ ʑ o̞ AF
はしょうふう	h AA a̠ AI ɕ o̞ː AE ɸ ɯ̟ᵝː
はしらどけい	h AA a̠ AI ɕ i AC ɾ a̠ AI d o̞ AF k e̞ː AD
はしり	h AA a̠ AI ɕ i AC ɾʲ i AC
はしりがき	h AA a̠ AI ɕ i AC ɾʲ i AC ɡ a̠ AI kʲ i AC
はしりたかとび	h AA a̠ AI ɕ i AC ɾʲ i AC t a̠ AI k a̠ AI t o̞ AF bʲ i AC
はしりまわる	h AA a̠ AI ɕ i AC ɾʲ i AC m a̠ AI ɰᵝ a̠ AI ɾ ɯ̟ᵝ
はしる	h AA a̠ AI ɕ i AC ɾ ɯ̟ᵝ
はしわたし	h AA a̠ AI ɕ i AC ɰᵝ a̠ AI t a̠ AI ɕ i AC
はじ	h AA a̠ AI ʑ i AC
はじき	h AA a̠ AI ʑ i AC kʲ i AC
はじさらし	h AA a̠ AI ʑ i AC s a̠ AI ɾ a̠ AI ɕ i AC
はじしらず	h AA a̠ AI ʑ i AC ɕ i AC ɾ a̠ AI z ɨᵝ
はじまり	h AA a̠ AI ʑ i AC m a̠ AI ɾʲ i AC
はじまる	h AA a̠ AI ʑ i AC m a̠ AI ɾ ɯ̟ᵝ
はじめ	h AA a̠ AI ʑ i AC m e̞ AC
はじめて	h AA a̠ AI ʑ i AC m e̞ AC t e̞ AC
はじめまして	h AA a̠ AI ʑ i AC m e̞ AC m a̠ AI ɕ i̥ AC t e̞ AC
はじめる	h AA a̠ AI ʑ i AC m e̞ AC ɾ ɯ̟ᵝ
はじゃけんしょう	h AA a̠ AI ʑ a̠ AI k ẽ̞ ɰ̃ AK ɕ o̞ː AE
はじょうつい	h AA a̠ AI ʑ o̞ː AE t s ɨᵝ i AC
はじょうねつ	h AA a̠ AI ʑ o̞ː AE n e̞ AC t s ɨᵝ
はじらう	h AA a̠ AI ʑ i AC ɾ a̠ AI ɯ̟ᵝ
はじる	h AA a̠ AI ʑ i AC ɾ ɯ̟ᵝ
はす	h AA a̠ AI s ɨᵝ
はすう	h AA a̠ AI s ɨᵝː
はすうしょり	h AA a̠ AI s ɨᵝː ɕ o̞ AF ɾʲ i AC
はずい	h AA a̠ AI z ɨᵝ i AC
はずおし	h AA a̠ AI z ɨᵝ o̞ AF ɕ i AC
はずかしい	h AA a̠ AI z ɨᵝ k a̠ AI ɕ iː AD
はずかしがりや	h AA a̠ AI z ɨᵝ k a̠ AI ɕ i AC ɡ a̠ AI ɾʲ i AC j AB a̠ AI
はずかしめ	h AA a̠ AI z ɨᵝ k a̠ AI ɕ i AC m e̞ AC
はずかしめる	h AA a̠ AI z ɨᵝ k a̠ AI ɕ i AC m e̞ AC ɾ ɯ̟ᵝ
はずす	h AA a̠ AI z ɨᵝ s ɨᵝ
はずむ	h AA a̠ AI z ɨᵝ m ɯ̟ᵝ
はずれ	h AA a̠ AI z ɨᵝ ɾ e̞ AC
はずれる	h AA a̠ AI z ɨᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
はせ	h AA a̠ AI s e̞ AC
はせい	h AA a̠ AI s e̞ː AD
はせいご	h AA a̠ AI s e̞ː AD ɡ o̞ AF
はせさんじる	h AA a̠ AI s e̞ AC s ã̠ ɲ̟ d ʑ i AC ɾ ɯ̟ᵝ
はそく	h AA a̠ AI s o̞ AF k ɯ̟ᵝ
はそん	h AA a̠ AI s õ̞ ɴ
はた	h AA a̠ AI t a̠ AI
はたおりぎょう	h AA a̠ AI t a̠ AI o̞ AF ɾʲ i AC ɡʲ o̞ː AE
はたき	h AA a̠ AI t a̠ AI kʲ i AC
はたきこみ	h AA a̠ AI t a̠ AI kʲ i AC k o̞ AF mʲ i AC
はたけ	h AA a̠ AI t a̠ AI k e̞ AC
はたしじょう	h AA a̠ AI t a̠ AI ɕ i AC ʑ o̞ː AE
はたす	h AA a̠ AI t a̠ AI s ɨᵝ
はたねずみ	h AA a̠ AI t a̠ AI n e̞ AC z ɨᵝ mʲ i AC
はたはた	h AA a̠ AI t a̠ AI h AA a̠ AI t a̠ AI
はためいわく	h AA a̠ AI t a̠ AI m e̞ː AD ɰᵝ a̠ AI k ɯ̟ᵝ
はたもと	h AA a̠ AI t a̠ AI m o̞ AF t o̞ AF
はたらかせる	h AA a̠ AI t a̠ AI ɾ a̠ AI k a̠ AI s e̞ AC ɾ ɯ̟ᵝ
はたらき	h AA a̠ AI t a̠ AI ɾ a̠ AI kʲ i AC
はたらきことば	h AA a̠ AI t a̠ AI ɾ a̠ AI kʲ i AC k o̞ AF t o̞ AF b a̠ AI
はたらきもの	h AA a̠ AI t a̠ AI ɾ a̠ AI kʲ i AC m o̞ AF n o̞ AF
はたらく	h AA a̠ AI t a̠ AI ɾ a̠ AI k ɯ̟ᵝ
はたん	h AA a̠ AI t ã̠ ɴ
はだか	h AA a̠ AI d a̠ AI k a̠ AI
はだかのつきあい	h AA a̠ AI d a̠ AI k a̠ AI n o̞ AF t s ɨᵝ kʲ i AC a̠ AI i AC
はだかまいり	h AA a̠ AI d a̠ AI k a̠ AI m a̠ AI i AC ɾʲ i AC
はだぎ	h AA a̠ AI d a̠ AI ɡʲ i AC
はださむい	h AA a̠ AI d a̠ AI s a̠ AI m ɯ̟ᵝ i AC
はだし	h AA a̠ AI d a̠ AI ɕ i AC
はだでしる	h AA a̠ AI d a̠ AI d e̞ AC ɕ i AC ɾ ɯ̟ᵝ
はだん	h AA a̠ AI d ã̠ ɴ
はち	h AA a̠ AI t ɕ i AC
はちあわせ	h AA a̠ AI t ɕ i AC a̠ AI ɰᵝ a̠ AI s e̞ AC
はちかくけい	h AA a̠ AI k̚ k a̠ AI k ɯ̟̊ᵝ k e̞ː AD
はちがつ	h AA a̠ AI t ɕ i AC ɡ a̠ AI t s ɨᵝ
はちぎゃく	h AA a̠ AI t ɕ i AC ɡʲ a̠ AI k ɯ̟ᵝ
はちく	h AA a̠ AI t ɕ i AC k ɯ̟ᵝ
はちじゅう	h AA a̠ AI t ɕ i AC ʑ ɨᵝː
はちす	h AA a̠ AI t ɕ i AC s ɨᵝ
はちすか	h AA a̠ AI t ɕ i AC s ɨᵝ k a̠ AI
はちすずめ	h AA a̠ AI t ɕ i̥ AC s ɨᵝ z ɨᵝ m e̞ AC
はちどり	h AA a̠ AI t ɕ i AC d o̞ AF ɾʲ i AC
はちぶんぎ	h AA a̠ AI t ɕ i AC b ɯ̟̃ᵝ ŋʲ ɡʲ i AC
はちぶんぎざ	h AA a̠ AI t ɕ i AC b ɯ̟̃ᵝ ŋʲ ɡʲ i AC z a̠ AI
はちみつ	h AA a̠ AI t ɕ i AC mʲ i AC t s ɨᵝ
はちゅうるい	h AA a̠ AI t ɕ ɨᵝː ɾ ɯ̟ᵝ i AC
はちょう	h AA a̠ AI t ɕ o̞ː AE
はちりはん	h AA a̠ AI t ɕ i AC ɾʲ i AC h AA ã̠ ɴ
はちろぐん	h AA a̠ AI t ɕ i AC ɾ o̞ AF ɡ ɯ̟̃ᵝ ɴ
はっか	h AA a̠ AI k̚ k a̠ AI
はっかい	h AA a̠ AI k̚ k a̠ AI i AC
はっかく	h AA a̠ AI k̚ k a̠ AI k ɯ̟ᵝ
はっかん	h AA a̠ AI k̚ k ã̠ ɴ
はっき	h AA a̠ AI k̚ʲ kʲ i AC
はっきょくけん	h AA a̠ AI k̚ʲ kʲ o̞ AF k ɯ̟ᵝ k ẽ̞ ɴ
はっきり	h AA a̠ AI k̚ʲ kʲ i AC ɾʲ i AC
はっきん	h AA a̠ AI k̚ʲ kʲ ĩ ɴ
はっく	h AA a̠ AI k̚ k ɯ̟ᵝ
はっくつ	h AA a̠ AI k̚ k ɯ̟̊ᵝ t s ɨᵝ
はっけ	h AA a̠ AI k̚ k e̞ AC
はっけしょう	h AA a̠ AI k̚ k e̞ AC ɕ o̞ː AE
はっけっきゅう	h AA a̠ AI k̚ k e̞ AC k̚ʲ kʲ ɨᵝː
はっけつびょう	h AA a̠ AI k̚ k e̞ AC t s ɨᵝ bʲ o̞ː AE
はっけよい	h AA a̠ AI k̚ k e̞ AC j AB o̞ AF i AC
はっけん	h AA a̠ AI k̚ k ẽ̞ ɴ
はっこう	h AA a̠ AI k̚ k o̞ː AE
はっさん	h AA a̠ AI sː ã̠ ɴ
はっしゃ	h AA a̠ AI ɕː a̠ AI
はっしん	h AA a̠ AI ɕː ĩ ɴ
はっする	h AA a̠ AI sː ɯ̟ᵝ ɾ ɯ̟ᵝ
はっせい	h AA a̠ AI sː e̞ː AD
はっせいせいぶつがく	h AA a̠ AI sː e̞ː AD s e̞ː AD b ɯ̟ᵝ t s ɨᵝ ɡ a̠ AI k ɯ̟ᵝ
はっそう	h AA a̠ AI sː o̞ː AE
はったつ	h AA a̠ AI t̚ t a̠ AI t s ɨᵝ
はったつしょうがい	h AA a̠ AI t̚ t a̠ AI t s ɨᵝ ɕ o̞ː AE ɡ a̠ AI i AC
はっちゃく	h AA a̠ AI t̚ t ɕ a̠ AI k ɯ̟ᵝ
はっちゅう	h AA a̠ AI t̚ t ɕ ɨᵝː
はってん	h AA a̠ AI t̚ t ẽ̞ ɴ
はってんとじょうこく	h AA a̠ AI t̚ t ẽ̞ n t o̞ AF ʑ o̞ː AE k o̞ AF k ɯ̟ᵝ
はっと	h AA a̠ AI t̚ t o̞ AF
はっとうしん	h AA a̠ AI t̚ t o̞ː AE ɕ ĩ ɴ
はっとり	h AA a̠ AI t̚ t o̞ AF ɾʲ i AC
はっぱ	h AA a̠ AI p̚ p a̠ AI
はっぴょう	h AA a̠ AI p̚ʲ pʲ o̞ː AE
はっぽうしゅ	h AA a̠ AI p̚ p o̞ː AE ɕ ɨᵝ
はつ	h AA a̠ AI t s ɨᵝ
はつあん	h AA a̠ AI t s ɨᵝ ã̠ ɴ
はついく	h AA a̠ AI t s ɨᵝ i AC k ɯ̟ᵝ
はつえん	h AA a̠ AI t s ɨᵝ ẽ̞ ɴ
はつおん	h AA a̠ AI t s ɨᵝ õ̞ ɴ
はつか	h AA a̠ AI t s ɨ̥ᵝ k a̠ AI
はつかうさぎ	h AA a̠ AI t s ɨ̥ᵝ k a̠ AI ɯ̟ᵝ s a̠ AI ɡʲ i AC
はつかねずみ	h AA a̠ AI t s ɨ̥ᵝ k a̠ AI n e̞ AC z ɨᵝ mʲ i AC
はつが	h AA a̠ AI t s ɨᵝ ɡ a̠ AI
はつがげんまい	h AA a̠ AI t s ɨᵝ ɡ a̠ AI ɡ ẽ̞ mː a̠ AI i AC
はつがん	h AA a̠ AI t s ɨᵝ ɡ ã̠ ɴ
はつがんぶっしつ	h AA a̠ AI t s ɨᵝ ɡ ã̠ m b ɯ̟ᵝ ɕː i AC t s ɨᵝ
はつげん	h AA a̠ AI t s ɨᵝ ɡ ẽ̞ ɴ
はつこい	h AA a̠ AI t s ɨ̥ᵝ k o̞ AF i AC
はつご	h AA a̠ AI t s ɨᵝ ɡ o̞ AF
はつたいけん	h AA a̠ AI t s ɨᵝ t a̠ AI i AC k ẽ̞ ɴ
はつたんじょう	h AA a̠ AI t s ɨᵝ t ã̠ ɲ̟ d ʑ o̞ː AE
はつでん	h AA a̠ AI t s ɨᵝ d ẽ̞ ɴ
はつでんしょ	h AA a̠ AI t s ɨᵝ d ẽ̞ ɰ̃ AK ɕ o̞ AF
はつどう	h AA a̠ AI t s ɨᵝ d o̞ː AE
はつどうき	h AA a̠ AI t s ɨᵝ d o̞ː AE kʲ i AC
はつはる	h AA a̠ AI t s ɨᵝ h AA a̠ AI ɾ ɯ̟ᵝ
はつばい	h AA a̠ AI t s ɨᵝ b a̠ AI i AC
はつばん	h AA a̠ AI t s ɨᵝ b ã̠ ɴ
はつびょう	h AA a̠ AI t s ɨᵝ bʲ o̞ː AE
はつぶたい	h AA a̠ AI t s ɨᵝ b ɯ̟ᵝ t a̠ AI i AC
はつみみ	h AA a̠ AI t s ɨᵝ mʲ i AC mʲ i AC
はつめい	h AA a̠ AI t s ɨᵝ m e̞ː AD
はつもの	h AA a̠ AI t s ɨᵝ m o̞ AF n o̞ AF
はつれい	h AA a̠ AI t s ɨᵝ ɾ e̞ː AD
はつわ	h AA a̠ AI t s ɨᵝ ɰᵝ a̠ AI
はづき	h AA a̠ AI z ɨᵝ kʲ i AC
はて	h AA a̠ AI t e̞ AC
はてしない	h AA a̠ AI t e̞ AC ɕ i AC n a̠ AI i AC
はてる	h AA a̠ AI t e̞ AC ɾ ɯ̟ᵝ
はてんこう	h AA a̠ AI t ẽ̞ ŋ k o̞ː AE
はで	h AA a̠ AI d e̞ AC
はと	h AA a̠ AI t o̞ AF
はとどけい	h AA a̠ AI t o̞ AF d o̞ AF k e̞ː AD
はとば	h AA a̠ AI t o̞ AF b a̠ AI
はとむね	h AA a̠ AI t o̞ AF m ɯ̟ᵝ n e̞ AC
はどう	h AA a̠ AI d o̞ː AE
はどうかんすう	h AA a̠ AI d o̞ː AE k ã̠ ɰ̃ AK s ɨᵝː
はどめ	h AA a̠ AI d o̞ AF m e̞ AC
はな	h AA a̠ AI n a̠ AI
はないき	h AA a̠ AI n a̠ AI i AC kʲ i AC
はないちもんめ	h AA a̠ AI n a̠ AI i AC t ɕ i AC m õ̞ mː e̞ AC
はなうた	h AA a̠ AI n a̠ AI ɯ̟ᵝ t a̠ AI
はなうど	h AA a̠ AI n a̠ AI ɯ̟ᵝ d o̞ AF
はなえ	h AA a̠ AI n a̠ AI e̞ AC
はなお	h AA a̠ AI n a̠ AI o̞ AF
はなから	h AA a̠ AI n a̠ AI k a̠ AI ɾ a̠ AI
はなかんらん	h AA a̠ AI n a̠ AI k ã̠ n ɾ ã̠ ɴ
はながた	h AA a̠ AI n a̠ AI ɡ a̠ AI t a̠ AI
はながみ	h AA a̠ AI n a̠ AI ɡ a̠ AI mʲ i AC
はなぐま	h AA a̠ AI n a̠ AI ɡ ɯ̟ᵝ m a̠ AI
はなことば	h AA a̠ AI n a̠ AI k o̞ AF t o̞ AF b a̠ AI
はなごよみ	h AA a̠ AI n a̠ AI ɡ o̞ AF j AB o̞ AF mʲ i AC
はなざかり	h AA a̠ AI n a̠ AI z a̠ AI k a̠ AI ɾʲ i AC
はなし	h AA a̠ AI n a̠ AI ɕ i AC
はなしあい	h AA a̠ AI n a̠ AI ɕ i AC a̠ AI i AC
はなしあう	h AA a̠ AI n a̠ AI ɕ i AC a̠ AI ɯ̟ᵝ
はなしかける	h AA a̠ AI n a̠ AI ɕ i AC k a̠ AI k e̞ AC ɾ ɯ̟ᵝ
はなしがい	h AA a̠ AI n a̠ AI ɕ i AC ɡ a̠ AI i AC
はなしはんぶん	h AA a̠ AI n a̠ AI ɕ i AC h AA ã̠ m b ɯ̟̃ᵝ ɴ
はなしぶり	h AA a̠ AI n a̠ AI ɕ i AC b ɯ̟ᵝ ɾʲ i AC
はなす	h AA a̠ AI n a̠ AI s ɨᵝ
