ᆜ	j AB ɯ AD
지식	t ɕ i AD ɕʰ i AD k̚
지식인	t ɕ i AD ɕʰ i AD ɡ i AD n
지압	t ɕ i AD a̠ AF p̚
지역	t ɕ i AD j AB ʌ̹ k̚
지역사회	t ɕ i AD j AB ʌ̹ k s͈ a̠ AF β w AC e̞ AD
지옥	t ɕ i AD o̞ AE k̚
지옥철	t ɕ i AD o̞ AE k̚ t ɕʰ ʌ̹ ɭ
지우다	t ɕ i AD u AE d a̠ AF
지원	t ɕ i AD w AC ʌ̹ n
지원자	t ɕ i AD w AC ʌ̹ ɲ d ʑ a̠ AF
지원하다	t ɕ i AD w AC ʌ̹ n ɦ AA a̠ AF d a̠ AF
지위	t ɕ i AD ɥ AC i AD
지은이	t ɕ i AD ɯ AD n i AD
지읒	t ɕ i AD ɯ AD t̚
지의류	t ɕ i AD ɰ AB i AD ɾ j AB u AE
지저귀다	t ɕ i AD d ʑ ʌ̹ ɡ ɥ AC i AD d a̠ AF
지저분하다	t ɕ i AD d ʑ ʌ̹ b u AE n ɦ AA a̠ AF d a̠ AF
지적	t ɕ i AD t ɕ͈ ʌ̹ k̚
지적되다	t ɕ i AD d ʑ ʌ̹ k̚ t͈ w AC e̞ AD d a̠ AF
지적하다	t ɕ i AD d ʑ ʌ̹ kʰ a̠ AF d a̠ AF
지점	t ɕ i AD d ʑ ʌ̹ m
지정되다	t ɕ i AD d ʑ ʌ̹ ŋ d w AC e̞ AD d a̠ AF
지정학	t ɕ i AD d ʑ ʌ̹ ŋ ɦ AA a̠ AF k̚
지주	t ɕ i AD d ʑ u AE
지줌	t ɕ i AD d ʑ u AE m
지지	t ɕ i AD d ʑ i AD
지지자	t ɕ i AD d ʑ i AD d ʑ a̠ AF
지지하다	t ɕ i AD d ʑ i AD ɦ AA a̠ AF d a̠ AF
지진	t ɕ i AD d ʑ i AD n
지진학	t ɕ i AD d ʑ i AD n ɦ AA a̠ AF k̚
지질	t ɕ i AD d ʑ i AD ɭ
지질학	t ɕ i AD d ʑ i AD ɾ ɦ AA a̠ AF k̚
지출	t ɕ i AD t ɕʰ u AE ɭ
지치다	t ɕ iː AD t ɕʰ i AD d a̠ AF
지칭하다	t ɕ i AD t ɕʰ i AD ŋ ɦ AA a̠ AF d a̠ AF
지팡이	t ɕ i AD pʰ a̠ AF ŋ i AD
지퍼	t ɕ i AD pʰ ʌ̹
지평선	t ɕ i AD pʰ j AB ʌ̹ ŋ sʰ ʌ̹ n
지폐	t ɕ i AD pʰ j AB e̞ AD
지푸라기	t ɕ i AD pʰ u AE ɾ a̠ AF ɡ i AD
지피다	t ɕ i AD pʰ i AD d a̠ AF
지하	t ɕ i AD ɦ AA a̠ AF
지하누비	t ɕ i AD ɦ AA a̠ AF n u AE b i AD
지하도	t ɕ i AD ɦ AA a̠ AF d o̞ AE
지하드	t ɕ i AD ɦ AA a̠ AF d ɯ AD
지하실	t ɕ i AD ɦ AA a̠ AF ɕʰ i AD ɭ
지하철	t ɕ i AD ɦ AA a̠ AF t ɕʰ ʌ̹ ɭ
지하철역	t ɕ i AD ɦ AA a̠ AF t ɕʰ ʌ̹ ɾ j AB ʌ̹ k̚
지혈	t ɕ i AD ʝ j AB ʌ̹ ɭ
지협	t ɕ i AD ʝ j AB ʌ̹ p̚
지혜	t ɕ i AD ʝ j AB e̞ AD
지혜서	t ɕ i AD ʝ j AB e̞ AD sʰ ʌ̹
지휘소	t ɕ i AD ɦ AA ɥ AC i AD sʰ o̞ AE
지휘자	t ɕ i AD ɦ AA ɥ AC i AD d ʑ a̠ AF
직	t ɕ i AD k̚
직감	t ɕ i AD k̚ k͈ a̠ AF m
직관	t ɕ i AD k̚ k͈ w AC a̠ AF n
직기	t ɕ i AD k̚ k͈ i AD
직물	t ɕ i AD ŋ m u AE ɭ
직발	t ɕ i AD k̚ p͈ a̠ AF ɭ
직승기	t ɕ i AD k s͈ ɯ AD ŋ ɡ i AD
직업	t ɕ i AD ɡ ʌ̹ p̚
직원	t ɕ i AD ɡ w AC ʌ̹ n
직위	t ɕ i AD ɡ ɥ AC i AD
직장	t ɕ i AD k̚ t ɕ͈ a̠ AF ŋ
직전	t ɕ i AD k̚ t ɕ͈ ʌ̹ n
직접	t ɕ i AD k̚ t ɕ͈ ʌ̹ p̚
직접적	t ɕ i AD k̚ t ɕ͈ ʌ̹ p̚ t ɕ͈ ʌ̹ k̚
직접화법	t ɕ i AD k̚ t ɕ͈ ʌ̹ pʰ w AC a̠ AF b ʌ̹ p̚
직할시	t ɕ i AD kʰ a̠ AF ɭ ɕʰ i AD
직후	t ɕ i AD kʰ u AE
진	t ɕ i AD n
진공	t ɕ i AD n ɡ o̞ AE ŋ
진공청소기	t ɕ i AD n ɡ o̞ AE ŋ t ɕʰ ʌ̹ ŋ sʰ o̞ AE ɡ i AD
진균	t ɕ i AD n ɡ j AB u AE n
진단	t ɕ iː AD n d a̠ AF n
진동	t ɕ i AD n d o̞ AE ŋ
진동수	t ɕ i AD n d o̞ AE ŋ sʰ u AE
진드기	t ɕ i AD n d ɯ AD ɡ i AD
진뗑이	t ɕ i AD n t͈ e̞ AD ŋ i AD
진랍	t ɕ i AD ɭ ɭ a̠ AF p̚
진료소	t ɕ iː AD ʎ ʎ j AB o AE sʰ o̞ AE
진루	t ɕ iː AD ɭ ɭ u AE
진리	t ɕ i AD ʎ ʎ i AD
진보	t ɕ iː AD n b o̞ AE
진부하다	t ɕ i AD n b u AE ɦ AA a̠ AF d a̠ AF
진상	t ɕ iː AD n sʰ a̠ AF ŋ
진실	t ɕ i AD n ɕʰ i AD ɭ
진실하다	t ɕ i AD n ɕʰ i AD ɾ ɦ AA a̠ AF d a̠ AF
진심	t ɕ i AD n ɕʰ i AD m
진압	t ɕ iː AD n a̠ AF p̚
진압하다	t ɕ i AD n a̠ AF pʰ a̠ AF d a̠ AF
진언	t ɕ i AD n ʌ̹ n
진여	t ɕ i AD ɲ j AB ʌ̹
진열장	t ɕ iː AD ɲ j AB ʌ̹ ʎ d ʑ a̠ AF ŋ
진원지	t ɕ i AD n w AC ʌ̹ ɲ d ʑ i AD
진정하다	t ɕ i AD ɲ d ʑ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
진주	t ɕ i AD ɲ d ʑ u AE
진주층	t ɕ i AD ɲ d ʑ u AE t ɕʰ ɯ AD ŋ
진지	t ɕ iː AD ɲ d ʑ i AD
진지하다	t ɕ i AD ɲ d ʑ i AD ɦ AA a̠ AF d a̠ AF
진짜	t ɕ i AD ɲ t ɕ͈ a̠ AF
진출	t ɕ iː AD ɲ t ɕʰ u AE ɭ
진출하다	t ɕ iː AD ɲ t ɕʰ u AE ɾ ɦ AA a̠ AF d a̠ AF
진하다	t ɕ i AD n ɦ AA a̠ AF d a̠ AF
진한	t ɕ i AD n ɦ AA a̠ AF n
진화	t ɕ i AD n β w AC a̠ AF
진흙	t ɕ i AD n ɣ ɯ AD k̚
질	t ɕ i AD ɭ
질녀	t ɕ i AD ʎ ʎ j AB ʌ̹
질량	t ɕ i AD ʎ ʎ j AB a̠ AF ŋ
질리다	t ɕ i AD ʎ ʎ i AD d a̠ AF
질문	t ɕ i AD ɭ m u AE n
질문하다	t ɕ i AD ɭ m u AE n ɦ AA a̠ AF d a̠ AF
질병	t ɕ i AD ɭ b j AB ʌ̹ ŋ
질서	t ɕ i AD ɭ s͈ ʌ̹
질소	t ɕ i AD ɭ sʰ o̞ AE
질타	t ɕ i AD ɭ tʰ a̠ AF
질타하다	t ɕ i AD ɭ tʰ a̠ AF ɦ AA a̠ AF d a̠ AF
질투	t ɕ i AD ɭ tʰ u AE
질투하다	t ɕ i AD ɭ tʰ u AE ɦ AA a̠ AF d a̠ AF
질풍노도	t ɕ i AD ɭ pʰ u AE ŋ n o̞ AE d o̞ AE
질환	t ɕ i AD ɾ β w AC a̠ AF n
짊다	t ɕ i AD m t͈ a̠ AF
짊어지다	t ɕ i AD ɭ m ʌ̹ d ʑ i AD d a̠ AF
짐	t ɕ iː AD m
짐바브웨	t ɕ i AD m b a̠ AF b ɯ AD w AC e̞ AD
짐승	t ɕ i AD m sʰ ɯ AD ŋ
짐작	t ɕ i AD m d ʑ a̠ AF k̚
짐작하다	t ɕ i AD m d ʑ a̠ AF kʰ a̠ AF d a̠ AF
집	t ɕ i AD p̚
집게	t ɕ i AD p̚ k͈ e̞ AD
집결	t ɕ i AD p̚ k͈ j AB ʌ̹ ɭ
집계	t ɕ i AD p̚ k͈ j AB e̞ AD
집권당	t ɕ i AD p̚ k͈ w AC ʌ̹ n d a̠ AF ŋ
집다	t ɕ i AD p̚ t͈ a̠ AF
집단	t ɕ i AD p̚ t͈ a̠ AF n
집단화	t ɕ i AD p̚ t͈ a̠ AF n β w AC a̠ AF
집들	t ɕ i AD p̚ t͈ ɯ AD ɭ
집들이	t ɕ i AD p̚ t͈ ɯ AD ɾ i AD
집박쥐	t ɕ i AD p̚ p͈ a̠ AF k̚ t ɕ͈ ɥ AC i AD
집사	t ɕ i AD p s͈ a̠ AF
집사람	t ɕ i AD p s͈ a̠ AF ɾ a̠ AF m
집안	t ɕ i AD b a̠ AF n
집어넣다	t ɕ i AD b ʌ̹ n ʌ̹ tʰ a̠ AF
집오리	t ɕ i AD b o̞ AE ɾ i AD
집중	t ɕ i AD p̚ t ɕ͈ u AE ŋ
집중되다	t ɕ i AD p̚ t ɕ͈ u AE ŋ d w AC e̞ AD d a̠ AF
집중하다	t ɕ i AD p̚ t ɕ͈ u AE ŋ ɦ AA a̠ AF d a̠ AF
집쥐	t ɕ i AD p̚ t ɕ͈ ɥ AC i AD
집토끼	t ɕ i AD p̚ tʰ o̞ AE k͈ i AD
집필	t ɕ i AD p̚ pʰ i AD ɭ
집합	t ɕ i AD pʰ a̠ AF p̚
집회	t ɕ i AD pʰ w AC e̞ AD
집회서	t ɕ i AD pʰ w AC e̞ AD sʰ ʌ̹
짓	t ɕ iː AD t̚
짓궂다	t ɕ iː AD t̚ k͈ u AE t̚ t͈ a̠ AF
짓다	t ɕ iː AD t̚ t͈ a̠ AF
짓이기다	t ɕ i AD n n i AD ɡ i AD d a̠ AF
징	t ɕ i AD ŋ
징계	t ɕ i AD ŋ ɡ j AB e̞ AD
징그럽다	t ɕ i AD ŋ ɡ ɯ AD ɾ ʌ̹ p̚ t͈ a̠ AF
징병	t ɕ i AD ŋ b j AB ʌ̹ ŋ
짖다	t ɕ i AD t̚ t͈ a̠ AF
짙다	t ɕ i AD t̚ t͈ a̠ AF
짙푸르다	t ɕ i AD t̚ pʰ u AE ɾ ɯ AD d a̠ AF
짚	t ɕ i AD p̚
짚다	t ɕ i AD p̚ t͈ a̠ AF
짚티미	t ɕ i AD p̚ tʰ i AD m i AD
짜	t ɕ͈ a̠ AF
짜다	t ɕ͈ a̠ AF d a̠ AF
짜리	t ɕ͈ a̠ AF ɾ i AD
짜릿하다	t ɕ͈ a̠ AF ɾ i AD tʰ a̠ AF d a̠ AF
짜장면	t ɕ͈ a̠ AF d ʑ a̠ AF ŋ m j AB ʌ̹ n
짜증	t ɕ͈ a̠ AF d ʑ ɯ AD ŋ
짜하다	t ɕ͈ a̠ː AF ɦ AA a̠ AF d a̠ AF
짝	t ɕ͈ a̠ AF k̚
짝사랑	t ɕ͈ a̠ AF k s͈ a̠ AF ɾ a̠ AF ŋ
짝짓기	t ɕ͈ a̠ AF k̚ t ɕ͈ i AD t̚ k͈ i AD
짝짓다	t ɕ͈ a̠ AF k̚ t ɕ͈ i AD t̚ t͈ a̠ AF
짠하다	t ɕ͈ a̠ː AF n ɦ AA a̠ AF d a̠ AF
짧다	t ɕ͈ a̠ AF ɭ t͈ a̠ AF
짬	t ɕ͈ a̠ AF m
짬밥	t ɕ͈ a̠ AF m p͈ a̠ AF p̚
짬뽕	t ɕ͈ a̠ AF m p͈ o̞ AE ŋ
짭	t ɕ͈ a̠ AF p̚
짭짤하다	t ɕ͈ a̠ AF p̚ t ɕ͈ a̠ AF ɾ ɦ AA a̠ AF d a̠ AF
짱	t ɕ͈ a̠ AF ŋ
짱꼴라	t ɕ͈ a̠ AF ŋ k͈ o̞ AE ɭ ɭ a̠ AF
짱뚱어	t ɕ͈ a̠ AF ŋ t͈ u AE ŋ ʌ̹
쩍다	t ɕ͈ ʌ̹ k̚ t͈ a̠ AF
쩡	t ɕ͈ ʌ̹ ŋ
쩨마	t ɕ͈ e̞ AD m a̠ AF
쪼다	t ɕ͈ o̞ AE d a̠ AF
쪼박	t ɕ͈ o̞ AE b a̠ AF k̚
쪼뼛	t ɕ͈ o̞ AE p͈ j AB ʌ̹ t̚
쪼뼛쪼뼛	t ɕ͈ o̞ AE p͈ j AB ʌ̹ t̚ t ɕ͈ o̞ AE p͈ j AB ʌ̹ t̚
쪽	t ɕ͈ o̞ AE k̚
쪽발이	t ɕ͈ o̞ AE k̚ p͈ a̠ AF ɾ i AD
쫄깃하다	t ɕ͈ o̞ AE ɭ ɡ i AD tʰ a̠ AF d a̠ AF
쫄면	t ɕ͈ o̞ AE ɭ m j AB ʌ̹ n
쫑쫑	t ɕ͈ o̞ AE ŋ t ɕ͈ o̞ AE ŋ
쫓기다	t ɕ͈ o̞ AE t̚ k͈ i AD d a̠ AF
쫓다	t ɕ͈ o̞ AE t̚ t͈ a̠ AF
쭈뼛	t ɕ͈ u AE p͈ j AB ʌ̹ t̚
쭈뼛쭈뼛	t ɕ͈ u AE p͈ j AB ʌ̹ t̚ t ɕ͈ u AE p͈ j AB ʌ̹ t̚
쭉	t ɕ͈ u AE k̚
쯔놈	t ɕ͈ ɯ AD n o̞ AE m
쯤	t ɕ͈ ɯ AD m
찌그러지다	t ɕ͈ i AD ɡ ɯ AD ɾ ʌ̹ d ʑ i AD d a̠ AF
찌꺼기	t ɕ͈ i AD k͈ ʌ̹ ɡ i AD
찌다	t ɕ͈ i AD d a̠ AF
찌르다	t ɕ͈ i AD ɾ ɯ AD d a̠ AF
찌릿하다	t ɕ͈ i AD ɾ i AD tʰ a̠ AF d a̠ AF
찌창	t ɕ͈ i AD t ɕʰ a̠ AF ŋ
찌푸리다	t ɕ͈ i AD pʰ u AE ɾ i AD d a̠ AF
찍다	t ɕ͈ i AD k̚ t͈ a̠ AF
찍소리	t ɕ͈ i AD k s͈ o̞ AE ɾ i AD
찐	t ɕ͈ i AD n
찐만두	t ɕ͈ i AD n m a̠ AF n d u AE
찐빵	t ɕ͈ i AD n p͈ a̠ AF ŋ
찔리다	t ɕ͈ i AD ʎ ʎ i AD d a̠ AF
찜	t ɕ͈ i AD m
찜질방	t ɕ͈ i AD m d ʑ i AD ɭ b a̠ AF ŋ
찡그리다	t ɕ͈ i AD ŋ ɡ ɯ AD ɾ i AD d a̠ AF
찢다	t ɕ͈ i AD t̚ t͈ a̠ AF
찢어지다	t ɕ͈ i AD d ʑ ʌ̹ d ʑ i AD d a̠ AF
찧다	t ɕ͈ i AD tʰ a̠ AF
차	t ɕʰ a̠ AF
차갑다	t ɕʰ a̠ AF ɡ a̠ AF p̚ t͈ a̠ AF
차고	t ɕʰ a̠ AF ɡ o̞ AE
차다	t ɕʰ a̠ AF d a̠ AF
차단	t ɕʰ a̠ː AF d a̠ AF n
차돌박이	t ɕʰ a̠ AF d o̞ AE ɭ b a̠ AF ɡ i AD
차드	t ɕʰ a̠ AF d ɯ AD
차라리	t ɕʰ a̠ AF ɾ a̠ AF ɾ i AD
차량	t ɕʰ a̠ AF ɾ j AB a̠ AF ŋ
차례	t ɕʰ a̠ AF ɾ j AB e̞ AD
차례차례	t ɕʰ a̠ AF ɾ j AB e̞ AD t ɕʰ a̠ AF ɾ j AB e̞ AD
차리다	t ɕʰ a̠ AF ɾ i AD d a̠ AF
차림	t ɕʰ a̠ AF ɾ i AD m
차림표	t ɕʰ a̠ AF ɾ i AD m pʰ j AB o AE
차마	t ɕʰ a̠ AF m a̠ AF
차마당	t ɕʰ a̠ AF m a̠ AF d a̠ AF ŋ
차별	t ɕʰ a̠ AF b j AB ʌ̹ ɭ
차분몫	t ɕʰ a̠ AF b u AE n m o̞ AE k̚
차분법	t ɕʰ a̠ AF b u AE n p͈ ʌ̹ p̚
차용어	t ɕʰ a̠ː AF j AB o AE ŋ ʌ̹
차원	t ɕʰ a̠ AF w AC ʌ̹ n
차이	t ɕʰ a̠ AF i AD
차이나타운	t ɕʰ a̠ AF i AD n a̠ AF tʰ a̠ AF u AE n
차이니스	t ɕʰ a̠ AF i AD n i AD sʰ ɯ AD
차이다	t ɕʰ a̠ AF i AD d a̠ AF
차장	t ɕʰ a̠ AF d ʑ a̠ AF ŋ
차지하다	t ɕʰ a̠ AF d ʑ i AD ɦ AA a̠ AF d a̠ AF
차질	t ɕʰ a̠ AF d ʑ i AD ɭ
차츰	t ɕʰ a̠ AF t ɕʰ ɯ AD m
차트	t ɕʰ a̠ AF tʰ ɯ AD
착	t ɕʰ a̠ AF k̚
착각	t ɕʰ a̠ AF k̚ k͈ a̠ AF k̚
착공	t ɕʰ a̠ AF k̚ k͈ o̞ AE ŋ
착륙	t ɕʰ a̠ AF ŋ ɲ j AB u AE k̚
착석	t ɕʰ a̠ AF k s͈ ʌ̹ k̚
착석하다	t ɕʰ a̠ AF k s͈ ʌ̹ kʰ a̠ AF d a̠ AF
착용하다	t ɕʰ a̠ AF ɡ j AB o AE ŋ ɦ AA a̠ AF d a̠ AF
착취	t ɕʰ a̠ AF k̚ t ɕʰ ɥ AC i AD
착하다	t ɕʰ a̠ AF kʰ a̠ AF d a̠ AF
찬	t ɕʰ a̠ AF n
찬가	t ɕʰ a̠ː AF n ɡ a̠ AF
찬란하다	t ɕʰ a̠ AF ɭ ɭ a̠ AF n ɦ AA a̠ AF d a̠ AF
찬사	t ɕʰ a̠ː AF n sʰ a̠ AF
찬성	t ɕʰ a̠ AF n sʰ ʌ̹ ŋ
찬스	t ɕʰ a̠ AF n sʰ ɯ AD
찬장	t ɕʰ a̠ː AF ɲ d ʑ a̠ AF ŋ
찰	t ɕʰ a̠ AF ɭ
찰나	t ɕʰ a̠ AF ɭ ɭ a̠ AF
찰밥	t ɕʰ a̠ AF ɭ b a̠ AF p̚
찰스	t ɕʰ a̠ AF ɭ sʰ ɯ AD
찰흙	t ɕʰ a̠ AF ɾ ɣ ɯ AD k̚
참	t ɕʰ a̠ AF m
참가	t ɕʰ a̠ AF m ɡ a̠ AF
참가자	t ɕʰ a̠ AF m ɡ a̠ AF d ʑ a̠ AF
참가하다	t ɕʰ a̠ AF m ɡ a̠ AF ɦ AA a̠ AF d a̠ AF
참고	t ɕʰ a̠ AF m ɡ o̞ AE
참고서	t ɕʰ a̠ AF m ɡ o̞ AE sʰ ʌ̹
참기름	t ɕʰ a̠ AF m ɡ i AD ɾ ɯ AD m
참나무	t ɕʰ a̠ AF m n a̠ AF m u AE
참나물	t ɕʰ a̠ AF m n a̠ AF m u AE ɭ
참다	t ɕʰ a̠ː AF m t͈ a̠ AF
참되다	t ɕʰ a̠ AF m t͈ w AC e̞ AD d a̠ AF
참마자	t ɕʰ a̠ AF m m a̠ AF d ʑ a̠ AF
참말	t ɕʰ a̠ AF m m a̠ AF ɭ
참모장	t ɕʰ a̠ː AF m m o̞ AE d ʑ a̠ AF ŋ
참바	t ɕʰ a̠ AF m b a̠ AF
참별고기	t ɕʰ a̠ AF m b j AB ʌ̹ ɭ ɡ o̞ AE ɡ i AD
참붕어	t ɕʰ a̠ AF m b u AE ŋ ʌ̹
참사	t ɕʰ a̠ AF m sʰ a̠ AF
참석하다	t ɕʰ a̠ AF m sʰ ʌ̹ kʰ a̠ AF d a̠ AF
참수리	t ɕʰ a̠ AF m sʰ u AE ɾ i AD
참여	t ɕʰ a̠ AF m j AB ʌ̹
참여하다	t ɕʰ a̠ AF m j AB ʌ̹ ɦ AA a̠ AF d a̠ AF
참외	t ɕʰ a̠ AF m w AC e̞ AD
참으로	t ɕʰ a̠ AF m ɯ AD ɾ o̞ AE
참을성	t ɕʰ a̠ AF m ɯ AD ɭ sʰ ʌ̹ ŋ
참전	t ɕʰ a̠ AF m d ʑ ʌ̹ n
참조하다	t ɕʰ a̠ AF m d ʑ o̞ AE ɦ AA a̠ AF d a̠ AF
참주	t ɕʰ a̠ː AF m d ʑ u AE
참중고기	t ɕʰ a̠ AF m d ʑ u AE ŋ ɡ o̞ AE ɡ i AD
참치	t ɕʰ a̠ AF m t ɕʰ i AD
참회	t ɕʰ a̠ AF m β w AC e̞ AD
찹쌀	t ɕʰ a̠ AF p s͈ a̠ AF ɭ
찻물	t ɕʰ a̠ AF n m u AE ɭ
찻잎	t ɕʰ a̠ AF n n i AD p̚
찻잔	t ɕʰ a̠ AF t̚ t ɕ͈ a̠ AF n
찻주전자	t ɕʰ a̠ AF t̚ t ɕ͈ u AE d ʑ ʌ̹ ɲ d ʑ a̠ AF
찻집	t ɕʰ a̠ AF t̚ t ɕ͈ i AD p̚
창	t ɕʰ a̠ AF ŋ
창고	t ɕʰ a̠ AF ŋ ɡ o̞ AE
창궐	t ɕʰ a̠ AF ŋ ɡ w AC ʌ̹ ɭ
창녀	t ɕʰ a̠ AF ŋ ɲ j AB ʌ̹
창렬	t ɕʰ a̠ AF ŋ ɲ j AB ʌ̹ ɭ
창문	t ɕʰ a̠ AF ŋ m u AE n
창밖	t ɕʰ a̠ AF ŋ b a̠ AF k̚
창설	t ɕʰ a̠ː AF ŋ sʰ ʌ̹ ɭ
창설되다	t ɕʰ a̠ː AF ŋ sʰ ʌ̹ ɭ d w AC e̞ AD d a̠ AF
창설하다	t ɕʰ a̠ː AF ŋ sʰ ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
창세기	t ɕʰ a̠ː AF ŋ sʰ e̞ AD ɡ i AD
창업	t ɕʰ a̠ː AF ŋ ʌ̹ p̚
창원	t ɕʰ a̠ AF ŋ w AC ʌ̹ n
창자	t ɕʰ a̠ AF ŋ d ʑ a̠ AF
창작	t ɕʰ a̠ AF ŋ d ʑ a̠ AF k̚
창제	t ɕʰ a̠ː AF ŋ d ʑ e̞ AD
창조	t ɕʰ a̠ː AF ŋ d ʑ o̞ AE
창조자	t ɕʰ a̠ː AF ŋ d ʑ o̞ AE d ʑ a̠ AF
창조적	t ɕʰ a̠ː AF ŋ d ʑ o̞ AE d ʑ ʌ̹ k̚
창조하다	t ɕʰ a̠ː AF ŋ d ʑ o̞ AE ɦ AA a̠ AF d a̠ AF
창턱	t ɕʰ a̠ AF ŋ tʰ ʌ̹ k̚
창포검	t ɕʰ a̠ AF ŋ pʰ o̞ AE ɡ ʌ̹ m
창피하다	t ɕʰ a̠ AF ŋ pʰ i AD ɦ AA a̠ AF d a̠ AF
찾다	t ɕʰ a̠ AF t̚ t͈ a̠ AF
찾아가다	t ɕʰ a̠ AF d ʑ a̠ AF ɡ a̠ AF d a̠ AF
찾아보다	t ɕʰ a̠ AF d ʑ a̠ AF b o̞ AE d a̠ AF
찾아오다	t ɕʰ a̠ AF d ʑ a̠ AF o̞ AE d a̠ AF
채소	t ɕʰ ɛː AD sʰ o̞ AE
채소밭	t ɕʰ ɛː AD sʰ o̞ AE b a̠ AF t̚
채식주의	t ɕʰ ɛː AD ɕʰ i AD k̚ t ɕ͈ u AE ɰ AB i AD
채식주의자	t ɕʰ ɛː AD ɕʰ i AD k̚ t ɕ͈ u AE ɰ AB i AD d ʑ a̠ AF
채용하다	t ɕʰ ɛː AD j AB o AE ŋ ɦ AA a̠ AF d a̠ AF
처	t ɕʰ ʌ̹
처가	t ɕʰ ʌ̹ ɡ a̠ AF
처남	t ɕʰ ʌ̹ n a̠ AF m
처녀	t ɕʰ ɘː AD ɲ j AB ʌ̹
처녀막	t ɕʰ ɘː AD ɲ j AB ʌ̹ m a̠ AF k̚
처녀성	t ɕʰ ɘː AD ɲ j AB ʌ̹ s͈ ʌ̹ ŋ
처럼	t ɕʰ ʌ̹ ɾ ʌ̹ m
처리	t ɕʰ ɘː AD ɾ i AD
처마	t ɕʰ ʌ̹ m a̠ AF
처방	t ɕʰ ʌ̹ b a̠ AF ŋ
처방전	t ɕʰ ɘː AD b a̠ AF ŋ d ʑ ʌ̹ n
처벌	t ɕʰ ɘː AD b ʌ̹ ɭ
처부모	t ɕʰ ʌ̹ b u AE m o̞ AE
처신	t ɕʰ ɘː AD ɕʰ i AD n
처음	t ɕʰ ʌ̹ ɯ AD m
처지	t ɕʰ ɘː AD d ʑ i AD
척	t ɕʰ ʌ̹ k̚
척결	t ɕʰ ʌ̹ k̚ k͈ j AB ʌ̹ ɭ
척량	t ɕʰ ʌ̹ ŋ ɲ j AB a̠ AF ŋ
척수	t ɕʰ ʌ̹ k s͈ u AE
척추	t ɕʰ ʌ̹ k̚ t ɕʰ u AE
척추동물	t ɕʰ ʌ̹ k̚ t ɕʰ u AE d o̞ AE ŋ m u AE ɭ
척하다	t ɕʰ ʌ̹ kʰ a̠ AF d a̠ AF
천	t ɕʰ ʌ̹ n
천갈궁	t ɕʰ ʌ̹ n ɡ a̠ AF ɭ ɡ u AE ŋ
천구	t ɕʰ ʌ̹ n ɡ u AE
천국	t ɕʰ ʌ̹ n ɡ u AE k̚
천당	t ɕʰ ʌ̹ n d a̠ AF ŋ
천도	t ɕʰ ɘː AD n d o̞ AE
천둥	t ɕʰ ʌ̹ n d u AE ŋ
천리마	t ɕʰ ʌ̹ ʎ ʎ i AD m a̠ AF
천리안	t ɕʰ ʌ̹ ʎ ʎ i AD a̠ AF n
천만	t ɕʰ ʌ̹ n m a̠ AF n
천만에요	t ɕʰ ʌ̹ n m a̠ AF n e̞ AD j AB o AE
천문학	t ɕʰ ʌ̹ n m u AE n ɦ AA a̠ AF k̚
천부	t ɕʰ ʌ̹ n b u AE
천부적	t ɕʰ ʌ̹ n b u AE d ʑ ʌ̹ k̚
천사	t ɕʰ ʌ̹ n sʰ a̠ AF
천산갑	t ɕʰ ɘː AD n sʰ a̠ AF n ɡ a̠ AF p̚
천성	t ɕʰ ʌ̹ n sʰ ʌ̹ ŋ
천식	t ɕʰ ɘː AD n ɕʰ i AD k̚
천안문	t ɕʰ ʌ̹ n a̠ AF n m u AE n
천왕성	t ɕʰ ʌ̹ n w AC a̠ AF ŋ sʰ ʌ̹ ŋ
천자	t ɕʰ ʌ̹ ɲ d ʑ a̠ AF
천자문	t ɕʰ ʌ̹ ɲ d ʑ a̠ AF m u AE n
천장	t ɕʰ ʌ̹ ɲ d ʑ a̠ AF ŋ
천적	t ɕʰ ʌ̹ ɲ d ʑ ʌ̹ k̚
천정	t ɕʰ ʌ̹ ɲ d ʑ ʌ̹ ŋ
천제	t ɕʰ ʌ̹ ɲ d ʑ e̞ AD
천조국	t ɕʰ ʌ̹ ɲ d ʑ o̞ AE ɡ u AE k̚
천주	t ɕʰ ʌ̹ ɲ d ʑ u AE
천주교	t ɕʰ ʌ̹ ɲ d ʑ u AE ɡ j AB o AE
천지	t ɕʰ ʌ̹ ɲ d ʑ i AD
천지신명	t ɕʰ ʌ̹ ɲ d ʑ i AD ɕʰ i AD n m j AB ʌ̹ ŋ
천지인	t ɕʰ ʌ̹ ɲ d ʑ i AD i AD n
천진	t ɕʰ ʌ̹ ɲ d ʑ i AD n
천천히	t ɕʰ ɘː AD ɲ t ɕʰ ʌ̹ n ʝ i AD
천체	t ɕʰ ʌ̹ ɲ t ɕʰ e̞ AD
천하	t ɕʰ ʌ̹ n ɦ AA a̠ AF
천황	t ɕʰ ʌ̹ n β w AC a̠ AF ŋ
철	t ɕʰ ʌ̹ ɭ
철갑	t ɕʰ ʌ̹ ɭ ɡ a̠ AF p̚
철갑상어	t ɕʰ ʌ̹ ɭ ɡ a̠ AF p s͈ a̠ AF ŋ ʌ̹
철도	t ɕʰ ʌ̹ ɭ t͈ o̞ AE
