'y	ɪ AM
maligaw	m AE ɐ BA l AD ɪ AM ɰ AB a AM ʊ̯ AJ
malihan	m AE ɐ BA l AD ɪ AM h AA ɐ BA n AF
maliksi	m AE ɐ BA l AD ɪ AM k AC s AH ɪ AM
mallare	m AE ɐ BA l AD l AD ɐ BA ɾ BE ɛ AM
mallorca	m AE ɐ BA l AD l AD o BA ɾ BE k AC ɐ BA
malubak	m AE ɐ BA l AD ʊ BA b AG a AM k AC
mamagitan	m AE ɐ BA m AE ɐ BA ɰ AB i AM t AI ɐ BA n AF
mamahagi	m AE ɐ BA m AE ɐ BA h AA a AM ɰ AB ɪ AM ʔ AL
mamakyaw	m AE ɐ BA m AE ɐ BA k AC j AB a AM ʊ̯ AJ
mamanhikan	m AE ɐ BA m AE ɐ BA ŋ AK h AA ɪ AM x BC ɐ BA n AF
mamaril	m AE ɐ BA m AE ɐ BA ɾ BE ɪ AM l AD
mamasada	m AE ɐ BA m AE ɐ BA s AH ɐ BA d AI ɐ BA
mamasura	m AE ɐ BA m AE ɐ BA s AH ʊ BA ɾ BE ɐ BA
mambabae	m AE ɐ BA m AE b AG ɐ BA b AG ɐ BA ʔ AL ɛ AM
mambola	m AE ɐ BA m AE b AG o BA l AD ɐ BA
mamboso	m AE ɐ BA m AE b AG o BA s AH o BA
mambugaw	m AE ɐ BA m AE b AG u BA ɰ AB a AM ʊ̯ AJ
mambuwisit	m AE ɐ BA m AE b AG w AJ i AM s AH ɪ AM t AI
mamigay	m AE ɐ BA m AE ɪ AM ɰ AB a AM ɪ̯ AB
mamihasa	m AE ɐ BA m AE ɪ AM h AA a AM s AH ɐ BA ʔ AL
mamimili	m AE ɐ BA m AE ɪ AM m AE ɪ AM l AD ɪ AM
mamintog	m AE ɐ BA m AE ɪ AM n AF t AI o BA ɡ AC
mamuhunan	m AE ɐ BA m AE ʊ BA h AA ʊ BA n AF ɐ BA n AF
mamulaklak	m AE ɐ BA m AE ʊ BA l AD ɐ BA k AC l AD a AM k AC
mamuti	m AE ɐ BA m AE ʊ BA t AI i AM ʔ AL
mamuyac	m AE ɐ BA m AE ʊ BA j AB ɐ BA k AC
manabat	m AE ɐ BA n AF ɐ BA b AG ɐ BA t AI
manabunot	m AE ɐ BA n AF ɐ BA b AG ʊ BA n AF o BA t AI
managinip	m AE ɐ BA n AF ɐ BA ɰ AB i AM n AF ɪ AM p AG
manakit	m AE ɐ BA n AF ɐ BA x BC i AM t AI
manalad	m AE ɐ BA n AF ɐ BA l AD ɐ BA d AI
manalo	m AE ɐ BA n AF a AM l AD o BA
manaloto	m AE ɐ BA n AF ɐ BA l AD o BA t AI o BA
manamantala	m AE ɐ BA n AF ɐ BA m AE ɐ BA n AF t AI ɐ BA l AD a AM
mananahi	m AE ɐ BA n AF ɐ BA n AF ɐ BA h AA i AM ʔ AL
manananggal	m AE ɐ BA n AF ɐ BA n AF ɐ BA ŋ AK ɡ AC a AM l AD
manangan	m AE ɐ BA n AF ɐ BA ŋ AK ɐ BA n AF
mananghalian	m AE ɐ BA n AF ɐ BA ŋ AK h AA ɐ BA l AD i AM ʔ AL ɐ BA n AF
mananquil	m AE ɐ BA n AF ɐ BA ŋ AK k AC ɪ AM l AD
manantan	m AE ɐ BA n AF ɐ BA n AF t AI ɐ BA n AF
manaog	m AE ɐ BA n AF ɐ BA o BA ɡ AC
manaois	m AE ɐ BA n AF ɐ BA o BA ɪ̯ AB s AH
manarang	m AE ɐ BA n AF ɐ BA ɾ BE ɐ BA ŋ AK
manatad	m AE ɐ BA n AF ɐ BA t AI ɐ BA d AI
mancao	m AE ɐ BA ŋ AK k AC a AM ʊ̯ AJ
mandaragat	m AE ɐ BA n AF d AI ɐ BA ɾ BE ɐ BA ɰ AB a AM t AI
mandirigma	m AE ɐ BA n AF d AI ɪ AM ɾ BE ɪ AM ɡ AC m AE a AM ʔ AL
mandocdoc	m AE ɐ BA n AF d AI o BA k AC d AI o BA k AC
mandukot	m AE ɐ BA n AF d AI u BA x BC o BA t AI
mandurukot	m AE ɐ BA n AF d AI ʊ BA ɾ BE u BA x BC o BA t AI
mangagat	m AE ɐ BA ŋ AK ɐ BA ɰ AB a AM t AI
mangailangan	m AE ɐ BA ŋ AK ɐ BA ʔ AL ɪ AM l AD ɐ BA ŋ AK ɐ BA n AF
mangalunya	m AE ɐ BA ŋ AK ɐ BA l AD ʊ BA ɲ AK a AM ʔ AL
mangamba	m AE ɐ BA ŋ AK ɐ BA m AE b AG a AM
mangamote	m AE ɐ BA ŋ AK ɐ BA m AE o BA t AI ɛ AM
manganak	m AE ɐ BA ŋ AK ɐ BA n AF a AM k AC
mangaoang	m AE ɐ BA ŋ AK ɐ BA w AJ ɐ BA ŋ AK
mangaway	m AE ɐ BA ŋ AK ɐ BA w AJ a AM ɪ̯ AB
manggagantso	m AE ɐ BA ŋ AK ɡ AC ɐ BA ɰ AB ɐ BA n AF t AI ʃ AH o BA
manggantso	m AE ɐ BA ŋ AK ɡ AC ɐ BA n AF t AI ʃ AH o BA
manggas	m AE ɐ BA ŋ AK ɡ AC a AM s AH
manggulo	m AE ɐ BA ŋ AK ɡ AC ʊ BA l AD o BA
manghawa	m AE ɐ BA ŋ AK h AA ɐ BA w AJ ɐ BA
manghimasok	m AE ɐ BA ŋ AK h AA ɪ AM m AE a AM s AH o BA k AC
manghuhula	m AE ɐ BA ŋ AK h AA ʊ BA h AA u BA l AD ɐ BA ʔ AL
manghula	m AE ɐ BA ŋ AK h AA u BA l AD ɐ BA ʔ AL
manghusga	m AE ɐ BA ŋ AK h AA ʊ BA s AH ɡ AC a AM
mangikil	m AE ɐ BA ŋ AK i AM x BC ɪ AM l AD
mangilit	m AE ɐ BA ŋ AK ɪ AM l AD ɪ AM t AI
mangingisda	m AE ɐ BA ŋ AK ɪ AM ŋ AK ɪ AM s AH d AI a AM ʔ AL
mangisay	m AE ɐ BA ŋ AK ɪ AM s AH a AM ɪ̯ AB
mangisda	m AE ɐ BA ŋ AK ɪ AM s AH d AI a AM ʔ AL
mangitlog	m AE ɐ BA ŋ AK ɪ AM t AI l AD o BA ɡ AC
mangkok	m AE ɐ BA ŋ AK k AC o BA k AC
manglicmot	m AE ɐ BA ŋ AK l AD ɪ AM k AC m AE o BA t AI
mangoba	m AE ɐ BA ŋ AK o BA b AG ɐ BA
mangopya	m AE ɐ BA ŋ AK o BA p AG j AB ɐ BA
mangubra	m AE ɐ BA ŋ AK ʊ BA b AG ɾ BE a AM
manguiat	m AE ɐ BA ŋ AK ɪ AM ɐ BA t AI
mangulabnan	m AE ɐ BA ŋ AK ʊ BA l AD ɐ BA b AG n AF ɐ BA n AF
mangulangot	m AE ɐ BA ŋ AK ʊ BA l AD a AM ŋ AK o BA t AI
mangupit	m AE ɐ BA ŋ AK u BA p AG ɪ AM t AI
manhid	m AE ɐ BA ŋ AK h AA i AM d AI
maniago	m AE ɐ BA n AF ɪ AM ɐ BA ɰ AB o BA
maniego	m AE ɐ BA ɲ AK ɛ AM ɰ AB o BA
manilaw	m AE ɐ BA n AF ɪ AM l AD a AM ʊ̯ AJ
manilip	m AE ɐ BA n AF i AM l AD ɪ AM p AG
manindigan	m AE ɐ BA n AF ɪ AM n AF d AI ɪ AM ɰ AB ɐ BA n AF
maniquiz	m AE ɐ BA n AF ɪ AM x BC ɪ AM s AH
manlaban	m AE ɐ BA n AF l AD ɐ BA b AG a AM n AF
manlait	m AE ɐ BA n AF l AD ɐ BA ʔ AL ɪ AM t AI
manlangit	m AE ɐ BA n AF l AD ɐ BA ŋ AK ɪ AM t AI
manlapaz	m AE ɐ BA n AF l AD ɐ BA p AG ɐ BA s AH
manlapig	m AE ɐ BA n AF l AD ɐ BA p AG ɪ AM ɡ AC
manloko	m AE ɐ BA n AF l AD o BA x BC o BA
manlutac	m AE ɐ BA n AF l AD ʊ BA t AI ɐ BA k AC
manrique	m AE ɐ BA n AF ɾ BE ɪ AM x BC ɛ AM
mansiyon	m AE ɐ BA n AF ʃ AH o BA n AF
mantika	m AE ɐ BA n AF t AI i AM x BC ɐ BA ʔ AL
manuhol	m AE ɐ BA n AF u BA h AA o BA l AD
manuntok	m AE ɐ BA n AF ʊ BA n AF t AI o BA k AC
mapagmatyag	m AE ɐ BA p AG ɐ BA ɡ AC m AE ɐ BA t AI ʃ AH a AM ɡ AC
mapagsamantala	m AE ɐ BA p AG ɐ BA ɡ AC s AH ɐ BA m AE ɐ BA n AF t AI ɐ BA l AD a AM
mapahiya	m AE ɐ BA p AG ɐ BA h AA ɪ AM a AM ʔ AL
mapalad	m AE ɐ BA p AG ɐ BA l AD ɐ BA d AI
mapanghusga	m AE ɐ BA p AG a AM ŋ AK h AA ʊ BA s AH ɡ AC a AM
mapangutya	m AE ɐ BA p AG a AM ŋ AK ʊ BA t AI ʃ AH a AM ʔ AL
mapaniil	m AE ɐ BA p AG ɐ BA n AF ɪ AM i AM l AD
mapusyaw	m AE ɐ BA p AG ʊ BA ʃ AH ɐ BA u BA
maralit	m AE ɐ BA ɾ BE ɐ BA l AD ɪ AM t AI
marapao	m AE ɐ BA ɾ BE ɐ BA p AG ɐ BA o BA
maravilla	m AE ɐ BA ɾ BE ɐ BA b AG ɪ AM l AD l AD ɐ BA
marbella	m AE ɐ BA ɾ BE b AG ɛ AM l AD l AD ɐ BA
marcial	m AE ɐ BA ɾ BE ʃ AH ɐ BA l AD
maristela	m AE ɐ BA ɾ BE ɪ AM s AH t AI ɛ AM l AD ɐ BA
mariñas	m AE ɐ BA ɾ BE ɪ AM ɲ AK ɐ BA s AH
marquez	m AE ɐ BA ɾ BE k AC ɛ AM s AH
marquinez	m AE ɐ BA ɾ BE k AC ɪ AM n AF ɛ AM s AH
marupok	m AE ɐ BA ɾ BE ʊ BA p AG o BA k AC
masabon	m AE ɐ BA s AH ɐ BA b AG o BA n AF
masaker	m AE ɐ BA s AH ɐ BA x BC ɛ AM ɾ BE
masamid	m AE a AM s AH ɐ BA m AE i AM d AI
masangcay	m AE ɐ BA s AH ɐ BA ŋ AK k AC a AM ɪ̯ AB
masangkay	m AE ɐ BA s AH ɐ BA ŋ AK k AC a AM ɪ̯ AB
maselan	m AE ɐ BA s AH ɛ AM l AD ɐ BA n AF
maski	m AE ɐ BA s AH k AC i AM
masukal	m AE ɐ BA s AH u BA x BC ɐ BA l AD
masurot	m AE ɐ BA s AH ʊ BA ɾ BE o BA t AI
mataasnakahoy	m AE ɐ BA t AI ɐ BA ʔ AL a AM s AH n AF ɐ BA x BC ɐ BA h AA o BA ɪ̯ AB
matae	m AE ɐ BA t AI ɐ BA ʔ AL ɛ AM
matalo	m AE ɐ BA t AI a AM l AD o BA
matatakutin	m AE ɐ BA t AI ɐ BA t AI ɐ BA x BC ʊ BA t AI i AM n AF
matauhan	m AE ɐ BA t AI ɐ BA ʔ AL u BA h AA ɐ BA n AF
matibag	m AE ɐ BA t AI ɪ AM b AG ɐ BA ɡ AC
matigas	m AE ɐ BA t AI ɪ AM ɰ AB a AM s AH
matisod	m AE ɐ BA t AI i AM s AH o BA d AI
matrapik	m AE ɐ BA t AI ɾ BE a AM p AG ɪ AM k AC
mauleon	m AE a AM ʊ̯ AJ l AD ɛ AM o BA n AF
maunahan	m AE a AM ʊ̯ AJ n AF ɐ BA h AA ɐ BA n AF
maya	m AE a AM j AB ɐ BA
mayuga	m AE ɐ BA j AB ʊ BA ɰ AB ɐ BA
mañago	m AE ɐ BA ɲ AK ɐ BA ɰ AB o BA
mañalac	m AE ɐ BA ɲ AK ɐ BA l AD ɐ BA k AC
medalya	m AE ɛ AM d AI a AM l AD j AB ɐ BA
medrano	m AE ɛ AM d AI ɾ BE ɐ BA n AF o BA
melegrito	m AE ɛ AM l AD ɛ AM ɡ AC ɾ BE ɪ AM t AI o BA
menchavez	m AE ɛ AM n AF t AI ʃ AH ɐ BA b AG ɛ AM s AH
menorca	m AE ɛ AM n AF o BA ɾ BE k AC ɐ BA
meryenda	m AE ɛ AM ɾ BE j AB ɛ AM n AF d AI ɐ BA
mesa	m AE ɛ AM s AH ɐ BA
michelena	m AE ɪ AM t AI ʃ AH ɛ AM l AD ɛ AM n AF ɐ BA
mijares	m AE ɪ AM d AI ʒ AH ɐ BA ɾ BE ɛ AM s AH
militante	m AE ɪ AM l AD ɪ AM t AI ɐ BA n AF t AI ɛ AM
minviluz	m AE ɪ AM n AF b AG ɪ AM l AD ʊ BA s AH
miranda	m AE ɪ AM ɾ BE ɐ BA n AF d AI ɐ BA
misteryo	m AE ɪ AM s AH t AI ɛ AM ɾ BE j AB o BA
mitsa	m AE ɪ AM t AI ʃ AH a AM
mondragon	m AE o BA n AF d AI ɾ BE ɐ BA ɰ AB o BA n AF
montealegre	m AE o BA n AF t AI ɛ AM ɐ BA l AD ɛ AM ɡ AC ɾ BE ɛ AM
montecalvo	m AE o BA n AF t AI ɛ AM x BC ɐ BA l AD b AG o BA
montejo	ʔ AL ɐ BA l AD k AC a AM ɪ̯ AB d AI ɛ AM
montillano	m AE o BA n AF t AI ɪ AM l AD l AD ɐ BA n AF o BA
montinola	m AE o BA n AF t AI ɪ AM n AF o BA l AD ɐ BA
montoya	m AE o BA n AF t AI o BA j AB ɐ BA
morato	m AE o BA ɾ BE ɐ BA t AI o BA
munggo	m AE ʊ BA ŋ AK ɡ AC o BA
mura	m AE u BA ɾ BE ɐ BA
musika	m AE u BA s AH ɪ AM x BC ɐ BA
musoleyo	m AE ʊ BA s AH o BA l AD ɛ AM j AB o BA
mutuc	m AE ʊ BA t AI ʊ BA k AC
nacpil	n AF ɐ BA k AC p AG ɪ AM l AD
nagbabaon	n AF ɐ BA ɡ AC b AG ɐ BA b AG ɐ BA ʔ AL o BA n AF
nagbaon	n AF ɐ BA ɡ AC b AG ɐ BA ʔ AL o BA n AF
nakakaalarma	n AF ɐ BA x BC ɐ BA k AC ɐ BA ɐ BA l AD ɐ BA ɾ BE m AE ɐ BA
nakakabingi	n AF ɐ BA x BC ɐ BA k AC ɐ BA b AG ɪ AM ŋ AK i AM
nakakabuwisit	n AF ɐ BA x BC ɐ BA k AC ɐ BA b AG w AJ i AM s AH ɪ AM t AI
nakakabwisit	n AF ɐ BA x BC ɐ BA k AC ɐ BA b AG w AJ i AM s AH ɪ AM t AI
nakakahawa	n AF ɐ BA x BC ɐ BA k AC ɐ BA h AA a AM w AJ ɐ BA
nakakaintriga	n AF ɐ BA x BC ɐ BA k AC ɐ BA ʔ AL ɪ AM n AF t AI ɾ BE ɪ AM ɰ AB ɐ BA
nakakaloko	n AF ɐ BA x BC ɐ BA k AC ɐ BA l AD o BA x BC o BA
nakakatakot	n AF ɐ BA x BC ɐ BA k AC ɐ BA t AI a AM x BC o BA t AI
nakamulaga	n AF ɐ BA x BC ɐ BA m AE ʊ BA l AD ɐ BA ɰ AB a AM ʔ AL
nakawin	n AF ɐ BA x BC ɐ BA w AJ ɪ AM n AF
nakpil	n AF ɐ BA k AC p AG ɪ AM l AD
nanlilimahid	n AF ɐ BA n AF l AD ɪ AM l AD ɪ AM m AE a AM h AA ɪ AM d AI
narvaez	n AF ɐ BA ɾ BE b AG ɐ BA ɛ AM s AH
natae	n AF ɐ BA t AI ɐ BA ʔ AL ɛ AM
navoa	n AF ɐ BA b AG o BA ɐ BA
ngalan	ŋ AK a AM l AD ɐ BA n AF
ngimay	ŋ AK ɪ AM m AE a AM ɪ̯ AB
nguso	ŋ AK ʊ BA s AH o BA ʔ AL
nguya	ŋ AK ʊ BA j AB ɐ BA ʔ AL
nicdao	n AF ɪ AM k AC d AI ɐ BA o BA
nietes	ɲ AK ɛ AM t AI ɛ AM s AH
niknik	n AF ɪ AM k AC n AF i AM k AC
nilabhan	n AF ɪ AM l AD ɐ BA b AG h AA a AM n AF
ninang	n AF ɪ AM n AF ɐ BA ŋ AK
niyo	ɲ AK o BA
nobela	n AF o BA b AG ɛ AM l AD ɐ BA
nobleza	n AF o BA b AG l AD ɛ AM s AH ɐ BA
nolasco	n AF o BA l AD ɐ BA s AH k AC o BA
noriega	n AF o BA ɾ BE j AB ɛ AM ɰ AB ɐ BA
notarte	n AF o BA t AI ɐ BA ɾ BE t AI ɛ AM
nuevo	n AF ʊ BA ɛ AM b AG o BA
obligacion	ʔ AL o BA b AG l AD ɪ AM ɰ AB ɐ BA ʃ AH o BA n AF
ocampo	ʔ AL o BA x BC ɐ BA m AE p AG o BA
olaguer	ʔ AL o BA l AD ɐ BA ɰ AB ɛ AM ɾ BE
olaivar	ʔ AL o BA l AD a AM ɪ̯ AB b AG ɐ BA ɾ BE
olalia	ʔ AL o BA l AD ɐ BA l AD ɪ AM ɐ BA
olayvar	ʔ AL o BA l AD a AM ɪ̯ AB b AG ɐ BA ɾ BE
oliva	ʔ AL o BA l AD ɪ AM b AG ɐ BA
olivares	ʔ AL o BA l AD ɪ AM b AG ɐ BA ɾ BE ɛ AM s AH
oliveros	ʔ AL o BA l AD ɪ AM b AG ɛ AM ɾ BE o BA s AH
ongkiko	ʔ AL o BA ŋ AK k AC ɪ AM x BC o BA
opeña	ʔ AL o BA p AG ɛ AM ɲ AK ɐ BA
opisyales	ʔ AL o BA p AG ɪ AM ʃ AH ɐ BA l AD ɛ AM s AH
opyum	ʔ AL o BA p AG j AB ʊ BA m AE
oracion	ʔ AL o BA ɾ BE ɐ BA ʃ AH o BA n AF
orendain	ʔ AL o BA ɾ BE ɛ AM n AF d AI a AM ɪ̯ AB n AF
oribello	ʔ AL o BA ɾ BE ɪ AM b AG ɛ AM l AD l AD o BA
pabor	p AG ɐ BA b AG o BA ɾ BE
paborito	p AG ɐ BA b AG o BA ɾ BE a AM b AG l AD ɛ AM
pacana	p AG ɐ BA x BC ɐ BA n AF ɐ BA
pacaña	p AG ɐ BA x BC ɐ BA ɲ AK ɐ BA
pader	p AG ɐ BA d AI ɛ AM ɾ BE
pagala	p AG ɐ BA ɰ AB a AM l AD ɐ BA ʔ AL
pagbasehan	p AG ɐ BA ɡ AC b AG ɐ BA s AH ɛ AM h AA ɐ BA n AF
pagbati	p AG ɐ BA ɡ AC b AG a AM t AI ɪ AM ʔ AL
pagbubuntis	p AG ɐ BA ɡ AC b AG ʊ BA b AG ʊ BA n AF t AI i AM s AH
pagcaliwagan	p AG ɐ BA ɡ AC k AC ɐ BA l AD ɪ AM w AJ ɐ BA ɰ AB ɐ BA n AF
pagdilao	p AG ɐ BA ɡ AC d AI ɪ AM l AD a AM ʊ̯ AJ
paggiba	p AG ɐ BA ɡ AC ɡ AC ɪ AM b AG a AM ʔ AL
pagi	p AG a AM ɰ AB ɪ AM
pagitan	p AG ɐ BA ɰ AB i AM t AI ɐ BA n AF
pagkakataon	p AG ɐ BA ɡ AC k AC ɐ BA x BC ɐ BA t AI ɐ BA ʔ AL o BA n AF
pagmamadali	p AG ɐ BA ɡ AC m AE ɐ BA m AE ɐ BA d AI ɐ BA l AD i AM ʔ AL
pagnanakaw	p AG ɐ BA ɡ AC n AF ɐ BA n AF a AM x BC a AM ʊ̯ AJ
pagsamantalahan	p AG ɐ BA ɡ AC s AH ɐ BA m AE ɐ BA n AF t AI ɐ BA l AD ɐ BA h AA a AM n AF
pagsanjan	p AG ɐ BA ɡ AC s AH ɐ BA ŋ AK h AA a AM n AF
pagsuway	p AG ɐ BA ɡ AC s AH w AJ a AM ɪ̯ AB
pagtakhan	p AG ɐ BA ɡ AC t AI ɐ BA k AC h AA ɐ BA n AF
pagtripan	p AG ɐ BA ɡ AC t AI ɾ BE ɪ AM p AG a AM n AF
pagtutulungan	p AG ɐ BA ɡ AC t AI ʊ BA t AI ʊ BA l AD ʊ BA ŋ AK a AM n AF
paguia	p AG ɐ BA ɡ AC j AB ɐ BA
paguio	p AG ɐ BA ɡ AC j AB o BA
pahina	p AG a AM h AA ɪ AM n AF ɐ BA
pahintulot	p AG ɐ BA h AA ɪ AM n AF t AI ʊ BA l AD o BA t AI
pahiyain	p AG ɐ BA h AA ɪ AM ɐ BA ʔ AL i AM n AF
pajares	p AG ɐ BA d AI ʒ AH ɐ BA ɾ BE ɛ AM s AH
pakla	p AG ɐ BA k AC l AD a AM
pakulo	p AG ɐ BA x BC ʊ BA l AD o BA ʔ AL
palacol	p AG ɐ BA l AD ɐ BA x BC o BA l AD
palafox	p AG ɐ BA l AD ɐ BA p AG o BA k AC s AH
palahaw	p AG ɐ BA l AD a AM h AA a AM ʊ̯ AJ
palakol	p AG ɐ BA l AD ɐ BA x BC o BA l AD
palamuti	p AG ɐ BA l AD ɐ BA m AE ʊ BA t AI i AM ʔ AL
palaspas	p AG ɐ BA l AD ɐ BA s AH p AG a AM s AH
palayan	p AG ɐ BA l AD ɐ BA j AB a AM n AF
palayasin	p AG ɐ BA l AD ɐ BA j AB a AM s AH ɪ AM n AF
palima	p AG ɐ BA l AD ɪ AM m AE ɐ BA
palisoc	p AG ɐ BA l AD ɪ AM s AH o BA k AC
palit	p AG ɐ BA l AD i AM t AI
palitada	p AG ɐ BA l AD ɪ AM t AI ɐ BA d AI ɐ BA
palitadahan	p AG ɐ BA l AD ɪ AM t AI ɐ BA d AI ɐ BA h AA ɐ BA n AF
palitan	p AG ɐ BA l AD ɪ AM t AI a AM n AF
palomares	p AG ɐ BA l AD o BA m AE ɐ BA ɾ BE ɛ AM s AH
pamalo	p AG ɐ BA m AE ɐ BA l AD o BA ʔ AL
pamamanhikan	p AG ɐ BA m AE ɐ BA m AE ɐ BA ŋ AK h AA ɪ AM x BC ɐ BA n AF
pamamaril	p AG ɐ BA m AE ɐ BA m AE ɐ BA ɾ BE i AM l AD
pamaypay	p AG ɐ BA m AE a AM ɪ̯ AB p AG a AM ɪ̯ AB
pamimilosopo	p AG ɐ BA m AE ɪ AM m AE ɪ AM l AD o BA s AH o BA p AG o BA
paminta	p AG ɐ BA m AE ɪ AM n AF t AI a AM
pamintuan	p AG ɐ BA m AE ɪ AM n AF t AI ʊ BA ɐ BA n AF
panalangin	p AG ɐ BA n AF ɐ BA l AD ɐ BA ŋ AK ɪ AM n AF
panalo	p AG ɐ BA n AF a AM l AD o BA
pananabotahe	p AG ɐ BA n AF ɐ BA n AF ɐ BA b AG o BA t AI ɐ BA h AA ɛ AM
pananagutan	p AG ɐ BA n AF ɐ BA n AF ɐ BA ɰ AB ʊ BA t AI ɐ BA n AF
pandemya	p AG ɐ BA n AF d AI ɛ AM m AE j AB ɐ BA
panelo	p AG ɐ BA n AF ɛ AM l AD o BA
pangalan	p AG ɐ BA ŋ AK a AM l AD ɐ BA n AF
panghimasukan	p AG ɐ BA ŋ AK h AA ɪ AM m AE ɐ BA s AH ʊ BA x BC ɐ BA n AF
pangngalan	p AG ɐ BA ŋ AK ŋ AK a AM l AD ɐ BA n AF
panibughuin	p AG ɐ BA n AF ɪ AM b AG ʊ BA ɡ AC h AA u BA ʔ AL ɪ AM n AF
paninigarilyo	p AG ɐ BA n AF ɪ AM n AF ɪ AM ɰ AB ɐ BA ɾ BE ɪ AM l AD j AB o BA
panlaqui	p AG ɐ BA n AF l AD ɐ BA x BC ɪ AM
pansamantala	p AG ɐ BA n AF s AH ɐ BA m AE ɐ BA n AF t AI ɐ BA l AD a AM
pantig	p AG ɐ BA n AF t AI ɪ AM ɡ AC
panukala	p AG ɐ BA n AF ʊ BA x BC ɐ BA l AD ɐ BA ʔ AL
paraan	p AG ɐ BA ɾ BE ɐ BA ʔ AL a AM n AF
parada	p AG ɐ BA ɾ BE a AM d AI ɐ BA
paragas	p AG ɐ BA ɾ BE ɐ BA ɰ AB ɐ BA s AH
parayno	p AG ɐ BA ɾ BE a AM ɪ̯ AB n AF o BA
pareño	p AG ɐ BA ɾ BE ɛ AM ɲ AK o BA
pari	p AG a AM ɾ BE ɪ AM ʔ AL
parilla	p AG ɐ BA ɾ BE ɪ AM l AD l AD ɐ BA
parreño	p AG ɐ BA ɾ BE ɛ AM ɲ AK o BA
parusa	p AG ɐ BA ɾ BE u BA s AH ɐ BA
pasaway	p AG ɐ BA s AH ɐ BA w AJ a AM ɪ̯ AB
pasiya	p AG ɐ BA ʃ AH a AM
pasko	p AG ɐ BA s AH k AC o BA
paskuwa	p AG ɐ BA s AH k AC ʊ BA ɐ BA
pasugalan	p AG a AM s AH ʊ BA ɰ AB a AM l AD ɐ BA n AF
pasukan	p AG ɐ BA s AH ʊ BA x BC ɐ BA n AF
pasulo	p AG ɐ BA s AH ʊ BA l AD o BA
patahian	p AG ɐ BA t AI ɐ BA h AA i AM ʔ AL ɐ BA n AF
patiag	p AG ɐ BA t AI ʃ AH ɐ BA ɡ AC
patiño	p AG ɐ BA t AI ɪ AM ɲ AK o BA
patnubay	p AG ɐ BA t AI n AF ʊ BA b AG a AM ɪ̯ AB
patron	p AG ɐ BA t AI ɾ BE o BA n AF
paupahan	p AG a AM ʊ̯ AJ p AG ɐ BA h AA ɐ BA n AF
pawis	p AG ɐ BA w AJ i AM s AH
payumo	p AG ɐ BA j AB ʊ BA m AE o BA
paz	p AG ɐ BA s AH
peke	p AG ɛ AM x BC ɛ AM ʔ AL
peklat	p AG ɛ AM k AC l AD ɐ BA t AI
pestisidyo	p AG ɛ AM s AH t AI ɪ AM s AH ɪ AM d AI ʒ AH o BA
peñaflor	p AG ɛ AM ɲ AK ɐ BA p AG l AD o BA ɾ BE
peñaflorida	p AG ɛ AM ɲ AK ɐ BA p AG l AD o BA ɾ BE ɪ AM d AI ɐ BA
peñaranda	p AG ɛ AM ɲ AK ɐ BA ɾ BE ɐ BA n AF d AI ɐ BA
piga	p AG ɪ AM ɰ AB a AM ʔ AL
pigain	p AG ɪ AM ɰ AB ɐ BA ʔ AL i AM n AF
pigsa	p AG ɪ AM ɡ AC s AH a AM ʔ AL
pihikan	p AG ɪ AM h AA i AM x BC ɐ BA n AF
pilantik	p AG ɪ AM l AD ɐ BA n AF t AI i AM k AC
pilantropo	p AG ɪ AM l AD a AM n AF t AI ɾ BE o BA p AG o BA
pilapil	p AG ɪ AM l AD a AM p AG ɪ AM l AD
pilat	p AG i AM l AD ɐ BA t AI
pilipinas	p AG ɪ AM l AD ɪ AM p AG ɪ AM n AF ɐ BA s AH
pilosopiya	p AG ɪ AM l AD o BA s AH o BA p AG i AM ɐ BA
pilosopo	p AG ɪ AM l AD o BA s AH o BA p AG o BA
pilyo	p AG ɪ AM l AD j AB o BA
pinaghihinalaan	p AG ɪ AM n AF ɐ BA ɡ AC h AA ɪ AM h AA ɪ AM n AF ɐ BA l AD a AM ɐ BA n AF
pinagsamantalahan	p AG ɪ AM n AF ɐ BA ɡ AC s AH ɐ BA m AE ɐ BA n AF t AI ɐ BA l AD ɐ BA h AA a AM n AF
pindot	p AG ɪ AM n AF d AI o BA t AI
pinggan	p AG ɪ AM ŋ AK ɡ AC a AM n AF
pinlac	p AG ɪ AM n AF l AD ɐ BA k AC
pintakasi	p AG ɪ AM n AF t AI ɐ BA x BC a AM s AH ɪ AM
piraso	p AG ɪ AM ɾ BE a AM s AH o BA
pirmahan	p AG ɪ AM ɾ BE m AE ɐ BA h AA a AM n AF
piskal	p AG ɪ AM s AH k AC a AM l AD
piskalya	p AG ɪ AM s AH k AC ɐ BA l AD j AB a AM
pista	p AG ɪ AM s AH t AI a AM
piyo	p AG j AB o BA ʔ AL
pizarro	p AG ɪ AM s AH ɐ BA ɾ BE ɾ BE o BA
piñon	p AG ɪ AM ɲ AK o BA n AF
planas	p AG l AD ɐ BA n AF ɐ BA s AH
plastik	p AG l AD ɐ BA s AH t AI ɪ AM k AC
policarpio	p AG o BA l AD ɪ AM x BC ɐ BA ɾ BE p AG j AB o BA
polintan	p AG o BA l AD ɪ AM n AF t AI ɐ BA n AF
portuges	p AG o BA ɾ BE t AI ʊ BA ɰ AB ɛ AM s AH
posas	p AG o BA s AH ɐ BA s AH
