aa	ɑː AE
vuorovesienergia	ʋ AC u AF o̞̯ r o̞ AF ʋ AC e̞ AD s̠ i AD e̞ AD n e̞ AD r ɡ i AD ɑ AD
vuorovesivoima	ʋ AC u AF o̞̯ r o̞ AF ʋ AC e̞ AD s̠ i AD ʋ AC o̞ AF i̯ AB m ɑ AD
vuorovuosi	ʋ AC u AF o̞̯ r o̞ AF ʋ AC u AF o̞̯ s̠ i AD
vuoroväli	ʋ AC u AF o̞̯ r o̞ AF ʋ AC æ AD l i AD
vuorovärinen	ʋ AC u AF o̞̯ r o̞ AF ʋ AC æ AD r i AD n e̞ AD n
vuosi	ʋ AC u AF o̞̯ s̠ i AD
vuosia	ʋ AC u AF o̞̯ s̠ i AD ɑ AD
vuosiansio	ʋ AC u AF o̞̯ s̠ i AD ɑ AD n s̠ i AD o̞ AF
vuosihoroskooppi	ʋ AC u AF o̞̯ s̠ i AD h AA o̞ AF r o̞ AF s̠ k o̞ː AG pː i AD
vuosihuolto	ʋ AC u AF o̞̯ s̠ i AD h AA u AF o̞̯ l t̪ o̞ AF
vuosijuhla	ʋ AC u AF o̞̯ s̠ i AD j AB u AF x l ɑ AD
vuosijulkaisu	ʋ AC u AF o̞̯ s̠ i AD j AB u AF l k ɑ AD i̯ AB s̠ u AF
vuosikalenteri	ʋ AC u AF o̞̯ s̠ i AD k ɑ AD l e̞ AD n t̪ e̞ AD r i AD
vuosikasvain	ʋ AC u AF o̞̯ s̠ i AD k ɑ AD s̠ ʋ AC ɑ AD i̯ AB n
vuosikasvu	ʋ AC u AF o̞̯ s̠ i AD k ɑ AD s̠ ʋ AC u AF
vuosikatsaus	ʋ AC u AF o̞̯ s̠ i AD k ɑ AD t s̠ ɑ AD u AF s̠
vuosikello	ʋ AC u AF o̞̯ s̠ i AD k e̞ AD lː o̞ AF
vuosikertaviini	ʋ AC u AF o̞̯ s̠ i AD k e̞ AD r t̪ ɑ AD ʋ AC iː AE n i AD
vuosikeskiarvo	ʋ AC u AF o̞̯ s̠ i AD k e̞ AD s̠ k i AD ɑ AD r ʋ AC o̞ AF
vuosikorjaus	ʋ AC u AF o̞̯ s̠ i AD k o̞ AF r j AB ɑ AD u AF s̠
vuosikortti	ʋ AC u AF o̞̯ s̠ i AD k o̞ AF r t̪ː i AD
vuosikulu	ʋ AC u AF o̞̯ s̠ i AD k u AF l u AF
vuosikulutus	ʋ AC u AF o̞̯ s̠ i AD k u AF l u AF t̪ u AF s̠
vuosikurssi	ʋ AC u AF o̞̯ s̠ i AD k u AF r s̠ː i AD
vuosikustannus	ʋ AC u AF o̞̯ s̠ i AD k u AF s̠ t̪ ɑ AD nː u AF s̠
vuosikymmeninen	ʋ AC u AF o̞̯ s̠ i AD k y AF mː e̞ AD n i AD n e̞ AD n
vuosiluku	ʋ AC u AF o̞̯ s̠ i AD l u AF k u AF
vuosiluokittain	ʋ AC u AF o̞̯ s̠ i AD l u AF o̞̯ k i AD t̪ː ɑ AD i̯ AB n
vuosimaksu	ʋ AC u AF o̞̯ s̠ i AD m ɑ AD k s̠ u AF
vuosimiljardi	ʋ AC u AF o̞̯ s̠ i AD m i AD l j AB ɑ AD r d i AD
vuosimiljoona	ʋ AC u AF o̞̯ s̠ i AD m i AD l j AB o̞ː AG n ɑ AD
vuosimyynti	ʋ AC u AF o̞̯ s̠ i AD m yː AG n̪ t̪ i AD
vuosiosuus	ʋ AC u AF o̞̯ s̠ i AD o̞ AF s̠ uː AG s̠
vuosipalkka	ʋ AC u AF o̞̯ s̠ i AD p ɑ AD l kː ɑ AD
vuosipalkkio	ʋ AC u AF o̞̯ s̠ i AD p ɑ AD l kː i AD o̞ AF
vuosiraportti	ʋ AC u AF o̞̯ s̠ i AD r ɑ AD p o̞ AF r t̪ː i AD
vuosisata	ʋ AC u AF o̞̯ s̠ i AD s̠ ɑ AD t̪ ɑ AD
vuosisatainen	ʋ AC u AF o̞̯ s̠ i AD s̠ ɑ AD t̪ ɑ AD i̯ AB n e̞ AD n
vuosisopimus	ʋ AC u AF o̞̯ s̠ i AD s̠ o̞ AF p i AD m u AF s̠
vuosisuunnitelma	ʋ AC u AF o̞̯ s̠ i AD s̠ uː AG nː i AD t̪ e̞ AD l m ɑ AD
vuositarkastus	ʋ AC u AF o̞̯ s̠ i AD t̪ ɑ AD r k ɑ AD s̠ t̪ u AF s̠
vuositase	ʋ AC u AF o̞̯ s̠ i AD t̪ ɑ AD s̠ e̞ AD ʔ
vuositilaaja	ʋ AC u AF o̞̯ s̠ i AD t̪ i AD l ɑː AE j AB ɑ AD
vuositilasto	ʋ AC u AF o̞̯ s̠ i AD t̪ i AD l ɑ AD s̠ t̪ o̞ AF
vuositilaus	ʋ AC u AF o̞̯ s̠ i AD t̪ i AD l ɑ AD u AF s̠
vuosituhantinen	ʋ AC u AF o̞̯ s̠ i AD t̪ u AF ɦ AA ɑ AD n t̪ i AD n e̞ AD n
vuosituhat	ʋ AC u AF o̞̯ s̠ i AD t̪ u AF ɦ AA ɑ AD t̪
vuositulo	ʋ AC u AF o̞̯ s̠ i AD t̪ u AF l o̞ AF
vuosituonti	ʋ AC u AF o̞̯ s̠ i AD t̪ u AF o̞̯ n̪ t̪ i AD
vuosituotanto	ʋ AC u AF o̞̯ s̠ i AD t̪ u AF o̞̯ t̪ ɑ AD n̪ t̪ o̞ AF
vuosituotto	ʋ AC u AF o̞̯ s̠ i AD t̪ u AF o̞̯ t̪ː o̞ AF
vuosivaihtelu	ʋ AC u AF o̞̯ s̠ i AD ʋ AC ɑ AD i̯ AB ç t̪ e̞ AD l u AF
vuosivaihto	ʋ AC u AF o̞̯ s̠ i AD ʋ AC ɑ AD i̯ AB ç t̪ o̞ AF
vuosivauhti	ʋ AC u AF o̞̯ s̠ i AD ʋ AC ɑ AD u̯ AC x t̪ i AD
vuosivienti	ʋ AC u AF o̞̯ s̠ i AD ʋ AC i AD e̞̯ n̪ t̪ i AD
vuosivoitto	ʋ AC u AF o̞̯ s̠ i AD ʋ AC o̞ AF i̯ AB t̪ː o̞ AF
vuosivuokra	ʋ AC u AF o̞̯ s̠ i AD ʋ AC u AF o̞̯ k r ɑ AD
vuota	ʋ AC u AF o̞̯ t̪ ɑ AD
vuotaa	ʋ AC u AF o̞̯ t̪ ɑː AE ʔ
vuotakenkä	ʋ AC u AF o̞̯ t̪ ɑ AD k e̞ AD ŋ k æ AD
vuotamaton	ʋ AC u AF o̞̯ t̪ ɑ AD m ɑ AD t̪ o̞ AF n
vuotaminen	ʋ AC u AF o̞̯ t̪ ɑ AD m i AD n e̞ AD n
vuotkin	ʋ AC u AF o̞̯ t̪ k i AD n
vuotovirta	ʋ AC u AF o̞̯ t̪ o̞ AF ʋ AC i AD r t̪ ɑ AD
vuottoraippa	ʋ AC u AF o̞̯ t̪ː o̞ AF r ɑ AD i̯ AB pː ɑ AD
vuotuisjuhla	ʋ AC u AF o̞̯ t̪ u AF i̯ AB s̠ j AB u AF x l ɑ AD
vuotuismuutto	ʋ AC u AF o̞̯ t̪ u AF i̯ AB s̠ m uː AG t̪ː o̞ AF
vyyhdinpuu	ʋ AC yː AG ç d i AD m p uː AG
vyyhteäminen	ʋ AC yː AG ç t̪ e̞ AD æ AD m i AD n e̞ AD n
vyyhti	ʋ AC yː AG ç t̪ i AD
vyyhtiä	ʋ AC yː AG ç t̪ i AD æ AD ʔ
vyö	ʋ AC y AF ø̞̯
vyöhyke	ʋ AC y AF ø̞̯ ɦ AA y AF k e̞ AD ʔ
vyöhykeraja	ʋ AC y AF ø̞̯ ɦ AA y AF k e̞ AD r r ɑ AD j AB ɑ AD
vyöhykkeinen	ʋ AC y AF ø̞̯ ɦ AA y AF k k e̞ AD i̯ AB n e̞ AD n
vyöhykkeisyys	ʋ AC y AF ø̞̯ ɦ AA y AF k k e̞ AD i̯ AB s̠ yː AG s̠
vyöhyt	ʋ AC y AF ø̞̯ ɦ AA y AF t̪
vyökaari	ʋ AC y AF ø̞̯ k ɑː AE r i AD
vyökoukku	ʋ AC y AF ø̞̯ k o̞ AF u̯ AC kː u AF
vyöliina	ʋ AC y AF ø̞̯ l iː AE n ɑ AD
vyöliitos	ʋ AC y AF ø̞̯ l iː AE t̪ o̞ AF s̠
vyöllinen	ʋ AC y AF ø̞̯ lː i AD n e̞ AD n
vyöry	ʋ AC y AF ø̞̯ r y AF ʔ
vyöryttäminen	ʋ AC y AF ø̞̯ r y AF t̪ t̪ æ AD m i AD n e̞ AD n
vyöryttää	ʋ AC y AF ø̞̯ r y AF t̪ː æː AE ʔ
vyöryä	ʋ AC y AF ø̞̯ r y AF æ AD ʔ
vyörähtää	ʋ AC y AF ø̞̯ r æ AD h AA t̪ æː AE ʔ
vyötiäinen	ʋ AC y AF ø̞̯ t̪ i AD æ AD i̯ AB n e̞ AD n
vyöttäminen	ʋ AC y AF ø̞̯ t̪ː æ AD m i AD n e̞ AD n
vyöttäytyä	ʋ AC y AF ø̞̯ t̪ː æ AD y AF t̪ y AF æ AD ʔ
vyöttää	ʋ AC y AF ø̞̯ t̪ː æː AE ʔ
vyötäiset	ʋ AC y AF ø̞̯ t̪ æ AD i̯ AB s̠ e̞ AD t̪
vyötärö	ʋ AC y AF ø̞̯ t̪ æ AD r ø̞ AF
vyötäröhame	ʋ AC y AF ø̞̯ t̪ æ AD r ø̞ AF h AA ɑ AD m e̞ AD ʔ
väenkokous	ʋ AC æ AD e̞ AD ŋ k o̞ AF k o̞ AF u AF s̠
väenpaljous	ʋ AC æ AD e̞ AD m p ɑ AD l j AB o̞ AF u AF s̠
väentungos	ʋ AC æ AD e̞ AD n t̪ u AF ŋː o̞ AF s̠
väentupa	ʋ AC æ AD e̞ AD n t̪ u AF p ɑ AD
väestöennuste	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF e̞ AD nː u AF s̠ t̪ e̞ AD ʔ
väestöhälytin	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF h AA æ AD l y AF t̪ i AD n
väestökato	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF k ɑ AD t̪ o̞ AF
väestöllinen	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF lː i AD n e̞ AD n
väestönlaskenta	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF n l ɑ AD s̠ k e̞ AD n̪ t̪ ɑ AD
väestönosa	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF n o̞ AF s̠ ɑ AD
väestönsuoja	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF n s̠ u AF o̞̯ j AB ɑ AD
väestöpoliittinen	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF p o̞ AF l iː AE t̪ t̪ i AD n e̞ AD n
väestötieteellinen	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF t̪ i AD e̞̯ t̪ e̞ː AE l l i AD n e̞ AD n
väestövastuinen	ʋ AC æ AD e̞ AD s̠ t̪ ø̞ AF ʋ AC ɑ AD s̠ t̪ u AF i̯ AB n e̞ AD n
väetön	ʋ AC æ AD e̞ AD t̪ ø̞ AF n
väheksyntä	ʋ AC æ AD ɦ AA e̞ AD k s̠ y AF n̪ t̪ æ AD
väheksyä	ʋ AC æ AD ɦ AA e̞ AD k s̠ y AF æ AD ʔ
vähemmistö	ʋ AC æ AD ɦ AA e̞ AD m m i AD s̠ t̪ ø̞ AF
vähemmistöhyökkäys	ʋ AC æ AD ɦ AA e̞ AD m m i AD s̠ t̪ ø̞ AF h AA y AF ø̞ AF kː æ AD y AF s̠
vähemmistökansa	ʋ AC æ AD ɦ AA e̞ AD m m i AD s̠ t̪ ø̞ AF k ɑ AD n s̠ ɑ AD
vähemmistökieli	ʋ AC æ AD ɦ AA e̞ AD m m i AD s̠ t̪ ø̞ AF k i AD e̞ AD l i AD
vähemmistöryhmä	ʋ AC æ AD ɦ AA e̞ AD m m i AD s̠ t̪ ø̞ AF r y AF ç m æ AD
vähemmyys	ʋ AC æ AD ɦ AA e̞ AD mː yː AG s̠
vähennellä	ʋ AC æ AD ɦ AA e̞ AD n n e̞ AD lː æ AD ʔ
vähennysmerkki	ʋ AC æ AD ɦ AA e̞ AD nː y AF s̠ m e̞ AD r kː i AD
vähentymä	ʋ AC æ AD ɦ AA e̞ AD n t̪ y AF m æ AD
vähentää	ʋ AC æ AD ɦ AA e̞ AD n̪ t̪ æː AE ʔ
vähetä	ʋ AC æ AD ɦ AA e̞ AD t̪ æ AD ʔ
vähimmin	ʋ AC æ AD ɦ AA i AD mː i AD n
vähimmäinen	ʋ AC æ AD ɦ AA i AD m m æ AD i̯ AB n e̞ AD n
vähimmäisarvo	ʋ AC æ AD ɦ AA i AD mː æ AD i̯ AB s̠ ɑ AD r ʋ AC o̞ AF
vähimmäiseläke	ʋ AC æ AD ɦ AA i AD mː æ AD i̯ AB s̠ e̞ AD l æ AD k e̞ AD ʔ
vähimmäisetuus	ʋ AC æ AD ɦ AA i AD mː æ AD i̯ AB s̠ e̞ AD t̪ uː AG s̠
vähimmäiskoko	ʋ AC æ AD ɦ AA i AD mː æ AD i̯ AB s̠ k o̞ AF k o̞ AF
vähimmäismäärä	ʋ AC æ AD ɦ AA i AD mː æ AD i̯ AB s̠ m æː AE r æ AD
vähimmäistää	ʋ AC æ AD ɦ AA i AD m m æ AD i̯ AB s̠ t̪ æː AE ʔ
vähintäin	ʋ AC æ AD ɦ AA i AD n̪ t̪ æ AD i̯ AB n
vähissä	ʋ AC æ AD ɦ AA i AD s̠ː æ AD
vähittäisesti	ʋ AC æ AD ɦ AA i AD t̪ t̪ æ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
vähittäiskauppa	ʋ AC æ AD ɦ AA i AD t̪ː æ AD i̯ AB s̠ k ɑ AD u̯ AC pː ɑ AD
vähä	ʋ AC æ AD ɦ AA æ AD
vähäaasialainen	ʋ AC æ AD ɦ AA æ AD ɑː AE s̠ i AD ɑ AD l ɑ AD i̯ AB n e̞ AD n
vähäaktiivinen	ʋ AC æ AD ɦ AA æ AD ɑ AD k t̪ iː AE ʋ AC i AD n e̞ AD n
vähäarvoinen	ʋ AC æ AD ɦ AA æ AD ɑ AD r ʋ AC o̞ AF i̯ AB n e̞ AD n
vähäeleinen	ʋ AC æ AD ɦ AA æ AD e̞ AD l e̞ AD i̯ AB n e̞ AD n
vähäeleisesti	ʋ AC æ AD ɦ AA æ AD e̞ AD l e̞ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
vähäeleisyys	ʋ AC æ AD ɦ AA æ AD e̞ AD l e̞ AD i̯ AB s̠ yː AG s̠
vähäenergiainen	ʋ AC æ AD ɦ AA æ AD e̞ AD n e̞ AD r ɡ i AD ɑ AD i̯ AB n e̞ AD n
vähäilmeinen	ʋ AC æ AD ɦ AA æ AD i AD l m e̞ AD i̯ AB n e̞ AD n
vähäilmeisesti	ʋ AC æ AD ɦ AA æ AD i AD l m e̞ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
vähäilmeisyys	ʋ AC æ AD ɦ AA æ AD i AD l m e̞ AD i̯ AB s̠ yː AG s̠
vähäisen	ʋ AC æ AD ɦ AA æ AD i̯ AB s̠ e̞ AD n
vähäjärkisyys	ʋ AC æ AD ɦ AA æ AD j AB æ AD r k i AD s̠ yː AG s̠
vähäjärvinen	ʋ AC æ AD ɦ AA æ AD j AB æ AD r ʋ AC i AD n e̞ AD n
vähäkuituinen	ʋ AC æ AD ɦ AA æ AD k u AF i̯ AB t̪ u AF i̯ AB n e̞ AD n
vähälahjainen	ʋ AC æ AD ɦ AA æ AD l ɑ AD x j AB ɑ AD i̯ AB n e̞ AD n
vähälaktoosinen	ʋ AC æ AD ɦ AA æ AD l ɑ AD k t̪ o̞ː AG s̠ i AD n e̞ AD n
vähälapsinen	ʋ AC æ AD ɦ AA æ AD l ɑ AD p s̠ i AD n e̞ AD n
vähäliikenteinen	ʋ AC æ AD ɦ AA æ AD l iː AE k e̞ AD n t̪ e̞ AD i̯ AB n e̞ AD n
vähälukuinen	ʋ AC æ AD ɦ AA æ AD l u AF k u AF i̯ AB n e̞ AD n
vähälukuisesti	ʋ AC æ AD ɦ AA æ AD l u AF k u AF i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
vähälukuisuus	ʋ AC æ AD ɦ AA æ AD l u AF k u AF i̯ AB s̠ uː AG s̠
vähäluminen	ʋ AC æ AD ɦ AA æ AD l u AF m i AD n e̞ AD n
vähäläntä	ʋ AC æ AD ɦ AA æ AD l æ AD n̪ t̪ æ AD
vähämerkityksinen	ʋ AC æ AD ɦ AA æ AD m e̞ AD r k i AD t̪ y AF k s̠ i AD n e̞ AD n
vähämielinen	ʋ AC æ AD ɦ AA æ AD m i AD e̞̯ l i AD n e̞ AD n
vähänläntä	ʋ AC æ AD ɦ AA æ AD n l æ AD n̪ t̪ æ AD
vähäosainen	ʋ AC æ AD ɦ AA æ AD o̞ AF s̠ ɑ AD i̯ AB n e̞ AD n
vähäpuheinen	ʋ AC æ AD ɦ AA æ AD p u AF ɦ AA e̞ AD i̯ AB n e̞ AD n
vähäpukeinen	ʋ AC æ AD ɦ AA æ AD p u AF k e̞ AD i̯ AB n e̞ AD n
vähäpätöinen	ʋ AC æ AD ɦ AA æ AD p æ AD t̪ ø̞ AF i̯ AB n e̞ AD n
vähäpätöisyys	ʋ AC æ AD ɦ AA æ AD p æ AD t̪ ø̞ AF i̯ AB s̠ yː AG s̠
vähäpäästöinen	ʋ AC æ AD ɦ AA æ AD p æː AE s̠ t̪ ø̞ AF i̯ AB n e̞ AD n
vähäravinteinen	ʋ AC æ AD ɦ AA æ AD r ɑ AD ʋ AC i AD n t̪ e̞ AD i̯ AB n e̞ AD n
vähäruokainen	ʋ AC æ AD ɦ AA æ AD r u AF o̞̯ k ɑ AD i̯ AB n e̞ AD n
vähäsanainen	ʋ AC æ AD ɦ AA æ AD s̠ ɑ AD n ɑ AD i̯ AB n e̞ AD n
vähäsateinen	ʋ AC æ AD ɦ AA æ AD s̠ ɑ AD t̪ e̞ AD i̯ AB n e̞ AD n
vähäsen	ʋ AC æ AD ɦ AA æ AD s̠ e̞ AD n
vähäsokerinen	ʋ AC æ AD ɦ AA æ AD s̠ o̞ AF k e̞ AD r i AD n e̞ AD n
vähäsuolainen	ʋ AC æ AD ɦ AA æ AD s̠ u AF o̞̯ l ɑ AD i̯ AB n e̞ AD n
vähätaitoinen	ʋ AC æ AD ɦ AA æ AD t̪ ɑ AD i̯ AB t̪ o̞ AF i̯ AB n e̞ AD n
vähätellä	ʋ AC æ AD ɦ AA æ AD t̪ e̞ AD lː æ AD ʔ
vähätelmä	ʋ AC æ AD ɦ AA æ AD t̪ e̞ AD l m æ AD
vähätietoinen	ʋ AC æ AD ɦ AA æ AD t̪ i AD e̞̯ t̪ o̞ AF i̯ AB n e̞ AD n
vähätuloinen	ʋ AC æ AD ɦ AA æ AD t̪ u AF l o̞ AF i̯ AB n e̞ AD n
vähätuottoinen	ʋ AC æ AD ɦ AA æ AD t̪ u AF o̞̯ t̪ː o̞ AF i̯ AB n e̞ AD n
vähätöinen	ʋ AC æ AD ɦ AA æ AD t̪ ø̞ AF i̯ AB n e̞ AD n
vähäuskoinen	ʋ AC æ AD ɦ AA æ AD u AF s̠ k o̞ AF i̯ AB n e̞ AD n
vähävaraisuus	ʋ AC æ AD ɦ AA æ AD ʋ AC ɑ AD r ɑ AD i̯ AB s̠ uː AG s̠
vähäverinen	ʋ AC æ AD ɦ AA æ AD ʋ AC e̞ AD r i AD n e̞ AD n
vähävirikkeinen	ʋ AC æ AD ɦ AA æ AD ʋ AC i AD r i AD k k e̞ AD i̯ AB n e̞ AD n
vähäväkinen	ʋ AC æ AD ɦ AA æ AD ʋ AC æ AD k i AD n e̞ AD n
vähääkään	ʋ AC æ AD ɦ AA æː AE k æː AE n
väijy	ʋ AC æ AD i̯ AB jː AH y AF ʔ
väijyksiin	ʋ AC æ AD i̯ AB jː AH y AF k s̠ iː AE n
väijyttää	ʋ AC æ AD i̯ AB jː AH y AF t̪ː æː AE ʔ
väijytysasema	ʋ AC æ AD i̯ AB jː AH y AF t̪ y AF s̠ ɑ AD s̠ e̞ AD m ɑ AD
väijyä	ʋ AC æ AD i̯ AB jː AH y AF æ AD ʔ
väikehtiä	ʋ AC æ AD i̯ AB k e̞ AD h AA t̪ i AD æ AD ʔ
väinä	ʋ AC æ AD i̯ AB n æ AD
väinämö	ʋ AC æ AD i̯ AB n æ AD m ø̞ AF
väinämöinen	ʋ AC æ AD i̯ AB n æ AD m ø̞ AF i̯ AB n e̞ AD n
väinänlinna	ʋ AC æ AD i̯ AB n æ AD n l i AD nː ɑ AD
väinö	ʋ AC æ AD i̯ AB n ø̞ AF
väinönputki	ʋ AC æ AD i̯ AB n ø̞ AF m p u AF t̪ k i AD
väistellä	ʋ AC æ AD i̯ AB s̠ t̪ e̞ AD lː æ AD ʔ
väistetään	ʋ AC æ AD i̯ AB s̠ t̪ e̞ AD t̪ æː AE n
väistin	ʋ AC æ AD i̯ AB s̠ t̪ i AD n
väistyvä	ʋ AC æ AD i̯ AB s̠ t̪ y AF ʋ AC æ AD
väistyvästi	ʋ AC æ AD i̯ AB s̠ t̪ y AF ʋ AC æ AD s̠ t̪ i AD ʔ
väistäjä	ʋ AC æ AD i̯ AB s̠ t̪ æ AD j AB æ AD
väistäminen	ʋ AC æ AD i̯ AB s̠ t̪ æ AD m i AD n e̞ AD n
väistämisvelvollisuus	ʋ AC æ AD i̯ AB s̠ t̪ æ AD m i AD s̠ ʋ AC e̞ AD l ʋ AC o̞ AF l l i AD s̠ uː AG s̠
väistämättömyys	ʋ AC æ AD i̯ AB s̠ t̪ æ AD m æ AD t̪ː ø̞ AF m yː AG s̠
väistää	ʋ AC æ AD i̯ AB s̠ t̪ æː AE ʔ
väistö	ʋ AC æ AD i̯ AB s̠ t̪ ø̞ AF
väistövelvollinen	ʋ AC æ AD i̯ AB s̠ t̪ ø̞ AF ʋ AC e̞ AD l ʋ AC o̞ AF l l i AD n e̞ AD n
väistövelvollisuus	ʋ AC æ AD i̯ AB s̠ t̪ ø̞ AF ʋ AC e̞ AD l ʋ AC o̞ AF l l i AD s̠ uː AG s̠
väisänen	ʋ AC æ AD i̯ AB s̠ æ AD n e̞ AD n
väite	ʋ AC æ AD i̯ AB t̪ e̞ AD ʔ
väitelause	ʋ AC æ AD i̯ AB t̪ e̞ AD l l ɑ AD u̯ AC s̠ e̞ AD ʔ
väitellä	ʋ AC æ AD i̯ AB t̪ e̞ AD lː æ AD ʔ
väitetysti	ʋ AC æ AD i̯ AB t̪ e̞ AD t̪ y AF s̠ t̪ i AD ʔ
väitteleminen	ʋ AC æ AD i̯ AB t̪ː e̞ AD l e̞ AD m i AD n e̞ AD n
väittelytaito	ʋ AC æ AD i̯ AB t̪ː e̞ AD l y AF t̪ ɑ AD i̯ AB t̪ o̞ AF
väittäjäiset	ʋ AC æ AD i̯ AB t̪ː æ AD j AB æ AD i̯ AB s̠ e̞ AD t̪
väittäminen	ʋ AC æ AD i̯ AB t̪ː æ AD m i AD n e̞ AD n
väitöskirja	ʋ AC æ AD i̯ AB t̪ ø̞ AF s̠ k i AD r j AB ɑ AD
väkevyinen	ʋ AC æ AD k e̞ AD ʋ AC y AF i̯ AB n e̞ AD n
väkevyys	ʋ AC æ AD k e̞ AD ʋ AC yː AG s̠
väkevä	ʋ AC æ AD k e̞ AD ʋ AC æ AD
väkevänhajuinen	ʋ AC æ AD k e̞ AD ʋ AC æ AD n h AA ɑ AD j AB u AF i̯ AB n e̞ AD n
väkevänmakuinen	ʋ AC æ AD k e̞ AD ʋ AC æ AD m m ɑ AD k u AF i̯ AB n e̞ AD n
väkevästi	ʋ AC æ AD k e̞ AD ʋ AC æ AD s̠ t̪ i AD ʔ
väkevätehoinen	ʋ AC æ AD k e̞ AD ʋ AC æ AD t̪ e̞ AD ɦ AA o̞ AF i̯ AB n e̞ AD n
väkevätuoksuinen	ʋ AC æ AD k e̞ AD ʋ AC æ AD t̪ u AF o̞̯ k s̠ u AF i̯ AB n e̞ AD n
väkevöidä	ʋ AC æ AD k e̞ AD ʋ AC ø̞ AF i̯ AB d æ AD ʔ
väkevöinti	ʋ AC æ AD k e̞ AD ʋ AC ø̞ AF i̯ AB n̪ t̪ i AD
väkevöity	ʋ AC æ AD k e̞ AD ʋ AC ø̞ AF i̯ AB t̪ y AF
väkevöityä	ʋ AC æ AD k e̞ AD ʋ AC ø̞ AF i̯ AB t̪ y AF æ AD ʔ
väki	ʋ AC æ AD k i AD
väkikapula	ʋ AC æ AD k i AD k ɑ AD p u AF l ɑ AD
väkikarttu	ʋ AC æ AD k i AD k ɑ AD r t̪ː u AF
väkimäärä	ʋ AC æ AD k i AD m æː AE r æ AD
väkinäisesti	ʋ AC æ AD k i AD n æ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
väkinäisyys	ʋ AC æ AD k i AD n æ AD i̯ AB s̠ yː AG s̠
väkipakko	ʋ AC æ AD k i AD p ɑ AD kː o̞ AF
väkipuukko	ʋ AC æ AD k i AD p uː AG kː o̞ AF
väkipyörästö	ʋ AC æ AD k i AD p y AF ø̞̯ r æ AD s̠ t̪ ø̞ AF
väkirynnäkkö	ʋ AC æ AD k i AD r y AF nː æ AD kː ø̞ AF
väkisellä	ʋ AC æ AD k i AD s̠ e̞ AD lː æ AD
väkisinmaata	ʋ AC æ AD k i AD s̠ i AD m m ɑː AE t̪ ɑ AD ʔ
väkisinmakaaminen	ʋ AC æ AD k i AD s̠ i AD m m ɑ AD k ɑː AE m i AD n e̞ AD n
väkisten	ʋ AC æ AD k i AD s̠ t̪ e̞ AD n
väkivahva	ʋ AC æ AD k i AD ʋ AC ɑ AD x ʋ AC ɑ AD
väkivalta	ʋ AC æ AD k i AD ʋ AC ɑ AD l t̪ ɑ AD
väkivaltavideo	ʋ AC æ AD k i AD ʋ AC ɑ AD l t̪ ɑ AD ʋ AC i AD d e̞ AD o̞ AF
väkivasara	ʋ AC æ AD k i AD ʋ AC ɑ AD s̠ ɑ AD r ɑ AD
väkä	ʋ AC æ AD k æ AD
väkäleukainen	ʋ AC æ AD k æ AD l e̞ AD u̯ AC k ɑ AD i̯ AB n e̞ AD n
väkämato	ʋ AC æ AD k æ AD m ɑ AD t̪ o̞ AF
väkäpäinen	ʋ AC æ AD k æ AD p æ AD i̯ AB n e̞ AD n
väkäsellinen	ʋ AC æ AD k æ AD s̠ e̞ AD lː i AD n e̞ AD n
väli	ʋ AC æ AD l i AD
väliaikaisuus	ʋ AC æ AD l i AD ɑ AD i̯ AB k ɑ AD i̯ AB s̠ uː AG s̠
väliaikatieto	ʋ AC æ AD l i AD ɑ AD i̯ AB k ɑ AD t̪ i AD e̞̯ t̪ o̞ AF
välialue	ʋ AC æ AD l i AD ɑ AD l u AF e̞ AD ʔ
väliarviointi	ʋ AC æ AD l i AD ɑ AD r ʋ AC i AD o̞ AF i̯ AB n̪ t̪ i AD
väliasema	ʋ AC æ AD l i AD ɑ AD s̠ e̞ AD m ɑ AD
välienselvittely	ʋ AC æ AD l i AD e̞ AD n s̠ e̞ AD l ʋ AC i AD t̪ t̪ e̞ AD l y AF
välihammas	ʋ AC æ AD l i AD h AA ɑ AD mː ɑ AD s̠
välihousut	ʋ AC æ AD l i AD h AA o̞ AF u̯ AC s̠ u AF t̪
väliin	ʋ AC æ AD l iː AE n
väliinputoaja	ʋ AC æ AD l iː AE m p u AF t̪ o̞ AF ɑ AD j AB ɑ AD
välikantakieli	ʋ AC æ AD l i AD k ɑ AD n̪ t̪ ɑ AD k i AD e̞̯ l i AD
välikatto	ʋ AC æ AD l i AD k ɑ AD t̪ː o̞ AF
