ᆜ	j AB ɯ AJ
진리	t AC ɕ AL i AJ ʎ AN ʎ AN i AJ
진보	t AC ɕ AL iː AJ n AF b AG o̞ AK
진부하다	t AC ɕ AL i AJ n AF b AG u AK ɦ AA a̠ AJ d AC a̠ AJ
진상	t AC ɕ AL iː AJ n AF sʰ BB a̠ AJ ŋ AF
진실	t AC ɕ AL i AJ n AF ɕʰ BB i AJ ɭ AN
진실하다	t AC ɕ AL i AJ n AF ɕʰ BB i AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
진심	t AC ɕ AL i AJ n AF ɕʰ BB i AJ m AE
진압	t AC ɕ AL iː AJ n AF a̠ AJ p̚
진압하다	t AC ɕ AL i AJ n AF a̠ AJ pʰ AH a̠ AJ d AC a̠ AJ
진언	t AC ɕ AL i AJ n AF ʌ̹ n AF
진여	t AC ɕ AL i AJ ɲ AF j AB ʌ̹
진열장	t AC ɕ AL iː AJ ɲ AF j AB ʌ̹ ʎ AN d AC ʑ AL a̠ AJ ŋ AF
진원지	t AC ɕ AL i AJ n AF w AI ʌ̹ ɲ AF d AC ʑ AL i AJ
진정하다	t AC ɕ AL i AJ ɲ AF d AC ʑ AL ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
진주	t AC ɕ AL i AJ ɲ AF d AC ʑ AL u AK
진주층	t AC ɕ AL i AJ ɲ AF d AC ʑ AL u AK t AC ɕʰ BB ɯ AJ ŋ AF
진지	t AC ɕ AL iː AJ ɲ AF d AC ʑ AL i AJ
진지하다	t AC ɕ AL i AJ ɲ AF d AC ʑ AL i AJ ɦ AA a̠ AJ d AC a̠ AJ
진짜	t AC ɕ AL i AJ ɲ AF t AC ɕ͈ a̠ AJ
진출	t AC ɕ AL iː AJ ɲ AF t AC ɕʰ BB u AK ɭ AN
진출하다	t AC ɕ AL iː AJ ɲ AF t AC ɕʰ BB u AK ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
진하다	t AC ɕ AL i AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
진한	t AC ɕ AL i AJ n AF ɦ AA a̠ AJ n AF
진화	t AC ɕ AL i AJ n AF β AM w AI a̠ AJ
진흙	t AC ɕ AL i AJ n AF ɣ AL ɯ AJ k̚
질	t AC ɕ AL i AJ ɭ AN
질녀	t AC ɕ AL i AJ ʎ AN ʎ AN j AB ʌ̹
질량	t AC ɕ AL i AJ ʎ AN ʎ AN j AB a̠ AJ ŋ AF
질리다	t AC ɕ AL i AJ ʎ AN ʎ AN i AJ d AC a̠ AJ
질문	t AC ɕ AL i AJ ɭ AN m AE u AK n AF
질문하다	t AC ɕ AL i AJ ɭ AN m AE u AK n AF ɦ AA a̠ AJ d AC a̠ AJ
질병	t AC ɕ AL i AJ ɭ AN b AG j AB ʌ̹ ŋ AF
질서	t AC ɕ AL i AJ ɭ AN s͈ AL ʌ̹
질소	t AC ɕ AL i AJ ɭ AN sʰ BB o̞ AK
질타	t AC ɕ AL i AJ ɭ AN tʰ AD a̠ AJ
질타하다	t AC ɕ AL i AJ ɭ AN tʰ AD a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
질투	t AC ɕ AL i AJ ɭ AN tʰ AD u AK
질투하다	t AC ɕ AL i AJ ɭ AN tʰ AD u AK ɦ AA a̠ AJ d AC a̠ AJ
질풍노도	t AC ɕ AL i AJ ɭ AN pʰ AH u AK ŋ AF n AF o̞ AK d AC o̞ AK
질환	t AC ɕ AL i AJ ɾ BA β AM w AI a̠ AJ n AF
짊다	t AC ɕ AL i AJ m AE t͈ AC a̠ AJ
짊어지다	t AC ɕ AL i AJ ɭ AN m AE ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
짐	t AC ɕ AL iː AJ m AE
짐바브웨	t AC ɕ AL i AJ m AE b AG a̠ AJ b AG ɯ AJ w AI e̞ AJ
짐승	t AC ɕ AL i AJ m AE sʰ BB ɯ AJ ŋ AF
짐작	t AC ɕ AL i AJ m AE d AC ʑ AL a̠ AJ k̚
짐작하다	t AC ɕ AL i AJ m AE d AC ʑ AL a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
집	t AC ɕ AL i AJ p̚
집게	t AC ɕ AL i AJ p̚ k͈ AC e̞ AJ
집결	t AC ɕ AL i AJ p̚ k͈ AC j AB ʌ̹ ɭ AN
집계	t AC ɕ AL i AJ p̚ k͈ AC j AB e̞ AJ
집권당	t AC ɕ AL i AJ p̚ k͈ AC w AI ʌ̹ n AF d AC a̠ AJ ŋ AF
집다	t AC ɕ AL i AJ p̚ t͈ AC a̠ AJ
집단	t AC ɕ AL i AJ p̚ t͈ AC a̠ AJ n AF
집단화	t AC ɕ AL i AJ p̚ t͈ AC a̠ AJ n AF β AM w AI a̠ AJ
집들	t AC ɕ AL i AJ p̚ t͈ AC ɯ AJ ɭ AN
집들이	t AC ɕ AL i AJ p̚ t͈ AC ɯ AJ ɾ BA i AJ
집박쥐	t AC ɕ AL i AJ p̚ p͈ AG a̠ AJ k̚ t AC ɕ͈ ɥ AI i AJ
집사	t AC ɕ AL i AJ p AG s͈ AL a̠ AJ
집사람	t AC ɕ AL i AJ p AG s͈ AL a̠ AJ ɾ BA a̠ AJ m AE
집안	t AC ɕ AL i AJ b AG a̠ AJ n AF
집어넣다	t AC ɕ AL i AJ b AG ʌ̹ n AF ʌ̹ tʰ AD a̠ AJ
집오리	t AC ɕ AL i AJ b AG o̞ AK ɾ BA i AJ
집중	t AC ɕ AL i AJ p̚ t AC ɕ͈ u AK ŋ AF
집중되다	t AC ɕ AL i AJ p̚ t AC ɕ͈ u AK ŋ AF d AC w AI e̞ AJ d AC a̠ AJ
집중하다	t AC ɕ AL i AJ p̚ t AC ɕ͈ u AK ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
집쥐	t AC ɕ AL i AJ p̚ t AC ɕ͈ ɥ AI i AJ
집토끼	t AC ɕ AL i AJ p̚ tʰ AD o̞ AK k͈ AC i AJ
집필	t AC ɕ AL i AJ p̚ pʰ AH i AJ ɭ AN
집합	t AC ɕ AL i AJ pʰ AH a̠ AJ p̚
집회	t AC ɕ AL i AJ pʰ AH w AI e̞ AJ
집회서	t AC ɕ AL i AJ pʰ AH w AI e̞ AJ sʰ BB ʌ̹
짓	t AC ɕ AL iː AJ t̚
짓궂다	t AC ɕ AL iː AJ t̚ k͈ AC u AK t̚ t͈ AC a̠ AJ
짓다	t AC ɕ AL iː AJ t̚ t͈ AC a̠ AJ
짓이기다	t AC ɕ AL i AJ n AF n AF i AJ ɡ AC i AJ d AC a̠ AJ
징	t AC ɕ AL i AJ ŋ AF
징계	t AC ɕ AL i AJ ŋ AF ɡ AC j AB e̞ AJ
징그럽다	t AC ɕ AL i AJ ŋ AF ɡ AC ɯ AJ ɾ BA ʌ̹ p̚ t͈ AC a̠ AJ
징병	t AC ɕ AL i AJ ŋ AF b AG j AB ʌ̹ ŋ AF
짖다	t AC ɕ AL i AJ t̚ t͈ AC a̠ AJ
짙다	t AC ɕ AL i AJ t̚ t͈ AC a̠ AJ
짙푸르다	t AC ɕ AL i AJ t̚ pʰ AH u AK ɾ BA ɯ AJ d AC a̠ AJ
짚	t AC ɕ AL i AJ p̚
짚다	t AC ɕ AL i AJ p̚ t͈ AC a̠ AJ
짚티미	t AC ɕ AL i AJ p̚ tʰ AD i AJ m AE i AJ
짜	t AC ɕ͈ a̠ AJ
짜다	t AC ɕ͈ a̠ AJ d AC a̠ AJ
짜리	t AC ɕ͈ a̠ AJ ɾ BA i AJ
짜릿하다	t AC ɕ͈ a̠ AJ ɾ BA i AJ tʰ AD a̠ AJ d AC a̠ AJ
짜장면	t AC ɕ͈ a̠ AJ d AC ʑ AL a̠ AJ ŋ AF m AE j AB ʌ̹ n AF
짜증	t AC ɕ͈ a̠ AJ d AC ʑ AL ɯ AJ ŋ AF
짜하다	t AC ɕ͈ a̠ː AJ ɦ AA a̠ AJ d AC a̠ AJ
짝	t AC ɕ͈ a̠ AJ k̚
짝사랑	t AC ɕ͈ a̠ AJ k AC s͈ AL a̠ AJ ɾ BA a̠ AJ ŋ AF
짝짓기	t AC ɕ͈ a̠ AJ k̚ t AC ɕ͈ i AJ t̚ k͈ AC i AJ
짝짓다	t AC ɕ͈ a̠ AJ k̚ t AC ɕ͈ i AJ t̚ t͈ AC a̠ AJ
짠하다	t AC ɕ͈ a̠ː AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
짧다	t AC ɕ͈ a̠ AJ ɭ AN t͈ AC a̠ AJ
짬	t AC ɕ͈ a̠ AJ m AE
짬밥	t AC ɕ͈ a̠ AJ m AE p͈ AG a̠ AJ p̚
짬뽕	t AC ɕ͈ a̠ AJ m AE p͈ AG o̞ AK ŋ AF
짭	t AC ɕ͈ a̠ AJ p̚
짭짤하다	t AC ɕ͈ a̠ AJ p̚ t AC ɕ͈ a̠ AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
짱	t AC ɕ͈ a̠ AJ ŋ AF
짱꼴라	t AC ɕ͈ a̠ AJ ŋ AF k͈ AC o̞ AK ɭ AN ɭ AN a̠ AJ
짱뚱어	t AC ɕ͈ a̠ AJ ŋ AF t͈ AC u AK ŋ AF ʌ̹
쩍다	t AC ɕ͈ ʌ̹ k̚ t͈ AC a̠ AJ
쩡	t AC ɕ͈ ʌ̹ ŋ AF
쩨마	t AC ɕ͈ e̞ AJ m AE a̠ AJ
쪼다	t AC ɕ͈ o̞ AK d AC a̠ AJ
쪼박	t AC ɕ͈ o̞ AK b AG a̠ AJ k̚
쪼뼛	t AC ɕ͈ o̞ AK p͈ AG j AB ʌ̹ t̚
쪼뼛쪼뼛	t AC ɕ͈ o̞ AK p͈ AG j AB ʌ̹ t̚ t AC ɕ͈ o̞ AK p͈ AG j AB ʌ̹ t̚
쪽	t AC ɕ͈ o̞ AK k̚
쪽발이	t AC ɕ͈ o̞ AK k̚ p͈ AG a̠ AJ ɾ BA i AJ
쫄깃하다	t AC ɕ͈ o̞ AK ɭ AN ɡ AC i AJ tʰ AD a̠ AJ d AC a̠ AJ
쫄면	t AC ɕ͈ o̞ AK ɭ AN m AE j AB ʌ̹ n AF
쫑쫑	t AC ɕ͈ o̞ AK ŋ AF t AC ɕ͈ o̞ AK ŋ AF
쫓기다	t AC ɕ͈ o̞ AK t̚ k͈ AC i AJ d AC a̠ AJ
쫓다	t AC ɕ͈ o̞ AK t̚ t͈ AC a̠ AJ
쭈뼛	t AC ɕ͈ u AK p͈ AG j AB ʌ̹ t̚
쭈뼛쭈뼛	t AC ɕ͈ u AK p͈ AG j AB ʌ̹ t̚ t AC ɕ͈ u AK p͈ AG j AB ʌ̹ t̚
쭉	t AC ɕ͈ u AK k̚
쯔놈	t AC ɕ͈ ɯ AJ n AF o̞ AK m AE
쯤	t AC ɕ͈ ɯ AJ m AE
찌그러지다	t AC ɕ͈ i AJ ɡ AC ɯ AJ ɾ BA ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
찌꺼기	t AC ɕ͈ i AJ k͈ AC ʌ̹ ɡ AC i AJ
찌다	t AC ɕ͈ i AJ d AC a̠ AJ
찌르다	t AC ɕ͈ i AJ ɾ BA ɯ AJ d AC a̠ AJ
찌릿하다	t AC ɕ͈ i AJ ɾ BA i AJ tʰ AD a̠ AJ d AC a̠ AJ
찌창	t AC ɕ͈ i AJ t AC ɕʰ BB a̠ AJ ŋ AF
찌푸리다	t AC ɕ͈ i AJ pʰ AH u AK ɾ BA i AJ d AC a̠ AJ
찍다	t AC ɕ͈ i AJ k̚ t͈ AC a̠ AJ
찍소리	t AC ɕ͈ i AJ k AC s͈ AL o̞ AK ɾ BA i AJ
찐	t AC ɕ͈ i AJ n AF
찐만두	t AC ɕ͈ i AJ n AF m AE a̠ AJ n AF d AC u AK
찐빵	t AC ɕ͈ i AJ n AF p͈ AG a̠ AJ ŋ AF
찔리다	t AC ɕ͈ i AJ ʎ AN ʎ AN i AJ d AC a̠ AJ
찜	t AC ɕ͈ i AJ m AE
찜질방	t AC ɕ͈ i AJ m AE d AC ʑ AL i AJ ɭ AN b AG a̠ AJ ŋ AF
찡그리다	t AC ɕ͈ i AJ ŋ AF ɡ AC ɯ AJ ɾ BA i AJ d AC a̠ AJ
찢다	t AC ɕ͈ i AJ t̚ t͈ AC a̠ AJ
찢어지다	t AC ɕ͈ i AJ d AC ʑ AL ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
찧다	t AC ɕ͈ i AJ tʰ AD a̠ AJ
차	t AC ɕʰ BB a̠ AJ
차갑다	t AC ɕʰ BB a̠ AJ ɡ AC a̠ AJ p̚ t͈ AC a̠ AJ
차고	t AC ɕʰ BB a̠ AJ ɡ AC o̞ AK
차다	t AC ɕʰ BB a̠ AJ d AC a̠ AJ
차단	t AC ɕʰ BB a̠ː AJ d AC a̠ AJ n AF
차돌박이	t AC ɕʰ BB a̠ AJ d AC o̞ AK ɭ AN b AG a̠ AJ ɡ AC i AJ
차드	t AC ɕʰ BB a̠ AJ d AC ɯ AJ
차라리	t AC ɕʰ BB a̠ AJ ɾ BA a̠ AJ ɾ BA i AJ
차량	t AC ɕʰ BB a̠ AJ ɾ BA j AB a̠ AJ ŋ AF
차례	t AC ɕʰ BB a̠ AJ ɾ BA j AB e̞ AJ
차례차례	t AC ɕʰ BB a̠ AJ ɾ BA j AB e̞ AJ t AC ɕʰ BB a̠ AJ ɾ BA j AB e̞ AJ
차리다	t AC ɕʰ BB a̠ AJ ɾ BA i AJ d AC a̠ AJ
차림	t AC ɕʰ BB a̠ AJ ɾ BA i AJ m AE
차림표	t AC ɕʰ BB a̠ AJ ɾ BA i AJ m AE pʰ AH j AB o AK
차마	t AC ɕʰ BB a̠ AJ m AE a̠ AJ
차마당	t AC ɕʰ BB a̠ AJ m AE a̠ AJ d AC a̠ AJ ŋ AF
차별	t AC ɕʰ BB a̠ AJ b AG j AB ʌ̹ ɭ AN
차분몫	t AC ɕʰ BB a̠ AJ b AG u AK n AF m AE o̞ AK k̚
차분법	t AC ɕʰ BB a̠ AJ b AG u AK n AF p͈ AG ʌ̹ p̚
차용어	t AC ɕʰ BB a̠ː AJ j AB o AK ŋ AF ʌ̹
차원	t AC ɕʰ BB a̠ AJ w AI ʌ̹ n AF
차이	t AC ɕʰ BB a̠ AJ i AJ
차이나타운	t AC ɕʰ BB a̠ AJ i AJ n AF a̠ AJ tʰ AD a̠ AJ u AK n AF
차이니스	t AC ɕʰ BB a̠ AJ i AJ n AF i AJ sʰ BB ɯ AJ
차이다	t AC ɕʰ BB a̠ AJ i AJ d AC a̠ AJ
차장	t AC ɕʰ BB a̠ AJ d AC ʑ AL a̠ AJ ŋ AF
차지하다	t AC ɕʰ BB a̠ AJ d AC ʑ AL i AJ ɦ AA a̠ AJ d AC a̠ AJ
차질	t AC ɕʰ BB a̠ AJ d AC ʑ AL i AJ ɭ AN
차츰	t AC ɕʰ BB a̠ AJ t AC ɕʰ BB ɯ AJ m AE
차트	t AC ɕʰ BB a̠ AJ tʰ AD ɯ AJ
착	t AC ɕʰ BB a̠ AJ k̚
착각	t AC ɕʰ BB a̠ AJ k̚ k͈ AC a̠ AJ k̚
착공	t AC ɕʰ BB a̠ AJ k̚ k͈ AC o̞ AK ŋ AF
착륙	t AC ɕʰ BB a̠ AJ ŋ AF ɲ AF j AB u AK k̚
착석	t AC ɕʰ BB a̠ AJ k AC s͈ AL ʌ̹ k̚
착석하다	t AC ɕʰ BB a̠ AJ k AC s͈ AL ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
착용하다	t AC ɕʰ BB a̠ AJ ɡ AC j AB o AK ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
착취	t AC ɕʰ BB a̠ AJ k̚ t AC ɕʰ BB ɥ AI i AJ
착하다	t AC ɕʰ BB a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
찬	t AC ɕʰ BB a̠ AJ n AF
찬가	t AC ɕʰ BB a̠ː AJ n AF ɡ AC a̠ AJ
찬란하다	t AC ɕʰ BB a̠ AJ ɭ AN ɭ AN a̠ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
찬사	t AC ɕʰ BB a̠ː AJ n AF sʰ BB a̠ AJ
찬성	t AC ɕʰ BB a̠ AJ n AF sʰ BB ʌ̹ ŋ AF
찬스	t AC ɕʰ BB a̠ AJ n AF sʰ BB ɯ AJ
찬장	t AC ɕʰ BB a̠ː AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF
찰	t AC ɕʰ BB a̠ AJ ɭ AN
찰나	t AC ɕʰ BB a̠ AJ ɭ AN ɭ AN a̠ AJ
찰밥	t AC ɕʰ BB a̠ AJ ɭ AN b AG a̠ AJ p̚
찰스	t AC ɕʰ BB a̠ AJ ɭ AN sʰ BB ɯ AJ
찰흙	t AC ɕʰ BB a̠ AJ ɾ BA ɣ AL ɯ AJ k̚
참	t AC ɕʰ BB a̠ AJ m AE
참가	t AC ɕʰ BB a̠ AJ m AE ɡ AC a̠ AJ
참가자	t AC ɕʰ BB a̠ AJ m AE ɡ AC a̠ AJ d AC ʑ AL a̠ AJ
참가하다	t AC ɕʰ BB a̠ AJ m AE ɡ AC a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
참고	t AC ɕʰ BB a̠ AJ m AE ɡ AC o̞ AK
참고서	t AC ɕʰ BB a̠ AJ m AE ɡ AC o̞ AK sʰ BB ʌ̹
참기름	t AC ɕʰ BB a̠ AJ m AE ɡ AC i AJ ɾ BA ɯ AJ m AE
참나무	t AC ɕʰ BB a̠ AJ m AE n AF a̠ AJ m AE u AK
참나물	t AC ɕʰ BB a̠ AJ m AE n AF a̠ AJ m AE u AK ɭ AN
참다	t AC ɕʰ BB a̠ː AJ m AE t͈ AC a̠ AJ
참되다	t AC ɕʰ BB a̠ AJ m AE t͈ AC w AI e̞ AJ d AC a̠ AJ
참마자	t AC ɕʰ BB a̠ AJ m AE m AE a̠ AJ d AC ʑ AL a̠ AJ
참말	t AC ɕʰ BB a̠ AJ m AE m AE a̠ AJ ɭ AN
참모장	t AC ɕʰ BB a̠ː AJ m AE m AE o̞ AK d AC ʑ AL a̠ AJ ŋ AF
참바	t AC ɕʰ BB a̠ AJ m AE b AG a̠ AJ
참별고기	t AC ɕʰ BB a̠ AJ m AE b AG j AB ʌ̹ ɭ AN ɡ AC o̞ AK ɡ AC i AJ
참붕어	t AC ɕʰ BB a̠ AJ m AE b AG u AK ŋ AF ʌ̹
참사	t AC ɕʰ BB a̠ AJ m AE sʰ BB a̠ AJ
참석하다	t AC ɕʰ BB a̠ AJ m AE sʰ BB ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
참수리	t AC ɕʰ BB a̠ AJ m AE sʰ BB u AK ɾ BA i AJ
참여	t AC ɕʰ BB a̠ AJ m AE j AB ʌ̹
참여하다	t AC ɕʰ BB a̠ AJ m AE j AB ʌ̹ ɦ AA a̠ AJ d AC a̠ AJ
참외	t AC ɕʰ BB a̠ AJ m AE w AI e̞ AJ
참으로	t AC ɕʰ BB a̠ AJ m AE ɯ AJ ɾ BA o̞ AK
참을성	t AC ɕʰ BB a̠ AJ m AE ɯ AJ ɭ AN sʰ BB ʌ̹ ŋ AF
참전	t AC ɕʰ BB a̠ AJ m AE d AC ʑ AL ʌ̹ n AF
참조하다	t AC ɕʰ BB a̠ AJ m AE d AC ʑ AL o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
참주	t AC ɕʰ BB a̠ː AJ m AE d AC ʑ AL u AK
참중고기	t AC ɕʰ BB a̠ AJ m AE d AC ʑ AL u AK ŋ AF ɡ AC o̞ AK ɡ AC i AJ
참치	t AC ɕʰ BB a̠ AJ m AE t AC ɕʰ BB i AJ
참회	t AC ɕʰ BB a̠ AJ m AE β AM w AI e̞ AJ
찹쌀	t AC ɕʰ BB a̠ AJ p AG s͈ AL a̠ AJ ɭ AN
찻물	t AC ɕʰ BB a̠ AJ n AF m AE u AK ɭ AN
찻잎	t AC ɕʰ BB a̠ AJ n AF n AF i AJ p̚
찻잔	t AC ɕʰ BB a̠ AJ t̚ t AC ɕ͈ a̠ AJ n AF
찻주전자	t AC ɕʰ BB a̠ AJ t̚ t AC ɕ͈ u AK d AC ʑ AL ʌ̹ ɲ AF d AC ʑ AL a̠ AJ
찻집	t AC ɕʰ BB a̠ AJ t̚ t AC ɕ͈ i AJ p̚
창	t AC ɕʰ BB a̠ AJ ŋ AF
창고	t AC ɕʰ BB a̠ AJ ŋ AF ɡ AC o̞ AK
창궐	t AC ɕʰ BB a̠ AJ ŋ AF ɡ AC w AI ʌ̹ ɭ AN
창녀	t AC ɕʰ BB a̠ AJ ŋ AF ɲ AF j AB ʌ̹
창렬	t AC ɕʰ BB a̠ AJ ŋ AF ɲ AF j AB ʌ̹ ɭ AN
창문	t AC ɕʰ BB a̠ AJ ŋ AF m AE u AK n AF
창밖	t AC ɕʰ BB a̠ AJ ŋ AF b AG a̠ AJ k̚
창설	t AC ɕʰ BB a̠ː AJ ŋ AF sʰ BB ʌ̹ ɭ AN
창설되다	t AC ɕʰ BB a̠ː AJ ŋ AF sʰ BB ʌ̹ ɭ AN d AC w AI e̞ AJ d AC a̠ AJ
창설하다	t AC ɕʰ BB a̠ː AJ ŋ AF sʰ BB ʌ̹ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
창세기	t AC ɕʰ BB a̠ː AJ ŋ AF sʰ BB e̞ AJ ɡ AC i AJ
창업	t AC ɕʰ BB a̠ː AJ ŋ AF ʌ̹ p̚
창원	t AC ɕʰ BB a̠ AJ ŋ AF w AI ʌ̹ n AF
창자	t AC ɕʰ BB a̠ AJ ŋ AF d AC ʑ AL a̠ AJ
창작	t AC ɕʰ BB a̠ AJ ŋ AF d AC ʑ AL a̠ AJ k̚
창제	t AC ɕʰ BB a̠ː AJ ŋ AF d AC ʑ AL e̞ AJ
창조	t AC ɕʰ BB a̠ː AJ ŋ AF d AC ʑ AL o̞ AK
창조자	t AC ɕʰ BB a̠ː AJ ŋ AF d AC ʑ AL o̞ AK d AC ʑ AL a̠ AJ
창조적	t AC ɕʰ BB a̠ː AJ ŋ AF d AC ʑ AL o̞ AK d AC ʑ AL ʌ̹ k̚
창조하다	t AC ɕʰ BB a̠ː AJ ŋ AF d AC ʑ AL o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
창턱	t AC ɕʰ BB a̠ AJ ŋ AF tʰ AD ʌ̹ k̚
창포검	t AC ɕʰ BB a̠ AJ ŋ AF pʰ AH o̞ AK ɡ AC ʌ̹ m AE
창피하다	t AC ɕʰ BB a̠ AJ ŋ AF pʰ AH i AJ ɦ AA a̠ AJ d AC a̠ AJ
찾다	t AC ɕʰ BB a̠ AJ t̚ t͈ AC a̠ AJ
찾아가다	t AC ɕʰ BB a̠ AJ d AC ʑ AL a̠ AJ ɡ AC a̠ AJ d AC a̠ AJ
찾아보다	t AC ɕʰ BB a̠ AJ d AC ʑ AL a̠ AJ b AG o̞ AK d AC a̠ AJ
찾아오다	t AC ɕʰ BB a̠ AJ d AC ʑ AL a̠ AJ o̞ AK d AC a̠ AJ
채소	t AC ɕʰ BB ɛː AJ sʰ BB o̞ AK
채소밭	t AC ɕʰ BB ɛː AJ sʰ BB o̞ AK b AG a̠ AJ t̚
채식주의	t AC ɕʰ BB ɛː AJ ɕʰ BB i AJ k̚ t AC ɕ͈ u AK ɰ AB i AJ
채식주의자	t AC ɕʰ BB ɛː AJ ɕʰ BB i AJ k̚ t AC ɕ͈ u AK ɰ AB i AJ d AC ʑ AL a̠ AJ
채용하다	t AC ɕʰ BB ɛː AJ j AB o AK ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
처	t AC ɕʰ BB ʌ̹
처가	t AC ɕʰ BB ʌ̹ ɡ AC a̠ AJ
처남	t AC ɕʰ BB ʌ̹ n AF a̠ AJ m AE
처녀	t AC ɕʰ BB ɘː AJ ɲ AF j AB ʌ̹
처녀막	t AC ɕʰ BB ɘː AJ ɲ AF j AB ʌ̹ m AE a̠ AJ k̚
처녀성	t AC ɕʰ BB ɘː AJ ɲ AF j AB ʌ̹ s͈ AL ʌ̹ ŋ AF
처럼	t AC ɕʰ BB ʌ̹ ɾ BA ʌ̹ m AE
처리	t AC ɕʰ BB ɘː AJ ɾ BA i AJ
처마	t AC ɕʰ BB ʌ̹ m AE a̠ AJ
처방	t AC ɕʰ BB ʌ̹ b AG a̠ AJ ŋ AF
처방전	t AC ɕʰ BB ɘː AJ b AG a̠ AJ ŋ AF d AC ʑ AL ʌ̹ n AF
처벌	t AC ɕʰ BB ɘː AJ b AG ʌ̹ ɭ AN
처부모	t AC ɕʰ BB ʌ̹ b AG u AK m AE o̞ AK
처신	t AC ɕʰ BB ɘː AJ ɕʰ BB i AJ n AF
처음	t AC ɕʰ BB ʌ̹ ɯ AJ m AE
처지	t AC ɕʰ BB ɘː AJ d AC ʑ AL i AJ
척	t AC ɕʰ BB ʌ̹ k̚
척결	t AC ɕʰ BB ʌ̹ k̚ k͈ AC j AB ʌ̹ ɭ AN
척량	t AC ɕʰ BB ʌ̹ ŋ AF ɲ AF j AB a̠ AJ ŋ AF
척수	t AC ɕʰ BB ʌ̹ k AC s͈ AL u AK
척추	t AC ɕʰ BB ʌ̹ k̚ t AC ɕʰ BB u AK
척추동물	t AC ɕʰ BB ʌ̹ k̚ t AC ɕʰ BB u AK d AC o̞ AK ŋ AF m AE u AK ɭ AN
척하다	t AC ɕʰ BB ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
천	t AC ɕʰ BB ʌ̹ n AF
천갈궁	t AC ɕʰ BB ʌ̹ n AF ɡ AC a̠ AJ ɭ AN ɡ AC u AK ŋ AF
천구	t AC ɕʰ BB ʌ̹ n AF ɡ AC u AK
천국	t AC ɕʰ BB ʌ̹ n AF ɡ AC u AK k̚
천당	t AC ɕʰ BB ʌ̹ n AF d AC a̠ AJ ŋ AF
천도	t AC ɕʰ BB ɘː AJ n AF d AC o̞ AK
천둥	t AC ɕʰ BB ʌ̹ n AF d AC u AK ŋ AF
천리마	t AC ɕʰ BB ʌ̹ ʎ AN ʎ AN i AJ m AE a̠ AJ
천리안	t AC ɕʰ BB ʌ̹ ʎ AN ʎ AN i AJ a̠ AJ n AF
천만	t AC ɕʰ BB ʌ̹ n AF m AE a̠ AJ n AF
천만에요	t AC ɕʰ BB ʌ̹ n AF m AE a̠ AJ n AF e̞ AJ j AB o AK
천문학	t AC ɕʰ BB ʌ̹ n AF m AE u AK n AF ɦ AA a̠ AJ k̚
천부	t AC ɕʰ BB ʌ̹ n AF b AG u AK
천부적	t AC ɕʰ BB ʌ̹ n AF b AG u AK d AC ʑ AL ʌ̹ k̚
천사	t AC ɕʰ BB ʌ̹ n AF sʰ BB a̠ AJ
천산갑	t AC ɕʰ BB ɘː AJ n AF sʰ BB a̠ AJ n AF ɡ AC a̠ AJ p̚
천성	t AC ɕʰ BB ʌ̹ n AF sʰ BB ʌ̹ ŋ AF
천식	t AC ɕʰ BB ɘː AJ n AF ɕʰ BB i AJ k̚
천안문	t AC ɕʰ BB ʌ̹ n AF a̠ AJ n AF m AE u AK n AF
천왕성	t AC ɕʰ BB ʌ̹ n AF w AI a̠ AJ ŋ AF sʰ BB ʌ̹ ŋ AF
천자	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL a̠ AJ
천자문	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL a̠ AJ m AE u AK n AF
천장	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL a̠ AJ ŋ AF
천적	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL ʌ̹ k̚
천정	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL ʌ̹ ŋ AF
