'tain	t ɛ̃ AM
raffut	ʁ a AC f y AH
rafistoler	ʁ a AC f i AE s t ɔ AF l e AD
rafla	ʁ a AC f l a AC
raflai	ʁ a AC f l e AD
raflaient	ʁ a AC f l ɛ AD
raflais	ʁ a AC f l ɛ AD
raflait	ʁ a AC f l ɛ AD
raflant	ʁ a AC f l ɑ̃ BB
raflas	ʁ a AC f l ɑ AK
raflasse	ʁ a AC f l a AC s
raflassent	ʁ a AC f l a AC s
raflasses	ʁ a AC f l a AC s
raflassiez	ʁ a AC f l a AC s j AA e AD
raflassions	ʁ a AC f l a AC s j AA ɔ̃ BA
rafle	ʁ a AC f l
raflent	ʁ a AC f l
rafler	ʁ ɑ AK f l e AD
raflera	ʁ a AC f l ə AJ ʁ a AC
raflerai	ʁ a AC f l ə AJ ʁ e AD
rafleraient	ʁ a AC f l ə AJ ʁ ɛ AD
raflerais	ʁ a AC f l ə AJ ʁ ɛ AD
raflerait	ʁ a AC f l ə AJ ʁ ɛ AD
rafleras	ʁ a AC f l ə AJ ʁ ɑ AK
raflerez	ʁ a AC f l ə AJ ʁ e AD
rafleriez	ʁ a AC f l ə AJ ʁ j AA e AD
raflerions	ʁ a AC f l ə AJ ʁ j AA ɔ̃ BA
raflerons	ʁ a AC f l ə AJ ʁ ɔ̃ BA
rafleront	ʁ a AC f l ə AJ ʁ ɔ̃ BA
rafles	ʁ a AC f l
raflez	ʁ a AC f l e AD
rafliez	ʁ a AC f l i AE j AA e AD
raflions	ʁ a AC f l i AE j AA ɔ̃ BA
raflons	ʁ a AC f l ɔ̃ BA
raflâmes	ʁ a AC f l ɑ AK m
raflât	ʁ a AC f l ɑ AK
raflâtes	ʁ a AC f l ɑ AK t
raflèrent	ʁ a AC f l ɛ AD ʁ
raflé	ʁ a AC f l e AD
rafraichi	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraichira	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ a AC
rafraichirai	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ e AD
rafraichiraient	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɛ AD
rafraichirais	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɛ AD
rafraichirait	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɛ AD
rafraichiras	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɑ AK
rafraichirent	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ
rafraichirez	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ e AD
rafraichiriez	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ j AA e AD
rafraichirions	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ j AA ɔ̃ BA
rafraichirons	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɔ̃ BA
rafraichiront	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɔ̃ BA
rafraichis	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraichissaient	ʁ a AC f ʁ ɛ AD ʃ i AE s ɛ AD
rafraichissais	ʁ a AC f ʁ ɛ AD ʃ i AE s ɛ AD
rafraichissait	ʁ a AC f ʁ ɛ AD ʃ i AE s ɛ AD
rafraichissant	ʁ a AC f ʁ ɛ AD ʃ i AE s ɑ̃ BB
rafraichisse	ʁ a AC f ʁ ɛ AD ʃ i AE s
rafraichissent	ʁ a AC f ʁ ɛ AD ʃ i AE s
rafraichisses	ʁ a AC f ʁ ɛ AD ʃ i AE s
rafraichissez	ʁ a AC f ʁ ɛ AD ʃ i AE s e AD
rafraichissiez	ʁ a AC f ʁ ɛ AD ʃ i AE s j AA e AD
rafraichissions	ʁ a AC f ʁ ɛ AD ʃ i AE s j AA ɔ̃ BA
rafraichissons	ʁ a AC f ʁ ɛ AD ʃ i AE s ɔ̃ BA
rafraichit	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraichîmes	ʁ a AC f ʁ ɛ AD ʃ i AE m
rafraichît	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraichîtes	ʁ a AC f ʁ ɛ AD ʃ i AE t
rafraîchi	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraîchir	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ
rafraîchira	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ a AC
rafraîchirai	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ e AD
rafraîchiraient	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɛ AD
rafraîchirais	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɛ AD
rafraîchirait	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɛ AD
rafraîchiras	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɑ AK
rafraîchirent	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ
rafraîchirez	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ e AD
rafraîchiriez	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ j AA e AD
rafraîchirions	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ j AA ɔ̃ BA
rafraîchirons	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɔ̃ BA
rafraîchiront	ʁ a AC f ʁ ɛ AD ʃ i AE ʁ ɔ̃ BA
rafraîchis	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraîchissaient	ʁ a AC f ʁ ɛ AD ʃ i AE s ɛ AD
rafraîchissais	ʁ a AC f ʁ ɛ AD ʃ i AE s ɛ AD
rafraîchissait	ʁ a AC f ʁ ɛ AD ʃ i AE s ɛ AD
rafraîchissant	ʁ a AC f ʁ ɛ AD ʃ i AE s ɑ̃ BB
rafraîchisse	ʁ a AC f ʁ ɛ AD ʃ i AE s
rafraîchissent	ʁ a AC f ʁ ɛ AD ʃ i AE s
rafraîchisses	ʁ a AC f ʁ ɛ AD ʃ i AE s
rafraîchissez	ʁ a AC f ʁ ɛ AD ʃ i AE s e AD
rafraîchissiez	ʁ a AC f ʁ ɛ AD ʃ i AE s j AA e AD
rafraîchissions	ʁ a AC f ʁ ɛ AD ʃ i AE s j AA ɔ̃ BA
rafraîchissons	ʁ a AC f ʁ ɛ AD ʃ i AE s ɔ̃ BA
rafraîchit	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraîchîmes	ʁ a AC f ʁ ɛ AD ʃ i AE m
rafraîchît	ʁ a AC f ʁ ɛ AD ʃ i AE
rafraîchîtes	ʁ a AC f ʁ ɛ AD ʃ i AE t
rafting	ʁ a AC f t i AE ŋ
ragaillardir	ʁ a AC ɡ a AC j AA a AC ʁ d i AE ʁ
rage	ʁ a AC ʒ
ragequitter	ʁ ɛ AD j AA d ʒ k i AE t e AD
ragnagnas	ʁ a AC ɲ a AC ɲ a AC
ragondin	ʁ a AC ɡ ɔ̃ BA d ɛ̃ AM
ragot	ʁ a AC ɡ o AF
ragote	ʁ a AC ɡ ɔ AF t
ragoût	ʁ a AC ɡ u AG
rai	ʁ ɛ AD
raid	ʁ ɛ AD d
raide	ʁ ɛ AD d
raidement	ʁ ɛ AD d m ɑ̃ BB
raidillon	ʁ ɛ AD d i AE j AA ɔ̃ BA
raidir	ʁ ɛ AD d i AE ʁ
raie	ʁ ɛ AD
raifort	ʁ ɛ AD f ɔ AF ʁ
rail	ʁ a AC j AA
raillant	ʁ a AC j AA ɑ̃ BB
raille	ʁ ɑ AK j AA
railler	ʁ ɑ AK j AA e AD
raillerie	ʁ ɑ AK j AA ʁ i AE
railleuse	ʁ a AC j AA ø AI z
railleusement	ʁ a AC j AA ø AI z m ɑ̃ BB
railway	ʁ ɛ AD l w AB ɛ AD
raimondin	ʁ ɛ AD m ɔ̃ BA d ɛ̃ AM
raine	ʁ ɛ AD n
rainer	ʁ e AD n e AD
rainette	ʁ ɛ AD n ɛ AD t
rainurage	ʁ ɛ AD n y AH ʁ a AC ʒ
rainure	ʁ e AD n y AH ʁ
raiponce	ʁ ɛ AD p ɔ̃ BA s
raisin	ʁ ɛ AD z ɛ̃ AM
raisiné	ʁ ɛ AD z i AE n e AD
raison	ʁ ɛ AD z ɔ̃ BA
raisonnable	ʁ ɛ AD z ɔ AF n a AC b l
raisonnablement	ʁ ɛ AD z ɔ AF n a AC b l ə AJ m ɑ̃ BB
raisonner	ʁ ɛ AD z ɔ AF n e AD
rajeuni	ʁ a AC ʒ œ AI n i AE
rajeunir	ʁ a AC ʒ œ AI n i AE ʁ
rajeunira	ʁ a AC ʒ œ AI n i AE ʁ a AC
rajeunirai	ʁ a AC ʒ œ AI n i AE ʁ e AD
rajeuniraient	ʁ a AC ʒ œ AI n i AE ʁ ɛ AD
rajeunirais	ʁ a AC ʒ œ AI n i AE ʁ ɛ AD
rajeunirait	ʁ a AC ʒ œ AI n i AE ʁ ɛ AD
rajeuniras	ʁ a AC ʒ œ AI n i AE ʁ ɑ AK
rajeunirent	ʁ a AC ʒ œ AI n i AE ʁ
rajeunirez	ʁ a AC ʒ œ AI n i AE ʁ e AD
rajeuniriez	ʁ a AC ʒ œ AI n i AE ʁ j AA e AD
rajeunirions	ʁ a AC ʒ œ AI n i AE ʁ j AA ɔ̃ BA
rajeunirons	ʁ a AC ʒ œ AI n i AE ʁ ɔ̃ BA
rajeuniront	ʁ a AC ʒ œ AI n i AE ʁ ɔ̃ BA
rajeunis	ʁ a AC ʒ œ AI n i AE
rajeunissaient	ʁ a AC ʒ œ AI n i AE s ɛ AD
rajeunissais	ʁ a AC ʒ œ AI n i AE s ɛ AD
rajeunissait	ʁ a AC ʒ œ AI n i AE s ɛ AD
rajeunissant	ʁ a AC ʒ œ AI n i AE s ɑ̃ BB
rajeunisse	ʁ a AC ʒ œ AI n i AE s
rajeunissent	ʁ a AC ʒ œ AI n i AE s
rajeunisses	ʁ a AC ʒ œ AI n i AE s
rajeunissez	ʁ a AC ʒ œ AI n i AE s e AD
rajeunissiez	ʁ a AC ʒ œ AI n i AE s j AA e AD
rajeunissions	ʁ a AC ʒ œ AI n i AE s j AA ɔ̃ BA
rajeunissons	ʁ a AC ʒ œ AI n i AE s ɔ̃ BA
rajeunit	ʁ a AC ʒ œ AI n i AE
rajeunîmes	ʁ a AC ʒ œ AI n i AE m
rajeunît	ʁ a AC ʒ œ AI n i AE
rajeunîtes	ʁ a AC ʒ œ AI n i AE t
rajout	ʁ a AC ʒ u AG
rajouter	ʁ a AC ʒ u AG t e AD
rajustement	ʁ a AC ʒ y AH s t ə AJ m ɑ̃ BB
rajuster	ʁ a AC ʒ y AH s t e AD
raków	ʁ a AC k ɔ AF v
ralentir	ʁ a AC l ɑ̃ BB t i AE ʁ
ralentisseur	ʁ a AC l ɑ̃ BB t i AE s œ AI ʁ
ralliant	ʁ a AC l j AA ɑ̃ BB
rallier	ʁ a AC l j AA e AD
rallonge	ʁ a AC l ɔ̃ BA ʒ
rallongea	ʁ a AC l ɔ̃ BA ʒ a AC
rallongeai	ʁ a AC l ɔ̃ BA ʒ e AD
rallongeaient	ʁ a AC l ɔ̃ BA ʒ ɛ AD
rallongeais	ʁ a AC l ɔ̃ BA ʒ ɛ AD
rallongeait	ʁ a AC l ɔ̃ BA ʒ ɛ AD
rallongeant	ʁ a AC l ɔ̃ BA ʒ ɑ̃ BB
rallongeas	ʁ a AC l ɔ̃ BA ʒ ɑ AK
rallongeasse	ʁ a AC l ɔ̃ BA ʒ a AC s
rallongeassent	ʁ a AC l ɔ̃ BA ʒ a AC s
rallongeasses	ʁ a AC l ɔ̃ BA ʒ a AC s
rallongeassiez	ʁ a AC l ɔ̃ BA ʒ a AC s j AA e AD
rallongeassions	ʁ a AC l ɔ̃ BA ʒ a AC s j AA ɔ̃ BA
rallongent	ʁ a AC l ɔ̃ BA ʒ
rallongeons	ʁ a AC l ɔ̃ BA ʒ ɔ̃ BA
rallonger	ʁ a AC l ɔ̃ BA ʒ e AD
rallongera	ʁ a AC l ɔ̃ BA ʒ ʁ a AC
rallongerai	ʁ a AC l ɔ̃ BA ʒ ʁ e AD
rallongeraient	ʁ a AC l ɔ̃ BA ʒ ʁ ɛ AD
rallongerais	ʁ a AC l ɔ̃ BA ʒ ʁ ɛ AD
rallongerait	ʁ a AC l ɔ̃ BA ʒ ʁ ɛ AD
rallongeras	ʁ a AC l ɔ̃ BA ʒ ʁ ɑ AK
rallongerez	ʁ a AC l ɔ̃ BA ʒ ʁ e AD
rallongeriez	ʁ a AC l ɔ̃ BA ʒ ə AJ ʁ j AA e AD
rallongerions	ʁ a AC l ɔ̃ BA ʒ ə AJ ʁ j AA ɔ̃ BA
rallongerons	ʁ a AC l ɔ̃ BA ʒ ʁ ɔ̃ BA
rallongeront	ʁ a AC l ɔ̃ BA ʒ ʁ ɔ̃ BA
rallongez	ʁ a AC l ɔ̃ BA ʒ e AD
rallongeâmes	ʁ a AC l ɔ̃ BA ʒ ɑ AK m
rallongeât	ʁ a AC l ɔ̃ BA ʒ ɑ AK
rallongeâtes	ʁ a AC l ɔ̃ BA ʒ ɑ AK t
rallongiez	ʁ a AC l ɔ̃ BA ʒ j AA e AD
rallongions	ʁ a AC l ɔ̃ BA ʒ j AA ɔ̃ BA
rallongèrent	ʁ a AC l ɔ̃ BA ʒ ɛ AD ʁ
rallongé	ʁ a AC l ɔ̃ BA ʒ e AD
ralluma	ʁ a AC l y AH m a AC
rallumai	ʁ a AC l y AH m e AD
rallumaient	ʁ a AC l y AH m ɛ AD
rallumais	ʁ a AC l y AH m ɛ AD
rallumait	ʁ a AC l y AH m ɛ AD
rallumant	ʁ a AC l y AH m ɑ̃ BB
rallumas	ʁ a AC l y AH m ɑ AK
rallumasse	ʁ a AC l y AH m a AC s
rallumassent	ʁ a AC l y AH m a AC s
rallumasses	ʁ a AC l y AH m a AC s
rallumassiez	ʁ a AC l y AH m a AC s j AA e AD
rallumassions	ʁ a AC l y AH m a AC s j AA ɔ̃ BA
rallume	ʁ a AC l y AH m
rallument	ʁ a AC l y AH m
rallumer	ʁ a AC l y AH m e AD
rallumera	ʁ a AC l y AH m ʁ a AC
rallumerai	ʁ a AC l y AH m ʁ e AD
rallumeraient	ʁ a AC l y AH m ʁ ɛ AD
rallumerais	ʁ a AC l y AH m ʁ ɛ AD
rallumerait	ʁ a AC l y AH m ʁ ɛ AD
rallumeras	ʁ a AC l y AH m ʁ ɑ AK
rallumerez	ʁ a AC l y AH m ʁ e AD
rallumeriez	ʁ a AC l y AH m ə AJ ʁ j AA e AD
rallumerions	ʁ a AC l y AH m ə AJ ʁ j AA ɔ̃ BA
rallumerons	ʁ a AC l y AH m ʁ ɔ̃ BA
rallumeront	ʁ a AC l y AH m ʁ ɔ̃ BA
rallumes	ʁ a AC l y AH m
rallumez	ʁ a AC l y AH m e AD
rallumiez	ʁ a AC l y AH m j AA e AD
rallumions	ʁ a AC l y AH m j AA ɔ̃ BA
rallumons	ʁ a AC l y AH m ɔ̃ BA
rallumâmes	ʁ a AC l y AH m ɑ AK m
rallumât	ʁ a AC l y AH m ɑ AK
rallumâtes	ʁ a AC l y AH m ɑ AK t
rallumèrent	ʁ a AC l y AH m ɛ AD ʁ
rallumé	ʁ a AC l y AH m e AD
rallye	ʁ a AC l i AE
rallystique	ʁ a AC l i AE s t i AE k
ramancheur	ʁ a AC m ɑ̃ BB ʃ œ AI ʁ
ramancheux	ʁ a AC m ɑ̃ BB ʃ ø AI
ramasser	ʁ a AC m ɑ AK s e AD
rambarde	ʁ ɑ̃ BB b a AC ʁ d
ramdam	ʁ a AC m d a AC m
rame	ʁ a AC m
rameau	ʁ a AC m o AF
ramener	ʁ a AC m n e AD
ramequin	ʁ a AC m k ɛ̃ AM
ramer	ʁ a AC m e AD
rameuse	ʁ a AC m ø AI z
rameuter	ʁ a AC m ø AI t e AD
ramier	ʁ a AC m j AA e AD
ramification	ʁ a AC m i AE f i AE k a AC s j AA ɔ̃ BA
ramifier	ʁ a AC m i AE f j AA e AD
ramollissement	ʁ a AC m ɔ AF l i AE s m ɑ̃ BB
ramon	ʁ a AC m ɔ̃ BA
ramoner	ʁ a AC m ɔ AF n e AD
rampant	ʁ ɑ̃ BB p ɑ̃ BB
rampe	ʁ ɑ̃ BB p
ramper	ʁ ɑ̃ BB p e AD
ramure	ʁ a AC m y AH ʁ
rancart	ʁ ɑ̃ BB k a AC ʁ
rance	ʁ ɑ̃ BB s
rancune	ʁ ɑ̃ BB k y AH n
rancunier	ʁ ɑ̃ BB k y AH n j AA e AD
rancœur	ʁ ɑ̃ BB k œ AI ʁ
randomisa	ʁ ɑ̃ BB d ɔ AF m i AE z a AC
randomisai	ʁ ɑ̃ BB d ɔ AF m i AE z e AD
randomisaient	ʁ ɑ̃ BB d ɔ AF m i AE z ɛ AD
randomisais	ʁ ɑ̃ BB d ɔ AF m i AE z ɛ AD
randomisait	ʁ ɑ̃ BB d ɔ AF m i AE z ɛ AD
randomisant	ʁ ɑ̃ BB d ɔ AF m i AE z ɑ̃ BB
randomisas	ʁ ɑ̃ BB d ɔ AF m i AE z ɑ AK
randomisasse	ʁ ɑ̃ BB d ɔ AF m i AE z a AC s
randomisassent	ʁ ɑ̃ BB d ɔ AF m i AE z a AC s
randomisasses	ʁ ɑ̃ BB d ɔ AF m i AE z a AC s
randomisassiez	ʁ ɑ̃ BB d ɔ AF m i AE z a AC s j AA e AD
randomisassions	ʁ ɑ̃ BB d ɔ AF m i AE z a AC s j AA ɔ̃ BA
randomise	ʁ ɑ̃ BB d ɔ AF m i AE z
randomisent	ʁ ɑ̃ BB d ɔ AF m i AE z
randomiser	ʁ ɑ̃ BB d ɔ AF m i AE z e AD
randomisera	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ a AC
randomiserai	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ e AD
randomiseraient	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ ɛ AD
randomiserais	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ ɛ AD
randomiserait	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ ɛ AD
randomiseras	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ ɑ AK
randomiserez	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ e AD
randomiseriez	ʁ ɑ̃ BB d ɔ AF m i AE z ə AJ ʁ j AA e AD
randomiserions	ʁ ɑ̃ BB d ɔ AF m i AE z ə AJ ʁ j AA ɔ̃ BA
randomiserons	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ ɔ̃ BA
randomiseront	ʁ ɑ̃ BB d ɔ AF m i AE z ʁ ɔ̃ BA
randomises	ʁ ɑ̃ BB d ɔ AF m i AE z
randomisez	ʁ ɑ̃ BB d ɔ AF m i AE z e AD
randomisiez	ʁ ɑ̃ BB d ɔ AF m i AE z j AA e AD
randomisions	ʁ ɑ̃ BB d ɔ AF m i AE z j AA ɔ̃ BA
randomisons	ʁ ɑ̃ BB d ɔ AF m i AE z ɔ̃ BA
randomisâmes	ʁ ɑ̃ BB d ɔ AF m i AE z ɑ AK m
randomisât	ʁ ɑ̃ BB d ɔ AF m i AE z ɑ AK
randomisâtes	ʁ ɑ̃ BB d ɔ AF m i AE z ɑ AK t
randomisèrent	ʁ ɑ̃ BB d ɔ AF m i AE z ɛ AD ʁ
randomisé	ʁ ɑ̃ BB d ɔ AF m i AE z e AD
randonnais	ʁ ɑ̃ BB d ɔ AF n ɛ AD
randonner	ʁ ɑ̃ BB d ɔ AF n e AD
randonnée	ʁ ɑ̃ BB d ɔ AF n e AD
rang	ʁ ɑ̃ BB
ranger	ʁ ɑ̃ BB ʒ e AD
rangé	ʁ ɑ̃ BB ʒ e AD
rangée	ʁ ɑ̃ BB ʒ e AD
ranima	ʁ a AC n i AE m a AC
ranimai	ʁ a AC n i AE m e AD
ranimaient	ʁ a AC n i AE m ɛ AD
ranimais	ʁ a AC n i AE m ɛ AD
ranimait	ʁ a AC n i AE m ɛ AD
ranimant	ʁ a AC n i AE m ɑ̃ BB
ranimas	ʁ a AC n i AE m ɑ AK
ranimasse	ʁ a AC n i AE m a AC s
ranimassent	ʁ a AC n i AE m a AC s
ranimasses	ʁ a AC n i AE m a AC s
ranimassiez	ʁ a AC n i AE m a AC s j AA e AD
ranimassions	ʁ a AC n i AE m a AC s j AA ɔ̃ BA
ranime	ʁ a AC n i AE m
raniment	ʁ a AC n i AE m
ranimer	ʁ a AC n i AE m e AD
ranimera	ʁ a AC n i AE m ʁ a AC
ranimerai	ʁ a AC n i AE m ʁ e AD
ranimeraient	ʁ a AC n i AE m ʁ ɛ AD
ranimerais	ʁ a AC n i AE m ʁ ɛ AD
ranimerait	ʁ a AC n i AE m ʁ ɛ AD
ranimeras	ʁ a AC n i AE m ʁ ɑ AK
ranimerez	ʁ a AC n i AE m ʁ e AD
ranimeriez	ʁ a AC n i AE m ə AJ ʁ j AA e AD
ranimerions	ʁ a AC n i AE m ə AJ ʁ j AA ɔ̃ BA
ranimerons	ʁ a AC n i AE m ʁ ɔ̃ BA
ranimeront	ʁ a AC n i AE m ʁ ɔ̃ BA
ranimes	ʁ a AC n i AE m
ranimez	ʁ a AC n i AE m e AD
ranimiez	ʁ a AC n i AE m j AA e AD
ranimions	ʁ a AC n i AE m j AA ɔ̃ BA
ranimons	ʁ a AC n i AE m ɔ̃ BA
ranimâmes	ʁ a AC n i AE m ɑ AK m
ranimât	ʁ a AC n i AE m ɑ AK
ranimâtes	ʁ a AC n i AE m ɑ AK t
ranimèrent	ʁ a AC n i AE m ɛ AD ʁ
ranimé	ʁ a AC n i AE m e AD
rançon	ʁ ɑ̃ BB s ɔ̃ BA
raoul	ʁ a AC u AG l
raout	ʁ u AG t
rap	ʁ a AC p
rapace	ʁ a AC p a AC s
rapacité	ʁ a AC p a AC s i AE t e AD
rapailler	ʁ a AC p ɑ AK j AA e AD
rapatrier	ʁ a AC p a AC t ʁ i AE j AA e AD
raper	ʁ a AC p e AD
rapetasser	ʁ a AC p ə AJ t a AC s e AD
raphaël	ʁ a AC f a AC ɛ AD l
raphaëlle	ʁ a AC f a AC ɛ AD l
rapide	ʁ a AC p i AE d
rapidement	ʁ a AC p i AE d m ɑ̃ BB
rapidité	ʁ a AC p i AE d i AE t e AD
rapière	ʁ a AC p j AA ɛ AD ʁ
rapiécer	ʁ a AC p j AA e AD s e AD
rappel	ʁ a AC p ɛ AD l
rappeler	ʁ a AC p l e AD
rapper	ʁ a AC p œ AI ʁ
rappeur	ʁ a AC p œ AI ʁ
rapport	ʁ a AC p ɔ AF ʁ
rapporter	ʁ a AC p ɔ AF ʁ t e AD
rapporteur	ʁ a AC p ɔ AF ʁ t œ AI ʁ
rapporteuse	ʁ a AC p ɔ AF ʁ t ø AI z
rapprochement	ʁ a AC p ʁ ɔ AF ʃ m ɑ̃ BB
rapprocher	ʁ a AC p ʁ ɔ AF ʃ e AD
rapt	ʁ a AC p t
raquer	ʁ a AC k e AD
raquette	ʁ a AC k ɛ AD t
rare	ʁ ɑ AK ʁ
rarement	ʁ ɑ AK ʁ m ɑ̃ BB
rares	ʁ a AC ʁ
rareté	ʁ a AC ʁ t e AD
raretés	ʁ a AC ʁ t e AD
rarissime	ʁ a AC ʁ i AE s i AE m
rarissimement	ʁ a AC ʁ i AE s i AE m m ɑ̃ BB
ras	ʁ ɑ AK s
rasabilité	ʁ a AC z a AC b i AE l i AE t e AD
rasade	ʁ a AC z a AC d
rasades	ʁ a AC z a AC d
rasage	ʁ a AC z a AC ʒ
rasages	ʁ a AC z a AC ʒ
rascasse	ʁ a AC s k a AC s
rase	ʁ a AC z
raser	ʁ ɑ AK z e AD
raseur	ʁ ɑ AK z œ AI ʁ
rasoir	ʁ a AC z w AB a AC ʁ
rasons	ʁ ɑ AK z ɔ̃ BA
rassasier	ʁ a AC s a AC z j AA e AD
rassasié	ʁ a AC s a AC z j AA e AD
rassemblement	ʁ a AC s ɑ̃ BB b l ə AJ m ɑ̃ BB
rassemblements	ʁ a AC s ɑ̃ BB b l ə AJ m ɑ̃ BB
rassembler	ʁ a AC s ɑ̃ BB b l e AD
rasseoir	ʁ a AC s w AB a AC ʁ
rassis	ʁ a AC s i AE
rassortir	ʁ a AC s ɔ AF ʁ t i AE ʁ
rassure	ʁ a AC s y AH ʁ
rassurer	ʁ a AC s y AH ʁ e AD
rasséréner	ʁ a AC s e AD ʁ e AD n e AD
rasséréné	ʁ a AC s e AD ʁ e AD n e AD
rasé	ʁ ɑ AK z e AD
rat	ʁ a AC
ratage	ʁ a AC t a AC ʒ
ratatiner	ʁ a AC t a AC t i AE n e AD
ratatouille	ʁ a AC t a AC t u AG j AA
rate	ʁ a AC t
rater	ʁ a AC t e AD
rates	ʁ a AC t
ratichon	ʁ a AC t i AE ʃ ɔ̃ BA
raticide	ʁ a AC t i AE s i AE d
ratifier	ʁ a AC t i AE f j AA e AD
ration	ʁ a AC s j AA ɔ̃ BA
rationaliser	ʁ a AC s j AA ɔ AF n a AC l i AE z e AD
rationnel	ʁ a AC s j AA ɔ AF n ɛ AD l
rationnement	ʁ a AC s j AA ɔ AF n m ɑ̃ BB
ratisbonne	ʁ a AC t i AE s b ɔ AF n
ratissage	ʁ a AC t i AE s a AC ʒ
ratite	ʁ a AC t i AE t
ratière	ʁ a AC t j AA ɛ AD ʁ
raton	ʁ a AC t ɔ̃ BA
ratonnade	ʁ a AC t ɔ AF n a AC d
rats	ʁ a AC
rattachement	ʁ a AC t a AC ʃ m ɑ̃ BB
rattacher	ʁ a AC t a AC ʃ e AD
rattrapage	ʁ a AC t ʁ a AC p a AC ʒ
rattraper	ʁ a AC t ʁ a AC p e AD
raturer	ʁ a AC t y AH ʁ e AD
raté	ʁ a AC t e AD
raucité	ʁ o AF s i AE t e AD
rauque	ʁ o AF k
ravage	ʁ a AC v a AC ʒ
ravager	ʁ a AC v a AC ʒ e AD
ravaler	ʁ a AC v a AC l e AD
ravauder	ʁ a AC v o AF d e AD
rave	ʁ ɛ AD v
ravenelle	ʁ a AC v n ɛ AD l
ravenne	ʁ a AC v ɛ AD n
ravet	ʁ a AC v ɛ AD
ravi	ʁ a AC v i AE
ravigota	ʁ a AC v i AE ɡ ɔ AF t a AC
ravigotai	ʁ a AC v i AE ɡ ɔ AF t e AD
ravigotaient	ʁ a AC v i AE ɡ ɔ AF t ɛ AD
ravigotais	ʁ a AC v i AE ɡ ɔ AF t ɛ AD
ravigotait	ʁ a AC v i AE ɡ ɔ AF t ɛ AD
ravigotant	ʁ a AC v i AE ɡ ɔ AF t ɑ̃ BB
ravigotas	ʁ a AC v i AE ɡ ɔ AF t ɑ AK
ravigotasse	ʁ a AC v i AE ɡ ɔ AF t a AC s
ravigotassent	ʁ a AC v i AE ɡ ɔ AF t a AC s
ravigotasses	ʁ a AC v i AE ɡ ɔ AF t a AC s
ravigotassiez	ʁ a AC v i AE ɡ ɔ AF t a AC s j AA e AD
ravigotassions	ʁ a AC v i AE ɡ ɔ AF t a AC s j AA ɔ̃ BA
ravigote	ʁ a AC v i AE ɡ ɔ AF t
ravigotent	ʁ a AC v i AE ɡ ɔ AF t
ravigotera	ʁ a AC v i AE ɡ ɔ AF t ʁ a AC
ravigoterai	ʁ a AC v i AE ɡ ɔ AF t ʁ e AD
ravigoteraient	ʁ a AC v i AE ɡ ɔ AF t ʁ ɛ AD
ravigoterais	ʁ a AC v i AE ɡ ɔ AF t ʁ ɛ AD
ravigoterait	ʁ a AC v i AE ɡ ɔ AF t ʁ ɛ AD
ravigoteras	ʁ a AC v i AE ɡ ɔ AF t ʁ ɑ AK
ravigoterez	ʁ a AC v i AE ɡ ɔ AF t ʁ e AD
ravigoteriez	ʁ a AC v i AE ɡ ɔ AF t ə AJ ʁ j AA e AD
ravigoterions	ʁ a AC v i AE ɡ ɔ AF t ə AJ ʁ j AA ɔ̃ BA
