ँ	ə̃ AJ
संपत्ति	s̪ ə̃ AJ m p ə AD t̪̚ t̪ iː AC
संपदा	s̪ ə̃ AJ m p ə AD d̪ äː
संपर्क	s̪ ə̃ AJ m p ə AD ɾ k
संपादक	s̪ ə̃ AJ m p äː d̪ ə AD k
संपादकीय	s̪ ə̃ AJ m p äː d̪ ə AD k iː AC j AA
संपादन	s̪ ə̃ AJ m p äː d̪ ə̃ AJ n̪
संपूर्ण	s̪ ə̃ AJ m p uː AE ɾ ɳ
संपूर्णता	s̪ ə̃ AJ m p uː AE ɾ ɳ t̪ äː
संप्रति	s̪ ə̃ AJ m p ɾ ə AD t̪ iː AC
संप्रदाय	s̪ ə̃ AJ m p ɾ ə AD d̪ äː j AA
संप्रभु	s̪ ə̃ AJ m p ɾ ə AD bʱ uː AE
संप्रभुता	s̪ ə̃ AJ m p ɾ ə AD bʱ ʊ AF t̪ äː
संबंध	s̪ ə̃ AJ m b ə̃ AJ n̪ d̪ʱ
संबंधी	s̪ ə̃ AJ m b ə̃ AJ n̪ d̪ʱ iː AC
संबोधित	s̪ ə̃ AJ m b oː AE d̪ʱ ɪ AD t̪
संभव	s̪ ə̃ AJ m bʱ ə AD ʋ AB
संभालना	s̪ ə̃ AJ m bʱ äː l̪ n̪ äː
संभावना	s̪ ə̃ AJ m bʱ äː ʋ AB n̪ äː
संभोग	s̪ ə̃ AJ m bʱ oː AE ɡ
संयंत्र	s̪ ə̃ AJ j AA ə̃ AJ n̪ t̪ ɾ
संयम	s̪ ə̃ AJ j AA ə̃ AJ m
संयमिनी	s̪ ə̃ AJ n̪ j AA ə AD m ɪ AD n̪ iː AC
संयमी	s̪ ə̃ AJ n̪ j AA ə AD m iː AC
संयुक्त	s̪ ə̃ AJ j AA ʊ AF k t̪
संयुक्ताक्षर	s̪ ə̃ AJ j AA ʊ AF k t̪ äː k ʃ ə AD ɾ
संयोग	s̪ ə̃ AJ j AA oː AE ɡ
संयोगवश	s̪ ə̃ AJ j AA oː AE ɡ ʋ AB ə AD ʃ
संयोजक	s̪ ə̃ AJ j AA oː AE d ʒ ə AD k
संयोजकता	s̪ ə̃ AJ j AA oː AE d ʒ ə AD k t̪ äː
संरक्षण	s̪ ə̃ AJ ɾ ə AD k ʃ ə̃ AJ ɳ
संरक्षणवाद	s̪ ə̃ AJ ɾ ə AD k ʃ ə̃ AJ ɳ w AB äː d̪
संरक्षित	s̪ ə̃ AJ ɾ ə AD k ʃ ɪ AD t̪
संरचना	s̪ ə̃ AJ ɾ ə AD t ʃ n̪ äː
संरचनात्मक	s̪ ə̃ AJ ɾ ə AD t ʃ n̪ äː t̪ m ə AD k
संलक्षण	s̪ ə̃ AJ l̪ ə AD k ʃ ə̃ AJ ɳ
संलग्न	s̪ ə̃ AJ l̪ ə AD ɡ n̪
संलयन	s̪ ə̃ AJ l̪ ə AD j AA ə̃ AJ n̪
संलिप्त	s̪ ə̃ AJ l̪ ɪ AD p t̪
संवत्सर	s̪ ə̃ AJ m w AB ə AD t̪ s̪ ə AD ɾ
संवत्सरी	s̪ ə̃ AJ m w AB ə AD t̪ s̪ ə AD ɾ iː AC
संवर्धन	s̪ ə̃ AJ m w AB ə AD ɾ d̪ʱ ə̃ AJ n̪
संवहन	s̪ ə̃ AJ m w AB ɛ AD ɦ AG ɛ̃ AJ n̪
संवाद	s̪ ə̃ AJ m w AB äː d̪
संवाददाता	s̪ ə̃ AJ m w AB äː d̪̚ d̪ äː t̪ äː
संवाहिका	s̪ ə̃ AJ m w AB äː ɦ AG ɪ AD k äː
संवेग	s̪ ə̃ AJ m w AB eː AC ɡ
संवेदनशील	s̪ ə̃ AJ m w AB eː AC d̪ ə̃ AJ n̪ ʃ iː AC l̪
संवेदना	s̪ ə̃ AJ m w AB eː AC d̪̚ n̪ äː
संवैधानिक	s̪ ə̃ AJ m w AB ɛː AC d̪ʱ äː n̪ ɪ AD k
संशोधन	s̪ ə̃ AJ n̪ ʃ oː AE d̪ʱ ə̃ AJ n̪
संशोधित	s̪ ə̃ AJ n̪ ʃ oː AE d̪ʱ ɪ AD t̪
संश्लिष्ट	s̪ ə̃ AJ n̪ ʃ l̪ ɪ AD ʂ ʈ
संसद	s̪ ə̃ AJ n̪ s̪ ə AD d̪
संसदीय	s̪ ə̃ AJ n̪ s̪ ə AD d̪ iː AC j AA
संसाधन	s̪ ə̃ AJ n̪ s̪ äː d̪ʱ ə̃ AJ n̪
संसार	s̪ ə̃ AJ n̪ s̪ äː ɾ
संसिद्धि	s̪ ə̃ AJ n̪ s̪ ɪ AD d̪̚ d̪ʱ iː AC
संस्कारी	s̪ ə̃ AJ n̪ s̪ k äː ɾ iː AC
संस्कृत	s̪ ə̃ AJ n̪ s̪ k ɾ ɪ AD t̪
संस्कृति	s̪ ə̃ AJ n̪ s̪ k ɾ ɪ AD t̪ iː AC
संस्था	s̪ ə̃ AJ n̪ s̪ t̪ʰ äː
संस्थान	s̪ ə̃ AJ n̪ s̪ t̪ʰ ä̃ː n̪
संस्थापक	s̪ ə̃ AJ n̪ s̪ t̪ʰ äː p ə AD k
संहार	s̪ ə̃ AJ ɦ AG äː ɾ
संहिता	s̪ ə̃ AJ ɦ AG ɪ AD t̪ äː
सकत	s̪ ə AD k ə AD t̪
सकता	s̪ ə AD k t̪ äː
सकना	s̪ ə AD k n̪ äː
सकर्मक	s̪ ə AD k ə AD ɾ m ə AD k
सकल	s̪ ə AD k ə AD l̪
सकार	s̪ ə AD k äː ɾ
सक्त	s̪ ə AD k t̪
सक्रिय	s̪ ə AD k ɾ ɪ AD j AA
सक्षम	s̪ ə AD k ʃ ə̃ AJ m
सक्सेना	s̪ ə AD k s̪ eː AC n̪ äː
सख़्ती	s̪ ə AD x t̪ iː AC
सखा	s̪ ə AD kʰ äː
सख्खर	s̪ ə AD kʰ kʰ ə AD ɾ
सगाई	s̪ ə AD ɡ äː iː AC
सघन	s̪ ə AD ɡʱ ə̃ AJ n̪
सघोष	s̪ ə AD ɡʱ oː AE ʃ
सच	s̪ ə AD t ʃ
सचमुच	s̪ ə AD t ʃ m ʊ AF t ʃ
सचित्र	s̪ ə AD t ʃ ɪ AD t̪ ɾ
सचिव	s̪ ə AD t ʃ ɪ AD ʋ AB
सच्चरित्र	s̪ ə AD t̚ t ʃ ə AD ɾ ɪ AD t̪ ɾ
सच्चा	s̪ ə AD t̚ t ʃ äː
सजल	s̪ ə AD d ʒ ə AD l̪
सज़ा	s̪ ə AD z äː
सजाना	s̪ ə AD d ʒ äː n̪ äː
सजावट	s̪ ə AD d ʒ äː ʋ AB ə AD ʈ
सजावटी	s̪ ə AD d ʒ äː ʋ AB ʈ iː AC
सजीवता	s̪ ə AD d ʒ iː AC ʋ AB t̪ äː
सज्जन	s̪ ə AD d̚ d ʒ ə̃ AJ n̪
सज्जा	s̪ ə AD d̚ d ʒ äː
सज्जित	s̪ ə AD d̚ d ʒ ɪ AD t̪
सटकना	s̪ ə AD ʈ ə AD k n̪ äː
सटीक	s̪ ə AD ʈ iː AC k
सट्टा	s̪ ə AD ʈ̚ ʈ äː
सट्टेबाज़	s̪ ə AD ʈ̚ ʈ eː AC b äː z
सट्टेबाज़ी	s̪ ə AD ʈ̚ ʈ eː AC b äː z iː AC
सड़क	s̪ ə AD ɽ ə AD k
सड़कछाप	s̪ ə AD ɽ ə AD k t ʃʰ äː p
सड़ना	s̪ ə AD ɽ n̪ äː
सड़सठ	s̪ ə AD ɽ s̪ ə AD ʈʰ
सड़ियल	s̪ ə AD ɽ i AD j AA ə AD l̪
सतलुज	s̪ ə AD t̪ l̪ ʊ AF d ʒ
सतह	s̪ ə AD t̪ ə AD ɦ AG
सतहत्तर	s̪ ə AD t̪ʰ ə AD t̪̚ t̪ ə AD ɾ
सताना	s̪ ə AD t̪ äː n̪ äː
सत्तर	s̪ ə AD t̪̚ t̪ ə AD ɾ
सत्ता	s̪ ə AD t̪̚ t̪ äː
सत्ताईस	s̪ ə AD t̪̚ t̪ äː iː AC s̪
सत्तानवे	s̪ ə AD t̪̚ t̪ ä̃ː n̪ w AB eː AC
सत्तारूढ़	s̪ ə AD t̪̚ t̪ äː ɾ uː AE ɽʱ
सत्तावन	s̪ ə AD t̪̚ t̪ äː ʋ AB ə̃ AJ n̪
सत्तावाद	s̪ ə AD t̪̚ t̪ äː ʋ AB äː d̪
सत्तासी	s̪ ə AD t̪̚ t̪ äː s̪ iː AC
सत्य	s̪ ə AD t̪ j AA
सत्याग्रह	s̪ ə AD t̪ j AA äː ɡ ɾ ə AD ɦ AG
सत्यापन	s̪ ə AD t̪ j AA äː p ə̃ AJ n̪
सत्यापनों	s̪ ə AD t̪ j AA äː p n̪ õː
सत्रह	s̪ ə AD t̪ ɾ ə AD ɦ AG
सत्वर	s̪ ə AD t̪ w AB ə AD ɾ
सदन	s̪ ə AD d̪ ə̃ AJ n̪
सदमा	s̪ ə AD d̪ m äː
सदर	s̪ ə AD d̪ ɾ
सदरी	s̪ ə AD d̪ ɾ iː AC
सदस्य	s̪ ə AD d̪ ə AD s̪ j AA
सदा	s̪ ə AD d̪ äː
सदाबहार	s̪ ə AD d̪ äː b ə AD ɦ AG äː ɾ
सदिश	s̪ ə AD d̪ ɪ AD ʃ
सदैव	s̪ ə AD d̪ ɛː AC ʋ AB
सद्भावना	s̪ ə AD d̪ bʱ äː ʋ AB n̪ äː
सधुक्कड़ी	s̪ ə AD d̪ʱ ʊ AF k̚ k ə AD ɽ iː AC
सन	s̪ ə̃ AJ n̪
सनक	s̪ ə AD n̪ ə AD k
सनकना	s̪ ə AD n̪ ə AD k n̪ äː
सनसनी	s̪ ə̃ AJ n̪ s̪ ə AD n̪ iː AC
सनसनीख़ेज़	s̪ ə̃ AJ n̪ s̪ ə AD n̪ iː AC x eː AC z
सनातन	s̪ ə AD n̪ äː t̪ ə̃ AJ n̪
सन्	s̪ ə̃ AJ n̪
सन्दूक़चा	s̪ ə̃ AJ n̪ d̪ uː AE q t ʃ äː
सन्देह	s̪ ə̃ AJ n̪ d̪ eː AC ɦ AG
सन्नाटा	s̪ ə̃ AJ n̪ n̪ äː ʈ äː
सन्निकट	s̪ ə̃ AJ n̪ n̪ ɪ AD k ə AD ʈ
सन्निकटन	s̪ ə̃ AJ n̪ n̪ ɪ AD k ə AD ʈ ə̃ AJ n̪
सपूत	s̪ ə AD p uː AE t̪
सप्तक	s̪ ə AD p t̪ ə AD k
सप्ताह	s̪ ə AD p t̪ äː ɦ AG
सप्ताहांत	s̪ ə AD p t̪ äː ɦ AG ä̃ː n̪ t̪
सफल	s̪ ə AD pʰ ə AD l̪
सफ़र	s̪ ə AD pʰ ə AD ɾ
सफ़रनामा	s̪ ə AD pʰ ə AD ɾ n̪ äː m äː
सफ़ाई	s̪ ə AD pʰ äː iː AC
सफ़ेद	s̪ ə AD pʰ eː AC d̪
सफेद	s̪ ə AD pʰ eː AC d̪
सब	s̪ ə AD b
सबक	s̪ ə AD b ə AD q
सबब	s̪ ə AD b ə AD b
सबील	s̪ ə AD b iː AC l̪
सबूत	s̪ ə AD b uː AE t̪
सब्ज़ी	s̪ ə AD b z iː AC
सब्ज़ीमंडी	s̪ ə AD b z iː AC m ə̃ AJ ɳ ɖ iː AC
सब्र	s̪ ə AD b ɾ
सभा	s̪ ə AD bʱ äː
सभ्य	s̪ ə AD bʱ j AA
सभ्यता	s̪ ə AD bʱ j AA ə AD t̪ äː
सम	s̪ ə̃ AJ m
समंदर	s̪ ə AD m ə̃ AJ n̪ d̪ ə AD ɾ
समकालीन	s̪ ə̃ AJ m k äː l̪ ĩː n̪
समकोण	s̪ ə̃ AJ m k õː ɳ
समक्ष	s̪ ə AD m ə AD k ʃ
समझदार	s̪ ə AD m ə AD d ʒʱ d̪ äː ɾ
समझना	s̪ ə AD m ə AD d ʒʱ n̪ äː
समझाना	s̪ ə̃ AJ m d ʒʱ äː n̪ äː
समझौता	s̪ ə̃ AJ m d ʒʱ ɔː AE t̪ äː
समतल	s̪ ə̃ AJ m t̪ ə AD l̪
समधी	s̪ ə̃ AJ m d̪ʱ iː AC
समनुषंगी	s̪ ə̃ AJ m n̪ ʊ AF ʃ ə̃ AJ ŋ ɡ iː AC
समन्वय	s̪ ə AD m ə̃ AJ n̪ w AB ə AD j AA
समबाहु	s̪ ə̃ AJ m b äː ɦ AG uː AE
सममिति	s̪ ə̃ AJ m m ɪ AD t̪ iː AC
समय	s̪ ə AD m ə AD j AA
समयसारणी	s̪ ə AD m ə AD j AA s̪ äː ɾ ɳ iː AC
समयसारिणी	s̪ ə AD m ə AD j AA s̪ äː ɾ ɪ AD ɳ iː AC
समयादेश	s̪ ə AD m ə AD j AA äː d̪ eː AC ʃ
समयानुसार	s̪ ə̃ AJ m j AA äː n̪ ʊ AF s̪ äː ɾ
समरूप	s̪ ə̃ AJ m ɾ uː AE p
समर्थ	s̪ ə AD m ə AD ɾ t̪ʰ
समर्थक	s̪ ə AD m ə AD ɾ t̪ʰ ə AD k
समर्थन	s̪ ə AD m ə AD ɾ t̪ʰ ə̃ AJ n̪
समर्पण	s̪ ə AD m ə AD ɾ p ə̃ AJ ɳ
समष्टि	s̪ ə AD m ə AD ʃ ʈ iː AC
समसामयिक	s̪ ə̃ AJ m s̪ ä̃ː m j AA ɪ AD k
समस्या	s̪ ə AD m ə AD s̪ j AA äː
समाकलन	s̪ ə AD m äː k l̪ ə̃ AJ n̪
समाचार	s̪ ə AD m äː t ʃ äː ɾ
समाचारपत्र	s̪ ə AD m äː t ʃ äː ɾ p ə AD t̪ ɾ
समाज	s̪ ə AD m äː d ʒ
समाजवाद	s̪ ə AD m äː d ʒ ʋ AB äː d̪
समाजवादी	s̪ ə AD m äː d ʒ ʋ AB äː d̪ iː AC
समाजसेवा	s̪ ə AD m äː d ʒ s̪ eː AC ʋ AB äː
समाधान	s̪ ə AD m äː d̪ʱ ä̃ː n̪
समाधि	s̪ ə AD m äː d̪ʱ iː AC
समान	s̪ ə AD m ä̃ː n̪
समाना	s̪ ə AD m äː n̪ äː
समापन	s̪ ə AD m äː p ə̃ AJ n̪
समामेलक	s̪ ə AD m äː m eː AC l̪ ə AD k
समामेलन	s̪ ə AD m äː m eː AC l̪ ə̃ AJ n̪
समामेलित	s̪ ə AD m äː m eː AC l̪ ɪ AD t̪
समायोजन	s̪ ə AD m äː j AA oː AE d ʒ ə̃ AJ n̪
समायोजित	s̪ ə AD m äː j AA oː AE d ʒ ɪ AD t̪
समारोह	s̪ ə AD m äː ɾ oː AE ɦ AG
समालोचना	s̪ ə AD m äː l̪ oː AE t ʃ n̪ äː
समावेश	s̪ ə AD m äː ʋ AB eː AC ʃ
समास	s̪ ə AD m äː s̪
समिट	s̪ ə AD m ɪ AD ʈ
समिति	s̪ ə AD m ɪ AD t̪ iː AC
समीकरण	s̪ ə AD m iː AC k ə AD ɾ ə̃ AJ ɳ
समीक्षा	s̪ ə AD m iː AC k ʃ äː
समीप	s̪ ə AD m iː AC p
समीर	s̪ ə AD m iː AC ɾ
समुच्चय	s̪ ə AD m ʊ AF t̚ t ʃ ə AD j AA
समुच्चयबोधक	s̪ ə AD m ʊ AF t̚ t ʃ ə AD j AA b oː AE d̪ʱ ə AD k
समुत्थान	s̪ ə AD m ʊ AF t̪̚ t̪ʰ ä̃ː n̪
समुदाय	s̪ ə AD m ʊ AF d̪ äː j AA
समुद्र	s̪ ə AD m ʊ AF d̪ ɾ
समूह	s̪ ə AD m uː AE ɦ AG
समूहन	s̪ ə AD m uː AE ɦ AG ə̃ AJ n̪
समृद्धिकरण	s̪ ə̃ AJ m ɾ ɪ AD d̪̚ d̪ʱ ɪ AD k ə AD ɾ ə̃ AJ ɳ
समेकन	s̪ ə AD m eː AC k ə̃ AJ n̪
समेटना	s̪ ə AD m eː AC ʈ n̪ äː
समेत	s̪ ə AD m eː AC t̪
समोसा	s̪ ə AD m oː AE s̪ äː
सम्पत्ति	s̪ ə̃ AJ m p ə AD t̪̚ t̪ iː AC
सम्पादक	s̪ ə̃ AJ m p äː d̪ ə AD k
सम्पादन	s̪ ə̃ AJ m p äː d̪ ə̃ AJ n̪
सम्पूर्ण	s̪ ə̃ AJ m p uː AE ɾ ɳ
सम्बन्धी	s̪ ə̃ AJ m b ə̃ AJ n̪ d̪ʱ iː AC
सम्मति	s̪ ə̃ AJ m m ə AD t̪ iː AC
सम्मान	s̪ ə̃ AJ m m ä̃ː n̪
सम्मानजनक	s̪ ə̃ AJ m m ä̃ː n̪ d ʒ ə AD n̪ ə AD k
सम्मिलन	s̪ ə̃ AJ m m ɪ AD l̪ ə̃ AJ n̪
सम्मिलित	s̪ ə̃ AJ m m ɪ AD l̪ ɪ AD t̪
सम्मिश्रण	s̪ ə̃ AJ m m ɪ AD ʃ ɾ ə̃ AJ ɳ
सम्मुख	s̪ ə̃ AJ m m ʊ AF kʰ
सम्मेलन	s̪ ə̃ AJ m m eː AC l̪ ə̃ AJ n̪
सम्यक्	s̪ ə̃ AJ m j AA ə AD k
सम्राज्ञी	s̪ ə̃ AJ m ɾ äː ɡ j AA iː AC
सम्राट	s̪ ə̃ AJ m ɾ äː ʈ
सयाना	s̪ ə AD j AA äː n̪ äː
सय्याद	s̪ ə AD j AA j AA äː d̪
सर	s̪ ə AD ɾ
सरंजाम	s̪ ə AD ɾ ə̃ AJ n̪ d ʒ ä̃ː m
सरकंडा	s̪ ə AD ɾ k ə̃ AJ ɳ ɖ äː
सरकाना	s̪ ə AD ɾ k äː n̪ äː
सरकार	s̪ ə AD ɾ k äː ɾ
सरगोधा	s̪ ə AD ɾ ɡ oː AE d̪ʱ äː
सरद	s̪ ə AD ɾ ə AD d̪
सरदार	s̪ ə AD ɾ d̪ äː ɾ
सरदी	s̪ ə AD ɾ d̪ iː AC
सरपंच	s̪ ə AD ɾ p ə̃ AJ n̪ t ʃ
सरफ़रोश	s̪ ə AD ɾ pʰ ə AD ɾ oː AE ʃ
सरफिरा	s̪ ə AD ɾ pʰ ɪ AD ɾ äː
सरल	s̪ ə AD ɾ ə AD l̪
सरलीकृत	s̪ ə AD ɾ l̪ iː AC k ɾ ɪ AD t̪
सरसठ	s̪ ə AD ɾ s̪ ə AD ʈʰ
सरसों	s̪ ə AD ɾ s̪ õː
सरस्वती	s̪ ə AD ɾ ə AD s̪ ʋ AB ə AD t̪ iː AC
सरहद	s̪ ə AD ɾ ɦ AG ə AD d̪
सरहदी	s̪ ə AD ɾ ɦ AG ə AD d̪ iː AC
सराइकी	s̪ ə AD ɾ äː ɪ AD k iː AC
सराफ़ा	s̪ ə AD ɾ äː pʰ äː
सराबोर	s̪ ə AD ɾ äː b oː AE ɾ
सराय	s̪ ə AD ɾ äː j AA
सराहना	s̪ ə AD ɾ äː ɦ AG n̪ äː
सरी	s̪ ə AD ɾ iː AC
सरीखा	s̪ ə AD ɾ iː AC kʰ äː
सरीसृप	s̪ ə AD ɾ iː AC s̪ ɾ ɪ AD p
सरूर	s̪ ə AD ɾ uː AE ɾ
सरेआम	s̪ ə AD ɾ eː AC ä̃ː m
सरोज	s̪ ə AD ɾ oː AE d ʒ
सरोद	s̪ ə AD ɾ oː AE d̪
सरोरुह	s̪ ə AD ɾ oː AE ɾ ʊ AF ɦ AG
सर्किल	s̪ ə AD ɾ k ɪ AD l̪
सर्जन	s̪ ə AD ɾ d ʒ ə̃ AJ n̪
सर्द	s̪ ə AD ɾ d̪
सर्दी	s̪ ə AD ɾ d̪ iː AC
सर्प	s̪ ə AD ɾ p
सर्पिल	s̪ ə AD ɾ p ɪ AD l̪
सर्ब	s̪ ə AD ɾ b
सर्बिया	s̪ ə AD ɾ b i AD j AA äː
सर्वत्र	s̪ ə AD ɾ ʋ AB ə AD t̪ ɾ
सर्वथा	s̪ ə AD ɾ ʋ AB ə AD t̪ʰ äː
सर्वदलीय	s̪ ə AD ɾ ʋ AB d̪ ə AD l̪ iː AC j AA
सर्वनाम	s̪ ə AD ɾ ʋ AB ə AD n̪ ä̃ː m
सर्वप्रथम	s̪ ə AD ɾ ʋ AB p ɾ ə AD t̪ʰ ə̃ AJ m
सर्वश्रेष्ठ	s̪ ə AD ɾ ʋ AB ə AD ʃ ɾ eː AC ʂ ʈʰ
सर्वसम्मति	s̪ ə AD ɾ ʋ AB s̪ ə̃ AJ m m ə AD t̪ iː AC
सर्वसाधारण	s̪ ə AD ɾ ʋ AB s̪ äː d̪ʱ äː ɾ ə̃ AJ ɳ
सर्वहारा	s̪ ə AD ɾ ʋ AB ɦ AG äː ɾ äː
सर्वांगसम	s̪ ə AD ɾ ʋ AB ä̃ː ŋ ɡ s̪ ə̃ AJ m
सर्वाधिक	s̪ ə AD ɾ ʋ AB äː d̪ʱ ɪ AD k
सर्विस	s̪ ə AD ɾ ʋ AB ɪ AD s̪
सर्वेक्षण	s̪ ə AD ɾ ʋ AB eː AC k ʃ ə̃ AJ ɳ
सर्वोच्च	s̪ ə AD ɾ ʋ AB oː AE t̚ t ʃ
सर्वोदय	s̪ ə AD ɾ ʋ AB oː AE d̪ ə AD j AA
सर्वोपरि	s̪ ə AD ɾ ʋ AB oː AE p ə AD ɾ iː AC
सर्षप	s̪ ə AD ɾ ʃ ə AD p
सलवार	s̪ ə AD l̪ ʋ AB äː ɾ
सलहज	s̪ ə AD l̪ ɛ AD ɦ AG ɛ AD d ʒ
सलाउद्दीन	s̪ ə AD l̪ äː ʊ AF d̪̚ d̪ ĩː n̪
सलाख	s̪ ə AD l̪ äː kʰ
सलाम	s̪ ə AD l̪ ä̃ː m
सलामत	s̪ ə AD l̪ äː m ə AD t̪
सलामी	s̪ ə AD l̪ äː m iː AC
सलाह	s̪ ə AD l̪ äː ɦ AG
सलाहकार	s̪ ə AD l̪ äː ɦ AG k äː ɾ
सलीक़ा	s̪ ə AD l̪ iː AC q äː
सलीब	s̪ ə AD l̪ iː AC b
सलीम	s̪ ə AD l̪ ĩː m
सलूक	s̪ ə AD l̪ uː AE k
सलोतरी	s̪ ə AD l̪ oː AE t̪ ɾ iː AC
सलोना	s̪ ə AD l̪ oː AE n̪ äː
सल्तनत	s̪ ə AD l̪ t̪ ə AD n̪ ə AD t̪
सवर्ण	s̪ ə AD ʋ AB ə AD ɾ ɳ
सवा	s̪ ə AD ʋ AB äː
सवाना	s̪ ə AD ʋ AB äː n̪ äː
सवार	s̪ ə AD ʋ AB äː ɾ
सवाल	s̪ ə AD ʋ AB äː l̪
सवेरा	s̪ ə AD ʋ AB eː AC ɾ äː
सवेरे	s̪ ə AD ʋ AB eː AC ɾ eː AC
सशंक	s̪ ə AD ʃ ə̃ AJ ŋ k
सशक्तिकरण	s̪ ə AD ʃ ə AD k t̪ ɪ AD k ə AD ɾ ə̃ AJ ɳ
सशस्त्र	s̪ ə AD ʃ ə AD s̪ t̪ ɾ
सशुल्क	s̪ ə AD ʃ ʊ AF l̪ k
ससुर	s̪ ə AD s̪ ʊ AF ɾ
ससुराल	s̪ ə AD s̪ ʊ AF ɾ äː l̪
सस्ता	s̪ ə AD s̪ t̪ äː
सस्ताई	s̪ ə AD s̪ t̪ äː iː AC
सस्तापन	s̪ ə AD s̪ t̪ äː p ə̃ AJ n̪
सस्यविज्ञान	s̪ ə AD s̪ j AA ə AD ʋ AB ɪ AD ɡ j AA ä̃ː n̪
सहकर्मी	s̪ ɛ AD ɦ AG k ə AD ɾ m iː AC
सहकारी	s̪ ɛ AD ɦ AG k äː ɾ iː AC
सहचर	s̪ ɛ AD ɦ AG t ʃ ə AD ɾ
सहज	s̪ ɛ AD ɦ AG ɛ AD d ʒ
सहजात	s̪ ɛ AD ɦ AG d ʒ äː t̪
सहन	s̪ ɛ AD ɦ AG ɛ̃ AJ n̪
सहना	s̪ ɛ AD ɦ AG n̪ äː
सहपाठी	s̪ ɛ AD ɦ AG p äː ʈʰ iː AC
सहबद्ध	s̪ ɛ AD ɦ AG b ə AD d̪ d̪ʱ
सहभागी	s̪ ɛ AD ɦ AG bʱ äː ɡ iː AC
सहमत	s̪ ɛ AD ɦ AG m ə AD t̪
सहमति	s̪ ɛ AD ɦ AG m ə AD t̪ iː AC
सहयोग	s̪ ɛ AD ɦ AG j AA oː AE ɡ
सहयोगी	s̪ ɛ AD ɦ AG j AA oː AE ɡ iː AC
सहर	s̪ ɛ AD ɦ AG ɛ AD ɾ
सहरा	s̪ ɛ AD ɦ AG ɾ äː
सहरी	s̪ ɛ AD ɦ AG ɾ iː AC
सहलाना	s̪ ɛ AD ɦ AG l̪ äː n̪ äː
सहवास	s̪ ɛ AD ɦ AG ʋ AB äː s̪
सहसंयोजक	s̪ ɛ AD ɦ AG s̪ ə̃ AJ j AA oː AE d ʒ ə AD k
सहसा	s̪ ɛ AD ɦ AG s̪ äː
सहस्र	s̪ ɛ AD ɦ AG ɛ AD s̪ ɾ
सहस्रपाद	s̪ ɛ AD ɦ AG ɛ AD s̪ ɾ ə AD p äː d̪
सहस्रमान	s̪ ɛ AD ɦ AG ɛ AD s̪ ɾ ə AD m ä̃ː n̪
सहस्रिमान	s̪ ɛ AD ɦ AG ɛ AD s̪ ɾ ɪ AD m ä̃ː n̪
सहायक	s̪ ə AD ɦ AG äː j AA ə AD k
सहायता	s̪ ə AD ɦ AG äː j AA t̪ äː
सहारा	s̪ ə AD ɦ AG äː ɾ äː
सहित	s̪ ə AD ɦ AG ɪ AD t̪
सही	s̪ ə AD ɦ AG iː AC
सहेजना	s̪ ə AD ɦ AG eː AC d ʒ n̪ äː
सहेली	s̪ ə AD ɦ AG eː AC l̪ iː AC
सहोदर	s̪ ə AD ɦ AG oː AE d̪ ə AD ɾ
स़िफ़र	s̪ ɪ AD pʰ ə AD ɾ
साँई	s̪ ä̃ː iː AC
साँझ	s̪ ä̃ː n̪ d ʒʱ
साँड़	s̪ ä̃ː ɽ
साँप	s̪ ä̃ː p
साँवला	s̪ ä̃ː ʋ AB l̪ äː
साँस	s̪ ä̃ː s̪
सांख्यिकी	s̪ ä̃ː kʰ j AA ɪ AD k iː AC
सांझ	s̪ ä̃ː n̪ d ʒʱ
सांड	s̪ ä̃ː ɳ ɖ
सांडा	s̪ ä̃ː ɳ ɖ äː
सांद्रता	s̪ ä̃ː n̪ d̪ ɾ ə AD t̪ äː
सांप	s̪ ä̃ː p
सांप्रदायिकता	s̪ ä̃ː p ɾ ə AD d̪ äː j AA ɪ AD k t̪ äː
सांबर	s̪ ä̃ː m b ə AD ɾ
सांस	s̪ ä̃ː n̪ s̪
सांसद	s̪ ä̃ː n̪ s̪ ə AD d̪
सांस्कृतिक	s̪ ä̃ː n̪ s̪ k ɾ ɪ AD t̪ ɪ AD k
साइकल	s̪ äː ɪ AD k ə AD l̪
साइकिल	s̪ äː ɪ AD k ɪ AD l̪
साइप्रस	s̪ äː ɪ AD p ɾ ə AD s̪
साउथहैंपटन	s̪ äː ʊ AF t̪ʰ ɦ AG ɛ̃ː AI m p ʈ ə̃ AJ n̪
साउथॉल	s̪ äː ʊ AF t̪ʰ ɔ AF l̪
साक्षर	s̪ äː k ʃ ə AD ɾ
साक्षात्कार	s̪ äː k ʃ äː t̪ k äː ɾ
साक्षी	s̪ äː k ʃ iː AC
साक्ष्य	s̪ äː k ʃ j AA
साख	s̪ äː kʰ
साग	s̪ äː ɡ
सागर	s̪ äː ɡ ə AD ɾ
सागौन	s̪ äː ɡ ɔ̃ː AH n̪
साजन	s̪ äː d ʒ ə̃ AJ n̪
साज़	s̪ äː z
साज़िश	s̪ äː z ɪ AD ʃ
साझा	s̪ äː d ʒʱ äː
साझेदार	s̪ äː d ʒʱ eː AC d̪ äː ɾ
साझेदारी	s̪ äː d ʒʱ eː AC d̪ äː ɾ iː AC
साठ	s̪ äː ʈʰ
साड़ी	s̪ äː ɽ iː AC
साढ़े	s̪ äː ɽʱ eː AC
