က	k AC a̰ AL
သုဒ္ဒကြိယာ	θ AJ o AM ʊ AM ʔ AC d AC a̰ AL k AC ə AL ɹ AB ḭ j AB a AL
သုဒ္ဓေါဒန	θ AJ u AM d AC d AC ɔ AM d AC ə AL n AG a̰ AL
သုဓမ္မပူရ	θ AJ ṵ d AC ə AL m AF a̰ AL p AH u AM ɹ AB a̰ AL
သုဓမ္မသိင်္ဂီ	θ AJ ṵ d AC a AL ɴ AG m AF a̰ AL θ AJ e AL ɪ AL ɴ AG ɡ AC i AL
သုဓာ	θ AJ o AM ʊ AM ʔ AC d AC a AL
သုပ်	θ AJ o AM ʊ AM ʔ AC
သုမန	θ AJ ṵ m AF ə AL n AG a̰ AL
သုမနဘုရား	θ AJ ṵ m AF ə AL n AG a̰ AL pʰ AI ə AL j AB a AL
သုမေဓာ	θ AJ ṵ m AF e AL d AC a AL
သုမေဓာဘုရား	θ AJ ṵ m AF e AL d AC a AL pʰ AI ə AL j AB a AL
သုဝဏ္ဏ	θ AJ ṵ w AK ʊ AM ɴ AG n AG a̰ AL
သုသာန်	θ AJ o AM ʊ AM ʔ AC θ AJ a AL ɴ AG
သုံး	θ AJ o AM ʊ AM ɴ AG
သုံးဆယ်	θ AJ o AM ʊ AM ɴ AG sʰ BA ɛ AL
သုံးဆောင်	θ AJ o AM ʊ AM ɴ AG sʰ BA a AL ʊ AM ɴ AG
သုံးလ	θ AJ o AM ʊ AM ɴ AG l AE a̰ AL
သူ	θ AJ u AM
သူကောင်	θ AJ u AM ɡ AC a AL ʊ AM ɴ AG
သူကောင်တင်	θ AJ u AM ɡ AC a AL ʊ AM ɴ AG d AC ɪ AL ɴ AG
သူကောင်း	θ AJ u AM ɡ AC a AL ʊ AM ɴ AG
သူကောင်းပြု	θ AJ u AM ɡ AC a AL ʊ AM ɴ AG p AH j AB ṵ
သူကောင်းမြှောက်	θ AJ u AM ɡ AC a AL ʊ AM ɴ AG m̥ AF j AB a AL ʊ AM ʔ AC
သူကောင်းသား	θ AJ u AM ɡ AC a AL ʊ AM ɴ AG ð AJ a AL
သူကျက်	θ AJ u AM d AC ʑ AJ ɛ AL ʔ AC
သူကြီး	θ AJ u AM d AC ʑ AJ i AL
သူကြွယ်	θ AJ u AM t AC ɕ AJ w AK ɛ AL
သူခိုး	θ AJ ə AL kʰ AD o AM
သူငယ်	θ AJ ə AL ŋ AG ɛ AL
သူငယ်ချင်း	θ AJ ə AL ŋ AG ɛ AL d AC ʑ AJ ɪ AL ɴ AG
သူငယ်တန်း	θ AJ u AM ŋ AG ɛ AL d AC a AL ɴ AG
သူငယ်မ	θ AJ ə AL ŋ AG ɛ AL m AF a̰ AL
သူစိမ်း	ð AJ ə AL z AJ e AL ɪ AL ɴ AG
သူစိမ်းတစ်ရံဆံ	ð AJ ə AL z AJ e AL ɪ AL ɴ AG t AC ə AL j AB a AL ɴ AG z AJ a AL ɴ AG
သူဆင်းရဲ	θ AJ u AM sʰ BA ɪ AL ɴ AG j AB ɛ AL
သူဇာ	θ AJ u AM z AJ a AL
သူဌေး	θ AJ ə AL tʰ AD e AL
သူတကာ	θ AJ u AM d AC ə AL ɡ AC a AL
သူတစ်ခွန်းငါတစ်ခွန်း	θ AJ u AM t AC ə AL kʰ AD ʊ AM ɴ AG ŋ AG a AL t AC ə AL kʰ AD ʊ AM ɴ AG
သူတစ်ထူး	θ AJ u AM t AC ə AL tʰ AD u AM
သူတစ်ပါး	θ AJ u AM d AC ə AL b AH a AL
သူတစ်ပြန်ငါတစ်ပြန်	θ AJ u AM d AC ə AL b AH j AB a AL ɴ AG ŋ AG a AL d AC ə AL b AH j AB a AL ɴ AG
သူတစ်လူငါတစ်မင်း	θ AJ u AM t AC ə AL l AE u AM ŋ AG a AL t AC ə AL m AF ɪ AL ɴ AG
သူတို့	θ AJ u AM d AC o̰ AM
သူတောင်းစား	ð AJ ə AL d AC a AL ʊ AM ɴ AG z AJ a AL
သူတော်	θ AJ u AM d AC ɔ AM
သူတော်ကောင်း	θ AJ u AM d AC ɔ AM ɡ AC a AL ʊ AM ɴ AG
သူတော်စင်	θ AJ u AM d AC ɔ AM z AJ ɪ AL ɴ AG
သူတော်သူမြတ်	θ AJ u AM d AC ɔ AM θ AJ u AM m AF j AB a AL ʔ AC
သူနာ	θ AJ u AM n AG a AL
သူနာတင်ကား	θ AJ u AM n AG a AL t AC ɪ AL ɴ AG k AC a AL
သူနာတင်ယာဉ်	θ AJ u AM n AG a AL t AC ɪ AL ɴ AG j AB ɪ AL ɴ AG
သူနာပြု	θ AJ u AM n AG a AL b AH j AB ṵ
သူနိုင်ငါညှဉ်းလုပ်	θ AJ u AM n AG a AL ɪ AL ɴ AG ŋ AG a AL ɲ̊ AG ɪ AL ɴ AG l AE o AM ʊ AM ʔ AC
သူပုန်	ð AJ ə AL b AH o AM ʊ AM ɴ AG
သူပုန်ထ	ð AJ ə AL b AH o AM ʊ AM ɴ AG tʰ AD a̰ AL
သူပုန်သူကန်	ð AJ ə AL b AH ə AL ð AJ u AM ɡ AC a AL ɴ AG
သူပြောငါပြော	θ AJ u AM p AH j AB ɔ AM ŋ AG a AL p AH j AB ɔ AM
သူဖုန်းစား	θ AJ u AM pʰ AI o AM ʊ AM ɴ AG s AJ a AL
သူမ	θ AJ u AM m AF a̰ AL
သူမသာကိုယ်မသာ	θ AJ u AM m AF ə AL θ AJ a AL k AC o AM j AB m AF ə AL θ AJ a AL
သူမသာငါမသာ	θ AJ u AM m AF ə AL θ AJ a AL ŋ AG a AL m AF ə AL θ AJ a AL
သူမိုက်	θ AJ u AM m AF a AL ɪ AL ʔ AC
သူများ	θ AJ u AM m AF j AB a AL
သူများနည်းတူ	θ AJ u AM m AF j AB a AL n AG i AL t AC u AM
သူယုတ်မာ	θ AJ u AM j AB o AM ʊ AM ʔ AC m AF a AL
သူယောင်	θ AJ u AM j AB a AL ʊ AM ɴ AG
သူယောင်မယ်	θ AJ u AM j AB a AL ʊ AM ɴ AG m AF ɛ AL
သူရ	θ AJ u AM j AB a̰ AL
သူရကန်	θ AJ u AM ɹ AB ə AL k AC a AL ɴ AG
သူရင်းငှား	θ AJ ə AL j AB ɪ AL ɴ AG ŋ̊ AG a AL
သူရင်းတိုင်	θ AJ ə AL j AB ɪ AL ɴ AG d AC a AL ɪ AL ɴ AG
သူရသတ္တိ	θ AJ u AM j AB a̰ AL θ AJ a AL ʔ AC t AC ḭ
သူရိန်	θ AJ u AM j AB e AL ɪ AL ɴ AG
သူရိယမာသ	θ AJ u AM ɹ AB ḭ j AB a̰ AL m AF a AL θ AJ a̰ AL
သူရဲ	θ AJ ə AL j AB ɛ AL
သူရဲကောင်း	θ AJ u AM j AB ɛ AL ɡ AC a AL ʊ AM ɴ AG
သူရဲကြီး	θ AJ u AM j AB ɛ AL d AC ʑ AJ i AL
သူရဲကြီးအလံ	θ AJ u AM j AB ɛ AL d AC ʑ AJ i AL ʔ AC ə AL l AE a AL ɴ AG
သူရဲခို	θ AJ ə AL j AB ɛ AL kʰ AD o AM
သူရဲပြေး	θ AJ ə AL j AB ɛ AL p AH j AB e AL
သူရဲဘောကြောင်	θ AJ ə AL j AB ɛ AL b AH ɔ AM d AC ʑ AJ a AL ʊ AM ɴ AG
သူရဲဘောနည်း	θ AJ ə AL j AB ɛ AL b AH ɔ AM n AG i AL
သူရဿတီ	θ AJ u AM ɹ AB a̰ AL θ AJ ə AL t AC i AL
သူလိုငါလို	θ AJ u AM l AE o AM ŋ AG a AL l AE o AM
သူလျှို	ð AJ ə AL ʃ AJ o AM
သူသူငါငါ	θ AJ u AM θ AJ u AM ŋ AG a AL ŋ AG a AL
သူသေ	θ AJ u AM θ AJ e AL
သူဟောင်းစကား	θ AJ u AM h AA a AL ʊ AM ɴ AG z AJ ə AL ɡ AC a AL
သူအို	θ AJ u AM ʔ AC o AM
သူ့	θ AJ ṵ
သေ	θ AJ e AL
သေခြင်း	θ AJ e AL d AC ʑ AJ ɪ AL ɴ AG
သေတ္တာ	θ AJ ɪ AL ʔ AC t AC a AL
သေနတ်	θ AJ ə AL n AG a AL ʔ AC
သော	θ AJ ɔ AM
သောက္ကတဲ	θ AJ a AL ʊ AM ʔ AC k AC ə AL t AC ɛ AL
သောက်	θ AJ a AL ʊ AM ʔ AC
သောကြာ	θ AJ a AL ʊ AM ʔ AC t AC ɕ AJ a AL
သောကြာဂြိုဟ်	θ AJ a AL ʊ AM ʔ AC t AC ɕ AJ a AL d AC ʑ AJ o AM
သောင်း	θ AJ a AL ʊ AM ɴ AG
သောင်းသောင်း	θ AJ a AL ʊ AM ɴ AG ð AJ a AL ʊ AM ɴ AG
သောဘိတ	θ AJ ɔ AM b AH ḭ t AC a̰ AL
သောဘိတဘုရား	θ AJ ɔ AM b AH ḭ t AC a̰ AL pʰ AI ə AL j AB a AL
သောမနဿ	θ AJ ɔ AM m AF ə AL n AG a AL ʔ AC θ AJ a̰ AL
သောသော	θ AJ ɔ AM ð AJ ɔ AM
သော့	θ AJ ɔ̰ AM
သော့တံ	θ AJ ɔ̰ AM d AC a AL ɴ AG
သော်	ð AJ ɔ AM
သော်တာ	θ AJ ɔ AM d AC a AL
သေး	θ AJ e AL
သဲ	θ AJ ɛ AL
သဲကန္တာရ	θ AJ e AL ɡ AC a AL ɴ AG d AC a AL j AB a̰ AL
သဲကျောက်	θ AJ ɛ AL d AC ʑ AJ a AL ʊ AM ʔ AC
သဲ့သဲ့	θ AJ ɛ̰ AL ð AJ ɛ̰ AL
သံ	θ AJ a AL ɴ AG
သံကြိုး	θ AJ a AL ɴ AG d AC ʑ AJ o AM
သံကြိုးစာ	θ AJ a AL ɴ AG d AC ʑ AJ o AM z AJ a AL
သံကြွပ်	θ AJ a AL ɴ AG d AC ʑ AJ ʊ AM ʔ AC
သံချပ်	θ AJ ə AL d AC ʑ AJ a AL ʔ AC
သံချေး	θ AJ a AL ɴ AG d AC ʑ AJ i AL
သံခွာ	θ AJ a AL ɴ AG kʰ AD w AK a AL
သံဃာ	θ AJ a AL ɴ AG ɡ AC a AL
သံစုံတီးဝိုင်း	θ AJ a AL ɴ AG z AJ o AM ʊ AM ɴ AG t AC i AL w AK a AL ɪ AL ɴ AG
သံတမန်	θ AJ a AL ɴ AG t AC ə AL m AF a AL ɴ AG
သံတော်ဆင့်	θ AJ a AL ɴ AG d AC ɔ AM z AJ ɪ̰ AL ɴ AG
သံတွဲ	θ AJ a AL ɴ AG d AC w AK ɛ AL
သံပန်း	θ AJ a AL ɴ AG b AH a AL ɴ AG
သံပရာ	θ AJ a AL ɴ AG b AH ə AL j AB a AL
သံပရို	θ AJ a AL ɴ AG b AH a̰ AL j AB o AM
သံပေါက်	θ AJ a AL ɴ AG b AH a AL ʊ AM ʔ AC
သံပြိုင်	θ AJ a AL ɴ AG b AH j AB a AL ɪ AL ɴ AG
သံဖြူ	θ AJ a AL ɴ AG b AH j AB u AM
သံမဏိ	θ AJ a AL ɴ AG m AF ə AL n AG ḭ
သံရုံး	θ AJ a AL ɴ AG j AB o AM ʊ AM ɴ AG
သံလမ်း	θ AJ a AL ɴ AG l AE a AL ɴ AG
သံလမ်းရထား	θ AJ a AL ɴ AG l AE a AL ɴ AG j AB ə AL tʰ AD a AL
သံလိုက်	θ AJ a AL ɴ AG l AE a AL ɪ AL ʔ AC
သံလိုက်စက်ကွင်း	θ AJ a AL ɴ AG l AE a AL ɪ AL ʔ AC s AJ ɛ AL ʔ AC k AC w AK ɪ AL ɴ AG
သံလွင်	θ AJ a AL ɴ AG l AE w AK ɪ AL ɴ AG
သံဝါသ	θ AJ a AL ɴ AG w AK a AL θ AJ a̰ AL
သံသယ	θ AJ a AL ɴ AG θ AJ ə AL j AB a̰ AL
သံအမတ်	θ AJ a AL ɴ AG ʔ AC ə AL m AF a AL ʔ AC
သံ့သံ့	θ AJ a̰ AL ɴ AG ð AJ a̰ AL ɴ AG
သျှင်	ʃ AJ ɪ AL ɴ AG
သျှမ်း	ʃ AJ a AL ɴ AG
သျှောင်	j AB a AL ʊ AM ɴ AG
သွင်သွင်	θ AJ w AK ɪ AL ɴ AG ð AJ w AK ɪ AL ɴ AG
သွင်း	θ AJ w AK ɪ AL ɴ AG
သွတ်သွတ်	θ AJ ʊ AM ʔ AC θ AJ ʊ AM ʔ AC
သွန်းသွန်း	θ AJ ʊ AM ɴ AG ð AJ ʊ AM ɴ AG
သွပ်	θ AJ ʊ AM ʔ AC
သွား	θ AJ w AK a AL
သွားကြားထိုးတံ	θ AJ w AK a AL d AC ʑ AJ a AL tʰ AD o AM d AC a AL ɴ AG
သွားတိုက်ဆေး	θ AJ w AK a AL d AC a AL ɪ AL ʔ AC sʰ BA e AL
သွားပွတ်တံ	ð AJ ə AL b AH ʊ AM ʔ AC t AC a AL ɴ AG
သွားဖုံး	θ AJ ə AL pʰ AI o AM ʊ AM ɴ AG
သွားရည်	θ AJ ə AL j AB i AL
သွေ	θ AJ w AK e AL
သွေး	θ AJ w AK e AL
သွေးကြော	θ AJ w AK e AL d AC ʑ AJ ɔ AM
သွေးတိုးရောဂါ	θ AJ w AK e AL t AC o AM j AB ɔ AM ɡ AC a AL
သွေးပေါ်	θ AJ w AK e AL p AH ɔ AM
သွေးအုပ်စု	θ AJ w AK e AL ʔ AC o AM ʊ AM ʔ AC s AJ ṵ
ဟ	h AA a̰ AL
ဟင့်အင်း	h AA ɪ̰ AL ɴ AG ʔ AC ɪ AL ɴ AG
ဟင်း	h AA ɪ AL ɴ AG
ဟင်းခါး	h AA ɪ AL ɴ AG ɡ AC a AL
ဟင်းရည်	h AA ɪ AL ɴ AG j AB e AL
ဟင်းသီးဟင်းရွက်	h AA ɪ AL ɴ AG ð AJ i AL h AA ɪ AL ɴ AG j AB w AK ɛ AL ʔ AC
ဟင်္သာ	h AA ɪ AL ɴ AG θ AJ a AL
ဟင်္သာတ	h AA ɪ AL ɴ AG θ AJ ə AL t AC a̰ AL
ဟထိုး	h AA a̰ AL tʰ AD o AM
ဟနူမာန်	h AA ə AL n AG u AM m AF a AL n AG
ဟန်ဂေရီ	h AA a AL ɴ AG ɡ AC e AL ɹ AB i AL
ဟန်နီ	h AA a AL ɴ AG n AG i AL
ဟမ်ဘာဂါ	h AA a AL ɴ AG b AH a AL ɡ AC a AL
ဟယ်လီကော့ပတာ	h AA ɛ AL l AE i AL k AC ɔ̰ AM p AH ə AL t AC a AL
ဟရိဘုဉ္ဇ	h AA ə AL ɹ AB ḭ b AH o AM ʊ AM ɴ AG z AJ a̰ AL
ဟလဝါ	h AA a̰ AL l AE ə AL w AK a AL
ဟာနွိုင်း	h AA a AL n AG w AK a AL ɪ AL ɴ AG
ဟာသ	h AA a AL θ AJ a̰ AL
ဟားခါး	h AA a AL kʰ AD a AL
ဟိတ်	h AA e AL ɪ AL ʔ AC
ဟိန္ဒီ	h AA e AL ɪ AL ɴ AG d AC i AL
ဟိန္ဒူ	h AA e AL ɪ AL ɴ AG d AC u AM
ဟိမဝန္တာ	h AA ḭ m AF a̰ AL w AK ʊ AM ɴ AG t AC a AL
ဟိမာလယ	h AA ḭ m AF a AL l AE ə AL j AB a̰ AL
ဟို	h AA o AM
ဟိုက်ဒရိုဂျင်	h AA a AL ɪ AL ʔ AC d AC ə AL ɹ AB o AM d AC ʑ AJ ɪ AL ɴ AG
ဟိုင်းအီနာ	h AA a AL ɪ AL ɴ AG ʔ AC i AL n AG a AL
ဟိုတယ်	h AA o AM t AC ɛ AL
ဟိုမှာ	h AA o AM m̥ AF a AL
ဟိုဟာ	h AA o AM h AA a AL
ဟီ	h AA i AL
ဟီနယာန	h AA i AL n AG a̰ AL j AB a AL n AG a̰ AL
ဟီလီယမ်	h AA i AL l AE i AL j AB a AL ɴ AG
ဟုတ်	h AA o AM ʊ AM ʔ AC
ဟုတ်ကဲ့	h AA o AM ʊ AM ʔ AC k AC ɛ̰ AL
ဟုတ်တာပေါ့	h AA o AM ʊ AM ʔ AC t AC a AL p AH ɔ̰ AM
ဟူ	h AA u AM
ဟူးရား	h AA u AM j AB a AL
ဟူးဟူး	h AA u AM h AA u AM
ဟေတီ	h AA e AL t AC i AL
ဟေမန္တ	h AA e AL m AF a AL ɴ AG t AC a̰ AL
ဟေမန်	h AA e AL m AF a AL ɴ AG
ဟေမာ	h AA e AL m AF a AL
ဟော	h AA ɔ AM
ဟောက်	h AA a AL ʊ AM ʔ AC
ဟောင်ကောင်	h AA a AL ʊ AM ɴ AG k AC a AL ʊ AM ɴ AG
ဟောင်း	h AA a AL ʊ AM ɴ AG
ဟော်	h AA ɔ AM
ဟော်ကီ	h AA ɔ AM k AC i AL
ဟော်တယ်	h AA ɔ AM t AC ɛ AL
ဟော်လန်	h AA ɔ AM l AE a AL ɴ AG
ဟဲလို	h AA ɛ AL l AE o AM
ဟွန်ဒူးရပ်စ်	h AA ʊ AM ɴ AG d AC u AM ɹ AB a AL ʔ AC s AJ
ဠ	l AE a̰ AL
ဠကြီး	l AE a̰ AL t AC ɕ AJ i AL
အ	ʔ AC a̰ AL
အက	ʔ AC ə AL k AC a̰ AL
အကယ်၍	ʔ AC ə AL k AC ɛ AL j AB w AK ḛ
အကာ	ʔ AC ə AL k AC a AL
အကိတ်	ʔ AC ə AL k AC e AL ɪ AL ʔ AC
အကို	ʔ AC ə AL k AC o AM
အကိုင်း	ʔ AC ə AL k AC a AL ɪ AL ɴ AG
အကုန်	ʔ AC ə AL k AC o AM ʊ AM ɴ AG
အကူ	ʔ AC ə AL k AC u AM
အကောက်	ʔ AC ə AL k AC a AL ʊ AM ʔ AC
အကောက်ဆိပ်	ʔ AC ə AL k AC a AL ʊ AM ʔ AC sʰ BA e AL ɪ AL ʔ AC
အကောင့်	ʔ AC ə AL k AC a̰ AL ʊ AM ɴ AG
အကော်ဒီယံ	ʔ AC ə AL k AC ɔ AM d AC i AL j AB a AL ɴ AG
အက္ခရာ	ʔ AC ɛ AL ʔ AC kʰ AD ə AL j AB a AL
အက်	ʔ AC ɛ AL ʔ AC
အက်စစ်	ʔ AC ɛ AL ʔ AC s AJ ɪ AL ʔ AC
အက်စတိုးနီးယား	ʔ AC ɛ AL ʔ AC s AJ ə AL t AC o AM n AG i AL j AB a AL
အက်တမ်	ʔ AC ɛ AL ʔ AC t AC a AL ɴ AG
အကျဉ်း	ʔ AC ə AL t AC ɕ AJ ɪ AL ɴ AG
အကျဉ်းထောင်	ʔ AC ə AL t AC ɕ AJ ɪ AL ɴ AG d AC a AL ʊ AM ɴ AG
အကျည်း	ʔ AC ə AL t AC ɕ AJ i AL
အကျည်းတန်	ʔ AC ə AL t AC ɕ AJ i AL t AC a AL ɴ AG
အကျယ်	ʔ AC ə AL t AC ɕ AJ ɛ AL
အကျိတ်	ʔ AC ə AL t AC ɕ AJ e AL ɪ AL ʔ AC
အကျိုး	ʔ AC ə AL t AC ɕ AJ o AM
အကျော်	ʔ AC ə AL t AC ɕ AJ ɔ AM
အကျော်ဇေယျ	ʔ AC ə AL t AC ɕ AJ ɔ AM z AJ e AL j AB a̰ AL
အကြမ်းဖက်ဝါဒ	ʔ AC ə AL t AC ɕ AJ a AL ɴ AG pʰ AI ɛ AL ʔ AC w AK a AL d AC a̰ AL
အကြမ်းဖက်သမား	ʔ AC ə AL t AC ɕ AJ a AL ɴ AG pʰ AI ɛ AL ʔ AC θ AJ ə AL m AF a AL
အကြောင်း	ʔ AC ə AL t AC ɕ AJ a AL ʊ AM ɴ AG
အကြော်	ʔ AC a̰ AL t AC ɕ AJ ɔ AM
အကြေး	ʔ AC ə AL t AC ɕ AJ e AL
အကြံ	ʔ AC ə AL t AC ɕ AJ a AL ɴ AG
အကြံပေးချက်	ʔ AC ə AL t AC ɕ AJ a AL ɴ AG p AH e AL d AC ʑ AJ ɛ AL ʔ AC
အကြွေး	ʔ AC ə AL t AC ɕ AJ w AK e AL
အကြွေးဝယ်ကတ်ပြား	ʔ AC ə AL t AC ɕ AJ w AK e AL w AK ɛ AL k AC a AL ʔ AC p AH j AB a AL
အကွ	ʔ AC ə AL k AC w AK a̰ AL
အကွာအဝေး	ʔ AC ə AL k AC w AK a AL ʔ AC ə AL w AK e AL
အခန်း	ʔ AC ə AL kʰ AD a AL ɴ AG
အခမဲ့	ʔ AC ə AL kʰ AD a̰ AL m AF ɛ̰ AL
အခါတစ်ပါး	ʔ AC ə AL kʰ AD a AL d AC ə AL b AH a AL
အခိုး	ʔ AC ə AL kʰ AD o AM
အခု	ʔ AC ə AL kʰ AD ṵ
အခေါက်	ʔ AC ə AL kʰ AD a AL ʊ AM ʔ AC
အချက်	ʔ AC ə AL t AC ɕʰ BA ɛ AL ʔ AC
အချင်း	ʔ AC ə AL t AC ɕʰ BA ɪ AL ɴ AG
အချင်းဝက်	ʔ AC ə AL t AC ɕʰ BA ɪ AL ɴ AG w AK ɛ AL ʔ AC
အချစ်	ʔ AC ə AL t AC ɕʰ BA ɪ AL ʔ AC
အချပ်	ʔ AC ə AL t AC ɕʰ BA a AL ʔ AC
အချိတ်	ʔ AC ə AL t AC ɕʰ BA e AL ɪ AL ʔ AC
အချိန်	ʔ AC ə AL t AC ɕʰ BA e AL ɪ AL ɴ AG
အချိန်စာရင်း	ʔ AC ə AL t AC ɕʰ BA e AL ɪ AL ɴ AG s AJ ə AL j AB ɪ AL ɴ AG
အချို	ʔ AC ə AL t AC ɕʰ BA o AM
အချိုပွဲ	ʔ AC ə AL t AC ɕʰ BA o AM b AH w AK ɛ AL
အချိုမှုန့်	ʔ AC ə AL t AC ɕʰ BA o AM m̥ AF o̰ AM ʊ AM ɴ AG
အချို့	ʔ AC ə AL t AC ɕʰ BA o̰ AM
အချိုး	ʔ AC ə AL t AC ɕʰ BA o AM
အချုပ်ခန်း	ʔ AC ə AL t AC ɕʰ BA o AM ʊ AM ʔ AC kʰ AD a AL ɴ AG
အချုပ်အခြာအာဏာ	ʔ AC ə AL t AC ɕʰ BA o AM ʊ AM ʔ AC ʔ AC ə AL t AC ɕʰ BA a AL ʔ AC a AL n AG a AL
အချွဲ	ʔ AC ə AL t AC ɕʰ BA w AK ɛ AL
အခြား	ʔ AC ə AL t AC ɕʰ BA a AL
အခြေ	ʔ AC ə AL t AC ɕʰ BA e AL
အခြောက်	ʔ AC ə AL t AC ɕʰ BA a AL ʊ AM ʔ AC
အခွင့်	ʔ AC ə AL kʰ AD w AK ɪ̰ AL ɴ AG
အခွင့်ထူးခံ	ʔ AC ə AL kʰ AD w AK ɪ̰ AL ɴ AG tʰ AD u AM ɡ AC a AL ɴ AG
အခွင့်အရေး	ʔ AC ə AL kʰ AD w AK ɪ̰ AL ɴ AG ʔ AC ə AL j AB e AL
အခွန်	ʔ AC ə AL kʰ AD ʊ AM ɴ AG
အခွံ	ʔ AC ə AL kʰ AD ʊ AM ɴ AG
အခွံမာသီး	ʔ AC ə AL kʰ AD ʊ AM ɴ AG m AF a AL ð AJ i AL
အဂတိ	ʔ AC a̰ AL ɡ AC ə AL d AC ḭ
အဂ္ဂမဟာပဏ္ဍိတ	ʔ AC ɛ AL ʔ AC ɡ AC a̰ AL m AF ə AL h AA a AL p AH a AL ɴ AG d AC ḭ t AC a̰ AL
အဂ္ဂမဟာသေနာပတိ	ʔ AC ɛ AL ʔ AC ɡ AC a̰ AL m AF ə AL h AA a AL θ AJ e AL n AG a AL p AH ə AL t AC ḭ
အဂ္ဂမဟေသီ	ʔ AC ɛ AL ʔ AC ɡ AC a̰ AL m AF ə AL h AA e AL θ AJ i AL
အငတ်	ʔ AC ə AL ŋ AG a AL ʔ AC
အင်ဂိုလာ	ʔ AC ɪ AL ɴ AG ɡ AC o AM l AE a AL
အင်ဂျင်	ʔ AC ɪ AL ɴ AG d AC ʑ AJ ɪ AL ɴ AG
အင်ဂျင်နီယာ	ʔ AC ɪ AL ɴ AG d AC ʑ AJ ɪ AL ɴ AG n AG i AL j AB a AL
အင်တာနက်	ʔ AC ɪ AL ɴ AG t AC a AL n AG ɛ AL ʔ AC
အင်တာဗျူး	ʔ AC ɪ AL ɴ AG t AC ə AL b AH j AB u AM
အင်ဒိုချိုင်းနား	ʔ AC ɪ AL ɴ AG d AC o AM t AC ɕʰ BA a AL ɪ AL ɴ AG n AG a AL
အင်ဒိုနီးရှား	ʔ AC ɪ AL ɴ AG d AC o AM n AG i AL ʃ AJ a AL
အင်ဒိုရာ	ʔ AC ɪ AL ɴ AG d AC o AM ɹ AB a AL
အင်ပါယာ	ʔ AC ɪ AL ɴ AG p AH a AL j AB a AL
အင်း	ʔ AC ɪ AL ɴ AG
အင်းကျီ	ʔ AC ɪ AL ɴ AG d AC ʑ AJ i AL
အင်းစိန်	ʔ AC ɪ AL ɴ AG s AJ e AL ɪ AL ɴ AG
အင်းဆက်	ʔ AC ɪ AL ɴ AG sʰ BA ɛ AL ʔ AC
အင်းဝ	ʔ AC ɪ AL ɴ AG w AK a̰ AL
အင်းသား	ʔ AC ɪ AL ɴ AG ð AJ a AL
အင်္ကျီ	ʔ AC ɪ AL ɴ AG d AC ʑ AJ i AL
အင်္ဂတေ	ʔ AC ɪ AL ɴ AG ɡ AC ə AL d AC e AL
အင်္ဂလန်	ʔ AC ɪ AL ɴ AG ɡ AC ə AL l AE a AL ɴ AG
အင်္ဂလိပ်	ʔ AC ɪ AL ɴ AG ɡ AC ə AL l AE e AL ɪ AL ʔ AC
အင်္ဂါ	ʔ AC ɪ AL ɴ AG ɡ AC a AL
အင်္ဂါဇာတ်	ʔ AC ɪ AL ɴ AG ɡ AC a AL z AJ a AL ʔ AC
အငြိမ့်	ʔ AC ə AL ɲ AG ḛ ɪ AL ɴ AG
အငြိမ့်တီးမျိုး	ʔ AC a̰ AL ɲ AG ḛ ɪ AL ɴ AG t AC i AL m AF j AB o AM
အငွေ့	ʔ AC a̰ AL ŋ AG w AK ḛ
အစ	ʔ AC ə AL s AJ a̰ AL
အစက်	ʔ AC ə AL s AJ ɛ AL ʔ AC
အစဉ်	ʔ AC ə AL s AJ ɪ AL ɴ AG
အစည်းအရုံး	ʔ AC ə AL s AJ i AL ʔ AC ə AL j AB o AM ʊ AM ɴ AG
အစည်းအဝေး	ʔ AC ə AL s AJ i AL ʔ AC ə AL w AK e AL
အစမ်း	ʔ AC ə AL s AJ a AL ɴ AG
အစား	ʔ AC ə AL s AJ a AL
အစားအစာ	ʔ AC ə AL s AJ a AL ʔ AC ə AL s AJ a AL
အစိမ်း	ʔ AC ə AL s AJ e AL ɪ AL ɴ AG
အစိုးရ	ʔ AC ə AL s AJ o AM j AB a̰ AL
အစီရင်	ʔ AC ə AL s AJ i AL j AB ɪ AL ɴ AG
အစီရင်ခံ	ʔ AC ə AL s AJ i AL j AB ɪ AL ɴ AG kʰ AD a AL ɴ AG
အစီရင်ခံစာ	ʔ AC ə AL s AJ i AL j AB ɪ AL ɴ AG kʰ AD a AL ɴ AG z AJ a AL
အစီအစဉ်	ʔ AC ə AL s AJ i AL ʔ AC ə AL s AJ ɪ AL ɴ AG
အစီအလျဉ်	ʔ AC ə AL s AJ i AL ʔ AC ə AL l AE j AB ɪ AL ɴ AG
အစု	ʔ AC ə AL s AJ ṵ
အစုရှင်	ʔ AC ə AL s AJ ṵ ʃ AJ ɪ AL ɴ AG
အစုံအစုံ	ʔ AC ə AL s AJ o AM ʊ AM ɴ AG ʔ AC ə AL s AJ o AM ʊ AM ɴ AG
အစေအပါး	ʔ AC ə AL s AJ e AL ʔ AC ə AL p AH a AL
အစောင့်	ʔ AC ə AL s AJ a̰ AL ʊ AM ɴ AG
အစေ့	ʔ AC ə AL s AJ ḭ
အစ္စရေး	ʔ AC ɪ AL ʔ AC z AJ ə AL ɹ AB e AL
အစ္စလမ်	ʔ AC ɪ AL ʔ AC s AJ ə AL l AE a AL ɴ AG
