't	t
malibiran	m a AD l i AD b i AD ɾ a AD n
malicsi	m a AD l i AD k s i AD
maligaw	m a AD l i AD ɡ a AD u AF
malihan	m a AD l i AD h AA a AD n
malikhain	m a AD l i AD k h AA a AD ʔ i AD n
maliksi	m a AD l i AD k s i AD
malilom	m a AD l i AD l o AF m
malimit	m a AD l i AD m i AD t
mallare	m a AD l l a AD ɾ ɛ AD
mallorca	m a AD l l o AF ɾ k a AD
malubak	m a AD l u AF b a AD k
malusog	m a AD l u AF s o AF ɡ
maluwat	m a AD l u AF w AC a AD t
mama	m a AD m a AD ʔ
mamagitan	m a AD m a AD ɡ i AD t a AD n
mamahagi	m a AD m a AD h AA a AD ɡ i AD ʔ
mamakyaw	m a AD m a AD k j AB a AD u AF
mamanhikan	m a AD m a AD n h AA i AD k a AD n
mamaril	m a AD m a AD ɾ i AD l
mamasada	m a AD m a AD s a AD d a AD
mamasura	m a AD m a AD s u AF ɾ a AD
mamatay	m a AD m a AD t a AD j AB
mambabae	m a AD m b a AD b a AD ʔ ɛ AD
mambola	m a AD m b o AF l a AD
mamboso	m a AD m b o AF s o AF
mambugaw	m a AD m b u AF ɡ a AD u AF
mambuwisit	m a AD m b u AF i AD s i AD t
mamigay	m a AD m i AD ɡ a AD i AD
mamihasa	m a AD m i AD h AA a AD s a AD ʔ
mamilis	m a AD m i AD l i AD s
mamimili	m a AD m i AD m i AD l i AD
mamintog	m a AD m i AD n t o AF ɡ
mamuhunan	m a AD m u AF h AA u AF n a AD n
mamulaklak	m a AD m u AF l a AD k l a AD k
mamuti	m a AD m u AF t i AD ʔ
mamuyac	m a AD m u AF j AB a AD k
man	m a AD n
mana	m a AD n a AD
manabat	m a AD n a AD b a AD t
manabunot	m a AD n a AD b u AF n o AF t
managinip	m a AD n a AD ɡ i AD n i AD p
manakit	m a AD n a AD k i AD t
manalad	m a AD n a AD l a AD d
manalo	m a AD n a AD l o AF
manaloto	m a AD n a AD l o AF t o AF
manamantala	m a AD n a AD m a AD n t a AD l a AD
mananahi	m a AD n a AD n a AD h AA i AD ʔ
manananggal	m a AD n a AD n a AD ŋ ɡ a AD l
manangan	m a AD n a AD ŋ a AD n
mananghalian	m a AD n a AD ŋ h AA a AD l i AD ʔ a AD n
mananquil	m a AD n a AD n k i AD l
manantan	m a AD n a AD n t a AD n
manaog	m a AD n a AD o AF ɡ
manaois	m a AD n a AD o AF i AD s
manarang	m a AD n a AD ɾ a AD ŋ
manatad	m a AD n a AD t a AD d
mancao	m a AD ŋ k a AD u AF
mandaragat	m a AD n d a AD ɾ a AD ɡ a AD t
mandirigma	m a AD n d i AD ɾ i AD ɡ m a AD ʔ
mandocdoc	m a AD n d o AF k d o AF k
mandukot	m a AD n d u AF k o AF t
mandurukot	m a AD n d u AF ɾ u AF k o AF t
mangagat	m a AD ŋ a AD ɡ a AD t
mangailangan	m a AD ŋ a AD ʔ i AD l a AD ŋ a AD n
mangalunya	m a AD ŋ a AD l u AF n j AB a AD ʔ
mangamba	m a AD ŋ a AD m b a AD
mangamote	m a AD ŋ a AD m o AF t ɛ AD
manganak	m a AD ŋ a AD n a AD k
mangaoang	m a AD ŋ a AD w AC a AD ŋ
mangaway	m a AD ŋ a AD w AC a AD i AD
manggagantso	m a AD ŋ ɡ a AD ɡ a AD n t ʃ o AF
manggantso	m a AD ŋ ɡ a AD n t ʃ o AF
manggas	m a AD ŋ ɡ a AD s
manggulo	m a AD ŋ ɡ u AF l o AF
manghawa	m a AD ŋ h AA a AD w AC a AD
manghimasok	m a AD ŋ h AA i AD m a AD s o AF k
manghuhula	m a AD ŋ h AA u AF h AA u AF l a AD ʔ
manghula	m a AD ŋ h AA u AF l a AD ʔ
manghusga	m a AD ŋ h AA u AF s ɡ a AD
mangikil	m a AD ŋ i AD k i AD l
mangilit	m a AD ŋ i AD l i AD t
mangingisda	m a AD ŋ i AD ŋ i AD s d a AD ʔ
mangisay	m a AD ŋ i AD s a AD i AD
mangisda	m a AD ŋ i AD s d a AD ʔ
mangitlog	m a AD ŋ i AD t l o AF ɡ
mangkok	m a AD ŋ k o AF k
manglicmot	m a AD ŋ l i AD k m o AF t
mangoba	m a AD ŋ o AF b a AD
mangopya	m a AD ŋ o AF p j AB a AD
mangubra	m a AD ŋ u AF b ɾ a AD
manguha	m a AD ŋ u AF h AA a AD
manguiat	m a AD ŋ i AD a AD t
mangulabnan	m a AD ŋ u AF l a AD b n a AD n
mangulangot	m a AD ŋ u AF l a AD ŋ o AF t
mangupit	m a AD ŋ u AF p i AD t
mangwika	m a AD ŋ w AC i AD k a AD ʔ
mangyari	m a AD ŋ j AB a AD ɾ i AD
manhid	m a AD n h AA i AD d
maniago	m a AD n i AD a AD ɡ o AF
maniego	m a AD n j AB ɛ AD ɡ o AF
manilaw	m a AD n i AD l a AD u AF
manilip	m a AD n i AD l i AD p
manindigan	m a AD n i AD n d i AD ɡ a AD n
maniquiz	m a AD n i AD k i AD s
manlaban	m a AD n l a AD b a AD n
manlait	m a AD n l a AD ʔ i AD t
manlangit	m a AD n l a AD ŋ i AD t
manlapaz	m a AD n l a AD p a AD s
manlapig	m a AD n l a AD p i AD ɡ
manlililok	m a AD n l i AD l i AD l o AF k
manloko	m a AD n l o AF k o AF
manlutac	m a AD n l u AF t a AD k
manood	m a AD n o AF o AF d
manoy	m a AD n o AF j AB
manrique	m a AD n ɾ i AD k ɛ AD
mansiyon	m a AD n s j AB o AF n
mansusugnay	m a AD n s u AF s u AF ɡ n a AD j AB
mantika	m a AD n t i AD k a AD ʔ
manuhol	m a AD n u AF h AA o AF l
manuntok	m a AD n u AF n t o AF k
mapagkawanggawa	m a AD p a AD ɡ k a AD w AC a AD ŋ ɡ a AD w AC a AD ʔ
mapagmatyag	m a AD p a AD ɡ m a AD t j AB a AD ɡ
mapagsamantala	m a AD p a AD ɡ s a AD m a AD n t a AD l a AD
mapahiya	m a AD p a AD h AA i AD j AB a AD ʔ
mapalad	m a AD p a AD l a AD d
mapanghusga	m a AD p a AD ŋ h AA u AF s ɡ a AD
mapangutya	m a AD p a AD ŋ u AF t j AB a AD ʔ
mapaniil	m a AD p a AD n i AD i AD l
mapatay	m a AD p a AD t a AD j AB
mapua	m ɐ AF p ʊ AF w AC a AD
mapusyaw	m ɐ AF p ʊ AF s j AB ɐ AF u AF
maputik	m a AD p u AF t i AD k
maralit	m a AD ɾ a AD l i AD t
marapao	m a AD ɾ a AD p a AD o AF
maravilla	m a AD ɾ a AD b i AD l l a AD
marbella	m a AD ɾ b ɛ AD l l a AD
marcial	m a AD ɾ s j AB a AD l
marikit	m a AD ɾ i AD k i AD t
maristela	m a AD ɾ i AD s t ɛ AD l a AD
mariñas	m a AD ɾ i AD ɲ a AD s
marquez	m a AD ɾ k ɛ AD s
marquinez	m a AD ɾ k i AD n ɛ AD s
marso	m a AD ɾ s o AF
marupok	m a AD ɾ u AF p o AF k
masabon	m a AD s a AD b o AF n
masaker	m a AD s a AD k ɛ AD ɾ
masakit	m a AD s a AD k i AD t
masaktan	m a AD s a AD k t a AD n
masamain	m a AD s a AD m a AD i AD n
masamid	m a AD s a AD m i AD d
masangcay	m a AD s a AD ŋ k a AD i AD
masangkay	m a AD s a AD ŋ k a AD i AD
masaya	m a AD s a AD j AB a AD
maselan	m a AD s ɛ AD l a AD n
masikhay	m a AD s i AD k h AA a AD j AB
masikip	m a AD s i AD k i AD p
masipag	m a AD s i AD p a AD ɡ
maski	m a AD s k i AD
masukal	m a AD s u AF k a AD l
masurot	m a AD s u AF ɾ o AF t
mataasnakahoy	m a AD t a AD ʔ a AD s n a AD k a AD h AA o AF i AD
matae	m a AD t a AD ʔ ɛ AD
matalino	m a AD t a AD l i AD n o AF
matalo	m a AD t a AD l o AF
matapang	m a AD t a AD p a AD ŋ
matapon	m a AD t a AD p o AF n
matatakutin	m a AD t a AD t a AD k u AF t i AD n
matauhan	m a AD t a AD ʔ u AF h AA a AD n
matibag	m a AD t i AD b a AD ɡ
matigas	m a AD t i AD ɡ a AD s
matisod	m a AD t i AD s o AF d
matrapik	m a AD t ɾ a AD p i AD k
matris	m a AD t ɾ i AD s
matso	m ɑ AD t ʃ o AF
matulin	m a AD t u AF l i AD n
matulog	m a AD t u AF l o AF ɡ
matwiran	m a AD t w AC i AD ɾ a AD n
maulanan	m a AD u AF l a AD n a AD n
mauleon	m a AD u AF l ɛ AD o AF n
maunahan	m a AD u AF n a AD h AA a AD n
mawo	m a AD w AC o AF ʔ
maya	m a AD j AB a AD
maybahay	m a AD i AD b a AD h AA a AD i AD
maynila	m a AD j AB n i AD l a AD ʔ
mayuga	m a AD j AB u AF ɡ a AD
mañago	m a AD ɲ a AD ɡ o AF
mañalac	m a AD ɲ a AD l a AD k
medalya	m ɛ AD d a AD l j AB a AD
medrano	m ɛ AD d ɾ a AD n o AF
medyor	m ɛ AD d ʒ o AF ɾ
melegrito	m ɛ AD l ɛ AD ɡ ɾ i AD t o AF
menchavez	m ɛ AD n t ʃ a AD b ɛ AD s
menorca	m ɛ AD n o AF ɾ k a AD
mensahe	m ɛ AD n s a AD h AA ɛ AD
merienda	m ɛ AD ɾ j AB ɛ AD n d a AD
meryenda	m ɛ AD ɾ j AB ɛ AD n d a AD
mesa	m ɛ AD s a AD
mga	m ɐ AF ŋ a AD
michelena	m i AD t ʃ ɛ AD l ɛ AD n a AD
mijares	m i AD d ʒ a AD ɾ ɛ AD s
miksipat	m i AD k s i AD p a AD t
militante	m i AD l i AD t a AD n t ɛ AD
minviluz	m i AD n b i AD l u AF s
miranda	m i AD ɾ a AD n d a AD
misay	m i AD s a AD j AB
mismo	m ɪ AD s m ɔ AF
misteryo	m i AD s t ɛ AD ɾ j AB o AF
mitsa	m i AD t ʃ a AD
miyentras	m i AD j AB e AD n t r a AD s
mo	m o AF
mohon	m o AF h AA o AF n
mondragon	m o AF n d ɾ a AD ɡ o AF n
mongol	m o AF ŋ ɡ o AF l
monte	m o AF n t ɛ AD
montealegre	m o AF n t ɛ AD a AD l ɛ AD ɡ ɾ ɛ AD
montecalvo	m o AF n t ɛ AD k a AD l b o AF
montejo	ʔ a AD l k a AD i AD d ɛ AD
montillano	m o AF n t i AD l l a AD n o AF
montinola	m o AF n t i AD n o AF l a AD
montojo	m o AF n t o AF d ʒ o AF
montoya	m o AF n t o AF j AB a AD
morato	m o AF ɾ a AD t o AF
motorsiklo	m o AF t o AF ɾ s i AD k l o AF
mukha	m u AF k h AA a AD ʔ
mulasik	m u AF l a AD s i AD k
mulinsigla	m u AF l i AD n s i AD ɡ l a AD
mulinyari	m u AF l i AD n j AB a AD ɾ i AD ʔ
mulkaphay	m u AF l k a AD p h AA a AD j AB
mulpikan	m u AF l p i AD k a AD n
multa	m u AF l t a AD
mumshie	m a AD m ʃ i AD
munggo	m u AF ŋ ɡ o AF
mura	m u AF ɾ a AD
musika	m u AF s i AD k a AD
musoleyo	m u AF s o AF l ɛ AD j AB o AF
musta	m u AF s t a AD
muta	m u AF t a AD ʔ
mutha	m u AF t h AA a AD ʔ
mutuc	m u AF t u AF k
muwebles	m w AC ɛ AD b l ɛ AD s
na	n a AD
na'ng	n ɐ AF ŋ
nacpil	n a AD k p i AD l
nagbabaon	n a AD ɡ b a AD b a AD ʔ o AF n
nagbaon	n a AD ɡ b a AD ʔ o AF n
nagwas	n a AD ɡ w AC ɐ AF s
nakakaalarma	n a AD k a AD k a AD a AD l a AD ɾ m a AD
nakakabingi	n a AD k a AD k a AD b i AD ŋ i AD
nakakabobo	n ɐ AF k a AD k ɐ AF b ɔ AF b ɔ AF
nakakabuwisit	n a AD k a AD k a AD b w AC i AD s i AD t
nakakabwisit	n a AD k a AD k a AD b w AC i AD s i AD t
nakakahawa	n a AD k a AD k a AD h AA a AD w AC a AD
nakakaintriga	n a AD k a AD k a AD ʔ i AD n t ɾ i AD ɡ a AD
nakakaloko	n a AD k a AD k a AD l o AF k o AF
nakakapagpabagabag	n a AD k a AD k a AD p a AD ɡ p a AD b a AD ɡ a AD b a AD ɡ
nakakatakot	n a AD k a AD k a AD t a AD k o AF t
nakamulaga	n a AD k a AD m u AF l a AD ɡ a AD ʔ
nakawin	n a AD k a AD w AC i AD n
nakayukyok	n a AD k a AD j AB u AF k j AB o AF k
nakpil	n a AD k p i AD l
naman	n a AD m a AD n
namin	n aː AE m ɪ AD n
nang	n ɐ AF ŋ
nanlilimahid	n a AD n l i AD l i AD m a AD h AA i AD d
napnap	n a AD p n a AD p
narvaez	n a AD ɾ b a AD ɛ AD s
natae	n a AD t a AD ʔ ɛ AD
natin	n a AD t ɛ AD n
navoa	n a AD b o AF a AD
nene	n ɛ AD n ɛ AD ʔ
ng	n ɐ AF ŋ
nga	ŋ a AD ʔ
ngalan	ŋ a AD l a AD n
nganga	ŋ a AD ŋ a AD ʔ
ngayon	ŋ a AD j AB o AF n
ngimay	ŋ i AD m a AD i AD
ngo	ŋ o AF
ngumiti	ŋ u AF m i AD t i AD ʔ
ngumuya	ŋ u AF m u AF j AB a AD ʔ
nguso	ŋ u AF s o AF ʔ
nguya	ŋ u AF j AB a AD ʔ
ni	n iː AE
nicdao	n i AD k d a AD o AF
nietes	n j AB ɛ AD t ɛ AD s
niknik	n i AD k n i AD k
nila	n i AD l a AD
nilabhan	n i AD l a AD b h AA a AD n
ninang	n i AD n a AD ŋ
nino	n i AD n o AF
ninyo	n i AD n j AB o AF
nito	n i AD t o AF
nitroheno	n i AD t r o AF h AA e AD n o AF
niya	ɲ a AD
niyo	n i AD o AF
niyon	n u AF n
nobela	n o AF b ɛ AD l a AD
nobleza	n o AF b l ɛ AD s a AD
nolasco	n o AF l a AD s k o AF
noriega	n o AF ɾ j AB ɛ AD ɡ a AD
notarte	n o AF t a AD ɾ t ɛ AD
novero	n o AF b ɛ AD ɾ o AF
nuevo	n u AF ɛ AD b o AF
numero	n u AF m ɛ AD ɾ ɔ AF
o	ɔː AG
obligacion	ʔ o AF b l i AD ɡ a AD s j AB o AF n
obrero	ʔ o AF b ɾ ɛ AD ɾ o AF
ocampo	ʔ o AF k a AD m p o AF
oksiheno	o AF k s i AD h AA e AD n o AF
olaguer	ʔ o AF l a AD ɡ ɛ AD ɾ
olaivar	ʔ o AF l a AD i AD b a AD ɾ
olalia	ʔ o AF l a AD l i AD a AD
olayvar	ʔ o AF l a AD i AD b a AD ɾ
oliva	ʔ o AF l i AD b a AD
olivares	ʔ o AF l i AD b a AD ɾ ɛ AD s
oliveros	ʔ o AF l i AD b ɛ AD ɾ o AF s
olmedo	ʔ o AF l m ɛ AD d o AF
ong	ɔ AF ŋ
ongkiko	ʔ o AF ŋ k i AD k o AF
oo	oː AG ʔ o AF
opeña	ʔ o AF p ɛ AD ɲ a AD
opisyales	ʔ o AF p i AD s j AB a AD l ɛ AD s
opyum	ʔ o AF p j AB u AF m
oracion	ʔ o AF ɾ a AD s j AB o AF n
orasan	o AF r a AD s a AD n
orendain	ʔ o AF ɾ ɛ AD n d a AD i AD n
orense	ʔ o AF ɾ ɛ AD n s ɛ AD
oribello	ʔ o AF ɾ i AD b ɛ AD l l o AF
paalam	p ɐ AF ʔ ɐ AF l a AD m
paano	p a AD ʔ a AD n o AF
paaralan	p a AD a AD ɾ ɐ AF l a AD n
pabalikin	p a AD b a AD l i AD k i AD n
pabebe	p a AD b ɛ AD b ɛ AD
pabiyay	p a AD b i AD j AB a AD j AB
pabor	p a AD b o AF ɾ
paborito	p a AD b o AF ɾ a AD b l ɛ AD
pabuksan	p a AD b u AF k s a AD n
pabuya	p a AD b u AF j AB a AD ʔ
pacana	p a AD k a AD n a AD
pacaña	p a AD k a AD ɲ a AD
padaanin	p a AD d a AD a AD n i AD n
padaliin	p a AD d a AD l i AD i AD n
pader	p a AD d ɛ AD ɾ
pagala	p a AD ɡ a AD l a AD ʔ
pagalingin	p a AD ɡ a AD l i AD ŋ i AD n
pagbabalik	p a AD ɡ b a AD b a AD l i AD k
pagbasehan	p a AD ɡ b a AD s ɛ AD h AA a AD n
pagbati	p a AD ɡ b a AD t i AD ʔ
pagbubuntis	p a AD ɡ b u AF b u AF n t i AD s
pagcaliwagan	p a AD ɡ k a AD l i AD w AC a AD ɡ a AD n
pagdaan	p a AD ɡ d a AD a AD n
pagdila	p a AD ɡ d i AD l a AD ʔ
pagdilao	p a AD ɡ d i AD l a AD u AF
paggiba	p a AD ɡ ɡ i AD b a AD ʔ
paghigantihan	p a AD ɡ h AA i AD ɡ a AD n t i AD h AA a AD n
paghuyad	p a AD ɡ h AA u AF j AB a AD d
pagi	p a AD ɡ i AD
pagitan	p a AD ɡ i AD t a AD n
pagkaigkasin	p a AD ɡ k a AD ʔ i AD ɡ k a AD s i AD n
pagkakaibigan	p a AD ɡ k a AD k a AD i AD b i AD ɡ a AD n
pagkakasakit	p a AD ɡ k a AD k a AD s a AD k i AD t
pagkakataon	p a AD ɡ k a AD k a AD t a AD ʔ o AF n
pagkamakabagunsakupin	p a AD ɡ k a AD m a AD k a AD b a AD ɡ u AF n s a AD k u AF p i AD n
pagkamakagahum	p a AD ɡ k a AD m a AD k a AD ɡ a AD h AA u AF m
pagkawakaak	p a AD ɡ k a AD w AC a AD k a AD ʔ a AD k
pagmamadali	p a AD ɡ m a AD m a AD d a AD l i AD ʔ
pagnanakaw	p a AD ɡ n a AD n a AD k a AD u AF
pagsamantalahan	p a AD ɡ s a AD m a AD n t a AD l a AD h AA a AD n
pagsanjan	p a AD ɡ s a AD n h AA a AD n
pagsuway	p a AD ɡ s u AF a AD i AD
pagtaban	p a AD ɡ t a AD b a AD n
pagtakhan	p a AD ɡ t a AD k h AA a AD n
pagtripan	p a AD ɡ t ɾ i AD p a AD n
pagtutulungan	p a AD ɡ t u AF t u AF l u AF ŋ a AD n
paguia	p a AD ɡ j AB a AD
paguio	p a AD ɡ j AB o AF
pagwawaliwali	p a AD ɡ w AC a AD l i AD w AC a AD l i AD
pagwawasak	p a AD ɡ w AC a AD w AC a AD s a AD k
pagwitwit	p a AD ɡ w AC i AD t w AC i AD t
pagwiwisik	p a AD ɡ w AC i AD w AC i AD s i AD k
pagyukyok	p a AD ɡ j AB u AF k j AB o AF k
pahayagan	p aː AE h AA a AD i AD a AD ɡ a AD n
pahilaga	p a AD h AA i AD l a AD ɡ a AD ʔ
pahina	p a AD h AA i AD n a AD
pahinarya	p ɐ AF h AA i AD n a AD r j AB ɐ AF
pahintulot	p a AD h AA i AD n t u AF l o AF t
pahiyain	p a AD h AA i AD a AD ʔ i AD n
painitin	p a AD ʔ i AD n i AD t i AD n
pajares	p a AD d ʒ a AD ɾ ɛ AD s
pakialam	p a AD k ɛ AD ɐ AF l a AD m
pakialamero	p a AD k i AD ʔ a AD l a AD m e AD ɾ o AF
pakid	p a AD k i AD d
pakikipagtalik	p a AD k i AD k i AD p a AD ɡ t a AD l i AD k
pakiwani	p a AD k i AD w AC a AD n i AD
pakla	p a AD k l a AD
pakulo	p a AD k u AF l o AF ʔ
pakwan	p a AD k w AC a AD n
palacol	p a AD l a AD k o AF l
paladutaan	p a AD l a AD d u AF t a AD ʔ a AD n
palafox	p a AD l a AD p o AF k s
palagyan	p a AD l a AD ɡ j AB a AD n
palahaw	p a AD l a AD h AA a AD u AF
palakol	p a AD l a AD k o AF l
palamakatauhan	p a AD l a AD m a AD k a AD t a AD ʔ u AF h AA a AD n
palamigin	p a AD l a AD m i AD ɡ i AD n
palamuhayan	p a AD l a AD m u AF h AA a AD j AB a AD n
palamuti	p a AD l a AD m u AF t i AD ʔ
palasihayan	p a AD l a AD s i AD h AA a AD j AB a AD n
palasihayanan	p a AD l a AD s i AD h AA a AD j AB a AD n a AD n
palaspas	p a AD l a AD s p a AD s
palatatagnan	p a AD l a AD t a AD t a AD ɡ n a AD n
palatumbasan	p a AD l a AD t u AF m b a AD s a AD n
palaulatan	p a AD l ɐ AF ʔ u AF l ɐ AF t a AD n
palay	p a AD l a AD j AB
palayan	p a AD l a AD j AB a AD n
palayasin	p a AD l a AD j AB a AD s i AD n
palima	p a AD l i AD m a AD
paliparan	p ɐ AF l ɪ AD p ɐ AF ɾ a AD n
palisoc	p a AD l i AD s o AF k
palit	p a AD l i AD t
palitada	p a AD l i AD t a AD d a AD
palitadahan	p a AD l i AD t a AD d a AD h AA a AD n
palitan	p a AD l i AD t a AD n
palo	p a AD l o AF ʔ
palomares	p a AD l o AF m a AD ɾ ɛ AD s
palos	p a AD l ɔ AF s
pamabat	p a AD m a AD b a AD t
pamahalaan	p a AD m a AD h AA a AD l a AD ʔ a AD n
pamalo	p a AD m a AD l o AF ʔ
pamamanhikan	p a AD m a AD m a AD n h AA i AD k a AD n
pamamaril	p a AD m a AD m a AD ɾ i AD l
pamaypay	p a AD m a AD i AD p a AD i AD
pamimilosopo	p a AD m i AD m i AD l o AF s o AF p o AF
paminta	p a AD m i AD n t a AD
pamintuan	p a AD m i AD n t u AF a AD n
pan	p a AD n
panahon	p a AD n a AD h AA o AF n
panalangin	p a AD n a AD l a AD ŋ i AD n
panalo	p a AD n a AD l o AF
pananabotahe	p a AD n a AD n a AD b o AF t a AD h AA ɛ AD
pananagutan	p a AD n a AD n a AD ɡ u AF t a AD n
pandemya	p a AD n d ɛ AD m j AB a AD
pandiwa	p a AD n d i AD w AC a AD ʔ
panelo	p a AD n ɛ AD l o AF
pang	p a AD ŋ
pangalan	p a AD ŋ a AD l a AD n
panghimasukan	p a AD ŋ h AA i AD m a AD s u AF k a AD n
pangit	p a AD ŋ i AD t
pangngalan	p a AD ŋ ŋ a AD l a AD n
pangungusap	p a AD ŋ u AF ŋ u AF s a AD p
pangwilig	p a AD ŋ w AC i AD l i AD ɡ
panibughuin	p a AD n i AD b u AF ɡ h AA u AF ʔ i AD n
panilan	p a AD n i AD l a AD n
paninigarilyo	p a AD n i AD n i AD ɡ a AD ɾ i AD l j AB o AF
panitikan	p a AD n i AD t i AD k a AD n
panlaqui	p a AD n l a AD k i AD
pansamantala	p a AD n s a AD m a AD n t a AD l a AD
pantas	p a AD n t a AD s
pantig	p a AD n t i AD ɡ
panukala	p a AD n u AF k a AD l a AD ʔ
paos	p a AD ʔ o AF s
papel	p a AD p e AD l
para	p aː AE ɾ a AD
paraan	p a AD ɾ a AD ʔ a AD n
parada	p a AD ɾ a AD d a AD
paragas	p a AD ɾ a AD ɡ a AD s
parayno	p a AD ɾ a AD i AD n o AF
pareño	p a AD ɾ ɛ AD ɲ o AF
pari	p a AD ɾ i AD ʔ
parihaba	p ɐ AF r i AD h AA a AD b a AD ʔ
parilla	p a AD ɾ i AD l l a AD
pariugat	p ɐ AF ɾ ɪ AD ʔ u AF ɡ a AD t
parreño	p a AD ɾ ɛ AD ɲ o AF
parusa	p a AD ɾ u AF s a AD
pasabugin	p a AD s a AD b u AF ɡ i AD n
pasaway	p a AD s a AD w AC a AD i AD
pasensya	p a AD s ɛ AD n ɕ a AD
pasiya	p a AD s j AB a AD
paskil	p ɐ AF s k i AD l
pasko	p a AD s k o AF
paskuwa	p a AD s k u AF a AD
pasok	p aː AE s ɔ AF k
pasugalan	p a AD s u AF ɡ a AD l a AD n
pasukan	p a AD s u AF k a AD n
pasukin	p a AD s u AF k i AD n
pasulo	p a AD s u AF l o AF
patahian	p a AD t a AD h AA i AD ʔ a AD n
patakbuhin	p a AD t a AD k b u AF h AA i AD n
patalastas	p a AD t a AD l a AD s t a AD s
patawanin	p a AD t a AD w AC a AD n i AD n
patay	p a AD t a AD ɪ AD
patda	p a AD t d a AD
patiag	p a AD t j AB a AD ɡ
patidyugto	p a AD t i AD d j AB u AF ɡ t o AF ʔ
patimog	p a AD t i AD m o AF ɡ
patiño	p a AD t i AD ɲ o AF
patnubay	p a AD t n u AF b a AD i AD
pato	p aː AE t ɔ AF
patron	p a AD t ɾ o AF n
patupat	p a AD t u AF p a AD t
patutsada	p a AD t u AF t s a AD d a AD
patuusan	p a AD t u AF ʔ ɔ AF s a AD n
paupahan	p a AD u AF p a AD h AA a AD n
pausukan	p a AD u AF s u AF k a AD n
pauwiin	p a AD u AF w AC i AD i AD n
pawis	p a AD w AC i AD s
payak	p a AD j AB a AD k
payamanin	p a AD j AB a AD m a AD n i AD n
payumo	p a AD j AB u AF m o AF
paz	p a AD s
pebrero	p ɛ AD b ɾ ɛ AD ɾ o AF
pecson	p ɛ AD k s o AF n
peke	p ɛ AD k ɛ AD ʔ
peklat	p ɛ AD k l a AD t
peste	p ɛ AD s t ɛ AD
pestisidyo	p ɛ AD s t i AD s i AD d j AB o AF
petmalu	p e AD t m a AD l u AF
petsay	p e AD t t ʃ a AD j AB
peñaflor	p ɛ AD ɲ a AD p l o AF ɾ
peñaflorida	p ɛ AD ɲ a AD p l o AF ɾ i AD d a AD
peñaranda	p ɛ AD ɲ a AD ɾ a AD n d a AD
piga	p i AD ɡ a AD ʔ
pigain	p i AD ɡ a AD ʔ i AD n
pigsa	p i AD ɡ s a AD ʔ
pihikan	p i AD h AA i AD k a AD n
piho	p i AD h AA o AF
pila	p i AD l a AD
pilantik	p i AD l a AD n t i AD k
pilantropo	p i AD l a AD n t ɾ o AF p o AF
pilapil	p i AD l a AD p i AD l
pilat	p i AD l a AD t
pilay	p i AD l a AD j AB
pilipinas	p i AD l i AD p i AD n a AD s
pilosopiya	p i AD l o AF s o AF p i AD a AD
pilosopo	p i AD l o AF s o AF p o AF
pilyo	p i AD l j AB o AF
pinaghihinalaan	p i AD n a AD ɡ h AA i AD h AA i AD n a AD l a AD a AD n
pinagsamantalahan	p i AD n a AD ɡ s a AD m a AD n t a AD l a AD h AA a AD n
pindot	p i AD n d o AF t
pinggan	p i AD ŋ ɡ a AD n
pinlac	p i AD n l a AD k
pino	p i AD n o AF
pintakasi	p i AD n t a AD k a AD s i AD
piraso	p i AD ɾ a AD s o AF
pirmahan	p i AD ɾ m a AD h AA a AD n
pisika	p i AD s ɪ AD k ɐ AF
piskal	p i AD s k a AD l
piskalya	p i AD s k a AD l j AB a AD
pista	p i AD s t a AD
pitis	p i AD t i AD s
pito	p i AD t ɔ AF
pitumpu	p i AD t u AF m p u AF ʔ
pitundaan	p i AD t u AF n d a AD a AD n
piyo	p i AD j AB o AF ʔ
pizarro	p i AD s a AD ɾ ɾ o AF
piñon	p i AD ɲ o AF n
planas	p l a AD n a AD s
plastik	p l a AD s t i AD k
plebisito	p l e AD b i AD s i AD t o AF
po	p ɔ AF
pobre	p ɔː AG b r ɛ AD
pokpok	p ɔ AF k p ɔ AF k
policarpio	p o AF l i AD k a AD ɾ p j AB o AF
polintan	p o AF l i AD n t a AD n
polo	p o AF l o AF
pondo	p o AF n d o AF
pondohan	p o AF n d o AF h AA a AD n
ponkan	p o AF ŋ k a AD n
poon	p u AF n
portuges	p o AF ɾ t u AF ɡ ɛ AD s
posas	p o AF s a AD s
post	p o AF u AF s t
prado	p ɾ a AD d o AF
praning	p ɾ a AD n i AD ŋ
prayoridad	p ɾ a AD j AB o AF ɾ i AD d a AD d
premyo	p ɾ ɛ AD m j AB o AF
preso	p ɾ ɛ AD s o AF
proklamasyon	p ɾ o AF k l a AD m a AD s j AB o AF n
promdi	p r o AF m d i AD
prudente	p ɾ u AF d ɛ AD n t ɛ AD
pua	p u AF w AC a AD
pudpod	p u AF d p o AF d
pugad	p u AF ɡ a AD d
pugo	p u AF ɡ o AF ʔ
pugot	p u AF ɡ o AF t
pugutan	p u AF ɡ u AF t a AD n
puhunan	p u AF h AA u AF n a AD n
pukyutan	p u AF k j AB u AF t a AD n
pula	p ʊ AF l a AD
pulahan	p u AF l a AD h AA a AD n
pulgada	p u AF l ɡ a AD d a AD
pulgas	p u AF l ɡ a AD s
pulikat	p u AF l i AD k a AD t
pulmonya	p u AF l m o AF n j AB a AD
pulo	p u AF l o AF ʔ
pulot	p u AF l o AF t
