'y	ɪ AD
panelo	p ɐ AF n ɛ AD l o AF
pangalan	p ɐ AF ŋ a AD l ɐ AF n
panghimasukan	p ɐ AF ŋ h AA ɪ AD m ɐ AF s ʊ AF x ɐ AF n
pangngalan	p ɐ AF ŋ ŋ a AD l ɐ AF n
panibughuin	p ɐ AF n ɪ AD b ʊ AF ɡ h AA u AF ʔ ɪ AD n
paninigarilyo	p ɐ AF n ɪ AD n ɪ AD ɰ AB ɐ AF ɾ ɪ AD l j AB o AF
panlaqui	p ɐ AF n l ɐ AF x ɪ AD
pansamantala	p ɐ AF n s ɐ AF m ɐ AF n t ɐ AF l a AD
pantig	p ɐ AF n t ɪ AD ɡ
panukala	p ɐ AF n ʊ AF x ɐ AF l ɐ AF ʔ
paraan	p ɐ AF ɾ ɐ AF ʔ a AD n
parada	p ɐ AF ɾ a AD d ɐ AF
paragas	p ɐ AF ɾ ɐ AF ɰ AB ɐ AF s
parayno	p ɐ AF ɾ a AD ɪ̯ AG n o AF
pareño	p ɐ AF ɾ ɛ AD ɲ o AF
pari	p a AD ɾ ɪ AD ʔ
parilla	p ɐ AF ɾ ɪ AD l l ɐ AF
parreño	p ɐ AF ɾ ɛ AD ɲ o AF
parusa	p ɐ AF ɾ u AF s ɐ AF
pasaway	p ɐ AF s ɐ AF w AC a AD ɪ̯ AG
pasiya	p ɐ AF ʃ a AD
pasko	p ɐ AF s k o AF
paskuwa	p ɐ AF s k ʊ AF ɐ AF
pasugalan	p a AD s ʊ AF ɰ AB a AD l ɐ AF n
pasukan	p ɐ AF s ʊ AF x ɐ AF n
pasulo	p ɐ AF s ʊ AF l o AF
patahian	p ɐ AF t ɐ AF h AA i AD ʔ ɐ AF n
patiag	p ɐ AF t ʃ ɐ AF ɡ
patiño	p ɐ AF t ɪ AD ɲ o AF
patnubay	p ɐ AF t n ʊ AF b a AD ɪ̯ AG
patron	p ɐ AF t ɾ o AF n
paupahan	p a AD ʊ̯ AH p ɐ AF h AA ɐ AF n
pawis	p ɐ AF w AC i AD s
payumo	p ɐ AF j AB ʊ AF m o AF
paz	p ɐ AF s
peke	p ɛ AD x ɛ AD ʔ
peklat	p ɛ AD k l ɐ AF t
pestisidyo	p ɛ AD s t ɪ AD s ɪ AD d ʒ o AF
peñaflor	p ɛ AD ɲ ɐ AF p l o AF ɾ
peñaflorida	p ɛ AD ɲ ɐ AF p l o AF ɾ ɪ AD d ɐ AF
peñaranda	p ɛ AD ɲ ɐ AF ɾ ɐ AF n d ɐ AF
piga	p ɪ AD ɰ AB a AD ʔ
pigain	p ɪ AD ɰ AB ɐ AF ʔ i AD n
pigsa	p ɪ AD ɡ s a AD ʔ
pihikan	p ɪ AD h AA i AD x ɐ AF n
pilantik	p ɪ AD l ɐ AF n t i AD k
pilantropo	p ɪ AD l a AD n t ɾ o AF p o AF
pilapil	p ɪ AD l a AD p ɪ AD l
pilat	p i AD l ɐ AF t
pilipinas	p ɪ AD l ɪ AD p ɪ AD n ɐ AF s
pilosopiya	p ɪ AD l o AF s o AF p i AD ɐ AF
pilosopo	p ɪ AD l o AF s o AF p o AF
pilyo	p ɪ AD l j AB o AF
pinaghihinalaan	p ɪ AD n ɐ AF ɡ h AA ɪ AD h AA ɪ AD n ɐ AF l a AD ɐ AF n
pinagsamantalahan	p ɪ AD n ɐ AF ɡ s ɐ AF m ɐ AF n t ɐ AF l ɐ AF h AA a AD n
pindot	p ɪ AD n d o AF t
pinggan	p ɪ AD ŋ ɡ a AD n
pinlac	p ɪ AD n l ɐ AF k
pintakasi	p ɪ AD n t ɐ AF x a AD s ɪ AD
piraso	p ɪ AD ɾ a AD s o AF
pirmahan	p ɪ AD ɾ m ɐ AF h AA a AD n
piskal	p ɪ AD s k a AD l
piskalya	p ɪ AD s k ɐ AF l j AB a AD
pista	p ɪ AD s t a AD
piyo	p j AB o AF ʔ
pizarro	p ɪ AD s ɐ AF ɾ ɾ o AF
piñon	p ɪ AD ɲ o AF n
planas	p l ɐ AF n ɐ AF s
plastik	p l ɐ AF s t ɪ AD k
policarpio	p o AF l ɪ AD x ɐ AF ɾ p j AB o AF
polintan	p o AF l ɪ AD n t ɐ AF n
portuges	p o AF ɾ t ʊ AF ɰ AB ɛ AD s
posas	p o AF s ɐ AF s
post	p o AF ʊ AF s t
prado	p ɾ ɐ AF d o AF
praning	p ɾ ɐ AF n ɪ AD ŋ
prayoridad	p ɾ ɐ AF j AB o AF ɾ ɪ AD d ɐ AF d
proklamasyon	p ɾ o AF k l ɐ AF m ɐ AF ʃ o AF n
prudente	p ɾ ʊ AF d ɛ AD n t ɛ AD
pudpod	p ʊ AF d p o AF d
pugad	p u AF ɰ AB ɐ AF d
pugo	p ʊ AF ɰ AB o AF ʔ
pugot	p ʊ AF ɰ AB o AF t
pugutan	p ʊ AF ɰ AB ʊ AF t ɐ AF n
puhunan	p ʊ AF h AA ʊ AF n ɐ AF n
pukyutan	p ʊ AF k j AB ʊ AF t ɐ AF n
pulahan	p ʊ AF l ɐ AF h AA a AD n
pulgada	p ʊ AF l ɡ ɐ AF d ɐ AF
pulgas	p ʊ AF l ɡ a AD s
pulikat	p ʊ AF l i AD x ɐ AF t
pulmonya	p ʊ AF l m o AF ɲ a AD
pulo	p ʊ AF l o AF ʔ
pulot	p ʊ AF l o AF t
pulubi	p ʊ AF l ʊ AF b ɪ AD
pulutan	p ʊ AF l ʊ AF t ɐ AF n
pumula	p ʊ AF m ʊ AF l a AD
pumutok	p ʊ AF m ʊ AF t o AF k
pundido	p ʊ AF n d i AD d o AF
punongbayan	p ʊ AF n o AF ŋ b ɐ AF j AB ɐ AF n
punsalang	p ʊ AF n s ɐ AF l ɐ AF ŋ
puntahan	p ʊ AF n t ɐ AF h AA a AD n
puntirya	p ʊ AF n t ɪ AD ɾ j AB a AD
punzalan	p ʊ AF n s ɐ AF l ɐ AF n
puson	p ʊ AF s o AF n
pusta	p ʊ AF s t a AD
pustiso	p ʊ AF s t i AD s o AF
pusyaw	p ʊ AF ʃ a AD u AF
putakti	p ʊ AF t ɐ AF k t i AD
puyod	p ʊ AF j AB o AF d
quezon	k x ɛ AD s o AF n
quiambao	k j AB ɐ AF m b a AD ʊ̯ AH
quimpo	k x ɪ AD m p o AF
quintos	k x ɪ AD n t o AF s
quirante	k x ɪ AD ɾ ɐ AF n t ɛ AD
quisumbing	k x ɪ AD s u AF m b ɪ AD ŋ
quitain	k x ɪ AD t a AD ɪ̯ AG n
quiñones	k x ɪ AD ɲ o AF n ɛ AD s
racelis	ɾ ɐ AF s ɛ AD l ɪ AD s
ragas	ɾ ɐ AF ɰ AB ɐ AF s
ragudo	ɾ ɐ AF ɰ AB ʊ AF d o AF
rali	ɾ a AD l ɪ AD
raliyista	ɾ ɐ AF l ɪ AD j AB i AD s t ɐ AF
rambol	ɾ ɐ AF m b o AF l
rambulan	ɾ ɐ AF m b ʊ AF l ɐ AF n
rantso	ɾ ɐ AF n t ʃ o AF
rason	ɾ ɐ AF s o AF n
rayos	ɾ ɐ AF j AB o AF s
razon	ɾ ɐ AF s o AF n
reaño	ɾ ɛ AD ɐ AF ɲ o AF
regala	ɾ ɛ AD ɰ AB ɐ AF l ɐ AF
regidor	ɾ ɛ AD h AA ɪ AD d o AF ɾ
rehas	ɾ ɛ AD h AA ɐ AF s
rekisito	ɾ ɛ AD x ɪ AD s ɪ AD t o AF
rekisitos	ɾ ɛ AD x ɪ AD s ɪ AD t o AF s
remigio	ɾ ɛ AD m ɪ AD h AA j AB o AF
remulla	ɾ ɛ AD m ʊ AF l l ɐ AF
reodica	ɾ ɛ AD o AF d ɪ AD x ɐ AF
resistensya	ɾ ɛ AD s ɪ AD s t ɛ AD n ʃ ɐ AF
resurreccion	ɾ ɛ AD s ʊ AF ɾ ɛ AD k ʃ o AF n
ricafort	ɾ ɪ AD x ɐ AF p o AF ɾ t
ricarte	ɾ ɪ AD x ɐ AF ɾ t ɛ AD
riles	ɾ ɪ AD l ɛ AD s
rivero	ɾ ɪ AD b ɛ AD ɾ o AF
riñon	ɾ ɪ AD ɲ o AF n
rombaoa	ɾ u AF m b ɐ AF w AC ɐ AF
romualdez	ɾ o AF m w AC ɐ AF l d ɛ AD s
romualdo	ɾ o AF m w AC ɐ AF l d o AF
roxas	ɾ o AF d ʒ ɐ AF s
rulloda	ɾ ʊ AF l l o AF d ɐ AF
rumupok	ɾ ʊ AF m ʊ AF p o AF k
sabana	s ɐ AF b ɐ AF n ɐ AF
sabangan	s ɐ AF b ɐ AF ŋ ɐ AF n
sabon	s ɐ AF b o AF n
saboy	s a AD b o AF ɪ̯ AG
sabunin	s ɐ AF b ʊ AF n i AD n
sabunot	s ɐ AF b u AF n o AF t
sabunutan	s ɐ AF b ʊ AF n ʊ AF t ɐ AF n
sacdalan	s ɐ AF k d ɐ AF l ɐ AF n
sadya	s ɐ AF d ʒ a AD ʔ
sagimuymoy	s a AD ɰ AB i AD m u AF j AB m o AF j AB
saguinsin	s ɐ AF ɰ AB ɪ AD n s ɪ AD n
sagun	s ɐ AF ɰ AB ʊ AF n
saha	s ɐ AF h AA ɐ AF ʔ
sahagun	s ɐ AF h AA ɐ AF ɰ AB ʊ AF n
sahog	s ɐ AF h AA o AF ɡ
sais	s ɐ AF ʔ i AD s
sakal	s ɐ AF x a AD l
sakit	s ɐ AF x i AD t
sakitin	s ɐ AF x ɪ AD t ɪ AD n
saksi	s ɐ AF k s i AD
saksihan	s ɐ AF k s ɪ AD h AA a AD n
sakuna	s ɐ AF x ʊ AF n a AD
sala	s a AD l ɐ AF
salagubang	s ɐ AF l ɐ AF ɰ AB ʊ AF b ɐ AF ŋ
salarin	s ɐ AF l ɐ AF ɾ i AD n
salaula	s ɐ AF l ɐ AF ʔ ʊ AF l ɐ AF ʔ
salawal	s ɐ AF l ɐ AF w AC a AD l
saldaña	s ɐ AF l d ɐ AF ɲ ɐ AF
sales	s ɐ AF l ɛ AD s
salitre	s ɐ AF l i AD t ɾ ɛ AD
salonga	s ɐ AF l o AF ŋ ɡ ɐ AF
salud	s ɐ AF l ʊ AF d
salumbides	s ɐ AF l u AF m b ɪ AD d ɛ AD s
salvacion	s ɐ AF l b ɐ AF s ɪ AD o AF n
salvatierra	s ɐ AF l b ɐ AF t ɪ AD ɛ AD ɾ ɾ ɐ AF
samaniego	s ɐ AF m ɐ AF ɲ ɛ AD ɰ AB o AF
samantala	s ɐ AF m ɐ AF n t a AD l ɐ AF ʔ
samid	s ɐ AF m i AD d
samonte	s ɐ AF m o AF n t ɛ AD
sampaloc	s ɐ AF m p ɐ AF l o AF k
sampalok	s ɐ AF m p a AD l o AF k
sangalang	s ɐ AF ŋ ɡ ɐ AF l ɐ AF ŋ
sangco	s ɐ AF ŋ k o AF
sanggol	s ɐ AF ŋ ɡ o AF l
sangkot	s ɐ AF ŋ k o AF t
sapa	s ɐ AF p ɐ AF ʔ
sapak	s ɐ AF p a AD k
sapok	s ɐ AF p o AF k
sapot	s ɐ AF p o AF t
saquing	s ɐ AF x ɪ AD ŋ
sawa	s ɐ AF w AC a AD ʔ
saway	s ɐ AF w AC a AD ɪ̯ AG
sawayin	s ɐ AF w AC ɐ AF j AB i AD n
sayson	s a AD ɪ̯ AG s o AF n
segismundo	s ɛ AD ɰ AB ɪ AD s m ʊ AF n d o AF
segui	s ɛ AD ɰ AB ɪ AD
semantika	s ɛ AD m a AD n t ɪ AD x ɐ AF
semaña	s ɛ AD m ɐ AF ɲ ɐ AF
sentenaryo	s ɛ AD n t ɛ AD n ɐ AF ɾ j AB o AF
sentensiya	s ɛ AD n t ɛ AD n ʃ ɐ AF
sentensiyahan	s ɛ AD n t ɛ AD n ʃ ɐ AF h AA a AD n
sentido	s ɛ AD n t ɪ AD d o AF
seremonya	s ɛ AD ɾ ɛ AD m o AF ɲ ɐ AF
serna	s ɛ AD ɾ n ɐ AF
shabu	ʃ ɐ AF b u AF
siason	ʃ ɐ AF s o AF n
sibayan	s ɪ AD b ɐ AF j AB ɐ AF n
sibug	s ɪ AD b ʊ AF ɡ
sibuyas	s ɪ AD b ʊ AF j AB ɐ AF s
siga	s ɪ AD ɰ AB a AD ʔ
sigarilyas	s ɪ AD ɰ AB ɐ AF ɾ ɪ AD l j AB ɐ AF s
sige	s ɪ AD ɰ AB ɛ AD
siguraduhin	s ɪ AD ɰ AB ʊ AF ɾ ɐ AF d ʊ AF h AA ɪ AD n
siko	s i AD x o AF
silayan	s ɪ AD l ɐ AF j AB ɐ AF n
silindro	s ɪ AD l ɪ AD n d ɾ o AF
simbulan	s ɪ AD m b ʊ AF l ɐ AF n
sinapupunan	s ɪ AD n ɐ AF p ʊ AF p ʊ AF n ɐ AF n
sinat	s i AD n ɐ AF t
sinauna	s ɪ AD n a AD ʊ̯ AH n ɐ AF
sinco	s ɪ AD ŋ k o AF
singil	s ɪ AD ŋ i AD l
sioson	ʃ o AF s o AF n
siping	s i AD p ɪ AD ŋ
sipon	s ɪ AD p ʔ o AF n
sipsip	s ɪ AD p s ɪ AD p
sira	s ɪ AD ɾ a AD ʔ
sirain	s ɪ AD ɾ a AD ʔ ɪ AD n
sisi	s i AD s ɪ AD
sisid	s i AD s ɪ AD d
sisihan	s ɪ AD s ɪ AD h AA a AD n
sitwasyon	s ɪ AD t w AC ɐ AF ʃ o AF n
siya	ʃ a AD
sobrepeña	s o AF b ɾ ɛ AD p ɛ AD ɲ ɐ AF
soledad	s o AF l ɛ AD d ɐ AF d
solis	s o AF l ɪ AD s
sosa	s o AF s ɐ AF
suazo	s w AC ɐ AF s o AF
sucgang	s ʊ AF k ɡ ɐ AF ŋ
sugal	s ʊ AF ɰ AB a AD l
suico	s ʊ AF ɪ AD x o AF
suka	s u AF x ɐ AF ʔ
sukal	s u AF x ɐ AF l
sulsol	s ʊ AF l s o AF l
sumadsad	s ʊ AF m ɐ AF d s ɐ AF d
sumemplang	s ʊ AF m ɛ AD m p l ɐ AF ŋ
suntok	s ʊ AF n t o AF k
suntukan	s ʊ AF n t ʊ AF x ɐ AF n
suntukin	s ʊ AF n t ʊ AF x i AD n
supling	s ʊ AF p l i AD ŋ
surot	s ʊ AF ɾ o AF t
sustento	s ʊ AF s t ɛ AD n t o AF
taduran	t ɐ AF d ʊ AF ɾ ɐ AF n
tagapagmana	t ɐ AF ɰ AB ɐ AF p ɐ AF ɡ m ɐ AF n ɐ AF
tagas	t ɐ AF ɰ AB ɐ AF s
tagiktik	t ɐ AF ɰ AB ɪ AD k t i AD k
tagtuyot	t ɐ AF ɡ t ʊ AF j AB o AF t
taguba	t ɐ AF ɰ AB ʊ AF b ɐ AF
tagubilin	t ɐ AF ɰ AB ʊ AF b ɪ AD l ɪ AD n
taguinod	t ɐ AF ɰ AB ɪ AD n o AF d
tagupa	t ɐ AF ɰ AB ʊ AF p ɐ AF
takahashi	t ɐ AF x ɐ AF h AA ɐ AF ʃ ɪ AD
talag	t ɐ AF l ɐ AF ɡ
talampas	t ɐ AF l ɐ AF m p ɐ AF s
talavera	t ɐ AF l ɐ AF b ɛ AD ɾ ɐ AF
talento	t ɐ AF l ɛ AD n t o AF
talo	t ɐ AF l o AF
talong	t ɐ AF l o AF ŋ
talukbong	t ɐ AF l ʊ AF k b o AF ŋ
talunan	t ɐ AF l ʊ AF n a AD n
tamban	t ɐ AF m b a AD n
tamis	t ɐ AF m i AD s
tampal	t ɐ AF m p a AD l
tanauan	t ɐ AF n ʔ ɐ AF w AC ɐ AF n
tancinco	t ɐ AF n s ɪ AD ŋ k o AF
tangco	t ɐ AF ŋ k o AF
tanghalian	t ɐ AF ŋ h AA ɐ AF l ɪ AD ʔ ɐ AF n
tanikala	t ɐ AF n ɪ AD x ɐ AF l a AD ʔ
tanso	t ɐ AF n s o AF ʔ
tantiya	t ɐ AF n t ʃ ɐ AF
taon	t ɐ AF ʔ o AF n
tapales	t ɐ AF p ɐ AF l ɛ AD s
tapilok	t ɐ AF p ɪ AD l o AF k
tarik	t ɐ AF ɾ i AD k
taruc	t ɐ AF ɾ ʊ AF k
tasa	t ɐ AF s a AD
tatlonghari	t ɐ AF t l o AF ŋ h AA ɐ AF ɾ ɪ AD
tato	t ɐ AF t o AF ʔ
tañada	t ɐ AF ɲ ɐ AF d ɐ AF
tenyente	t ɛ AD ɲ ɛ AD n t ɛ AD
teoriya	t ɛ AD o AF ɾ i AD ɐ AF
teritoryo	t ɛ AD ɾ ɪ AD t o AF ɾ j AB o AF
tiamson	t ʃ ɐ AF m s o AF n
tiangco	t ʃ ɐ AF ŋ k o AF
tibay	t i AD b a AD ɪ̯ AG
tiburcio	t ɪ AD b ʊ AF ɾ ʃ o AF
ticzon	t ɪ AD k s o AF n
tigang	t ɪ AD ɰ AB a AD ŋ
tigas	t ɪ AD ɰ AB a AD s
tiis	t ɪ AD ʔ i AD s
tikbalang	t ɪ AD k b a AD l ɐ AF ŋ
tiklop	t ɪ AD k l o AF p
tiktik	t ɪ AD k t i AD k
timbang	t ɪ AD m b a AD ŋ
tindero	t ɪ AD n d ɛ AD ɾ o AF
tindig	t ɪ AD n d i AD ɡ
tinga	t ɪ AD ŋ a AD
tingala	t ɪ AD ŋ ɐ AF l a AD ʔ
tingalaan	t ɪ AD ŋ ɐ AF l ɐ AF a AD n
tingin	t ɪ AD ŋ i AD n
tinidor	t ɪ AD n ɪ AD d o AF ɾ
tinik	t ɪ AD n i AD k
tinta	t ɪ AD n t a AD
tio	t ʃ o AF
tiongco	t ɪ AD o AF ŋ k o AF
tiozon	t ʃ o AF s o AF n
tipaklong	t ɪ AD p a AD k l o AF ŋ
tira	t ɪ AD ɾ a AD
tiraniya	t ɪ AD ɾ ɐ AF n i AD ɐ AF
tirik	t ɪ AD ɾ i AD k
tiris	t ɪ AD ɾ i AD s
tirona	t ɪ AD ɾ o AF n ɐ AF
tiwali	t ɪ AD w AC ɐ AF l i AD ʔ
tiya	t ɪ AD ɐ AF
tiyaga	t ɪ AD ɐ AF ɰ AB a AD ʔ
tiyahin	t ʃ ɐ AF h AA ɪ AD n
tiyan	t ʃ a AD n
tiyanak	t ʃ a AD n ɐ AF k
tiyangge	t ʃ a AD ŋ ɡ ɛ AD ʔ
tiyo	t ɪ AD o AF
tiyuhin	t ʃ ʊ AF h AA ɪ AD n
tonelada	t o AF n ɛ AD l ɐ AF d ɐ AF
topacio	t o AF p ɐ AF ʃ o AF
torrecampo	t o AF ɾ ɾ ɛ AD x ɐ AF m p o AF
totanes	t o AF t ɐ AF n ɛ AD s
trangkaso	t ɾ ɐ AF ŋ k a AD s o AF
trapik	t ɾ a AD p ɪ AD k
traqueña	t ɾ ɐ AF x ɛ AD ɲ ɐ AF
tratado	t ɾ ɐ AF t a AD d o AF
traydor	t ɾ a AD ɪ̯ AG d o AF ɾ
tren	t ɾ ɛ AD n
tria	t ɾ ɪ AD ɐ AF
trillanes	t ɾ ɪ AD l l ɐ AF n ɛ AD s
trip	t ɾ ɪ AD p
tsikinini	t ʃ ɪ AD x ɪ AD n i AD n ɪ AD ʔ
tsikot	t ʃ ɪ AD x o AF t
tuason	t w AC ɐ AF s o AF n
tuba	t ʊ AF b a AD
tubero	t ʊ AF b ɛ AD ɾ o AF
tubo	t ʊ AF b o AF
tubuhan	t ʊ AF b ʊ AF h AA a AD n
tugade	t ʊ AF ɰ AB ɐ AF d ɛ AD
tugtog	t ʊ AF ɡ t o AF ɡ
tukod	t u AF x o AF d
tukso	t ʊ AF k s o AF
tulad	t u AF l ɐ AF d
tulak	t u AF l ɐ AF k
tulay	t ʊ AF l a AD ɪ̯ AG
tulingan	t ʊ AF l ɪ AD ŋ ɐ AF n
tullao	t ʊ AF l j AB a AD ʊ̯ AH
tuloy	t ʊ AF l o AF ɪ̯ AG
tumacder	t ʊ AF m ɐ AF k d ɛ AD ɾ
tumae	t ʊ AF m ɐ AF ʔ ɛ AD
tumbaga	t u AF m b ɐ AF ɰ AB ɐ AF
tumbalik	t u AF m b ɐ AF l ɪ AD k
tumingala	t ʊ AF m ɪ AD ŋ ɐ AF l a AD ʔ
tumira	t ʊ AF m ɪ AD ɾ ɐ AF
tumukso	t ʊ AF m ʊ AF k s o AF
tunay	t u AF n a AD ɪ̯ AG
tungaw	t ʊ AF ŋ a AD ʊ̯ AH
tungkab	t ʊ AF ŋ k a AD b
tungkod	t ʊ AF ŋ k o AF d
tungkol	t ʊ AF ŋ k o AF l
tungkos	t ʊ AF ŋ k o AF s
tunton	t ʊ AF n t o AF n
tupad	t ʊ AF p a AD d
tupi	t ʊ AF p i AD ʔ
turnilyo	t ʊ AF ɾ n i AD l j AB o AF
turok	t ʊ AF ɾ o AF k
tutol	t ʊ AF t o AF l
tuwa	t w AC a AD ʔ
tuwad	t w AC a AD d
tuwalya	t w AC ɐ AF l j AB ɐ AF
tuwang	t w AC a AD ŋ
ubas	ʔ ʊ AF b ɐ AF s
ubasan	ʔ ʊ AF b ɐ AF s a AD n
udyukan	ʔ ʊ AF d ʒ ʊ AF x a AD n
ugat	ʔ ʊ AF ɰ AB a AD t
ulep	ʔ ʊ AF l ɛ AD p
ulila	ʔ ʊ AF l i AD l ɐ AF
uling	ʔ u AF l ɪ AD ŋ
umasinta	ʔ ʊ AF m ɐ AF s ɪ AD n t a AD
umawat	ʔ ʊ AF m a AD w AC ɐ AF t
umpisa	ʔ u AF m p ɪ AD s a AD
umutot	ʔ ʊ AF m ʊ AF t o AF t
untalan	ʔ ʊ AF n t ɐ AF l ɐ AF n
upa	ʔ ʊ AF p ɐ AF
uriarte	ʔ ʊ AF ɾ j AB ɐ AF ɾ t ɛ AD
ursua	ʔ ʊ AF ɾ s ʊ AF ɐ AF
usap	ʔ u AF s ɐ AF p
usisero	ʔ ʊ AF s ɪ AD s ɛ AD ɾ o AF
utot	ʔ ʊ AF t o AF t
uwak	ʔ ʊ AF a AD k
uwi	ʔ ʊ AF i AD ʔ
valera	b ɐ AF l ɛ AD ɾ ɐ AF
valle	b ɐ AF l l ɛ AD
valmores	b ɐ AF l m o AF ɾ ɛ AD s
varias	b ɐ AF ɾ ɪ AD ɐ AF s
varona	b ɐ AF ɾ o AF n ɐ AF
vecino	b ɛ AD s ɪ AD n o AF
velarde	b ɛ AD l ɐ AF ɾ d ɛ AD
velasquez	b ɛ AD l ɐ AF s k ɛ AD s
veloria	b ɛ AD l o AF ɾ j AB ɐ AF
veneracion	b ɛ AD n ɛ AD ɾ ɐ AF ʃ o AF n
venturina	b ɛ AD n t ʊ AF ɾ ɪ AD n ɐ AF
versoza	b ɛ AD ɾ s o AF s ɐ AF
villablanca	b ɪ AD l l ɐ AF b l ɐ AF ŋ k ɐ AF
villacarlos	b ɪ AD l l ɐ AF x ɐ AF ɾ l o AF s
villafranca	b ɪ AD l l ɐ AF p ɾ ɐ AF ŋ k ɐ AF
villafuerte	b ɪ AD l l ɐ AF p w AC ɛ AD ɾ t ɛ AD
villagracia	b ɪ AD l l ɐ AF ɡ ɾ ɐ AF ʃ ɐ AF
villamater	b ɪ AD l l ɐ AF m ɐ AF t ɛ AD ɾ
villamin	b ɪ AD l l ɐ AF m ɪ AD n
villamor	b ɪ AD l l ɐ AF m o AF ɾ
villapando	b ɪ AD l l ɐ AF p ɐ AF n d o AF
villareal	b ɪ AD l l ɐ AF ɾ ɛ AD ɐ AF l
villarino	b ɪ AD l l ɐ AF ɾ ɪ AD n o AF
villaruz	b ɪ AD l l ɐ AF ɾ ʊ AF s
villaseñor	b ɪ AD l l ɐ AF s ɛ AD ɲ o AF ɾ
villasis	b ɪ AD l l ɐ AF s ɪ AD s
villaverde	b ɪ AD l l ɐ AF b ɛ AD ɾ d ɛ AD
villavicencio	b ɪ AD l l ɐ AF b ɪ AD s ɛ AD n ʃ o AF
villegas	b ɪ AD l l ɛ AD ɰ AB ɐ AF s
vinoya	b ɪ AD n o AF j AB ɐ AF
virata	b ɪ AD ɾ ɐ AF t ɐ AF
virrey	b ɪ AD ɾ ɾ ɛ AD ɪ̯ AG
visaya	b ɪ AD s ɐ AF j AB ɐ AF ʔ
volante	b o AF l ɐ AF n t ɛ AD
wang	w AC ɐ AF ŋ
wangis	w AC a AD ŋ ɪ AD s
yalung	j AB ɐ AF l ʊ AF ŋ
yarda	j AB ɐ AF ɾ d ɐ AF
yasay	j AB ɐ AF s a AD ɪ̯ AG
yatco	j AB ɐ AF t k o AF
ybañez	ʔ ɪ AD b ɐ AF ɲ ɛ AD s
yuvienco	j AB ʊ AF b ɪ AD ɛ AD ŋ k o AF
yñiguez	j AB ɲ ɪ AD ɰ AB ɛ AD s
zafra	s ɐ AF p ɾ ɐ AF
zaide	s a AD ɪ̯ AG d ɛ AD
zapanta	s ɐ AF p ɐ AF n t ɐ AF
zavalla	s ɐ AF b ɐ AF l l ɐ AF
zoleta	s o AF l ɛ AD t ɐ AF
zuñiga	s ʊ AF ɲ ɪ AD ɰ AB ɐ AF
