ँ	ə̃ AN
मृत्युदंड	m AE ɾ BA ɪ AJ t̪ AB j AA ʊ AK d̪ AB ə̃ AN ɳ AF ɖ AB
मृदुता	m AE ɾ BA ɪ AJ d̪ AB ʊ AK t̪ AB äː
मेंडक	m AE ẽː ɳ AF ɖ AB ə AJ k AB
मेंढक	m AE ẽː ɳ AF ɖʱ AC ə AJ k AB
मेंढ्र	m AE ẽː ɳ AF ɖʱ AC ɾ BA
मेक्सिको	m AE eː AJ k AB s̪ AB ɪ AJ k AB oː AK
मेघालय	m AE eː AJ ɡʱ AC äː l̪ AD ə AJ j AA
मेज़बान	m AE eː AJ z AB b AG ä̃ː n̪ AF
मेमना	m AE ẽː m AE n̪ AF äː
मेरा	m AE eː AJ ɾ BA äː
मेरुदंड	m AE eː AJ ɾ BA ʊ AK d̪ AB ə̃ AN ɳ AF ɖ AB
मेल	m AE eː AJ l̪ AD
मेलबॉर्न	m AE eː AJ l̪ AD b AG ɔ AK ɾ BA n̪ AF
मेला	m AE eː AJ l̪ AD äː
मेवा	m AE eː AJ ʋ AI äː
मेवाड़	m AE eː AJ ʋ AI äː ɽ BA
मेष	m AE eː AJ ʃ AB
मेहंदी	m AE eː AJ ɦ AL n̪ AF d̪ AB iː AJ
मेहनत	m AE ɛ AJ ɦ AL n̪ AF ə AJ t̪ AB
मेहनती	m AE eː AJ ɦ AL ə̃ AN n̪ AF t̪ AB iː AJ
मेहमान	m AE eː AJ ɦ AL m AE ä̃ː n̪ AF
मेहमानदारी	m AE eː AJ ɦ AL m AE ä̃ː n̪ AF d̪ AB äː ɾ BA iː AJ
मेहमाननवाज़ी	m AE eː AJ ɦ AL m AE ä̃ː n̪ AF n̪ AF ə AJ ʋ AI äː z AB iː AJ
मेहरबानी	m AE eː AJ ɦ AL ɾ BA b AG äː n̪ AF iː AJ
मैं	m AE ə AJ ɪ̯ AA
मैंने	m AE ɛ̃ː AN n̪ AF eː AJ
मैथुन	m AE ɛː AJ t̪ʰ AC ʊ̃ AM n̪ AF
मैदा	m AE ɛː AJ d̪ AB äː
मैदान	m AE ɛː AJ d̪ AB ä̃ː n̪ AF
मैनचेस्टर	m AE ɛ̃ː AN n̪ AF t AB ʃ AB eː AJ s̪ AB ʈ AB ə AJ ɾ BA
मैना	m AE ɛː AJ n̪ AF äː
मैनेजर	m AE ɛː AJ n̪ AF eː AJ d AB ʒ AB ə AJ ɾ BA
मैलवेयर	m AE ɛː AJ l̪ AD ʋ AI eː AJ j AA ə AJ ɾ BA
मैला	m AE ɛː AJ l̪ AD äː
मैसिडोनिया	m AE ɛː AJ s̪ AB ɪ AJ ɖ AB oː AK n̪ AF i AJ j AA äː
मैसूर	m AE ɛː AJ s̪ AB uː AK ɾ BA
मॉड्यूल	m AE ɔ AK ɖ AB j AA uː AK l̪ AD
मॉरीतानिया	m AE ɔ AK ɾ BA iː AJ t̪ AB äː n̪ AF i AJ j AA äː
मॉल	m AE ɔ AK l̪ AD
मोंटेनीगरो	m AE õː ɳ AF ʈ AB eː AJ n̪ AF iː AJ ɡ AB ɾ BA oː AK
मोज़ा	m AE oː AK z AB äː
मोज़ांबीक	m AE oː AK z AB ä̃ː m AE b AG iː AJ k AB
मोड़ना	m AE oː AK ɽ BA n̪ AF äː
मोनाको	m AE oː AK n̪ AF äː k AB oː AK
मोबाइल	m AE oː AK b AG äː ɪ AJ l̪ AD
मोबिलिटी	m AE oː AK b AG ɪ AJ l̪ AD ɪ AJ ʈ AB iː AJ
मोम	m AE õː m AE
मोमबत्ती	m AE õː m AE b AG ə AJ t̪̚ t̪ AB iː AJ
मोरक्को	m AE oː AK ɾ BA ə AJ k̚ k AB oː AK
मोरनी	m AE oː AK ɾ BA n̪ AF iː AJ
मोर्चा	m AE oː AK ɾ BA t AB ʃ AB äː
मोल	m AE oː AK l̪ AD
मोहताज	m AE oː AK ɦ AL t̪ AB äː d AB ʒ AB
मोहना	m AE oː AK ɦ AL n̪ AF äː
मोहरा	m AE oː AK ɦ AL ɾ BA äː
मोहलत	m AE ɔ AK ɦ AL l̪ AD ə AJ t̪ AB
मौक़ा	m AE ɔː AK q AB äː
मौजूदा	m AE ɔː AK d AB ʒ AB uː AK d̪ AB äː
मौन	m AE ɔ̃ː AM n̪ AF
मौलवी	m AE ɔː AK l̪ AD ʋ AI iː AJ
मौला	m AE ɔː AK l̪ AD äː
मौलाना	m AE ɔː AK l̪ AD äː n̪ AF äː
मौलिक	m AE ɔː AK l̪ AD ɪ AJ k AB
मौसंबी	m AE ɔː AK s̪ AB ə̃ AN m AE b AG iː AJ
मौसम	m AE ɔː AK s̪ AB ə̃ AN m AE
मौसमी	m AE ɔː AK s̪ AB m AE iː AJ
मौसमीपन	m AE ɔː AK s̪ AB m AE iː AJ p AG ə̃ AN n̪ AF
मौसा	m AE ɔː AK s̪ AB äː
मौसी	m AE ɔː AK s̪ AB iː AJ
मौसीक़ी	m AE ɔː AK s̪ AB iː AJ q AB iː AJ
म्यान	m AE j AA ä̃ː n̪ AF
म्यानमार	m AE j AA ä̃ː n̪ AF m AE äː ɾ BA
म्यान्मा	m AE j AA ä̃ː n̪ AF m AE äː
म्लेच्छ	m AE l̪ AD eː AJ t̚ t AB ʃʰ AC
यंत्र	j AA ə̃ AN n̪ AF t̪ AB ɾ BA ə AJ
यंत्रीकृत	j AA ə̃ AN n̪ AF t̪ AB ɾ BA iː AJ k AB ɾ BA ɪ AJ t̪ AB
यक़ीनन	j AA ə AJ q AB iː AJ n̪ AF ə̃ AN n̪ AF
यज्ञकर्ता	j AA ə AJ ɡ AB j AA ə AJ k AB ə AJ ɾ BA t̪ AB äː
यतीम	j AA ə AJ t̪ AB ĩː m AE
यतीमख़ाना	j AA ə AJ t̪ AB ĩː m AE x AB äː n̪ AF äː
यत्न	j AA ə AJ t̪̚ n̪ AF
यथा	j AA ə AJ t̪ʰ AC äː
यथाक्रम	j AA ə AJ t̪ʰ AC äː k AB ɾ BA ə̃ AN m AE
यथारूप	j AA ə AJ t̪ʰ AC äː ɾ BA uː AK p AG
यथार्थ	j AA ə AJ t̪ʰ AC äː ɾ BA t̪ʰ AC
यथार्थता	j AA ə AJ t̪ʰ AC äː ɾ BA t̪ʰ AC ə AJ t̪ AB äː
यम	j AA ə̃ AN m AE
यमन	j AA ə AJ m AE ə̃ AN n̪ AF
यमराज	j AA ə̃ AN m AE ɾ BA äː d AB ʒ AB
यमुना	j AA ə AJ m AE ʊ AK n̪ AF äː
यरुशलम	j AA ə AJ ɾ BA ʊ AK ʃ AB ə AJ l̪ AD ə̃ AN m AE
यवनिका	j AA ə AJ ʋ AI n̪ AF ɪ AJ k AB äː
यवशर्करा	j AA ə AJ ʋ AI ʃ AB ə AJ ɾ BA k AB ə AJ ɾ BA äː
यशायाह	j AA ə AJ ʃ AB äː j AA äː ɦ AL
यहाँ	j AA ə AJ ɦ AL ä̃ː
यहेज़क़ेल	j AA ə AJ ɦ AL eː AJ z AB q AB eː AJ l̪ AD
या	j AA äː
यांत्रिक	j AA ä̃ː n̪ AF t̪ AB ɾ BA ɪ AJ k AB
यांत्रिकी	j AA ä̃ː n̪ AF t̪ AB ɾ BA ɪ AJ k AB iː AJ
याचिका	j AA äː t AB ʃ AB ɪ AJ k AB äː
याजक	j AA äː d AB ʒ AB ə AJ k AB
यातायात	j AA äː t̪ AB äː j AA äː t̪ AB
यातु	j AA äː t̪ AB uː AK
यात्रा	j AA äː t̪ AB ɾ BA äː
यात्री	j AA äː t̪ AB ɾ BA iː AJ
याद	j AA äː d̪ AB
यादगार	j AA äː d̪ AB ɡ AB äː ɾ BA
याददाश्त	j AA äː d̪̚ AB d̪ AB äː ʃ AB t̪ AB
यादाश्त	j AA äː d̪ AB äː ʃ AB t̪ AB
यादृच्छिक	j AA äː d̪ AB ɾ BA ɪ AJ t̚ t AB ʃʰ AC ɪ AJ k AB
यान	j AA ä̃ː n̪ AF
यानाति	j AA äː n̪ AF äː t̪ AB iː AJ
यानी	j AA äː n̪ AF iː AJ
यार	j AA äː ɾ BA
यिर्मियाह	j AA ɪ AJ ɾ BA m AE i AJ j AA äː ɦ AL
युगल	j AA ʊ AK ɡ AB ə AJ l̪ AD
युग्मनज	j AA ʊ AK ɡ AB m AE ə AJ n̪ AF ə AJ d AB ʒ AB
युद्धक	j AA ʊ AK d̪̚ AB d̪ʱ AC ə AJ k AB
युद्धकाल	j AA ʊ AK d̪̚ AB d̪ʱ AC k AB äː l̪ AD
युद्धक्षेत्र	j AA ʊ AK d̪ AB d̪ʱ AC k AB ʃ AB eː AJ t̪ AB ɾ BA
युद्धनीति	j AA ʊ AK d̪̚ AB d̪ʱ AC n̪ AF iː AJ t̪ AB iː AJ
युद्धप्रिय	j AA ʊ AK d̪̚ AB d̪ʱ AC p AG ɾ BA i AJ j AA
युद्धबंदी	j AA ʊ AK d̪ AB d̪ʱ AC b AG ə̃ AN n̪ AF d̪ AB iː AJ
युद्धस्थल	j AA ʊ AK d̪ AB d̪ʱ AC s̪ AB t̪ʰ AC ə AJ l̪ AD
युवा	j AA ʊ AK ʋ AI äː
युवावस्था	j AA ʊ AK ʋ AI äː ʋ AI ə AJ s̪ AB t̪ʰ AC äː
यूक्रेन	j AA uː AK k AB ɾ BA ẽː n̪ AF
यूनान	j AA uː AK n̪ AF ä̃ː n̪ AF
यूनानी	j AA uː AK n̪ AF äː n̪ AF iː AJ
यूनिकोड	j AA uː AK n̪ AF ɪ AJ k AB oː AK ɖ AB
यूनिवर्सिटी	j AA uː AK n̪ AF ɪ AJ ʋ AI ə AJ ɾ BA s̪ AB ɪ AJ ʈ AB iː AJ
यूरेनियम	j AA uː AK ɾ BA eː AJ n̪ AF i AJ j AA ə̃ AN m AE
यूहन्ना	j AA uː AK ɦ AL ə̃ AN n̪ AF n̪ AF äː
येड़ा	j AA eː AJ ɽ BA äː
योकोहामा	j AA oː AK k AB oː AK ɦ AL äː m AE äː
योग	j AA oː AK ɡ AB äː
योगदान	j AA oː AK ɡ AB d̪ AB ä̃ː n̪ AF
योगिनी	j AA oː AK ɡ AB ɪ AJ n̪ AF iː AJ
योग्यकार्ता	j AA oː AK ɡ AB j AA ə AJ k AB äː ɾ BA t̪ AB äː
योजना	j AA oː AK d AB ʒ AB n̪ AF äː
योज्यता	j AA oː AK d AB ʒ AB j AA ə AJ t̪ AB äː
योद्धा	j AA oː AK d̪̚ AB d̪ʱ AC äː
योनि	j AA oː AK n̪ AF iː AJ
यौन	j AA ɔ̃ː AM n̪ AF
यौनाकर्षण	j AA ɔː AK n̪ AF äː k AB ə AJ ɾ BA ʃ AB ə̃ AN ɳ AF
यौम	j AA ɔ̃ː AM m AE
यौवन	j AA ə̯ AA u AK ʋ AI ə̃ AN n̪ AF
यौवनकाल	j AA ə̯ AA u AK ʋ AI ə̃ AN n̪ AF k AB äː l̪ AD
रंग	ɾ BA ə̃ AN ŋ AF ɡ AB
रंगकर्म	ɾ BA ə̃ AN ŋ AF ɡ AB k AB ə AJ ɾ BA m AE
रंगकर्मी	ɾ BA ə̃ AN ŋ AF ɡ AB k AB ə AJ ɾ BA m AE iː AJ
रंगमंच	ɾ BA ə̃ AN ŋ AF ɡ AB m AE ə̃ AN n̪ AF t AB ʃ AB
रंगरूट	ɾ BA ə̃ AN ŋ AF ɡ AB ɾ BA uː AK ʈ AB
रंगीन	ɾ BA ə̃ AN ŋ AF ɡ AB ĩː n̪ AF
रंगीला	ɾ BA ə̃ AN ŋ AF ɡ AB iː AJ l̪ AD äː
रंगोली	ɾ BA ə̃ AN ŋ AF ɡ AB oː AK l̪ AD iː AJ
रंजन	ɾ BA ə̃ AN n̪ AF d AB ʒ AB ə̃ AN n̪ AF
रंजित	ɾ BA ə̃ AN n̪ AF d AB ʒ AB ɪ AJ t̪ AB
रंजिश	ɾ BA ə̃ AN n̪ AF d AB ʒ AB ɪ AJ ʃ AB
रंडी	ɾ BA ə̃ AN ɳ AF ɖ AB iː AJ
रंभा	ɾ BA ə̃ AN m AE bʱ AH äː
रईस	ɾ BA ə AJ iː AJ s̪ AB
रक़बा	ɾ BA ə AJ q AB b AG äː
रक़म	ɾ BA ə AJ q AB ə̃ AN m AE
रक़्क़ासा	ɾ BA ə AJ q AB q AB äː s̪ AB äː
रक़्स	ɾ BA ə AJ q AB s̪ AB
रकाबी	ɾ BA ə AJ k AB äː b AG iː AJ
रक्खना	ɾ BA ə AJ k̚ kʰ AC n̪ AF äː
रक्तचाप	ɾ BA ə AJ k AB t̪̚ t AB ʃ AB äː p AG
रक्तपात	ɾ BA ə AJ k AB t̪ AB p AG äː t̪ AB
रक्तसंचार	ɾ BA ə AJ k AB t̪ AB s̪ AB ə̃ AN n̪ AF t AB ʃ AB äː ɾ BA
रक्षण	ɾ BA ə AJ k AB ʃ AB ə̃ AN ɳ AF
रक्षा	ɾ BA ə AJ k AB ʃ AB äː
रक्षाबंधन	ɾ BA ə AJ k AB ʃ AB äː b AG ə̃ AN n̪ AF d̪ʱ AC ə̃ AN n̪ AF
रक्षित	ɾ BA ə AJ k AB ʃ AB ɪ AJ t̪ AB
रखना	ɾ BA ə AJ kʰ AC n̪ AF äː
रखवाल	ɾ BA ə AJ kʰ AC ʋ AI äː l̪ AD
रखवाला	ɾ BA ə AJ kʰ AC ʋ AI äː l̪ AD äː
रखा	ɾ BA ə AJ kʰ AC äː
रगड़न	ɾ BA ə AJ ɡ AB ɽ BA ə̃ AN n̪ AF
रगड़ना	ɾ BA ə AJ ɡ AB ə AJ ɽ BA n̪ AF äː
रचना	ɾ BA ə AJ t AB ʃ AB n̪ AF äː
रचनावली	ɾ BA ə AJ t AB ʃ AB n̪ AF äː ʋ AI ə AJ l̪ AD iː AJ
रज़ाकार	ɾ BA ə AJ z AB äː k AB äː ɾ BA
रज़ामंद	ɾ BA ə AJ z AB äː m AE ə̃ AN n̪ AF d̪ AB
रज़ामंदी	ɾ BA ə AJ z AB äː m AE ə̃ AN n̪ AF d̪ AB iː AJ
रजिस्टर	ɾ BA ə AJ d AB ʒ AB ɪ AJ s̪ AB ʈ AB ə AJ ɾ BA
रजिस्ट्रीकृत	ɾ BA ə AJ d AB ʒ AB ɪ AJ s̪ AB ʈ AB ɾ BA iː AJ k AB ɾ BA ɪ AJ t̪ AB
रजोदर्शन	ɾ BA ə AJ d AB ʒ AB oː AK d̪ AB ə AJ ɾ BA ʃ AB ə̃ AN n̪ AF
रटना	ɾ BA ə AJ ʈ AB n̪ AF äː
रणछोड़	ɾ BA ə̃ AN ɳ AF t AB ʃʰ AC oː AK ɽ BA
रणनीतिक	ɾ BA ə̃ AN ɳ AF n̪ AF iː AJ t̪ AB ɪ AJ k AB
रतन	ɾ BA ə AJ t̪ AB ə̃ AN n̪ AF
रतालू	ɾ BA ə AJ t̪ AB äː l̪ AD uː AK
रत्ती	ɾ BA ə AJ t̪̚ t̪ AB iː AJ
रत्न	ɾ BA ə AJ t̪̚ n̪ AF
रन	ɾ BA ə̃ AN n̪ AF
रनवास	ɾ BA ə̃ AN n̪ AF w AI äː s̪ AB
रमणीय	ɾ BA ə̃ AN m AE ɳ AF iː AJ j AA
रमना	ɾ BA ə̃ AN m AE n̪ AF äː
रवा	ɾ BA ə AJ ʋ AI äː
रवांडा	ɾ BA ə AJ ʋ AI ä̃ː ɳ AF ɖ AB äː
रवाना	ɾ BA ə AJ ʋ AI äː n̪ AF äː
रवानी	ɾ BA ə AJ ʋ AI äː n̪ AF iː AJ
रविवार	ɾ BA ə AJ ʋ AI ɪ AJ ʋ AI äː ɾ BA
रवैया	ɾ BA ə AJ ʋ AI ə̯ AA i AJ j AA äː
रशिया	ɾ BA ə AJ ʃ AB i AJ j AA äː
रस	ɾ BA ə AJ s̪ AB
रसगुल्ला	ɾ BA ə AJ s̪ AB ɡ AB ʊ AK l̪ AD l̪ AD äː
रसद	ɾ BA ə AJ s̪ AB ə AJ d̪ AB
रसना	ɾ BA ə AJ s̪ AB n̪ AF äː
रसभरी	ɾ BA ə AJ s̪ AB bʱ AH ə AJ ɾ BA iː AJ
रसायन	ɾ BA ə AJ s̪ AB äː j AA ə̃ AN n̪ AF
रसायनज्ञ	ɾ BA ə AJ s̪ AB äː j AA ə AJ n̪ AF ə AJ ɡ AB j AA
रसीद	ɾ BA ə AJ s̪ AB iː AJ d̪ AB
रसूल	ɾ BA ə AJ s̪ AB uː AK l̪ AD
रसूलुल्लाह	ɾ BA ə AJ s̪ AB uː AK l̪ AD ʊ AK l̪ AD l̪ AD äː ɦ AL
रसोइया	ɾ BA ə AJ s̪ AB oː AK i AJ j AA äː
रसोई	ɾ BA ə AJ s̪ AB oː AK iː AJ
रसोईघर	ɾ BA ə AJ s̪ AB oː AK iː AJ ɡʱ AC ə AJ ɾ BA
रसोईया	ɾ BA ə AJ s̪ AB oː AK iː AJ j AA äː
रस्म	ɾ BA ə AJ s̪ AB ə̃ AN m AE
रस्सा	ɾ BA ə AJ s̪ AB s̪ AB äː
रस्सी	ɾ BA ə AJ s̪ AB s̪ AB iː AJ
रहना	ɾ BA ɛ AJ ɦ AL n̪ AF äː
रहनुमा	ɾ BA ɛ AJ ɦ AL n̪ AF ʊ AK m AE äː
रहमान	ɾ BA ɛ AJ ɦ AL m AE ä̃ː n̪ AF
रहस्य	ɾ BA ɛ AJ ɦ AL ɛ AJ s̪ AB j AA
रहस्यमय	ɾ BA ɛ AJ ɦ AL ɛ AJ s̪ AB j AA ə AJ m AE ə AJ j AA
रहा	ɾ BA ə AJ ɦ AL äː
रहीम	ɾ BA ə AJ ɦ AL ĩː m AE
राँची	ɾ BA ä̃ː t AB ʃ AB iː AJ
राँझा	ɾ BA ä̃ː n̪ AF d AB ʒʱ äː
रांची	ɾ BA ä̃ː t AB ʃ AB iː AJ
राइफ़ल	ɾ BA äː ɪ AJ pʰ AH ə AJ l̪ AD
राकेट	ɾ BA äː k AB eː AJ ʈ AB
राख	ɾ BA äː kʰ AC
राखी	ɾ BA äː kʰ AC iː AJ
राग	ɾ BA äː ɡ AB
रागमाला	ɾ BA äː ɡ AB m AE äː l̪ AD äː
रागी	ɾ BA äː ɡ AB iː AJ
राज	ɾ BA äː d AB ʒ AB
राजकुमार	ɾ BA äː d AB ʒ AB k AB ʊ AK m AE äː ɾ BA
राजकुमारी	ɾ BA äː d AB ʒ AB k AB ʊ AK m AE äː ɾ BA iː AJ
राजकोट	ɾ BA äː d AB ʒ AB k AB oː AK ʈ AB
राजग	ɾ BA äː d AB ʒ AB ə AJ ɡ AB
राजत्व	ɾ BA äː d AB ʒ AB ə AJ t̪ AB w AI
राजद	ɾ BA äː d AB ʒ AB ə AJ d̪ AB
राजदूत	ɾ BA äː d AB ʒ AB d̪ AB uː AK t̪ AB
राजधानी	ɾ BA äː d AB ʒ AB d̪ʱ AC äː n̪ AF iː AJ
राजनय	ɾ BA äː d AB ʒ AB n̪ AF ə AJ j AA
राजनयिक	ɾ BA äː d AB ʒ AB n̪ AF ə AJ j AA ɪ AJ k AB
राजनीति	ɾ BA äː d AB ʒ AB n̪ AF iː AJ t̪ AB iː AJ
राजनीतिक	ɾ BA äː d AB ʒ AB n̪ AF iː AJ t̪ AB ɪ AJ k AB
राजनीतिज्ञ	ɾ BA äː d AB ʒ AB n̪ AF iː AJ t̪ AB ɪ AJ ɡ AB j AA
राजनैतिक	ɾ BA äː d AB ʒ AB n̪ AF ɛː AJ t̪ AB ɪ AJ k AB
राजमा	ɾ BA äː d AB ʒ AB m AE äː
राजमार्ग	ɾ BA äː d AB ʒ AB m AE äː ɾ BA ɡ AB
राजवंश	ɾ BA äː d AB ʒ AB ʋ AI ə̃ AN n̪ AF ʃ AB
राजस्थान	ɾ BA äː d AB ʒ AB ə AJ s̪ AB t̪ʰ AC ä̃ː n̪ AF
राजस्थानी	ɾ BA äː d AB ʒ AB ə AJ s̪ AB t̪ʰ AC äː n̪ AF iː AJ
राजस्व	ɾ BA äː d AB ʒ AB ə AJ s̪ AB ʋ AI
राजहंस	ɾ BA äː d AB ʒʱ ə̃ AN n̪ AF s̪ AB
राज़	ɾ BA äː z AB
राज़ी	ɾ BA äː z AB iː AJ
राजा	ɾ BA äː d AB ʒ AB äː
राजेश	ɾ BA äː d AB ʒ AB eː AJ ʃ AB
राज्य	ɾ BA äː d AB ʒ AB j AA
राज्यपाल	ɾ BA äː d AB ʒ AB j AA ə AJ p AG äː l̪ AD
राज्यवार	ɾ BA äː d AB ʒ AB j AA ə AJ ʋ AI äː ɾ BA
राज्यानुसार	ɾ BA äː d AB ʒ AB j AA äː n̪ AF ʊ AK s̪ AB äː ɾ BA
रात	ɾ BA äː t̪ AB
रात्रि	ɾ BA äː t̪ AB ɾ BA iː AJ
रान	ɾ BA ä̃ː n̪ AF
रानी	ɾ BA äː n̪ AF iː AJ
राब्ता	ɾ BA äː b AG t̪ AB äː
राम	ɾ BA ä̃ː m AE
रामचंद्र	ɾ BA ä̃ː m AE t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA
रामबाण	ɾ BA ä̃ː m AE b AG ä̃ː ɳ AF
रामरज	ɾ BA ä̃ː m AE ɾ BA ə AJ d AB ʒ AB
रामलीला	ɾ BA ä̃ː m AE l̪ AD iː AJ l̪ AD äː
रामल्लाह	ɾ BA äː m AE ə AJ l̪ AD l̪ AD äː ɦ AL
रामायण	ɾ BA äː m AE äː j AA ə̃ AN ɳ AF
रामायणी	ɾ BA äː m AE äː j AA ə AJ ɳ AF iː AJ
राय	ɾ BA äː j AA
रायता	ɾ BA äː j AA t̪ AB äː
रार	ɾ BA äː ɾ BA
रावत	ɾ BA äː ʋ AI ə AJ t̪ AB
रावलपिंडी	ɾ BA äː ʋ AI ə AJ l̪ AD p AG ɪ̃ AN ɳ AF ɖ AB iː AJ
राशन	ɾ BA äː ʃ AB ə̃ AN n̪ AF
राशि	ɾ BA äː ʃ AB iː AJ
राशिफल	ɾ BA äː ʃ AB ɪ AJ pʰ AH ə AJ l̪ AD
राष्ट्र	ɾ BA äː ʃ AB ʈ AB ɾ BA
राष्ट्रगान	ɾ BA äː ʃ AB ʈ AB ɾ BA ə AJ ɡ AB ä̃ː n̪ AF
राष्ट्रपति	ɾ BA äː ʃ AB ʈ AB ɾ BA ə AJ p AG t̪ AB iː AJ
राष्ट्रपिता	ɾ BA äː ʃ AB ʈ AB ɾ BA ə AJ p AG ɪ AJ t̪ AB äː
राष्ट्रवाद	ɾ BA äː ʃ AB ʈ AB ɾ BA ə AJ ʋ AI äː d̪ AB
राष्ट्रीय	ɾ BA äː ʃ AB ʈ AB ɾ BA iː AJ j AA
रासो	ɾ BA äː s̪ AB oː AK
रास्ता	ɾ BA äː s̪ AB t̪ AB äː
राह	ɾ BA äː ɦ AL
राहत	ɾ BA äː ɦ AL ə AJ t̪ AB
राही	ɾ BA äː ɦ AL iː AJ
रिंच	ɾ BA ɪ̃ AN n̪ AF t AB ʃ AB
रिक्तिका	ɾ BA ɪ AJ k AB t̪ AB ɪ AJ k AB äː
रिक्शा	ɾ BA ɪ AJ k AB ʃ AB äː
रिक्शावाला	ɾ BA ɪ AJ k AB ʃ AB äː ʋ AI äː l̪ AD äː
रिज़ल्ट	ɾ BA ɪ AJ z AB ə AJ l̪ AD ʈ AB
रिमझिम	ɾ BA ɪ̃ AN m AE d AB ʒʱ ɪ̃ AN m AE
रियाज़	ɾ BA i AJ j AA äː z AB
रियाद	ɾ BA i AJ j AA äː d̪ AB
रियायत	ɾ BA i AJ j AA äː j AA ə AJ t̪ AB
रियासत	ɾ BA i AJ j AA äː s̪ AB ə AJ t̪ AB
रिवाज	ɾ BA ɪ AJ ʋ AI äː d AB ʒ AB
रिवाज़	ɾ BA ɪ AJ ʋ AI äː z AB
रिश्ता	ɾ BA ɪ AJ ʃ AB t̪ AB äː
रिश्तेदार	ɾ BA ɪ AJ ʃ AB t̪ AB eː AJ d̪ AB äː ɾ BA
रिसाला	ɾ BA ɪ AJ s̪ AB äː l̪ AD äː
रिहा	ɾ BA ɪ AJ ɦ AL äː
रिहाई	ɾ BA ɪ AJ ɦ AL äː iː AJ
रीट्वीट	ɾ BA iː AJ ʈ AB w AI iː AJ ʈ AB
रीता	ɾ BA iː AJ t̪ AB äː
रुकना	ɾ BA ʊ AK k AB n̪ AF äː
रुकावट	ɾ BA ʊ AK k AB äː ʋ AI ə AJ ʈ AB
रुग्णालय	ɾ BA ʊ AK ɡ AB ɳ AF äː l̪ AD ə AJ j AA
रुचिरा	ɾ BA ʊ AK t AB ʃ AB ɪ AJ ɾ BA äː
रुझान	ɾ BA ʊ AK d AB ʒʱ ä̃ː n̪ AF
रुद्रवीणा	ɾ BA ʊ AK d̪ AB ɾ BA ə AJ ʋ AI iː AJ ɳ AF äː
रुद्राक्ष	ɾ BA ʊ AK d̪ AB ɾ BA äː k AB ʃ AB
रुपया	ɾ BA ʊ AK p AG ə AJ j AA äː
रुलाना	ɾ BA ʊ AK l̪ AD äː n̪ AF äː
रूठना	ɾ BA uː AK ʈʰ AC n̪ AF äː
रूठा	ɾ BA uː AK ʈʰ AC äː
रूढ़िवाद	ɾ BA uː AK ɽʱ BB ɪ AJ ʋ AI äː d̪ AB
रूपरेखा	ɾ BA uː AK p AG ɾ BA eː AJ kʰ AC äː
रूबल	ɾ BA uː AK b AG ə AJ l̪ AD
रूमाल	ɾ BA uː AK m AE äː l̪ AD
रूस	ɾ BA uː AK s̪ AB
रूसी	ɾ BA uː AK s̪ AB iː AJ
रूहानियत	ɾ BA uː AK ɦ AL äː n̪ AF i AJ j AA ə AJ t̪ AB
रेंगना	ɾ BA ẽː ŋ AF ɡ AB n̪ AF äː
रेख़ता	ɾ BA eː AJ x AB t̪ AB äː
रेख़्ता	ɾ BA eː AJ x AB t̪ AB äː
रेखा	ɾ BA eː AJ kʰ AC äː
रेखाखंड	ɾ BA eː AJ kʰ AC äː kʰ AC ə̃ AN ɳ AF ɖ AB
रेज़गारी	ɾ BA eː AJ z AB ɡ AB äː ɾ BA iː AJ
रेडियो	ɾ BA eː AJ ɖ AB i AJ j AA oː AK
रेडॉन	ɾ BA eː AJ ɖ AB ɔ̃ AM n̪ AF
रेतना	ɾ BA eː AJ t̪̚ n̪ AF äː
रेल	ɾ BA eː AJ l̪ AD
रेलगाड़ी	ɾ BA eː AJ l̪ AD ɡ AB äː ɽ BA iː AJ
रेलवे	ɾ BA eː AJ l̪ AD ʋ AI eː AJ
रेस्तराँ	ɾ BA eː AJ s̪ AB t̪ AB ɾ BA ä̃ː
रैन	ɾ BA ɛ̃ː AN n̪ AF
रैनबसेरा	ɾ BA ɛ̃ː AN n̪ AF b AG ə AJ s̪ AB eː AJ ɾ BA äː
रोंगटा	ɾ BA õː ŋ AF ɡ AB ʈ AB äː
रोकड़िया	ɾ BA oː AK k AB ɽ BA i AJ j AA äː
रोकथाम	ɾ BA oː AK k AB t̪ʰ AC ä̃ː m AE
रोकना	ɾ BA oː AK k AB n̪ AF äː
रोका	ɾ BA oː AK k AB äː
रोज़गार	ɾ BA oː AK z AB ɡ AB äː ɾ BA
रोज़मर्रा	ɾ BA oː AK z AB m AE ə AJ ɾ BA ɾ BA äː
रोज़ा	ɾ BA oː AK z AB äː
रोज़ाना	ɾ BA oː AK z AB äː n̪ AF äː
रोड़ा	ɾ BA oː AK ɽ BA äː
रोपना	ɾ BA oː AK p AG n̪ AF äː
रोपाई	ɾ BA oː AK p AG äː iː AJ
रोमांच	ɾ BA oː AK m AE ä̃ː t AB ʃ AB
रोमांचक	ɾ BA oː AK m AE ä̃ː t AB ʃ AB ə AJ k AB
रोमानिया	ɾ BA oː AK m AE äː n̪ AF i AJ j AA äː
रोशनी	ɾ BA oː AK ʃ AB n̪ AF iː AJ
