Ⴁ	b
სტრუქტურული	s tʼ r u AC kʰ tʼ u AC r u AC l i AB
სტუდენტი	s tʼ u AC d ɛ AB n tʼ i AB
სტუდია	s tʼ u AC d i AB ɑ AB
სტუმართმოყვრულად	s tʼ u AC m ɑ AB r tʰ m ɔ AC qʼ v r u AC l ɑ AB d
სტუმრობა	s tʼ u AC m r ɔ AC b ɑ AB
სუ	s u AC
სუბიექტურად	s u AC b i AB ɛ AB kʰ tʼ u AC r ɑ AB d
სუბიექტური	s u AC b i AB ɛ AB kʰ tʼ u AC r i AB
სუბიექტურობა	s u AC b i AB ɛ AB kʰ tʼ u AC r ɔ AC b ɑ AB
სუბორდინაცია	s u AC b ɔ AC r d i AB n ɑ AB t s i AB ɑ AB
სუბსიდია	s u AC b s i AB d i AB ɑ AB
სუბსტანცია	s u AC b s tʼ ɑ AB n t s i AB ɑ AB
სუბსტრატი	s u AC b s tʼ r ɑ AB tʼ i AB
სუბტროპიკული	s u AC b tʼ r ɔ AC pʼ i AB kʼ u AC l i AB
სუდანი	s u AC d ɑ AB n i AB
სუდარა	s u AC d ɑ AB r ɑ AB
სუვენირი	s u AC v ɛ AB n i AB r i AB
სუზანი	s u AC z ɑ AB n i AB
სულ	s u AC l
სულგრძელად	s u AC l ɡ r d z ɛ AB l ɑ AB d
სულგრძელი	s u AC l ɡ r d z ɛ AB l i AB
სულგრძელობა	s u AC l ɡ r d z ɛ AB l ɔ AC b ɑ AB
სულგუნი	s u AC l ɡ u AC n i AB
სულელი	s u AC l ɛ AB l i AB
სულელობა	s u AC l ɛ AB l ɔ AC b ɑ AB
სულელურად	s u AC l ɛ AB l u AC r ɑ AB d
სულელური	s u AC l ɛ AB l u AC r i AB
სულთანი	s u AC l tʰ ɑ AB n i AB
სული	s u AC l i AB
სულიერად	s u AC l i AB ɛ AB r ɑ AB d
სულიერი	s u AC l i AB ɛ AB r i AB
სულმდაბალი	s u AC l m d ɑ AB b ɑ AB l i AB
სულმდაბლად	s u AC l m d ɑ AB b l ɑ AB d
სულმოკლე	s u AC l m ɔ AC kʼ l ɛ AB
სულმოკლეობა	s u AC l m ɔ AC kʼ l ɛ AB ɔ AC b ɑ AB
სულფატი	s u AC l pʰ ɑ AB tʼ i AB
სულფიდი	s u AC l pʰ i AB d i AB
სუნამო	s u AC n ɑ AB m ɔ AC
სუნელი	s u AC n ɛ AB l i AB
სუნთქავს	s u AC n tʰ kʰ ɑ AB v s
სუნთქვითი	s u AC n tʰ kʰ v i AB tʰ i AB
სუნი	s u AC n i AB
სუნიანი	s u AC n i AB ɑ AB n i AB
სუნსული	s u AC n s u AC l i AB
სუპერმარკეტი	s u AC pʼ ɛ AB r m ɑ AB r kʼ ɛ AB tʼ i AB
სუპერმენი	s u AC pʼ ɛ AB r m ɛ AB n i AB
სურა	s u AC r ɑ AB
სურავანდი	s u AC r ɑ AB v ɑ AB n d i AB
სურავანდიანი	s u AC r ɑ AB v ɑ AB n d i AB ɑ AB n i AB
სურათი	s u AC r ɑ AB tʰ i AB
სურამი	s u AC r ɑ AB m i AB
სურვილი	s u AC r v i AB l i AB
სურვილისამებრ	s u AC r v i AB l i AB s ɑ AB m ɛ AB b r
სურინამი	s u AC r i AB n ɑ AB m i AB
სურნელები	s u AC r n ɛ AB l ɛ AB b i AB
სურნელი	s u AC r n ɛ AB l i AB
სურნელოვანი	s u AC r n ɛ AB l ɔ AC v ɑ AB n i AB
სურო	s u AC r ɔ AC
სუროსფერი	s u AC r ɔ AC s pʰ ɛ AB r i AB
სურს	s u AC r s
სურსათი	s u AC r s ɑ AB tʰ i AB
სუსტად	s u AC s tʼ ɑ AB d
სუსტი	s u AC s tʼ i AB
სუსხიანად	s u AC s x i AB ɑ AB n ɑ AB d
სუსხიანი	s u AC s x i AB ɑ AB n i AB
სუტენიორი	s u AC tʼ ɛ AB n i AB ɔ AC r i AB
სუფთა	s u AC pʰ tʰ ɑ AB
სუფთად	s u AC pʰ tʰ ɑ AB d
სუფიქსი	s u AC pʰ i AB kʰ s i AB
სუფლე	s u AC pʰ l ɛ AB
სუფრა	s u AC pʰ r ɑ AB
სფერო	s pʰ ɛ AB r ɔ AC
სფეროიდი	s pʰ ɛ AB r ɔ AC i AB d i AB
სფერული	s pʰ ɛ AB r u AC l i AB
სფინქსი	s pʰ i AB n kʰ s i AB
სქელი	s kʰ ɛ AB l i AB
სქელკანიანი	s kʰ ɛ AB l kʼ ɑ AB n i AB ɑ AB n i AB
სქემა	s kʰ ɛ AB m ɑ AB
სქემატურად	s kʰ ɛ AB m ɑ AB tʼ u AC r ɑ AB d
სქემატური	s kʰ ɛ AB m ɑ AB tʼ u AC r i AB
სქოლასტიკა	s kʰ ɔ AC l ɑ AB s tʼ i AB kʼ ɑ AB
სქოლასტიკოსი	s kʰ ɔ AC l ɑ AB s tʼ i AB kʼ ɔ AC s i AB
სქოლასტიკური	s kʰ ɔ AC l ɑ AB s tʼ i AB kʼ u AC r i AB
სქოლიო	s kʰ ɔ AC l i AB ɔ AC
სცენა	s t s ɛ AB n ɑ AB
სცენარი	s t s ɛ AB n ɑ AB r i AB
სცენარისტი	s t s ɛ AB n ɑ AB r i AB s tʼ i AB
სცენური	s t s ɛ AB n u AC r i AB
სცილდება	s t s i AB l d ɛ AB b ɑ AB
სძმარავს	s d z m ɑ AB r ɑ AB v s
სძულს	s d z u AC l s
სწავლა	s t sʼ ɑ AB v l ɑ AB
სწავლება	s t sʼ ɑ AB v l ɛ AB b ɑ AB
სწავლობს	s t sʼ ɑ AB v l ɔ AC b s
სწერს	s t sʼ ɛ AB r s
სწორად	s t sʼ ɔ AC r ɑ AB d
სწორედ	s t sʼ ɔ AC r ɛ AB d
სწორი	s t sʼ ɔ AC r i AB
სწორკუთხა	s t sʼ ɔ AC r kʼ u AC tʰ x ɑ AB
სწორუპოვარი	s t sʼ ɔ AC r u AC pʼ ɔ AC v ɑ AB r i AB
სწორხაზოვანი	s t sʼ ɔ AC r x ɑ AB z ɔ AC v ɑ AB n i AB
სწრაფად	s t sʼ r ɑ AB pʰ ɑ AB d
სწრაფი	s t sʼ r ɑ AB pʰ i AB
სწრება	s t sʼ r ɛ AB b ɑ AB
სწყურია	s t sʼ qʼ u AC r i AB ɑ AB
სჭირდება	s t ʃʼ i AB r d ɛ AB b ɑ AB
სხალტბა	s x ɑ AB l tʼ b ɑ AB
სხდომა	s x d ɔ AC m ɑ AB
სხეული	s x ɛ AB u AC l i AB
სხვა	s x v ɑ AB
სხვაგვარად	s x v ɑ AB ɡ v ɑ AB r ɑ AB d
სხვადასხვა	s x v ɑ AB d ɑ AB s x v ɑ AB
სხვადასხვაგვარად	s x v ɑ AB d ɑ AB s x v ɑ AB ɡ v ɑ AB r ɑ AB d
სხვათაშორის	s x v ɑ AB tʰ ɑ AB ʃ ɔ AC r i AB s
სხვანაირად	s x v ɑ AB n ɑ AB i AB r ɑ AB d
სხვანაირი	s x v ɑ AB n ɑ AB i AB r i AB
სხვები	s x v ɛ AB b i AB
სხვენი	s x v ɛ AB n i AB
სხვისი	s x v i AB s i AB
სხივი	s x i AB v i AB
სხივოსანი	s x i AB v ɔ AC s ɑ AB n i AB
სხივურად	s x i AB v u AC r ɑ AB d
სხივური	s x i AB v u AC r i AB
სხმა	s x m ɑ AB
სჯა	s d ʒ ɑ AB
სჯის	s d ʒ i AB s
ტაბაკი	tʼ ɑ AB b ɑ AB kʼ i AB
ტაბლეტი	tʼ ɑ AB b l ɛ AB tʼ i AB
ტაბლო	tʼ ɑ AB b l ɔ AC
ტაბუ	tʼ ɑ AB b u AC
ტაბულატორი	tʼ ɑ AB b u AC l ɑ AB tʼ ɔ AC r i AB
ტაბურეტი	tʼ ɑ AB b u AC r ɛ AB tʼ i AB
ტავერნა	tʼ ɑ AB v ɛ AB r n ɑ AB
ტავტოლოგია	tʼ ɑ AB v tʼ ɔ AC l ɔ AC ɡ i AB ɑ AB
ტავტოლოგიური	tʼ ɑ AB v tʼ ɔ AC l ɔ AC ɡ i AB u AC r i AB
ტაივანი	tʼ ɑ AB i AB v ɑ AB n i AB
ტაილანდი	tʼ ɑ AB i AB l ɑ AB n d i AB
ტაიტი	tʼ ɑ AB i AB tʼ i AB
ტაიური	tʼ ɑ AB i AB u AC r i AB
ტაიფუნი	tʼ ɑ AB i AB pʰ u AC n i AB
ტაკელაჟი	tʼ ɑ AB kʼ ɛ AB l ɑ AB ʒ i AB
ტალავერი	tʼ ɑ AB l ɑ AB v ɛ AB r i AB
ტალანი	tʼ ɑ AB l ɑ AB n i AB
ტალანტი	tʼ ɑ AB l ɑ AB n tʼ i AB
ტალახი	tʼ ɑ AB l ɑ AB x i AB
ტალახიანი	tʼ ɑ AB l ɑ AB x i AB ɑ AB n i AB
ტალკი	tʼ ɑ AB l kʼ i AB
ტალღა	tʼ ɑ AB l ɣ ɑ AB
ტალღოვანი	tʼ ɑ AB l ɣ ɔ AC v ɑ AB n i AB
ტამბური	tʼ ɑ AB m b u AC r i AB
ტამბურინი	tʼ ɑ AB m b u AC r i AB n i AB
ტამპონი	tʼ ɑ AB m pʼ ɔ AC n i AB
ტამტამი	tʼ ɑ AB m tʼ ɑ AB m i AB
ტანადი	tʼ ɑ AB n ɑ AB d i AB
ტანადობა	tʼ ɑ AB n ɑ AB d ɔ AC b ɑ AB
ტანგო	tʼ ɑ AB n ɡ ɔ AC
ტანვარჯიში	tʼ ɑ AB n v ɑ AB r d ʒ i AB ʃ i AB
ტანზანია	tʼ ɑ AB n z ɑ AB n i AB ɑ AB
ტანი	tʼ ɑ AB n i AB
ტანინი	tʼ ɑ AB n i AB n i AB
ტანკერი	tʼ ɑ AB n kʼ ɛ AB r i AB
ტანმოვარჯიშე	tʼ ɑ AB n m ɔ AC v ɑ AB r d ʒ i AB ʃ ɛ AB
ტანსაცმელი	tʼ ɑ AB n s ɑ AB t s m ɛ AB l i AB
ტანტალი	tʼ ɑ AB n tʼ ɑ AB l i AB
ტანწერწეტა	tʼ ɑ AB n t sʼ ɛ AB r t sʼ ɛ AB tʼ ɑ AB
ტანჯავს	tʼ ɑ AB n d ʒ ɑ AB v s
ტარა	tʼ ɑ AB r ɑ AB
ტარაკანი	tʼ ɑ AB r ɑ AB kʼ ɑ AB n i AB
ტარანტული	tʼ ɑ AB r ɑ AB n tʼ u AC l i AB
ტარება	tʼ ɑ AB r ɛ AB b ɑ AB
ტარებადი	tʼ ɑ AB r ɛ AB b ɑ AB d i AB
ტარი	tʼ ɑ AB r i AB
ტარიგი	tʼ ɑ AB r i AB ɡ i AB
ტარიფი	tʼ ɑ AB r i AB pʰ i AB
ტარო	tʼ ɑ AB r ɔ AC
ტარსიკონი	tʼ ɑ AB r s i AB kʼ ɔ AC n i AB
ტარსონი	tʼ ɑ AB r s ɔ AC n i AB
ტარხუნა	tʼ ɑ AB r x u AC n ɑ AB
ტასმანია	tʼ ɑ AB s m ɑ AB n i AB ɑ AB
ტაფა	tʼ ɑ AB pʰ ɑ AB
ტაფტა	tʼ ɑ AB pʰ tʼ ɑ AB
ტაქსი	tʼ ɑ AB kʰ s i AB
ტაქსომეტრი	tʼ ɑ AB kʰ s ɔ AC m ɛ AB tʼ r i AB
ტაქტი	tʼ ɑ AB kʰ tʼ i AB
ტაქტიანად	tʼ ɑ AB kʰ tʼ i AB ɑ AB n ɑ AB d
ტაქტიანი	tʼ ɑ AB kʰ tʼ i AB ɑ AB n i AB
ტაქტიკა	tʼ ɑ AB kʰ tʼ i AB kʼ ɑ AB
ტაქტიკოსი	tʼ ɑ AB kʰ tʼ i AB kʼ ɔ AC s i AB
ტაქტიკურად	tʼ ɑ AB kʰ tʼ i AB kʼ u AC r ɑ AB d
ტაქტიკური	tʼ ɑ AB kʰ tʼ i AB kʼ u AC r i AB
ტაში	tʼ ɑ AB ʃ i AB
ტაშკენტი	tʼ ɑ AB ʃ kʼ ɛ AB n tʼ i AB
ტაშტი	tʼ ɑ AB ʃ tʼ i AB
ტაძარი	tʼ ɑ AB d z ɑ AB r i AB
ტაძარმა	tʼ ɑ AB d z ɑ AB r m ɑ AB
ტაძარს	tʼ ɑ AB d z ɑ AB r s
ტაძრად	tʼ ɑ AB d z r ɑ AB d
ტაძრით	tʼ ɑ AB d z r i AB tʰ
ტაძრის	tʼ ɑ AB d z r i AB s
ტახტი	tʼ ɑ AB x tʼ i AB
ტაჯიკეთი	tʼ ɑ AB d ʒ i AB kʼ ɛ AB tʰ i AB
ტბა	tʼ b ɑ AB
ტბორი	tʼ b ɔ AC r i AB
ტევადი	tʼ ɛ AB v ɑ AB d i AB
ტევადობა	tʼ ɛ AB v ɑ AB d ɔ AC b ɑ AB
ტევრი	tʼ ɛ AB v r i AB
ტელეგადაცემა	tʼ ɛ AB l ɛ AB ɡ ɑ AB d ɑ AB t s ɛ AB m ɑ AB
ტელეგრამა	tʼ ɛ AB l ɛ AB ɡ r ɑ AB m ɑ AB
ტელეგრაფი	tʼ ɛ AB l ɛ AB ɡ r ɑ AB pʰ i AB
ტელეგრაფია	tʼ ɛ AB l ɛ AB ɡ r ɑ AB pʰ i AB ɑ AB
ტელეგრაფისტი	tʼ ɛ AB l ɛ AB ɡ r ɑ AB pʰ i AB s tʼ i AB
ტელეგრაფიულად	tʼ ɛ AB l ɛ AB ɡ r ɑ AB pʰ i AB u AC l ɑ AB d
ტელევიზია	tʼ ɛ AB l ɛ AB v i AB z i AB ɑ AB
ტელეოლოგიური	tʼ ɛ AB l ɛ AB ɔ AC l ɔ AC ɡ i AB u AC r i AB
ტელესკოპი	tʼ ɛ AB l ɛ AB s kʼ ɔ AC pʼ i AB
ტელესკოპურად	tʼ ɛ AB l ɛ AB s kʼ ɔ AC pʼ u AC r ɑ AB d
ტელესკოპური	tʼ ɛ AB l ɛ AB s kʼ ɔ AC pʼ u AC r i AB
ტელეფონი	tʼ ɛ AB l ɛ AB pʰ ɔ AC n i AB
ტელეფონირება	tʼ ɛ AB l ɛ AB pʰ ɔ AC n i AB r ɛ AB b ɑ AB
ტელეფონისტი	tʼ ɛ AB l ɛ AB pʰ ɔ AC n i AB s tʼ i AB
ტელეწამყვანი	tʼ ɛ AB l ɛ AB t sʼ ɑ AB m qʼ v ɑ AB n i AB
ტელუგუ	tʼ ɛ AB l u AC ɡ u AC
ტელური	tʼ ɛ AB l u AC r i AB
ტემბრი	tʼ ɛ AB m b r i AB
ტემპერამენტი	tʼ ɛ AB m pʼ ɛ AB r ɑ AB m ɛ AB n tʼ i AB
ტემპერამენტულად	tʼ ɛ AB m pʼ ɛ AB r ɑ AB m ɛ AB n tʼ u AC l ɑ AB d
ტემპერატურა	tʼ ɛ AB m pʼ ɛ AB r ɑ AB tʼ u AC r ɑ AB
ტენა	tʼ ɛ AB n ɑ AB
ტენდენცია	tʼ ɛ AB n d ɛ AB n t s i AB ɑ AB
ტენდენციურად	tʼ ɛ AB n d ɛ AB n t s i AB u AC r ɑ AB d
ტენდენციური	tʼ ɛ AB n d ɛ AB n t s i AB u AC r i AB
ტენიანობა	tʼ ɛ AB n i AB ɑ AB n ɔ AC b ɑ AB
ტენისი	tʼ ɛ AB n i AB s i AB
ტენორი	tʼ ɛ AB n ɔ AC r i AB
ტენტი	tʼ ɛ AB n tʼ i AB
ტერასა	tʼ ɛ AB r ɑ AB s ɑ AB
ტერბიუმი	tʼ ɛ AB r b i AB u AC m i AB
ტერეზა	tʼ ɛ AB r ɛ AB z ɑ AB
ტერი	tʼ ɛ AB r i AB
ტერიტორია	tʼ ɛ AB r i AB tʼ ɔ AC r i AB ɑ AB
ტერიტორიული	tʼ ɛ AB r i AB tʼ ɔ AC r i AB u AC l i AB
ტერმინი	tʼ ɛ AB r m i AB n i AB
ტერმინოლოგია	tʼ ɛ AB r m i AB n ɔ AC l ɔ AC ɡ i AB ɑ AB
ტერმიტი	tʼ ɛ AB r m i AB tʼ i AB
ტერორი	tʼ ɛ AB r ɔ AC r i AB
ტერორიზმი	tʼ ɛ AB r ɔ AC r i AB z m i AB
ტერორისტი	tʼ ɛ AB r ɔ AC r i AB s tʼ i AB
ტერფი	tʼ ɛ AB r pʰ i AB
ტეტანუსი	tʼ ɛ AB tʼ ɑ AB n u AC s i AB
ტექნეციუმი	tʼ ɛ AB kʰ n ɛ AB t s i AB u AC m i AB
ტექნიკა	tʼ ɛ AB kʰ n i AB kʼ ɑ AB
ტექნიკურად	tʼ ɛ AB kʰ n i AB kʼ u AC r ɑ AB d
ტექნიკური	tʼ ɛ AB kʰ n i AB kʼ u AC r i AB
ტექნოლოგი	tʼ ɛ AB kʰ n ɔ AC l ɔ AC ɡ i AB
ტექნოლოგია	tʼ ɛ AB kʰ n ɔ AC l ɔ AC ɡ i AB ɑ AB
ტექნოლოგიური	tʼ ɛ AB kʰ n ɔ AC l ɔ AC ɡ i AB u AC r i AB
ტექსტი	tʼ ɛ AB kʰ s tʼ i AB
ტექსტილი	tʼ ɛ AB kʰ s tʼ i AB l i AB
ტექტონა	tʼ ɛ AB kʰ tʼ ɔ AC n ɑ AB
ტეხა	tʼ ɛ AB x ɑ AB
ტეხადი	tʼ ɛ AB x ɑ AB d i AB
ტეხავს	tʼ ɛ AB x ɑ AB v s
ტეხასი	tʼ ɛ AB x ɑ AB s i AB
ტეხს	tʼ ɛ AB x s
ტვინად	tʼ v i AB n ɑ AB d
ტვინებად	tʼ v i AB n ɛ AB b ɑ AB d
ტვინები	tʼ v i AB n ɛ AB b i AB
ტვინებით	tʼ v i AB n ɛ AB b i AB tʰ
ტვინების	tʼ v i AB n ɛ AB b i AB s
ტვინებმა	tʼ v i AB n ɛ AB b m ɑ AB
ტვინებო	tʼ v i AB n ɛ AB b ɔ AC
ტვინებს	tʼ v i AB n ɛ AB b s
ტვინთ	tʼ v i AB n tʰ
ტვინი	tʼ v i AB n i AB
ტვინით	tʼ v i AB n i AB tʰ
ტვინის	tʼ v i AB n i AB s
ტვინმა	tʼ v i AB n m ɑ AB
ტვინნი	tʼ v i AB n n i AB
ტვინნო	tʼ v i AB n n ɔ AC
ტვინო	tʼ v i AB n ɔ AC
ტვინს	tʼ v i AB n s
ტვირთვა	tʼ v i AB r tʰ v ɑ AB
ტვირთი	tʼ v i AB r tʰ i AB
ტიბეტური	tʼ i AB b ɛ AB tʼ u AC r i AB
ტიგელი	tʼ i AB ɡ ɛ AB l i AB
ტივი	tʼ i AB v i AB
ტივტივა	tʼ i AB v tʼ i AB v ɑ AB
ტივტივით	tʼ i AB v tʼ i AB v i AB tʰ
ტიკი	tʼ i AB kʼ i AB
ტილი	tʼ i AB l i AB
ტილიანი	tʼ i AB l i AB ɑ AB n i AB
ტილო	tʼ i AB l ɔ AC
ტიმი	tʼ i AB m i AB
ტიმოთელა	tʼ i AB m ɔ AC tʰ ɛ AB l ɑ AB
ტიპის	tʼ i AB pʼ i AB s
ტიპმა	tʼ i AB pʼ m ɑ AB
ტიპოგრაფია	tʼ i AB pʼ ɔ AC ɡ r ɑ AB pʰ i AB ɑ AB
ტიპოგრაფიულად	tʼ i AB pʼ ɔ AC ɡ r ɑ AB pʰ i AB u AC l ɑ AB d
ტიპოგრაფიული	tʼ i AB pʼ ɔ AC ɡ r ɑ AB pʰ i AB u AC l i AB
ტიპოლოგია	tʼ i AB pʼ ɔ AC l ɔ AC ɡ i AB ɑ AB
ტიპს	tʼ i AB pʼ s
ტიპურად	tʼ i AB pʼ u AC r ɑ AB d
ტიპური	tʼ i AB pʼ u AC r i AB
ტირადა	tʼ i AB r ɑ AB d ɑ AB
ტირანი	tʼ i AB r ɑ AB n i AB
ტირანია	tʼ i AB r ɑ AB n i AB ɑ AB
ტირანული	tʼ i AB r ɑ AB n u AC l i AB
ტირაჟი	tʼ i AB r ɑ AB ʒ i AB
ტირე	tʼ i AB r ɛ AB
ტირილი	tʼ i AB r i AB l i AB
ტირის	tʼ i AB r i AB s
ტირიფი	tʼ i AB r i AB pʰ i AB
ტიტა	tʼ i AB tʼ ɑ AB
ტიტანი	tʼ i AB tʼ ɑ AB n i AB
ტიტანური	tʼ i AB tʼ ɑ AB n u AC r i AB
ტიტველი	tʼ i AB tʼ v ɛ AB l i AB
ტიტრი	tʼ i AB tʼ r i AB
ტიტული	tʼ i AB tʼ u AC l i AB
ტიული	tʼ i AB u AC l i AB
ტიფლისი	tʼ i AB pʰ l i AB s i AB
ტიხარი	tʼ i AB x ɑ AB r i AB
ტკაცანი	tʼ kʼ ɑ AB t s ɑ AB n i AB
ტკაცანით	tʼ kʼ ɑ AB t s ɑ AB n i AB tʰ
ტკაცუნა	tʼ kʼ ɑ AB t s u AC n ɑ AB
ტკაცუნი	tʼ kʼ ɑ AB t s u AC n i AB
ტკბილად	tʼ kʼ b i AB l ɑ AB d
ტკბილეული	tʼ kʼ b i AB l ɛ AB u AC l i AB
ტკბილეულობა	tʼ kʼ b i AB l ɛ AB u AC l ɔ AC b ɑ AB
ტკბილი	tʼ kʼ b i AB l i AB
ტკბილმოუბარი	tʼ kʼ b i AB l m ɔ AC u AC b ɑ AB r i AB
ტკენს	tʼ kʼ ɛ AB n s
ტკივილი	tʼ kʼ i AB v i AB l i AB
ტკივილის	tʼ kʼ i AB v i AB l i AB s
ტკივილმა	tʼ kʼ i AB v i AB l m ɑ AB
ტკივილს	tʼ kʼ i AB v i AB l s
ტკიპა	tʼ kʼ i AB pʼ ɑ AB
ტლანქი	tʼ l ɑ AB n kʰ i AB
ტლიკინი	tʼ l i AB kʼ i AB n i AB
ტო	tʼ ɔ AC
ტობი	tʼ ɔ AC b i AB
ტოგა	tʼ ɔ AC ɡ ɑ AB
ტოგო	tʼ ɔ AC ɡ ɔ AC
ტოვება	tʼ ɔ AC v ɛ AB b ɑ AB
ტოკიო	tʼ ɔ AC kʼ i AB ɔ AC
ტოლგვერდა	tʼ ɔ AC l ɡ v ɛ AB r d ɑ AB
ტოლი	tʼ ɔ AC l i AB
ტოლმა	tʼ ɔ AC l m ɑ AB
ტოლობა	tʼ ɔ AC l ɔ AC b ɑ AB
ტოლუმბაში	tʼ ɔ AC l u AC m b ɑ AB ʃ i AB
ტოლფასი	tʼ ɔ AC l pʰ ɑ AB s i AB
ტოლჩა	tʼ ɔ AC l t ʃ ɑ AB
ტომარა	tʼ ɔ AC m ɑ AB r ɑ AB
ტომი	tʼ ɔ AC m i AB
ტომობრივი	tʼ ɔ AC m ɔ AC b r i AB v i AB
ტონა	tʼ ɔ AC n ɑ AB
ტონალობა	tʼ ɔ AC n ɑ AB l ɔ AC b ɑ AB
ტონაჟი	tʼ ɔ AC n ɑ AB ʒ i AB
ტონგა	tʼ ɔ AC n ɡ ɑ AB
ტონი	tʼ ɔ AC n i AB
ტოპაზი	tʼ ɔ AC pʼ ɑ AB z i AB
ტოპოგრაფი	tʼ ɔ AC pʼ ɔ AC ɡ r ɑ AB pʰ i AB
ტოპოგრაფია	tʼ ɔ AC pʼ ɔ AC ɡ r ɑ AB pʰ i AB ɑ AB
ტოპოგრაფიულად	tʼ ɔ AC pʼ ɔ AC ɡ r ɑ AB pʰ i AB u AC l ɑ AB d
ტოპოგრაფიული	tʼ ɔ AC pʼ ɔ AC ɡ r ɑ AB pʰ i AB u AC l i AB
ტორეადორი	tʼ ɔ AC r ɛ AB ɑ AB d ɔ AC r i AB
ტორი	tʼ ɔ AC r i AB
ტოროლა	tʼ ɔ AC r ɔ AC l ɑ AB
ტორპედო	tʼ ɔ AC r pʼ ɛ AB d ɔ AC
ტორსი	tʼ ɔ AC r s i AB
ტორტი	tʼ ɔ AC r tʼ i AB
ტორფი	tʼ ɔ AC r pʰ i AB
ტორფიანი	tʼ ɔ AC r pʰ i AB ɑ AB n i AB
ტორფნარი	tʼ ɔ AC r pʰ n ɑ AB r i AB
ტოტალიზატორი	tʼ ɔ AC tʼ ɑ AB l i AB z ɑ AB tʼ ɔ AC r i AB
ტოტებიანი	tʼ ɔ AC tʼ ɛ AB b i AB ɑ AB n i AB
ტოტემი	tʼ ɔ AC tʼ ɛ AB m i AB
ტოტი	tʼ ɔ AC tʼ i AB
ტოქსიკოლოგი	tʼ ɔ AC kʰ s i AB kʼ ɔ AC l ɔ AC ɡ i AB
ტოქსიკოლოგია	tʼ ɔ AC kʰ s i AB kʼ ɔ AC l ɔ AC ɡ i AB ɑ AB
ტოქსიკური	tʼ ɔ AC kʰ s i AB kʼ u AC r i AB
ტოქსიკურობა	tʼ ɔ AC kʰ s i AB kʼ u AC r ɔ AC b ɑ AB
ტრაბახი	tʼ r ɑ AB b ɑ AB x i AB
ტრაბახით	tʼ r ɑ AB b ɑ AB x i AB tʰ
ტრაგედია	tʼ r ɑ AB ɡ ɛ AB d i AB ɑ AB
ტრაგიკომედია	tʼ r ɑ AB ɡ i AB kʼ ɔ AC m ɛ AB d i AB ɑ AB
ტრაგიკოსი	tʼ r ɑ AB ɡ i AB kʼ ɔ AC s i AB
ტრაგიკულად	tʼ r ɑ AB ɡ i AB kʼ u AC l ɑ AB d
ტრაგიკული	tʼ r ɑ AB ɡ i AB kʼ u AC l i AB
ტრადიცია	tʼ r ɑ AB d i AB t s i AB ɑ AB
ტრადიციულად	tʼ r ɑ AB d i AB t s i AB u AC l ɑ AB d
ტრადიციული	tʼ r ɑ AB d i AB t s i AB u AC l i AB
ტრაექტორია	tʼ r ɑ AB ɛ AB kʰ tʼ ɔ AC r i AB ɑ AB
ტრავერსზე	tʼ r ɑ AB v ɛ AB r s z ɛ AB
ტრავმა	tʼ r ɑ AB v m ɑ AB
ტრავმატული	tʼ r ɑ AB v m ɑ AB tʼ u AC l i AB
ტრაკი	tʼ r ɑ AB kʼ i AB
ტრალი	tʼ r ɑ AB l i AB
ტრამვა	tʼ r ɑ AB m v ɑ AB
ტრამვაი	tʼ r ɑ AB m v ɑ AB i AB
ტრამპლინი	tʼ r ɑ AB m pʼ l i AB n i AB
ტრანზისტორი	tʼ r ɑ AB n z i AB s tʼ ɔ AC r i AB
ტრანზიტი	tʼ r ɑ AB n z i AB tʼ i AB
ტრანსგრესია	tʼ r ɑ AB n s ɡ r ɛ AB s i AB ɑ AB
ტრანსი	tʼ r ɑ AB n s i AB
ტრანსკრიფცია	tʼ r ɑ AB n s kʼ r i AB pʰ t s i AB ɑ AB
ტრანსლაცია	tʼ r ɑ AB n s l ɑ AB t s i AB ɑ AB
ტრანსპარანტი	tʼ r ɑ AB n s pʼ ɑ AB r ɑ AB n tʼ i AB
ტრანსპორტი	tʼ r ɑ AB n s pʼ ɔ AC r tʼ i AB
ტრანსპორტირი	tʼ r ɑ AB n s pʼ ɔ AC r tʼ i AB r i AB
ტრანსცენდენტულად	tʼ r ɑ AB n s t s ɛ AB n d ɛ AB n tʼ u AC l ɑ AB d
ტრანშეა	tʼ r ɑ AB n ʃ ɛ AB ɑ AB
ტრაპეცია	tʼ r ɑ AB pʼ ɛ AB t s i AB ɑ AB
ტრაფარეტი	tʼ r ɑ AB pʰ ɑ AB r ɛ AB tʼ i AB
ტრაქეა	tʼ r ɑ AB kʰ ɛ AB ɑ AB
ტრაქტატი	tʼ r ɑ AB kʰ tʼ ɑ AB tʼ i AB
ტრაქტი	tʼ r ɑ AB kʰ tʼ i AB
ტრაქტორი	tʼ r ɑ AB kʰ tʼ ɔ AC r i AB
ტრიადა	tʼ r i AB ɑ AB d ɑ AB
ტრიალებს	tʼ r i AB ɑ AB l ɛ AB b s
ტრიალი	tʼ r i AB ɑ AB l i AB
ტრიბუნა	tʼ r i AB b u AC n ɑ AB
ტრიბუნალი	tʼ r i AB b u AC n ɑ AB l i AB
ტრიბუნი	tʼ r i AB b u AC n i AB
ტრივიალურად	tʼ r i AB v i AB ɑ AB l u AC r ɑ AB d
ტრივიალური	tʼ r i AB v i AB ɑ AB l u AC r i AB
ტრიკი	tʼ r i AB kʼ i AB
