ँ	ə̃
मुर्ग़ाबी	m ʊ ɾ ɣ äː b iː
मुर्दन	m ʊ ɾ d̪ ə̃ n̪
मुर्दा	m ʊ ɾ d̪ äː
मुलाक़ात	m ʊ l̪ äː q äː t̪
मुलाज़िम	m ʊ l̪ äː z ɪ̃ m
मुलायम	m ʊ l̪ äː j ə̃ m
मुल्तान	m ʊ l̪ t̪ ä̃ː n̪
मुल्तानी	m ʊ l̪ t̪ äː n̪ iː
मुल्ला	m ʊ l̪ l̪ äː
मुशायरा	m ʊ ʃ äː j ɾ äː
मुश्ताक़	m ʊ ʃ t̪ äː q
मुष्टि	m ʊ ʃ ʈ iː
मुसलमान	m ʊ s̪ ə l̪ m ä̃ː n̪
मुसल्ला	m ʊ s̪ ə l̪ l̪ äː
मुसाफ़िर	m ʊ s̪ äː pʰ ɪ ɾ
मुसीबत	m ʊ s̪ iː b ə t̪
मुस्कुराना	m ʊ s̪ k ʊ ɾ äː n̪ äː
मुस्टंडा	m ʊ s̪ ʈ ə̃ ɳ ɖ äː
मुस्तक़बिल	m ʊ s̪ t̪ ə q b ɪ l̪
मुस्लिम	m ʊ s̪ l̪ ɪ̃ m
मुहतरम	m ɔ ɦ ɔ t̪ ɾ ə̃ m
मुहब्बत	m ɔ ɦ ɔ b̚ b ə t̪
मुहम्मद	m ɔ ɦ ɔ̃ m m ə d̪
मुहर	m ɔ ɦ ɔ ɾ
मुहर्रम	m ɔ ɦ ɔ ɾ ɾ ə̃ m
मुहाजिर	m ʊ ɦ äː d ʒ ɪ ɾ
मुहाफ़ज़ाह	m ʊ ɦ äː pʰ d ʒ äː ɦ
मुहावरा	m ʊ ɦ äː ʋ ɾ äː
मुहिम	m ʊ ɦ ɪ̃ m
मुहैया	m ɔ ɦ ɔ̯ i j äː
मूँग	m ũː ŋ ɡ
मूँगफली	m ũː ŋ ɡ pʰ ə l̪ iː
मूंग	m ũː ŋ ɡ
मूतना	m uː t̪̚ n̪ äː
मूत्रमार्ग	m uː t̪ ɾ ə m äː ɾ ɡ
मूत्राशय	m uː t̪ ɾ äː ʃ ə j
मूर्खता	m uː ɾ kʰ ə t̪ äː
मूर्खतापूर्ण	m uː ɾ kʰ t̪ äː p uː ɾ ɳ
मूर्छन	m uː ɾ t ʃʰ ə̃ n̪
मूर्छा	m uː ɾ t ʃʰ äː
मूर्तिपूजा	m uː ɾ t̪ ɪ p uː d ʒ äː
मूर्तिमान	m uː ɾ t̪ iː m ä̃ː n̪
मूर्धन्य	m uː ɾ d̪ʱ ə̃ n̪ j
मूलतः	m uː l̪ t̪ ə ɦ
मूलाक्षर	m uː l̪ äː k ʃ ə ɾ
मूलाधार	m uː l̪ äː d̪ʱ äː ɾ
मूली	m uː l̪ iː
मूल्य	m uː l̪ j
मूल्यवान	m uː l̪ j ə ʋ ä̃ː n̪
मूल्यांकन	m uː l̪ j ä̃ː k ə̃ n̪
मूस	m uː s̪
मूसल	m uː s̪ ə l̪
मूसलधार	m uː s̪ ə l̪ d̪ʱ äː ɾ
मूसा	m uː s̪ äː
मृगतृष्णा	m ɾ ɪ ɡ t̪ ɾ ɪ ʃ ɳ äː
मृतप्राय	m ɾ ɪ t̪ p ɾ äː j
मृत्युदंड	m ɾ ɪ t̪ j ʊ d̪ ə̃ ɳ ɖ
मृदुता	m ɾ ɪ d̪ ʊ t̪ äː
मेंडक	m ẽː ɳ ɖ ə k
मेंढक	m ẽː ɳ ɖʱ ə k
मेंढ्र	m ẽː ɳ ɖʱ ɾ
मेक्सिको	m eː k s̪ ɪ k oː
मेघालय	m eː ɡʱ äː l̪ ə j
मेज़बान	m eː z b ä̃ː n̪
मेमना	m ẽː m n̪ äː
मेरा	m eː ɾ äː
मेरुदंड	m eː ɾ ʊ d̪ ə̃ ɳ ɖ
मेल	m eː l̪
मेलबॉर्न	m eː l̪ b ɔ ɾ n̪
मेला	m eː l̪ äː
मेवा	m eː ʋ äː
मेवाड़	m eː ʋ äː ɽ
मेष	m eː ʃ
मेहंदी	m eː ɦ n̪ d̪ iː
मेहनत	m ɛ ɦ n̪ ə t̪
मेहनती	m eː ɦ ə̃ n̪ t̪ iː
मेहमान	m eː ɦ m ä̃ː n̪
मेहमानदारी	m eː ɦ m ä̃ː n̪ d̪ äː ɾ iː
मेहमाननवाज़ी	m eː ɦ m ä̃ː n̪ n̪ ə ʋ äː z iː
मेहरबानी	m eː ɦ ɾ b äː n̪ iː
मैं	m ə ɪ̯
मैंने	m ɛ̃ː n̪ eː
मैथुन	m ɛː t̪ʰ ʊ̃ n̪
मैदा	m ɛː d̪ äː
मैदान	m ɛː d̪ ä̃ː n̪
मैनचेस्टर	m ɛ̃ː n̪ t ʃ eː s̪ ʈ ə ɾ
मैना	m ɛː n̪ äː
मैनेजर	m ɛː n̪ eː d ʒ ə ɾ
मैलवेयर	m ɛː l̪ ʋ eː j ə ɾ
मैला	m ɛː l̪ äː
मैसिडोनिया	m ɛː s̪ ɪ ɖ oː n̪ i j äː
मैसूर	m ɛː s̪ uː ɾ
मॉड्यूल	m ɔ ɖ j uː l̪
मॉरीतानिया	m ɔ ɾ iː t̪ äː n̪ i j äː
मॉल	m ɔ l̪
मोंटेनीगरो	m õː ɳ ʈ eː n̪ iː ɡ ɾ oː
मोज़ा	m oː z äː
मोज़ांबीक	m oː z ä̃ː m b iː k
मोड़ना	m oː ɽ n̪ äː
मोनाको	m oː n̪ äː k oː
मोबाइल	m oː b äː ɪ l̪
मोबिलिटी	m oː b ɪ l̪ ɪ ʈ iː
मोम	m õː m
मोमबत्ती	m õː m b ə t̪̚ t̪ iː
मोरक्को	m oː ɾ ə k̚ k oː
मोरनी	m oː ɾ n̪ iː
मोर्चा	m oː ɾ t ʃ äː
मोल	m oː l̪
मोहताज	m oː ɦ t̪ äː d ʒ
मोहना	m oː ɦ n̪ äː
मोहरा	m oː ɦ ɾ äː
मोहलत	m ɔ ɦ l̪ ə t̪
मौक़ा	m ɔː q äː
मौजूदा	m ɔː d ʒ uː d̪ äː
मौन	m ɔ̃ː n̪
मौलवी	m ɔː l̪ ʋ iː
मौला	m ɔː l̪ äː
मौलाना	m ɔː l̪ äː n̪ äː
मौलिक	m ɔː l̪ ɪ k
मौसंबी	m ɔː s̪ ə̃ m b iː
मौसम	m ɔː s̪ ə̃ m
मौसमी	m ɔː s̪ m iː
मौसमीपन	m ɔː s̪ m iː p ə̃ n̪
मौसा	m ɔː s̪ äː
मौसी	m ɔː s̪ iː
मौसीक़ी	m ɔː s̪ iː q iː
म्यान	m j ä̃ː n̪
म्यानमार	m j ä̃ː n̪ m äː ɾ
म्यान्मा	m j ä̃ː n̪ m äː
म्लेच्छ	m l̪ eː t̚ t ʃʰ
यंत्र	j ə̃ n̪ t̪ ɾ ə
यंत्रीकृत	j ə̃ n̪ t̪ ɾ iː k ɾ ɪ t̪
यक़ीनन	j ə q iː n̪ ə̃ n̪
यज्ञकर्ता	j ə ɡ j ə k ə ɾ t̪ äː
यतीम	j ə t̪ ĩː m
यतीमख़ाना	j ə t̪ ĩː m x äː n̪ äː
यत्न	j ə t̪̚ n̪
यथा	j ə t̪ʰ äː
यथाक्रम	j ə t̪ʰ äː k ɾ ə̃ m
यथारूप	j ə t̪ʰ äː ɾ uː p
यथार्थ	j ə t̪ʰ äː ɾ t̪ʰ
यथार्थता	j ə t̪ʰ äː ɾ t̪ʰ ə t̪ äː
यम	j ə̃ m
यमन	j ə m ə̃ n̪
यमराज	j ə̃ m ɾ äː d ʒ
यमुना	j ə m ʊ n̪ äː
यरुशलम	j ə ɾ ʊ ʃ ə l̪ ə̃ m
यवनिका	j ə ʋ n̪ ɪ k äː
यवशर्करा	j ə ʋ ʃ ə ɾ k ə ɾ äː
यशायाह	j ə ʃ äː j äː ɦ
यहाँ	j ə ɦ ä̃ː
यहेज़क़ेल	j ə ɦ eː z q eː l̪
या	j äː
यांत्रिक	j ä̃ː n̪ t̪ ɾ ɪ k
यांत्रिकी	j ä̃ː n̪ t̪ ɾ ɪ k iː
याचिका	j äː t ʃ ɪ k äː
याजक	j äː d ʒ ə k
यातायात	j äː t̪ äː j äː t̪
यातु	j äː t̪ uː
यात्रा	j äː t̪ ɾ äː
यात्री	j äː t̪ ɾ iː
याद	j äː d̪
यादगार	j äː d̪ ɡ äː ɾ
याददाश्त	j äː d̪̚ d̪ äː ʃ t̪
यादाश्त	j äː d̪ äː ʃ t̪
यादृच्छिक	j äː d̪ ɾ ɪ t̚ t ʃʰ ɪ k
यान	j ä̃ː n̪
यानाति	j äː n̪ äː t̪ iː
यानी	j äː n̪ iː
यार	j äː ɾ
यिर्मियाह	j ɪ ɾ m i j äː ɦ
युगल	j ʊ ɡ ə l̪
युग्मनज	j ʊ ɡ m ə n̪ ə d ʒ
युद्धक	j ʊ d̪̚ d̪ʱ ə k
युद्धकाल	j ʊ d̪̚ d̪ʱ k äː l̪
युद्धक्षेत्र	j ʊ d̪ d̪ʱ k ʃ eː t̪ ɾ
युद्धनीति	j ʊ d̪̚ d̪ʱ n̪ iː t̪ iː
युद्धप्रिय	j ʊ d̪̚ d̪ʱ p ɾ i j
युद्धबंदी	j ʊ d̪ d̪ʱ b ə̃ n̪ d̪ iː
युद्धस्थल	j ʊ d̪ d̪ʱ s̪ t̪ʰ ə l̪
युवा	j ʊ ʋ äː
युवावस्था	j ʊ ʋ äː ʋ ə s̪ t̪ʰ äː
यूक्रेन	j uː k ɾ ẽː n̪
यूनान	j uː n̪ ä̃ː n̪
यूनानी	j uː n̪ äː n̪ iː
यूनिकोड	j uː n̪ ɪ k oː ɖ
यूनिवर्सिटी	j uː n̪ ɪ ʋ ə ɾ s̪ ɪ ʈ iː
यूरेनियम	j uː ɾ eː n̪ i j ə̃ m
यूहन्ना	j uː ɦ ə̃ n̪ n̪ äː
येड़ा	j eː ɽ äː
योकोहामा	j oː k oː ɦ äː m äː
योग	j oː ɡ äː
योगदान	j oː ɡ d̪ ä̃ː n̪
योगिनी	j oː ɡ ɪ n̪ iː
योग्यकार्ता	j oː ɡ j ə k äː ɾ t̪ äː
योजना	j oː d ʒ n̪ äː
योज्यता	j oː d ʒ j ə t̪ äː
योद्धा	j oː d̪̚ d̪ʱ äː
योनि	j oː n̪ iː
यौन	j ɔ̃ː n̪
यौनाकर्षण	j ɔː n̪ äː k ə ɾ ʃ ə̃ ɳ
यौम	j ɔ̃ː m
यौवन	j ə̯ u ʋ ə̃ n̪
यौवनकाल	j ə̯ u ʋ ə̃ n̪ k äː l̪
रंग	ɾ ə̃ ŋ ɡ
रंगकर्म	ɾ ə̃ ŋ ɡ k ə ɾ m
रंगकर्मी	ɾ ə̃ ŋ ɡ k ə ɾ m iː
रंगमंच	ɾ ə̃ ŋ ɡ m ə̃ n̪ t ʃ
रंगरूट	ɾ ə̃ ŋ ɡ ɾ uː ʈ
रंगीन	ɾ ə̃ ŋ ɡ ĩː n̪
रंगीला	ɾ ə̃ ŋ ɡ iː l̪ äː
रंगोली	ɾ ə̃ ŋ ɡ oː l̪ iː
रंजन	ɾ ə̃ n̪ d ʒ ə̃ n̪
रंजित	ɾ ə̃ n̪ d ʒ ɪ t̪
रंजिश	ɾ ə̃ n̪ d ʒ ɪ ʃ
रंडी	ɾ ə̃ ɳ ɖ iː
रंभा	ɾ ə̃ m bʱ äː
रईस	ɾ ə iː s̪
रक़बा	ɾ ə q b äː
रक़म	ɾ ə q ə̃ m
रक़्क़ासा	ɾ ə q q äː s̪ äː
रक़्स	ɾ ə q s̪
रकाबी	ɾ ə k äː b iː
रक्खना	ɾ ə k̚ kʰ n̪ äː
रक्तचाप	ɾ ə k t̪̚ t ʃ äː p
रक्तपात	ɾ ə k t̪ p äː t̪
रक्तसंचार	ɾ ə k t̪ s̪ ə̃ n̪ t ʃ äː ɾ
रक्षण	ɾ ə k ʃ ə̃ ɳ
रक्षा	ɾ ə k ʃ äː
रक्षाबंधन	ɾ ə k ʃ äː b ə̃ n̪ d̪ʱ ə̃ n̪
रक्षित	ɾ ə k ʃ ɪ t̪
रखना	ɾ ə kʰ n̪ äː
रखवाल	ɾ ə kʰ ʋ äː l̪
रखवाला	ɾ ə kʰ ʋ äː l̪ äː
रखा	ɾ ə kʰ äː
रगड़न	ɾ ə ɡ ɽ ə̃ n̪
रगड़ना	ɾ ə ɡ ə ɽ n̪ äː
रचना	ɾ ə t ʃ n̪ äː
रचनावली	ɾ ə t ʃ n̪ äː ʋ ə l̪ iː
रज़ाकार	ɾ ə z äː k äː ɾ
रज़ामंद	ɾ ə z äː m ə̃ n̪ d̪
रज़ामंदी	ɾ ə z äː m ə̃ n̪ d̪ iː
रजिस्टर	ɾ ə d ʒ ɪ s̪ ʈ ə ɾ
रजिस्ट्रीकृत	ɾ ə d ʒ ɪ s̪ ʈ ɾ iː k ɾ ɪ t̪
रजोदर्शन	ɾ ə d ʒ oː d̪ ə ɾ ʃ ə̃ n̪
रटना	ɾ ə ʈ n̪ äː
रणछोड़	ɾ ə̃ ɳ t ʃʰ oː ɽ
रणनीतिक	ɾ ə̃ ɳ n̪ iː t̪ ɪ k
रतन	ɾ ə t̪ ə̃ n̪
रतालू	ɾ ə t̪ äː l̪ uː
रत्ती	ɾ ə t̪̚ t̪ iː
रत्न	ɾ ə t̪̚ n̪
रन	ɾ ə̃ n̪
रनवास	ɾ ə̃ n̪ w äː s̪
रमणीय	ɾ ə̃ m ɳ iː j
रमना	ɾ ə̃ m n̪ äː
रवा	ɾ ə ʋ äː
रवांडा	ɾ ə ʋ ä̃ː ɳ ɖ äː
रवाना	ɾ ə ʋ äː n̪ äː
रवानी	ɾ ə ʋ äː n̪ iː
रविवार	ɾ ə ʋ ɪ ʋ äː ɾ
रवैया	ɾ ə ʋ ə̯ i j äː
रशिया	ɾ ə ʃ i j äː
रस	ɾ ə s̪
रसगुल्ला	ɾ ə s̪ ɡ ʊ l̪ l̪ äː
रसद	ɾ ə s̪ ə d̪
रसना	ɾ ə s̪ n̪ äː
रसभरी	ɾ ə s̪ bʱ ə ɾ iː
रसायन	ɾ ə s̪ äː j ə̃ n̪
रसायनज्ञ	ɾ ə s̪ äː j ə n̪ ə ɡ j
रसीद	ɾ ə s̪ iː d̪
रसूल	ɾ ə s̪ uː l̪
रसूलुल्लाह	ɾ ə s̪ uː l̪ ʊ l̪ l̪ äː ɦ
रसोइया	ɾ ə s̪ oː i j äː
रसोई	ɾ ə s̪ oː iː
रसोईघर	ɾ ə s̪ oː iː ɡʱ ə ɾ
रसोईया	ɾ ə s̪ oː iː j äː
रस्म	ɾ ə s̪ ə̃ m
रस्सा	ɾ ə s̪ s̪ äː
रस्सी	ɾ ə s̪ s̪ iː
रहना	ɾ ɛ ɦ n̪ äː
रहनुमा	ɾ ɛ ɦ n̪ ʊ m äː
रहमान	ɾ ɛ ɦ m ä̃ː n̪
रहस्य	ɾ ɛ ɦ ɛ s̪ j
रहस्यमय	ɾ ɛ ɦ ɛ s̪ j ə m ə j
रहा	ɾ ə ɦ äː
रहीम	ɾ ə ɦ ĩː m
राँची	ɾ ä̃ː t ʃ iː
राँझा	ɾ ä̃ː n̪ d ʒʱ äː
रांची	ɾ ä̃ː t ʃ iː
राइफ़ल	ɾ äː ɪ pʰ ə l̪
राकेट	ɾ äː k eː ʈ
राख	ɾ äː kʰ
राखी	ɾ äː kʰ iː
राग	ɾ äː ɡ
रागमाला	ɾ äː ɡ m äː l̪ äː
रागी	ɾ äː ɡ iː
राज	ɾ äː d ʒ
राजकुमार	ɾ äː d ʒ k ʊ m äː ɾ
राजकुमारी	ɾ äː d ʒ k ʊ m äː ɾ iː
राजकोट	ɾ äː d ʒ k oː ʈ
राजग	ɾ äː d ʒ ə ɡ
राजत्व	ɾ äː d ʒ ə t̪ w
राजद	ɾ äː d ʒ ə d̪
राजदूत	ɾ äː d ʒ d̪ uː t̪
राजधानी	ɾ äː d ʒ d̪ʱ äː n̪ iː
राजनय	ɾ äː d ʒ n̪ ə j
राजनयिक	ɾ äː d ʒ n̪ ə j ɪ k
राजनीति	ɾ äː d ʒ n̪ iː t̪ iː
राजनीतिक	ɾ äː d ʒ n̪ iː t̪ ɪ k
राजनीतिज्ञ	ɾ äː d ʒ n̪ iː t̪ ɪ ɡ j
राजनैतिक	ɾ äː d ʒ n̪ ɛː t̪ ɪ k
राजमा	ɾ äː d ʒ m äː
राजमार्ग	ɾ äː d ʒ m äː ɾ ɡ
राजवंश	ɾ äː d ʒ ʋ ə̃ n̪ ʃ
राजस्थान	ɾ äː d ʒ ə s̪ t̪ʰ ä̃ː n̪
राजस्थानी	ɾ äː d ʒ ə s̪ t̪ʰ äː n̪ iː
राजस्व	ɾ äː d ʒ ə s̪ ʋ
राजहंस	ɾ äː d ʒʱ ə̃ n̪ s̪
राज़	ɾ äː z
राज़ी	ɾ äː z iː
राजा	ɾ äː d ʒ äː
राजेश	ɾ äː d ʒ eː ʃ
राज्य	ɾ äː d ʒ j
राज्यपाल	ɾ äː d ʒ j ə p äː l̪
राज्यवार	ɾ äː d ʒ j ə ʋ äː ɾ
राज्यानुसार	ɾ äː d ʒ j äː n̪ ʊ s̪ äː ɾ
रात	ɾ äː t̪
रात्रि	ɾ äː t̪ ɾ iː
रान	ɾ ä̃ː n̪
रानी	ɾ äː n̪ iː
राब्ता	ɾ äː b t̪ äː
राम	ɾ ä̃ː m
रामचंद्र	ɾ ä̃ː m t ʃ ə̃ n̪ d̪ ɾ
रामबाण	ɾ ä̃ː m b ä̃ː ɳ
रामरज	ɾ ä̃ː m ɾ ə d ʒ
रामलीला	ɾ ä̃ː m l̪ iː l̪ äː
रामल्लाह	ɾ äː m ə l̪ l̪ äː ɦ
रामायण	ɾ äː m äː j ə̃ ɳ
रामायणी	ɾ äː m äː j ə ɳ iː
राय	ɾ äː j
रायता	ɾ äː j t̪ äː
रार	ɾ äː ɾ
रावत	ɾ äː ʋ ə t̪
रावलपिंडी	ɾ äː ʋ ə l̪ p ɪ̃ ɳ ɖ iː
राशन	ɾ äː ʃ ə̃ n̪
राशि	ɾ äː ʃ iː
राशिफल	ɾ äː ʃ ɪ pʰ ə l̪
राष्ट्र	ɾ äː ʃ ʈ ɾ
राष्ट्रगान	ɾ äː ʃ ʈ ɾ ə ɡ ä̃ː n̪
राष्ट्रपति	ɾ äː ʃ ʈ ɾ ə p t̪ iː
राष्ट्रपिता	ɾ äː ʃ ʈ ɾ ə p ɪ t̪ äː
राष्ट्रवाद	ɾ äː ʃ ʈ ɾ ə ʋ äː d̪
राष्ट्रीय	ɾ äː ʃ ʈ ɾ iː j
रासो	ɾ äː s̪ oː
रास्ता	ɾ äː s̪ t̪ äː
राह	ɾ äː ɦ
राहत	ɾ äː ɦ ə t̪
राही	ɾ äː ɦ iː
रिंच	ɾ ɪ̃ n̪ t ʃ
रिक्तिका	ɾ ɪ k t̪ ɪ k äː
रिक्शा	ɾ ɪ k ʃ äː
रिक्शावाला	ɾ ɪ k ʃ äː ʋ äː l̪ äː
रिज़ल्ट	ɾ ɪ z ə l̪ ʈ
रिमझिम	ɾ ɪ̃ m d ʒʱ ɪ̃ m
रियाज़	ɾ i j äː z
रियाद	ɾ i j äː d̪
रियायत	ɾ i j äː j ə t̪
रियासत	ɾ i j äː s̪ ə t̪
रिवाज	ɾ ɪ ʋ äː d ʒ
रिवाज़	ɾ ɪ ʋ äː z
रिश्ता	ɾ ɪ ʃ t̪ äː
रिश्तेदार	ɾ ɪ ʃ t̪ eː d̪ äː ɾ
रिसाला	ɾ ɪ s̪ äː l̪ äː
रिहा	ɾ ɪ ɦ äː
रिहाई	ɾ ɪ ɦ äː iː
रीट्वीट	ɾ iː ʈ w iː ʈ
रीता	ɾ iː t̪ äː
रुकना	ɾ ʊ k n̪ äː
रुकावट	ɾ ʊ k äː ʋ ə ʈ
रुग्णालय	ɾ ʊ ɡ ɳ äː l̪ ə j
रुचिरा	ɾ ʊ t ʃ ɪ ɾ äː
रुझान	ɾ ʊ d ʒʱ ä̃ː n̪
रुद्रवीणा	ɾ ʊ d̪ ɾ ə ʋ iː ɳ äː
रुद्राक्ष	ɾ ʊ d̪ ɾ äː k ʃ
रुपया	ɾ ʊ p ə j äː
रुलाना	ɾ ʊ l̪ äː n̪ äː
रूठना	ɾ uː ʈʰ n̪ äː
रूठा	ɾ uː ʈʰ äː
रूढ़िवाद	ɾ uː ɽʱ ɪ ʋ äː d̪
रूपरेखा	ɾ uː p ɾ eː kʰ äː
रूबल	ɾ uː b ə l̪
रूमाल	ɾ uː m äː l̪
रूस	ɾ uː s̪
रूसी	ɾ uː s̪ iː
रूहानियत	ɾ uː ɦ äː n̪ i j ə t̪
रेंगना	ɾ ẽː ŋ ɡ n̪ äː
रेख़ता	ɾ eː x t̪ äː
रेख़्ता	ɾ eː x t̪ äː
रेखा	ɾ eː kʰ äː
रेखाखंड	ɾ eː kʰ äː kʰ ə̃ ɳ ɖ
रेज़गारी	ɾ eː z ɡ äː ɾ iː
रेडियो	ɾ eː ɖ i j oː
रेडॉन	ɾ eː ɖ ɔ̃ n̪
रेतना	ɾ eː t̪̚ n̪ äː
रेल	ɾ eː l̪
रेलगाड़ी	ɾ eː l̪ ɡ äː ɽ iː
रेलवे	ɾ eː l̪ ʋ eː
रेस्तराँ	ɾ eː s̪ t̪ ɾ ä̃ː
रैन	ɾ ɛ̃ː n̪
रैनबसेरा	ɾ ɛ̃ː n̪ b ə s̪ eː ɾ äː
रोंगटा	ɾ õː ŋ ɡ ʈ äː
रोकड़िया	ɾ oː k ɽ i j äː
रोकथाम	ɾ oː k t̪ʰ ä̃ː m
रोकना	ɾ oː k n̪ äː
रोका	ɾ oː k äː
रोज़गार	ɾ oː z ɡ äː ɾ
रोज़मर्रा	ɾ oː z m ə ɾ ɾ äː
रोज़ा	ɾ oː z äː
रोज़ाना	ɾ oː z äː n̪ äː
रोड़ा	ɾ oː ɽ äː
रोपना	ɾ oː p n̪ äː
रोपाई	ɾ oː p äː iː
रोमांच	ɾ oː m ä̃ː t ʃ
रोमांचक	ɾ oː m ä̃ː t ʃ ə k
रोमानिया	ɾ oː m äː n̪ i j äː
रोशनी	ɾ oː ʃ n̪ iː
रोहिंग्या	ɾ oː ɦ ɪ̃ ŋ ɡ j äː
रौंदना	ɾ ɔ̃ː n̪ d̪ n̪ äː
रौज़न	ɾ ɔː z ə̃ n̪
रौनक़	ɾ ɔː n̪ ə q
रौशन	ɾ ɔː ʃ ə̃ n̪
रौशनी	ɾ ɔː ʃ n̪ iː
ल	l̪ ə
लँगड़ाना	l̪ ə̃ ŋ ɡ ɽ äː n̪ äː
लंकिलाट	l̪ ə̃ ŋ k ɪ l̪ äː ʈ
लंगड़ा	l̪ ə̃ ŋ ɡ ɽ äː
लंगराई	l̪ ə̃ ŋ ɡ ɾ äː iː
लंगूर	l̪ ə̃ ŋ ɡ uː ɾ
लंगोटी	l̪ ə̃ ŋ ɡ oː ʈ iː
लंड	l̪ ə̃ ɳ ɖ
लंदन	l̪ ə̃ n̪ d̪ ə̃ n̪
लंबाई	l̪ ə̃ m b äː iː
लंबू	l̪ ə̃ m b uː
लंभा	l̪ ə̃ m bʱ äː
लकीर	l̪ ə k iː ɾ
लक्षण	l̪ ə k ʃ ə̃ ɳ
लक्ष्मी	l̪ ə k ʃ m iː
लखन	l̪ ə kʰ ə̃ n̪
लखनऊ	l̪ ə kʰ n̪ ə uː
लगता	l̪ ə ɡ t̪ äː
लगन	l̪ ə ɡ ə̃ n̪
लगना	l̪ ə ɡ n̪ äː
लगभग	l̪ ə ɡ bʱ ə ɡ
लगान	l̪ ə ɡ ä̃ː n̪
लगाना	l̪ ə ɡ äː n̪ äː
लगावट	l̪ ə ɡ äː ʋ ə ʈ
लगी	l̪ ə ɡ iː
लगूहा	l̪ ə ɡ uː ɦ äː
लगे	l̪ ə ɡ eː
लग्न	l̪ ə ɡ n̪
लघु	l̪ ə ɡʱ uː
लघुगणक	l̪ ə ɡʱ ʊ ɡ ə ɳ ə k
लघ्वातु	l̪ ə ɡʱ ʋ äː t̪ uː
लचकना	l̪ ə t ʃ ə k n̪ äː
लज़ीज़	l̪ ə z iː z
लजाना	l̪ ə d ʒ äː n̪ äː
लज्जा	l̪ ə d̚ d ʒ äː
लज्जित	l̪ ə d̚ d ʒ ɪ t̪
लट	l̪ ə ʈ
लटकना	l̪ ə ʈ ə k n̪ äː
लटकाना	l̪ ə ʈ k äː n̪ äː
लट्टू	l̪ ə ʈ̚ ʈ uː
लडका	l̪ ə ɽ k äː
लडकी	l̪ ə ɽ k iː
लड़कपन	l̪ ə ɽ ə k p ə̃ n̪
लड़का	l̪ ə ɽ k äː
लड़की	l̪ ə ɽ k iː
लड़खड़ाना	l̪ ə ɽ kʰ ə ɽ äː n̪ äː
लड़ना	l̪ ə ɽ n̪ äː
लड़ाई	l̪ ə ɽ äː iː
लड़ाका	l̪ ə ɽ äː k äː
लड़ाकू	l̪ ə ɽ äː k uː
लड्डू	l̪ ə ɖ̚ ɖ uː
लण्ड	l̪ ə̃ ɳ ɖ
लताड़ना	l̪ ə t̪ äː ɽ n̪ äː
लतीफ़ा	l̪ ə t̪ iː pʰ äː
लथपथ	l̪ ə t̪ʰ p ə t̪ʰ
लद्दाख़	l̪ ə d̪̚ d̪ äː x
लपकना	l̪ ə p ə k n̪ äː
लपेटना	l̪ ə p eː ʈ n̪ äː
लफड़ा	l̪ ə pʰ ɽ äː
लफ़ंगा	l̪ ə pʰ ə̃ ŋ ɡ äː
लफ़्ज़	l̪ ə pʰ d ʒ
लब	l̪ ə b
लब्धि	l̪ ə b d̪ʱ iː
लमहा	l̪ ə̃ m ɦ äː
लय	l̪ ə j
ललकार	l̪ ə l̪ k äː ɾ
ललकारना	l̪ ə l̪ k äː ɾ n̪ äː
ललचाना	l̪ ə l̪ t ʃ äː n̪ äː
ललाट	l̪ ə l̪ äː ʈ
लवड़ा	l̪ ə ʋ ɽ äː
लवण	l̪ ə ʋ ə̃ ɳ
लश्कर	l̪ ə ʃ k ə ɾ
लश्करी	l̪ ə ʃ k ə ɾ iː
लसन	l̪ ə s̪ ə̃ n̪
लहंगा	l̪ ɛː ɦ ɛ̃ː ŋ ɡ äː
लहज़ा	l̪ ɛ ɦ z äː
लहजा	l̪ ɛ ɦ d ʒ äː
लहर	l̪ ɛ ɦ ɛ ɾ
लहरा	l̪ ɛ ɦ ɾ äː
लहसुन	l̪ ɛ ɦ s̪ ʊ̃ n̪
लाँघना	l̪ ä̃ː ŋ ɡʱ n̪ äː
लांछन	l̪ ä̃ː n̪ t ʃʰ ə̃ n̪
लांछित	l̪ ä̃ː n̪ t ʃʰ ɪ t̪
लाइन	l̪ äː ɪ̃ n̪
लाइम	l̪ äː ɪ̃ m
लाइसेंस	l̪ äː ɪ s̪ ẽː n̪ s̪
लाई	l̪ äː iː
लाओस	l̪ äː oː s̪
लाख	l̪ äː kʰ
लागत	l̪ äː ɡ ə t̪
लागू	l̪ äː ɡ uː
लाचार	l̪ äː t ʃ äː ɾ
लाजवर्द	l̪ äː d ʒ ʋ ə ɾ d̪
लाजवाब	l̪ äː d ʒ ə ʋ äː b
लाज़िम	l̪ äː z ɪ̃ m
लाट	l̪ äː ʈ
लाठ	l̪ äː ʈʰ
लाड़	l̪ äː ɽ
लाड़काना	l̪ äː ɽ k äː n̪ äː
लात	l̪ äː t̪
लातविया	l̪ äː t̪ w i j äː
लातीनी	l̪ äː t̪ iː n̪ iː
लादना	l̪ äː d̪̚ n̪ äː
लानत	l̪ äː n̪ ə t̪
लाना	l̪ äː n̪ äː
लापता	l̪ äː p ə t̪ äː
लापरवाह	l̪ äː p ə ɾ ʋ äː ɦ
लापरवाही	l̪ äː p ə ɾ ʋ äː ɦ iː
लापसी	l̪ äː p s̪ iː
लाफा	l̪ äː pʰ äː
